 time            time            v(N003)        
 0.00000000e+00  0.00000000e+00  1.25849669e+00 
 2.00000000e-05  2.00000000e-05  1.25849669e+00 
 4.00000000e-05  4.00000000e-05  1.25849669e+00 
 8.00000000e-05  8.00000000e-05  1.25849669e+00 
 1.60000000e-04  1.60000000e-04  1.25849669e+00 
 3.20000000e-04  3.20000000e-04  1.25849669e+00 
 6.40000000e-04  6.40000000e-04  1.25849669e+00 
 1.28000000e-03  1.28000000e-03  1.25849669e+00 
 2.56000000e-03  2.56000000e-03  1.25849669e+00 
 4.56000000e-03  4.56000000e-03  1.25849669e+00 
 6.56000000e-03  6.56000000e-03  1.25849669e+00 
 8.56000000e-03  8.56000000e-03  1.25849669e+00 
 1.05600000e-02  1.05600000e-02  1.25849669e+00 
 1.25600000e-02  1.25600000e-02  1.25849669e+00 
 1.45600000e-02  1.45600000e-02  1.25849669e+00 
 1.65600000e-02  1.65600000e-02  1.25849669e+00 
 1.85600000e-02  1.85600000e-02  1.25849669e+00 
 2.05600000e-02  2.05600000e-02  1.25849669e+00 
 2.25600000e-02  2.25600000e-02  1.25849669e+00 
 2.45600000e-02  2.45600000e-02  1.25849669e+00 
 2.65600000e-02  2.65600000e-02  1.25849669e+00 
 2.85600000e-02  2.85600000e-02  1.25849669e+00 
 3.05600000e-02  3.05600000e-02  1.25849669e+00 
 3.25600000e-02  3.25600000e-02  1.25849669e+00 
 3.45600000e-02  3.45600000e-02  1.25849669e+00 
 3.65600000e-02  3.65600000e-02  1.25849669e+00 
 3.85600000e-02  3.85600000e-02  1.25849669e+00 
 4.05600000e-02  4.05600000e-02  1.25849669e+00 
 4.25600000e-02  4.25600000e-02  1.25849669e+00 
 4.45600000e-02  4.45600000e-02  1.25849669e+00 
 4.65600000e-02  4.65600000e-02  1.25849669e+00 
 4.85600000e-02  4.85600000e-02  1.25849669e+00 
 5.05600000e-02  5.05600000e-02  1.25849669e+00 
 5.25600000e-02  5.25600000e-02  1.25849669e+00 
