circuit_id,component_class,count,component_ids
a01,Connector,1,connector5.1
a01,GND,3,gnd9.1|gnd9.2|gnd9.3
a01,Lamp,1,lamp13.1
a01,LED,1,led12.1
a01,Resistor,2,resistor22.1|resistor22.2
a01,Switch,1,switch25.1
a02,Battery,1,battery2.1
a02,Capacitor,1,capacitor4.1
a02,Connector,1,connector5.1
a02,GND,3,gnd9.1|gnd9.2|gnd9.3
a02,Resistor,1,resistor22.1
a02,Switch,1,switch25.1
a04,Battery,1,battery2.1
a04,Capacitor,3,capacitor4.1|capacitor4.2|capacitor4.3
a04,GND,1,gnd9.1
a04,NPN_Transistor,1,npn_transistor18.1
a04,Resistor,5,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5
a04,Signal_Source,1,signal_source23.1
a05,Analog_Meter,1,analog_meter0.1
a05,Capacitor,1,capacitor4.1
a05,Connector,1,connector5.1
a05,GND,4,gnd9.1|gnd9.2|gnd9.3|gnd9.4
a05,Resistor,1,resistor22.1
a05,Switch,1,switch25.1
a06,Capacitor,3,capacitor4.1|capacitor4.2|capacitor4.3
a06,GND,4,gnd9.1|gnd9.2|gnd9.3|gnd9.4
a06,NPN_Transistor,1,npn_transistor18.1
a06,Resistor,6,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5|resistor22.6
a06,Signal_Source,1,signal_source23.1
a06,Terminal,3,terminal26.1|terminal26.2|terminal26.3
a07,Analog_Meter,1,analog_meter0.1
a07,Connector,1,connector5.1
a07,GND,4,gnd9.1|gnd9.2|gnd9.3|gnd9.4
a07,LED,1,led12.1
a07,Resistor,1,resistor22.1
a07,Switch,1,switch25.1
a08,Capacitor,1,capacitor4.1
a08,GND,2,gnd9.1|gnd9.2
a08,LED,1,led12.1
a08,NPN_Transistor,1,npn_transistor18.1
a08,Resistor,4,resistor22.1|resistor22.2|resistor22.3|resistor22.4
a08,Signal_Source,1,signal_source23.1
a09,Battery,1,battery2.1
a09,Capacitor,1,capacitor4.1
a09,Connector,1,connector5.1
a09,Fuse,1,fuse8.1
a09,GND,5,gnd9.1|gnd9.2|gnd9.3|gnd9.4|gnd9.5
a09,Lamp,1,lamp13.1
a09,LED,1,led12.1
a09,Resistor,1,resistor22.1
a09,Switch,1,switch25.1
a10,Battery,1,battery2.1
a10,Connector,1,connector5.1
a10,GND,4,gnd9.1|gnd9.2|gnd9.3|gnd9.4
a10,Lamp,1,lamp13.1
a10,LED,1,led12.1
a10,Resistor,1,resistor22.1
a10,Switch,1,switch25.1
b02,GND,1,gnd9.1
b02,LED,2,led12.1|led12.2
b02,NPN_Transistor,2,npn_transistor18.1|npn_transistor18.2
b02,Polarized_Capacitor,2,polarized_capacitor20.1|polarized_capacitor20.2
b02,Resistor,4,resistor22.1|resistor22.2|resistor22.3|resistor22.4
b03,Battery,1,battery2.1
b03,Diode,7,diode7.1|diode7.2|diode7.3|diode7.4|diode7.5|diode7.6|diode7.7
b03,LED,3,led12.1|led12.2|led12.3
b03,NPN_Transistor,3,npn_transistor18.1|npn_transistor18.2|npn_transistor18.3
b03,Resistor,8,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5|resistor22.6|resistor22.7|resistor22.8
b04,Diode,5,diode7.1|diode7.2|diode7.3|diode7.4|diode7.5
b04,Fuse,1,fuse8.1
b04,NPN_Transistor,1,npn_transistor18.1
b04,Resistor,6,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5|resistor22.6
b04,Terminal,4,terminal26.1|terminal26.2|terminal26.3|terminal26.4
b04,Transformer,1,transformer28.1
b05,Antenna,1,antenna1.1
b05,Battery,1,battery2.1
