model,input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
gpt-4.1-mini,JSON + datasheet,8,16.375,17.5,3.839,0.78,0.833,0.183,1.875,1.5,1.615,2.0,2.0,0.5,48.22,41.19,22.25,9088.5,6342.0,5031.98,2042.625,1971.5,242.566,11131.125,8181.5,5255.348,0.006904,0.005617,0.002374,24.83,24.91,4.47,14238.875,11266.5,5295.849,0.103369,0.090338,0.028012,0.625,0.875,2.625,2.25,2.375,2.375,1.875,2.875,2.0
gpt-4.1-mini,JSON + immagine + datasheet,8,15.25,16.0,3.345,0.726,0.762,0.159,2.5,2.5,1.225,3.0,3.0,0.866,30.31,29.1,8.4,10830.375,8083.5,5032.032,1700.75,1755.5,249.84,12531.125,9644.5,5058.553,0.007053,0.005848,0.002084,26.86,27.55,5.12,14061.0,11191.0,5178.381,0.106508,0.093805,0.029145,0.625,0.625,2.75,2.375,1.875,2.125,1.75,2.75,1.625
gpt-4.1-nano,JSON + datasheet,8,12.375,11.0,4.181,0.589,0.524,0.199,3.0,3.5,1.5,2.75,3.0,0.661,17.54,18.06,5.35,9088.5,6342.0,5031.98,1655.0,1635.5,174.974,10743.5,7965.0,5137.626,0.001571,0.001283,0.000548,25.68,25.36,3.17,13992.625,11017.0,5201.532,0.105669,0.08987,0.027798,0.5,0.75,2.25,2.125,1.375,1.625,1.125,2.5,1.375
gpt-4.1-nano,JSON + immagine + datasheet,8,13.5,14.0,3.674,0.643,0.667,0.175,2.625,2.5,0.992,2.5,2.0,0.707,16.82,15.08,6.4,11691.375,8944.5,5032.032,1431.25,1407.0,179.962,13122.625,10318.5,5168.71,0.001742,0.001444,0.000559,24.67,23.65,3.99,13684.25,10774.5,5208.343,0.101946,0.088917,0.027402,0.375,0.75,2.375,2.125,1.625,2.0,1.25,2.625,1.5
gpt-4o-mini,JSON + datasheet,8,13.25,14.0,3.345,0.631,0.667,0.159,3.25,3.0,0.968,2.0,2.0,0.5,34.37,25.87,17.18,9088.5,6342.0,5031.98,945.625,922.5,90.568,10034.125,7320.5,5034.823,0.001931,0.001538,0.000758,25.49,25.23,2.05,13194.75,10464.5,5075.259,0.099464,0.08541,0.026552,0.5,0.875,2.375,2.0,1.625,1.75,1.5,2.375,1.625
gpt-4o-mini,JSON + immagine + datasheet,8,12.5,12.0,2.398,0.595,0.571,0.114,3.125,3.0,0.781,2.25,2.5,0.968,32.34,30.75,8.48,34671.375,31924.5,5032.032,1021.375,1024.5,94.3,35692.75,32864.5,5044.103,0.005814,0.005376,0.000764,27.46,27.26,5.51,13353.125,10591.0,5098.766,0.10225,0.092292,0.027342,0.375,0.875,2.375,2.0,1.125,1.75,1.0,2.5,1.75
gpt-5-mini,JSON + datasheet,8,18.0,18.0,1.803,0.857,0.857,0.086,1.375,1.5,1.218,2.0,2.0,0.5,43.99,45.98,7.84,9087.5,6341.0,5031.98,3145.5,3060.0,216.174,12233.0,9670.5,5046.239,0.008563,0.008362,0.001348,24.98,23.31,5.57,14510.375,12159.0,5058.783,0.105855,0.100945,0.027105,0.625,0.875,3.0,2.75,2.875,2.375,2.125,3.0,1.875
gpt-5-mini,JSON + immagine + datasheet,8,17.375,17.5,2.233,0.827,0.833,0.106,1.75,2.0,1.199,1.75,2.0,0.829,43.95,43.49,9.47,10398.375,7651.5,5032.032,3190.25,3158.0,430.618,13588.625,10715.0,5263.328,0.00898,0.008483,0.00185,25.21,24.7,4.18,14635.625,11981.0,5052.486,0.105828,0.096105,0.024804,0.5,1.0,3.0,2.875,2.25,2.375,1.875,3.0,2.0
gpt-5-nano,JSON + datasheet,8,13.0,12.5,4.0,0.619,0.595,0.19,3.375,3.5,0.992,3.375,3.0,0.857,30.08,29.93,5.36,9087.5,6341.0,5031.98,3743.25,3724.0,268.102,12830.75,10040.5,4928.512,0.001952,0.001923,0.00023,30.05,32.54,4.62,15500.25,12746.5,4992.381,0.117864,0.104843,0.028143,0.5,0.75,2.0,2.125,1.625,1.875,1.375,2.625,1.375
gpt-5-nano,JSON + immagine + datasheet,8,14.875,15.0,3.059,0.708,0.714,0.146,2.875,3.0,1.452,2.875,3.0,0.781,28.86,27.76,3.86,10705.375,7958.5,5032.032,3649.875,3643.5,508.23,14355.25,11246.5,5141.203,0.001995,0.001942,0.000349,26.91,24.69,6.46,15394.25,12212.5,5154.571,0.112896,0.101337,0.027349,0.5,0.875,2.5,2.125,1.875,2.25,1.625,2.875,1.625
