circuit,model,score_json,score_json_img,delta_score_img_minus_json,top1_json,top1_json_img,top3_json,top3_json_img,errors_json,errors_json_img,hallucinations_json,hallucinations_json_img,latency_json,latency_json_img,cost_json,cost_json_img
ic11,gpt-4.1-mini,15.0,13.0,-2.0,1,1,1,1,3,4,2,4,51.859,37.676,0.0054456,0.0058000000000000005
ic11,gpt-4.1-nano,8.0,13.0,5.0,1,0,1,1,5,3,3,3,12.648,15.629,0.0011394,0.0013601000000000004
ic11,gpt-4o-mini,10.0,11.0,1.0,0,1,1,1,4,4,3,3,21.309,44.037,0.0013503,0.00529215
ic11,gpt-5-mini,17.0,17.0,0.0,1,1,1,1,3,2,2,2,27.78,22.147,0.00789825,0.007169999999999999
ic11,gpt-5-nano,13.0,13.0,0.0,0,0,1,1,4,4,4,3,32.206,27.565,0.00175125,0.00174735
ic11,gpt-5.4,17.0,21.0,4.0,0,1,1,1,2,0,2,0,60.455,61.315,0.06502749999999999,0.07777
ic11,gpt-5.4-mini,16.0,20.0,4.0,1,1,1,1,3,0,2,2,19.604,21.276,0.015210750000000002,0.016697999999999998
ic11,gpt-5.4-nano,15.0,13.0,-2.0,1,0,1,1,2,3,2,2,17.061,17.088,0.0044458499999999995,0.0043468
ic13,gpt-4.1-mini,20.0,19.0,-1.0,1,1,1,1,0,2,2,2,45.227,27.126,0.0050856,0.005896
ic13,gpt-4.1-nano,13.0,15.0,2.0,0,0,1,1,3,2,2,2,12.964,7.439,0.0011466,0.0012289
ic13,gpt-4o-mini,13.0,15.0,2.0,0,0,1,1,3,2,2,2,24.038,18.399,0.0013029,0.0051661499999999996
ic13,gpt-5-mini,20.0,18.0,-2.0,1,0,1,1,0,1,2,2,53.669,42.36,0.00718025,0.0074719999999999995
ic13,gpt-5-nano,18.0,16.0,-2.0,1,0,1,1,2,3,3,3,24.83,24.606,0.0017320500000000002,0.00199615
ic13,gpt-5.4,20.0,21.0,1.0,1,1,1,1,0,0,1,0,47.717,49.104,0.0543725,0.065555
ic13,gpt-5.4-mini,20.0,20.0,0.0,1,1,1,1,0,0,1,2,14.807,16.93,0.01329675,0.0139245
ic13,gpt-5.4-nano,20.0,19.0,-1.0,1,1,1,1,0,2,3,3,22.296,17.577,0.00477745,0.0041034
