circuit,model,score_json,score_json_img,delta_score_image,top1_json,top1_json_img,top3_json,top3_json_img,cost_json_usd,cost_json_img_usd,delta_cost_image_usd,latency_json_seconds,latency_json_img_seconds,delta_latency_image_seconds
ic11,gpt-4o-mini,10.0,11.0,1.0,False,True,True,True,0.0013503,0.00529215,0.00394185,21.309,44.037,22.727999999999998
ic11,gpt-4.1-mini,15.0,13.0,-2.0,True,True,True,True,0.0054456,0.0058000000000000005,0.0003544000000000004,51.859,37.676,-14.183
ic11,gpt-4.1-nano,8.0,13.0,5.0,True,False,True,True,0.0011394,0.0013601000000000004,0.00022070000000000032,12.648,15.629,2.981
ic11,gpt-5-nano,13.0,13.0,0.0,False,False,True,True,0.00175125,0.00174735,-3.900000000000041e-06,32.206,27.565,-4.641000000000002
ic11,gpt-5-mini,17.0,17.0,0.0,True,True,True,True,0.00789825,0.007169999999999999,-0.0007282500000000015,27.78,22.147,-5.633000000000003
ic11,gpt-5.4-nano,15.0,13.0,-2.0,True,False,True,True,0.0044458499999999995,0.0043468,-9.904999999999983e-05,17.061,17.088,0.027000000000001023
ic11,gpt-5.4-mini,16.0,20.0,4.0,True,True,True,True,0.015210750000000002,0.016697999999999998,0.0014872499999999955,19.604,21.276,1.6720000000000006
ic11,gpt-5.4,17.0,21.0,4.0,False,True,True,True,0.06502749999999999,0.07777,0.012742500000000018,60.455,61.315,0.8599999999999994
ic13,gpt-4o-mini,13.0,15.0,2.0,False,False,True,True,0.0013029,0.0051661499999999996,0.0038632499999999995,24.038,18.399,-5.638999999999999
ic13,gpt-4.1-mini,20.0,19.0,-1.0,True,True,True,True,0.0050856,0.005896,0.0008104000000000002,45.227,27.126,-18.100999999999996
ic13,gpt-4.1-nano,13.0,15.0,2.0,False,False,True,True,0.0011466,0.0012289,8.23e-05,12.964,7.439,-5.525
ic13,gpt-5-nano,18.0,16.0,-2.0,True,False,True,True,0.0017320500000000002,0.00199615,0.00026409999999999975,24.83,24.606,-0.22399999999999665
ic13,gpt-5-mini,20.0,18.0,-2.0,True,False,True,True,0.00718025,0.0074719999999999995,0.0002917499999999995,53.669,42.36,-11.308999999999997
ic13,gpt-5.4-nano,20.0,19.0,-1.0,True,True,True,True,0.00477745,0.0041034,-0.0006740499999999998,22.296,17.577,-4.718999999999998
ic13,gpt-5.4-mini,20.0,20.0,0.0,True,True,True,True,0.01329675,0.0139245,0.0006277499999999998,14.807,16.93,2.1229999999999993
ic13,gpt-5.4,20.0,21.0,1.0,True,True,True,True,0.0543725,0.065555,0.011182500000000005,47.717,49.104,1.3870000000000005
ic15,gpt-4o-mini,10.0,10.0,0.0,False,False,True,False,0.0021805500000000003,0.0060432,0.00386265,42.55,30.767,-11.782999999999998
ic15,gpt-4.1-mini,8.0,10.0,2.0,False,False,False,False,0.0076516,0.007972400000000001,0.0003208000000000013,52.846,45.88,-6.965999999999994
ic15,gpt-4.1-nano,9.0,9.0,0.0,False,False,False,False,0.0017825,0.0019244000000000002,0.00014190000000000014,18.876,14.536,-4.340000000000002
