circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
ic11,,JSON + datasheet,8,13.875,15.0,3.0998991919093113,62.5,100.0,3.25,2.5,3.75,0.0127836125,0.0127836125,30.36525,1085.373950438501,0.4569367945266382,2.25,2.125,1.75,1.75,1.625,2.75,1.625
ic11,,JSON + immagine + datasheet,8,15.125,13.0,3.4798527267687636,62.5,100.0,2.5,2.375,3.125,0.01502305,0.01502305,30.841625,1006.7862384802021,0.49040866037376435,2.375,2.375,2.0,2.25,1.75,2.875,1.5
ic13,,JSON + datasheet,8,18.0,20.0,2.958039891549808,75.0,100.0,1.0,2.0,1.625,0.0111117625,0.0111117625,30.6935,1619.9050330674363,0.5864433837783244,2.75,2.75,2.5,2.75,2.5,2.875,1.875
ic13,,JSON + immagine + datasheet,8,17.875,18.5,2.1469455046647083,50.0,100.0,1.5,2.0,2.25,0.0131677625,0.0131677625,25.442625,1357.4819564067927,0.7025611547550616,3.0,2.625,2.375,2.5,2.25,3.0,2.125
ic15,,JSON + datasheet,8,13.0,10.0,5.220153254455275,37.5,50.0,3.125,2.625,3.125,0.01631045625,0.01631045625,36.5405,797.0347242738841,0.35576962548405194,2.375,2.125,1.75,1.75,1.25,2.375,1.375
ic15,,JSON + immagine + datasheet,8,11.875,10.0,3.3330729064933458,0.0,37.5,3.5,2.375,3.625,0.01666929375,0.01666929375,33.9575,712.387709887229,0.3497018331738202,2.375,2.25,1.25,1.25,0.75,2.375,1.625
ic2,,JSON + datasheet,8,14.25,16.0,4.815340071064556,50.0,75.0,2.25,1.5,2.875,0.02007480625,0.02007480625,32.257625,709.8449580304168,0.4417560189257579,2.5,1.625,2.25,2.0,1.375,2.625,1.875
ic2,,JSON + immagine + datasheet,8,15.625,15.0,3.998046397929869,62.5,75.0,2.0,1.875,2.375,0.020941225,0.020941225,33.085499999999996,746.1359113423403,0.47226126248658784,2.625,2.0,2.125,2.375,1.875,2.75,1.875
ic3,,JSON + datasheet,8,18.75,19.0,0.9682458365518543,100.0,100.0,1.25,1.375,2.25,0.0117976,0.0117976,31.671375,1589.3062995863565,0.5920172395420155,3.0,3.0,2.25,2.75,2.75,3.0,2.0
ic3,,JSON + immagine + datasheet,8,19.125,19.0,1.5360257159305635,87.5,100.0,0.625,1.5,1.375,0.0131060125,0.0131060125,31.88375,1459.253911134298,0.5998353393186184,3.0,3.0,2.25,2.75,2.75,3.0,2.375
ic7,,JSON + datasheet,8,14.875,15.0,2.368411915187052,50.0,87.5,2.625,2.5,2.875,0.012858081249999999,0.012858081249999999,31.6385,1156.8600097312344,0.4701550326342905,2.625,2.25,2.125,1.75,1.5,3.0,1.625
ic7,,JSON + immagine + datasheet,8,17.0,17.0,1.7320508075688772,62.5,87.5,2.0,2.0,2.375,0.0133725375,0.0133725375,27.154875,1271.2620921795883,0.6260386026450131,3.0,2.75,2.25,2.375,1.625,3.0,2.0
ic8,,JSON + datasheet,8,16.25,18.5,4.351723796382303,62.5,75.0,2.0,2.5,2.5,0.0176040625,0.0176040625,45.690625,923.0823851028705,0.35565282812393134,2.75,2.5,2.375,2.125,2.125,2.625,1.75
ic8,,JSON + immagine + datasheet,8,13.75,13.0,4.02336923485777,25.0,75.0,2.625,2.625,3.0,0.01848185,0.018165050000000002,34.5475,743.9731412169236,0.3980027498371807,2.5,2.25,1.75,1.875,1.25,2.625,1.5
ic9,,JSON + datasheet,8,16.375,16.0,2.496873044429772,75.0,100.0,1.875,1.75,3.125,0.01339501875,0.01339501875,28.227875,1222.4693601119448,0.5801003440747842,2.625,2.5,2.375,2.125,1.75,3.0,2.0
ic9,,JSON + immagine + datasheet,8,17.125,17.0,2.2043990110685496,100.0,100.0,1.875,1.625,2.375,0.01529099375,0.01529099375,28.0745,1119.9402916504364,0.6099841493169958,2.75,2.625,2.0,2.625,2.125,3.0,2.0
