circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
ic11,gpt-4o-mini,,2,10.5,10.5,0.5,50.0,100.0,4.0,3.0,5.0,0.0033212249999999997,0.0033212249999999997,32.673,3161.484090960414,0.3213662657239923,2.0,1.5,1.0,1.5,1.5,2.0,1.0
ic11,gpt-4.1-mini,,2,14.0,14.0,1.0,100.0,100.0,3.5,3.0,3.5,0.005622800000000001,0.005622800000000001,44.7675,2489.862701856726,0.312726866588485,2.0,2.0,2.0,2.0,1.5,3.0,1.5
ic11,gpt-4.1-nano,,2,10.5,10.5,2.5,50.0,100.0,4.0,3.0,4.5,0.0012497500000000002,0.0012497500000000002,14.1385,8401.680336067213,0.7426530395727976,1.5,1.5,1.5,1.5,1.0,2.5,1.0
ic11,gpt-5-nano,,2,13.0,13.0,0.0,0.0,100.0,4.0,3.5,4.0,0.0017493,0.0017493,29.8855,7431.544046189904,0.4349935587492262,2.0,2.0,2.0,2.0,1.0,3.0,1.0
ic11,gpt-5-mini,,2,17.0,17.0,0.0,100.0,100.0,2.5,2.0,3.0,0.007534125,0.007534125,24.9635,2256.400046455295,0.6809942516073467,3.0,3.0,2.0,2.0,2.0,3.0,2.0
ic11,gpt-5.4-nano,,2,14.0,14.0,1.0,50.0,100.0,2.5,2.0,3.0,0.0043963249999999995,0.0043963249999999995,17.0745,3184.4779446469497,0.8199361621130926,2.0,2.5,1.5,2.0,1.5,3.0,1.5
ic11,gpt-5.4-mini,,2,18.0,18.0,2.0,100.0,100.0,1.5,2.0,3.0,0.015954375,0.015954375,20.439999999999998,1128.217181807498,0.8806262230919766,3.0,2.5,2.5,2.5,2.5,3.0,2.0
ic11,gpt-5.4,,2,19.0,19.0,2.0,50.0,100.0,1.0,1.0,1.5,0.07139875,0.07139875,60.885,266.1111013848282,0.312063726697873,3.0,3.0,2.5,2.5,2.5,3.0,2.5
ic13,gpt-4o-mini,,2,14.0,14.0,1.0,0.0,100.0,2.5,2.0,3.5,0.003234525,0.003234525,21.2185,4328.30168262728,0.6598015882366803,2.5,2.5,1.5,2.0,1.0,2.5,2.0
ic13,gpt-4.1-mini,,2,19.5,19.5,0.5,100.0,100.0,1.0,2.0,2.0,0.0054908000000000005,0.0054908000000000005,36.1765,3551.395060829023,0.5390239520130472,3.0,2.5,3.0,3.0,3.0,3.0,2.0
