circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
,gpt-4o-mini,JSON + datasheet,1,18.0,18.0,0,100.0,100.0,3.0,1.0,3.0,0.00153945,0.00153945,27.699,11692.48757673195,0.6498429546193003,3.0,3.0,2.0,3.0,2.0,3.0,2.0
,gpt-4o-mini,JSON + immagine + datasheet,1,16.0,16.0,0,0.0,100.0,2.0,0.0,3.0,0.005294699999999999,0.005294699999999999,30.725,3021.889814342645,0.5207485760781123,3.0,3.0,1.0,2.0,1.0,3.0,3.0
,gpt-4.1-mini,JSON + datasheet,1,19.0,19.0,0,100.0,100.0,1.0,2.0,2.0,0.0050588000000000004,0.0050588000000000004,29.178,3755.831422471732,0.6511755432174926,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-4.1-mini,JSON + immagine + datasheet,1,19.0,19.0,0,100.0,100.0,0.0,3.0,2.0,0.005682,0.005682,28.352,3343.892995424146,0.6701467268623025,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-4.1-nano,JSON + datasheet,1,19.0,19.0,0,100.0,100.0,0.0,2.0,2.0,0.0012403000000000002,0.0012403000000000002,23.971,15318.874465855033,0.7926244211755872,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-4.1-nano,JSON + immagine + datasheet,1,19.0,19.0,0,100.0,100.0,1.0,2.0,2.0,0.0014038,0.0014038,27.251,13534.691551503063,0.6972221202891636,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-5-nano,JSON + datasheet,1,19.0,19.0,0,100.0,100.0,2.0,2.0,2.0,0.0019251000000000001,0.0019251000000000001,32.552,9869.617162744791,0.5836814942246252,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-5-nano,JSON + immagine + datasheet,1,19.0,19.0,0,100.0,100.0,0.0,4.0,2.0,0.001888,0.001888,31.66,10063.559322033898,0.6001263423878711,3.0,3.0,2.0,3.0,3.0,3.0,2.0
,gpt-5-mini,JSON + datasheet,1,20.0,20.0,0,100.0,100.0,0.0,2.0,2.0,0.0075495,0.0075495,48.706,2649.1820650374198,0.4106270274709481,3.0,3.0,3.0,3.0,3.0,3.0,2.0
,gpt-5-mini,JSON + immagine + datasheet,1,21.0,21.0,0,100.0,100.0,0.0,0.0,0.0,0.00678725,0.00678725,42.644,3094.0366127665843,0.49244911359159554,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,gpt-5.4-nano,JSON + datasheet,1,17.0,17.0,0,100.0,100.0,2.0,1.0,3.0,0.00453165,0.00453165,31.345,3751.392980481723,0.5423512521933322,3.0,3.0,2.0,2.0,2.0,3.0,2.0
,gpt-5.4-nano,JSON + immagine + datasheet,1,18.0,18.0,0,100.0,100.0,2.0,2.0,2.0,0.0050276,0.0050276,22.959,3580.237091256265,0.7840062720501764,3.0,3.0,2.0,2.0,3.0,3.0,2.0
,gpt-5.4-mini,JSON + datasheet,1,20.0,20.0,0,100.0,100.0,0.0,1.0,2.0,0.013191000000000001,0.013191000000000001,16.128,1516.185277840952,1.2400793650793651,3.0,3.0,3.0,3.0,3.0,3.0,2.0
,gpt-5.4-mini,JSON + immagine + datasheet,1,21.0,21.0,0,100.0,100.0,0.0,0.0,0.0,0.01315725,0.01315725,12.916,1596.0782078321838,1.6258903685351502,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,gpt-5.4,JSON + datasheet,1,18.0,18.0,0,100.0,100.0,2.0,0.0,2.0,0.059344999999999995,0.059344999999999995,43.792,303.3111466846407,0.41103397880891485,3.0,3.0,2.0,2.0,3.0,3.0,2.0
,gpt-5.4,JSON + immagine + datasheet,1,20.0,20.0,0,100.0,100.0,0.0,1.0,0.0,0.0656075,0.0656075,58.563,304.843196280913,0.3415125591243618,3.0,3.0,3.0,3.0,3.0,3.0,2.0
