circuit,input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
b03,JSON + datasheet,8,14.875,15.0,3.018,0.708,0.714,0.144,2.5,3.0,1.118,2.25,2.0,0.433,26.38,22.98,13.15,4782.375,4782.0,0.484,2403.25,2502.5,979.329,7185.625,7284.5,978.926,0.013088,0.004725,0.022435,32.33,31.07,4.3,9976.125,9925.5,618.537,0.084312,0.08216,0.003627,0.625,0.75,2.125,2.75,2.125,1.75,1.75,2.5,1.875
b03,JSON + immagine + datasheet,8,15.0,14.5,3.937,0.714,0.69,0.187,2.375,2.5,1.111,2.375,2.5,1.111,22.72,17.25,11.86,9381.125,6246.5,7942.269,2176.375,2291.0,867.552,11557.5,8627.5,7452.031,0.012794,0.004986,0.019685,29.06,29.95,3.29,9820.0,9686.5,807.694,0.081731,0.08337,0.005838,0.375,0.625,2.375,2.75,2.125,1.75,1.625,2.75,1.625
b06,JSON + datasheet,8,16.125,15.5,2.891,0.768,0.738,0.138,2.0,2.5,1.225,2.375,2.0,0.696,23.96,22.64,7.94,5000.375,5000.0,0.484,2223.125,2294.5,682.423,7223.5,7295.0,682.029,0.01053,0.004899,0.015727,30.57,29.74,3.66,10017.25,10001.0,665.414,0.082443,0.081035,0.006298,0.5,0.75,2.25,2.875,2.5,2.25,2.0,2.5,1.75
b06,JSON + immagine + datasheet,8,15.875,16.0,2.934,0.756,0.762,0.14,2.25,3.0,1.392,2.25,2.0,1.09,25.42,20.18,13.97,9599.125,6464.5,7942.269,2258.0,2397.5,783.804,11857.125,9058.5,7491.096,0.013257,0.005276,0.020546,32.53,32.63,3.31,10216.875,10135.0,729.943,0.086875,0.086388,0.006156,0.75,0.875,2.375,2.375,2.25,2.25,2.25,2.625,1.75
c01,JSON + datasheet,8,12.875,11.5,4.226,0.613,0.548,0.201,3.0,3.5,1.323,2.75,2.0,1.785,29.76,21.04,17.37,4693.375,4693.0,0.484,2365.625,2502.0,819.75,7059.0,7195.0,819.329,0.011682,0.004578,0.018628,29.79,29.37,1.86,9829.25,9840.0,644.737,0.083296,0.084075,0.004745,0.125,0.75,2.0,2.5,1.75,1.625,1.125,2.5,1.375
c01,JSON + immagine + datasheet,8,14.375,14.5,3.773,0.685,0.69,0.18,2.75,3.0,1.392,2.5,2.5,1.803,28.16,19.72,14.2,9292.125,6157.5,7942.269,2152.625,2249.0,805.595,11444.75,8784.0,7461.438,0.012718,0.005057,0.019272,28.09,27.27,2.59,9657.0,9598.5,637.458,0.081554,0.080198,0.004769,0.25,0.75,2.375,2.625,1.75,2.125,1.125,2.75,1.625
c02,JSON + datasheet,8,17.125,19.0,3.257,0.815,0.905,0.155,1.125,0.5,1.269,1.75,2.0,1.09,26.66,24.88,11.23,5173.375,5173.0,0.484,2245.625,2161.5,825.459,7419.0,7334.5,825.067,0.010515,0.005064,0.015654,27.57,29.65,4.84,9973.375,9981.5,411.171,0.080823,0.080827,0.005104,0.75,1.0,2.25,2.75,2.25,2.5,2.5,2.75,2.125
c02,JSON + immagine + datasheet,8,14.375,14.0,2.997,0.685,0.667,0.143,2.375,2.5,1.111,2.625,2.5,0.696,27.67,21.35,15.74,9772.125,6637.5,7942.269,2502.875,2818.5,929.845,12275.0,9609.0,7359.12,0.014824,0.005308,0.022623,30.53,30.87,3.04,10279.125,10381.0,480.904,0.086414,0.085935,0.003824,0.875,1.0,2.0,2.625,1.375,2.0,2.25,2.75,1.375
c05,JSON + datasheet,8,14.375,14.0,3.603,0.685,0.667,0.172,2.5,3.0,1.0,1.875,2.0,1.166,28.96,26.79,9.87,11094.375,11094.0,0.484,2610.125,2960.0,788.048,13704.5,14054.0,787.632,0.015768,0.007541,0.023104,30.35,30.26,3.22,16290.0,16479.5,569.426,0.115584,0.11799,0.004312,0.5,1.0,2.5,2.0,2.0,2.0,1.625,2.625,1.625
c05,JSON + immagine + datasheet,8,15.625,15.0,4.06,0.744,0.714,0.193,2.25,3.0,1.785,2.0,2.5,1.225,29.29,24.71,15.41,15693.125,12558.5,7942.269,2427.125,2082.5,937.606,18120.25,15626.0,7442.171,0.01715,0.007187,0.026091,27.58,29.05,6.36,16234.375,16100.0,781.188,0.113841,0.111785,0.008382,0.875,1.0,2.625,2.125,1.75,2.375,2.25,2.75,1.75
c08,JSON + datasheet,8,13.25,11.5,3.269,0.631,0.548,0.156,3.0,3.0,0.866,2.25,2.0,1.299,29.07,24.89,11.8,10576.375,10576.0,0.484,2630.25,3003.0,942.567,13206.625,13579.0,942.111,0.015964,0.006689,0.024258,32.45,32.86,3.29,15968.75,15892.5,662.969,0.117563,0.116035,0.005386,0.375,0.625,2.25,2.125,2.0,1.5,1.25,2.5,1.625
c08,JSON + immagine + datasheet,8,14.0,13.0,2.784,0.667,0.619,0.133,2.875,3.0,1.269,2.5,2.0,0.707,30.74,26.1,11.0,15175.125,12040.5,7942.269,2522.25,2882.0,956.114,17697.375,15003.5,7329.361,0.017158,0.007032,0.025136,109.12,33.2,200.21,16032.375,16249.0,711.445,0.118593,0.119318,0.004152,0.25,0.625,2.375,2.125,2.0,1.875,1.375,2.625,1.625
c13,JSON + datasheet,8,16.375,16.5,2.233,0.78,0.786,0.106,2.25,3.0,1.09,1.75,2.0,0.968,29.11,25.28,13.4,6109.375,6109.0,0.484,2557.375,2916.0,920.614,8666.75,9025.0,920.164,0.014099,0.005229,0.022824,34.66,32.3,6.91,11474.875,11547.5,691.07,0.094703,0.091987,0.008549,0.625,0.875,2.625,2.875,2.0,2.125,1.875,3.0,1.875
c13,JSON + immagine + datasheet,8,16.0,16.0,2.646,0.762,0.762,0.126,2.125,3.0,1.452,2.625,3.0,0.484,30.94,22.51,16.98,10708.125,7573.5,7942.269,2557.125,2674.0,1076.644,13265.25,10387.0,7393.145,0.015799,0.005575,0.025296,31.01,29.19,4.92,11442.125,11200.0,774.544,0.093289,0.091582,0.007151,0.5,1.0,2.375,2.625,2.0,2.375,1.75,3.0,1.875
c17,JSON + datasheet,8,14.5,14.0,1.732,0.69,0.667,0.082,2.375,2.5,0.696,1.75,1.5,0.829,28.59,24.79,10.95,3922.375,3922.0,0.484,2244.125,2220.0,838.843,6166.5,6142.0,838.436,0.011407,0.004341,0.019004,33.98,33.51,4.18,9079.875,8940.5,684.537,0.080968,0.079953,0.006651,0.125,1.0,2.25,2.125,2.25,2.0,1.125,2.875,1.875
c17,JSON + immagine + datasheet,8,17.25,17.0,2.222,0.821,0.81,0.106,1.375,2.0,1.111,1.875,2.0,0.927,30.16,25.08,13.98,8521.125,5386.5,7942.269,2334.25,2410.5,917.522,10855.375,8115.5,7483.346,0.013143,0.004824,0.020982,30.72,31.82,3.5,9012.625,8803.0,659.558,0.078494,0.07734,0.004995,1.0,1.0,2.75,2.625,2.375,2.5,2.0,2.875,2.125
