model,circuit,score_mean,n
gpt-4o-mini,b03,10.0,2
gpt-4.1-mini,b03,15.0,2
gpt-4.1-nano,b03,12.5,2
gpt-5-nano,b03,14.0,2
gpt-5-mini,b03,18.5,2
gpt-5.4-nano,b03,12.5,2
gpt-5.4-mini,b03,19.0,2
gpt-5.4,b03,18.0,2
gpt-4o-mini,b06,15.0,2
gpt-4.1-mini,b06,15.0,2
gpt-4.1-nano,b06,11.5,2
gpt-5-nano,b06,14.5,2
gpt-5-mini,b06,18.0,2
gpt-5.4-nano,b06,15.5,2
gpt-5.4-mini,b06,20.0,2
gpt-5.4,b06,18.5,2
gpt-4o-mini,c01,10.0,2
gpt-4.1-mini,c01,16.5,2
gpt-4.1-nano,c01,10.5,2
gpt-5-nano,c01,8.5,2
gpt-5-mini,c01,18.5,2
gpt-5.4-nano,c01,13.0,2
gpt-5.4-mini,c01,12.5,2
gpt-5.4,c01,19.5,2
gpt-4o-mini,c02,13.0,2
gpt-4.1-mini,c02,16.5,2
gpt-4.1-nano,c02,10.0,2
gpt-5-nano,c02,14.5,2
gpt-5-mini,c02,17.0,2
gpt-5.4-nano,c02,16.5,2
gpt-5.4-mini,c02,18.0,2
gpt-5.4,c02,20.5,2
gpt-4o-mini,c05,11.5,2
gpt-4.1-mini,c05,18.0,2
gpt-4.1-nano,c05,11.5,2
gpt-5-nano,c05,10.5,2
gpt-5-mini,c05,16.0,2
gpt-5.4-nano,c05,12.5,2
gpt-5.4-mini,c05,20.0,2
gpt-5.4,c05,20.0,2
gpt-4o-mini,c08,11.5,2
gpt-4.1-mini,c08,11.5,2
gpt-4.1-nano,c08,10.5,2
gpt-5-nano,c08,13.0,2
gpt-5-mini,c08,14.5,2
gpt-5.4-nano,c08,16.0,2
gpt-5.4-mini,c08,13.5,2
gpt-5.4,c08,18.5,2
gpt-4o-mini,c13,13.0,2
gpt-4.1-mini,c13,17.0,2
gpt-4.1-nano,c13,13.5,2
gpt-5-nano,c13,15.0,2
gpt-5-mini,c13,18.0,2
gpt-5.4-nano,c13,14.5,2
gpt-5.4-mini,c13,19.5,2
gpt-5.4,c13,19.0,2
gpt-4o-mini,c17,13.5,2
gpt-4.1-mini,c17,15.5,2
gpt-4.1-nano,c17,13.0,2
gpt-5-nano,c17,15.5,2
gpt-5-mini,c17,19.0,2
gpt-5.4-nano,c17,16.5,2
gpt-5.4-mini,c17,16.5,2
gpt-5.4,c17,17.5,2
