circuit,model,input_type,n,score_mean,score_median,score_std,top1_accuracy_pct,top3_accuracy_pct,major_errors_mean,hallucinations_mean,missed_points_mean,model_cost_mean_usd,model_cost_mean_usd_cached,model_latency_mean_seconds,quality_per_dollar,quality_per_second,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
,gpt-4o-mini,JSON + datasheet,8,12.0,12.5,1.4142135623730951,37.5,62.5,3.25,2.125,4.0,0.0015557437499999999,0.0015557437499999999,20.86,7713.3525363672525,0.5752636625119847,1.875,2.0,1.375,1.75,1.375,2.125,1.5
,gpt-4o-mini,JSON + immagine + datasheet,8,12.375,12.5,1.9324531042175384,50.0,75.0,3.25,2.375,3.625,0.00538614375,0.00538614375,22.49325,2297.5621473155074,0.5501650495148545,2.0,2.0,1.375,1.75,1.375,2.125,1.75
,gpt-4.1-mini,JSON + datasheet,8,15.625,17.0,2.7357585785299112,50.0,75.0,2.375,2.375,3.0,0.0056108500000000006,0.0056108500000000006,32.2085,2784.7830542609404,0.48512038747535585,2.375,2.625,2.25,2.125,1.75,2.625,1.875
,gpt-4.1-mini,JSON + immagine + datasheet,8,15.625,16.5,2.496873044429772,62.5,87.5,2.5,2.625,2.75,0.005924850000000001,0.005924850000000001,24.328375,2637.1975661831098,0.6422541579534186,2.375,2.5,1.875,2.25,2.0,3.0,1.625
,gpt-4.1-nano,JSON + datasheet,8,11.125,11.0,1.964529205687714,12.5,75.0,3.375,2.75,3.5,0.0012398625000000002,0.0012398625000000002,16.997125,8972.769157870327,0.6545224560035888,1.875,2.125,1.0,1.5,1.125,2.25,1.25
,gpt-4.1-nano,JSON + immagine + datasheet,8,12.125,12.0,1.5360257159305635,37.5,75.0,3.25,3.375,3.75,0.0014523625000000002,0.0014523625000000002,17.573625,8348.46672232311,0.6899544061057409,2.0,1.875,1.375,1.75,1.25,2.5,1.375
,gpt-5-nano,JSON + datasheet,8,13.375,14.5,2.6427968139832467,25.0,100.0,3.125,3.625,3.25,0.00162388125,0.00162388125,28.85175,8236.43970271841,0.46357673278050726,1.875,2.125,2.0,1.875,1.5,2.625,1.375
,gpt-5-nano,JSON + immagine + datasheet,8,13.0,13.5,2.449489742783178,37.5,87.5,3.25,3.375,3.25,0.00172958125,0.00172958125,25.174625,7516.27019545916,0.5163929949304111,2.0,2.25,1.5,2.0,1.5,2.625,1.125
,gpt-5-mini,JSON + datasheet,8,17.75,18.0,1.299038105676658,62.5,100.0,1.5,1.875,2.375,0.00747515625,0.00747515625,36.268125,2374.5323049267363,0.48941046718020303,2.75,3.0,2.75,2.25,2.0,3.0,2.0
,gpt-5-mini,JSON + immagine + datasheet,8,17.125,18.0,2.8912583765550943,75.0,100.0,1.625,1.875,2.25,0.00792190625,0.00792190625,39.875750000000004,2161.7271726738754,0.4294590070406199,2.875,2.75,2.5,2.375,1.875,2.875,1.875
,gpt-5.4-nano,JSON + datasheet,8,15.125,15.5,2.2043990110685496,25.0,87.5,2.625,2.125,3.0,0.00515575625,0.00515575625,21.750125,2933.614249122037,0.6953983023086074,2.375,2.625,2.125,1.875,1.375,2.875,1.875
,gpt-5.4-nano,JSON + immagine + datasheet,8,14.125,13.5,1.6153559979150107,62.5,87.5,3.0,2.625,3.0,0.0047624875,0.0047624875,18.792,2965.8870495723086,0.751649638143891,2.25,2.625,1.5,1.75,1.625,3.0,1.375
,gpt-5.4-mini,JSON + datasheet,8,16.125,18.0,4.013648589500581,62.5,75.0,1.5,1.25,2.375,0.01533046875,0.01533046875,17.742,1051.8269377770982,0.9088603314169766,2.5,2.625,2.375,2.125,1.875,2.75,1.875
,gpt-5.4-mini,JSON + immagine + datasheet,8,18.625,19.0,1.9324531042175384,87.5,87.5,0.75,1.375,1.5,0.01689421875,0.01689421875,18.844125000000002,1102.4481377690224,0.9883717073623741,2.75,2.875,2.625,2.625,2.5,3.0,2.25
,gpt-5.4,JSON + datasheet,8,18.375,19.0,1.79843682124227,87.5,100.0,1.0,0.625,1.5,0.0650609375,0.0650609375,47.820625,282.4275318811691,0.38424842837164924,2.625,2.875,3.0,2.25,2.25,3.0,2.375
,gpt-5.4,JSON + immagine + datasheet,8,19.5,20.0,1.118033988749895,75.0,87.5,0.75,1.125,1.25,0.0727709375,0.0727709375,58.021625,267.96411685640305,0.33608159026914536,3.0,3.0,2.875,2.75,2.5,3.0,2.375
