circuit_id,batch,image_file,json_file,score,decision,usable_as_graph_base,components_score,terminals_pins_score,graph_connections_score,visible_semantics_score,critical_errors_count,major_errors_count,minor_errors_count,missing_from_json_count,extra_in_json_count,wrong_graph_connections_count,judge_latency_seconds,input_json_valid,parsed_ok,prompt_file,prompt_sha256,classes_yaml_file,classes_yaml_sha256,short_explanation
a01,A,a01.png,a01.json,98,VERY_HIGH,True,10,24,55,9,0,0,1,0,0,0,14.252,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e coerente con l'immagine: pin1 del connettore va al resistore superiore e poi all'anodo del LED, pin2 va al resistore centrale e poi alla lampada, pin3 va allo switch aperto verso GND sinistro, pin4 va al GND inferiore. LED e lampada condividono correttamente il nodo di ritorno a destra connesso al GND destro. Nessun collegamento inventato, mancante o fuso in modo errato e stato dello switch compatibile con l'immagine."
a02,A,a02.png,a02.json,96,VERY_HIGH,True,10,22,55,9,0,0,2,0,0,0,17.493,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,Il campo graph rappresenta correttamente i collegamenti visibili: batteria negativa sul nodo superiore comune con resistore 10k e lato sinistro dello switch; batteria positiva verso J3 pin1; resistore verso J3 pin2; condensatore 100nF tra J3 pin3 e GND; J3 pin4 a GND; lato destro dello switch a GND. Nessun errore topologico certo rilevato.
a03,A,a03.jpg,a03.json,78,HIGH,True,7,19,44,8,0,3,2,2,2,2,50.725,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph cattura bene gran parte della topologia del lato a bassa tensione: LDR/RV1, Q1, R1, Q2, bobina e diodo sono quasi tutti connessi ai nodi giusti. Gli errori principali sono due: il rail inferiore della batteria B1 è attribuito a una batteria fantasma separata, e nel ramo AC manca il collegamento visibile tra il terminale superiore di V1 e il contatto superiore di RL1. Per il resto la struttura resta utile e correggibile."
a04,A,a04.jpg,a04.json,98,VERY_HIGH,True,10,24,55,9,0,0,1,0,0,0,13.309,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph JSON riproduce correttamente i nodi visibili del circuito: nodo base comune a C1, B, R3 e R4; nodo collettore comune a C2, C, R1; nodo emettitore comune a C3, E, R2; nodo di uscita comune a C2 e R5; rail positivo comune a V1+ con R1 e R3; rail inferiore comune a V1-, GND, sorgente V2-, R4, R2, R5 e C3. Non emergono collegamenti inventati, mancanti o fusi in modo scorretto."
a05,A,a05.png,a05.json,96,VERY_HIGH,True,10,22,55,9,0,0,1,0,0,0,14.522,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: J15 pin1-resistenza-meter, J15 pin2-condensatore-GND, J15 pin3-switch-GND e J15 pin4-GND sono tutti rappresentati correttamente, senza net fuse/split o collegamenti inventati. Rimane solo una lieve incertezza visiva sulla localizzazione precisa del terminale del voltmetro lato ingresso."
a06,A,a06.jpg,a06.json,97,VERY_HIGH,True,10,23,55,9,0,0,2,0,0,0,12.398,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: sorgente->Rs->Cc1->base, partitore base con 100 kΩ a VCC e 47 kΩ a GND, collettore con 6.8 kΩ a VCC e Cc2 verso uscita, emettitore con 3.9 kΩ a VEE e CE a GND, uscita con RL a GND. Non emergono errori topologici certi nei collegamenti terminale-terminale."
a07,A,a07.png,a07.json,95,VERY_HIGH,True,10,22,54,9,0,0,2,0,0,0,21.73,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph e sostanzialmente fedele all'immagine: J7 pin1 va al trasformatore, J7 pin2 alla resistenza, J7 pin3 allo switch verso GND, J7 pin4 a un GND separato, il meter e connesso tra secondario del trasformatore e il nodo comune con resistenza/LED/GND centrale, e il LED va da quel nodo al GND destro separato. Nessuna contraddizione topologica certa rilevata."
a08,A,a08.jpg,a08.json,94,VERY_HIGH,True,9,22,54,9,0,0,2,0,0,0,29.881,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph del JSON riproduce in modo fedele la topologia visibile: nodo superiore comune tra sorgente, LED anodo, R1 e R7; nodo trigger tra R1, C1 e lato sinistro di R3; nodo emettitore/divisore tra R7, R6 ed emettitore del BJT; collettore collegato al catodo LED; base collegata tramite R3. Nessun net fuse o net split certo rilevato."
a09,A,a09.png,a09.json,60,MEDIUM,True,9,18,28,5,2,3,1,4,4,3,47.977,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il graph cattura diversi collegamenti locali corretti (batteria-fusibile-J1 pin1, J1 pin5 a GND, J1 pin4-R3-LED, SW2-lampada), ma contiene un grave net fuse tra massa del condensatore e nodo J1 pin4/R3, piu un net split sul nodo comune J1 pin2/J1 pin3/C1/SW2. Inoltre manca la massa della lampada. Struttura ancora correggibile, ma non abbastanza fedele per HIGH."
a10,A,a10.png,a10.json,97,VERY_HIGH,True,10,23,55,9,0,0,1,0,0,0,15.879,True,True,prompt.txt,d43b698894dbc528bd8e1f7d52a835fdd99cc52aa5cb338f2193dbbb46c00acd,class_terminals_v1.yaml,7e5491a8cdf08705fd2679be440ebf737accb951e5f54af17c549e998909dca7,"Il campo graph è sostanzialmente fedele all'immagine: batteria negativa a GND sinistro, batteria positiva al lato sinistro dell'interruttore aperto, uscita interruttore a J1 pin1, J1 pin2 verso resistore poi LED a GND, J1 pin3 verso lampada poi GND, e J1 pin4 verso GND. Non emergono missing/extra connections o net fuse/split; topologia principale corretta."
