class_id,class_name,train_count,valid_count,test_count,total_count
0,Analog_Meter,4,4,5,13
1,Antenna,6,2,0,8
2,Battery,132,44,21,197
3,Breaker,13,4,0,17
4,Capacitor,433,141,77,651
5,Connector,15,2,9,26
6,Current_Source,147,33,15,195
7,Diode,223,38,41,302
8,Fuse,41,12,6,59
9,GND,947,259,145,1351
10,Inductor,191,48,35,274
11,Integrated_Circuit,74,16,2,92
12,LED,86,27,10,123
13,Lamp,37,14,4,55
14,Memristor,10,4,0,14
15,Meter,59,20,3,82
16,Mosfet,359,83,33,475
17,Motor,19,7,3,29
18,NPN_Transistor,359,97,41,497
19,Operational_Amplifier,150,47,22,219
20,Polarized_Capacitor,286,50,28,364
21,Push_Button,22,2,1,25
22,Resistor,1527,398,228,2153
23,Signal_Source,66,23,8,97
24,Speaker,19,2,0,21
25,Switch,141,48,15,204
26,Terminal,616,139,71,826
27,Thermistor,17,6,3,26
28,Transformer,26,5,3,34
29,Trim_Capacitor,20,11,6,37
30,Variable_Resistor,55,15,5,75
31,Voltage_Source,122,33,13,168
