class_id,class_name,total_count
0,Analog_Meter,13
1,Antenna,8
2,Battery,197
3,Breaker,17
4,Capacitor,651
5,Connector,26
6,Current_Source,195
7,Diode,302
8,Fuse,59
9,GND,1351
10,Inductor,274
11,Integrated_Circuit,92
12,LED,123
13,Lamp,55
14,Memristor,14
15,Meter,82
16,Mosfet,475
17,Motor,29
18,NPN_Transistor,497
19,Operational_Amplifier,219
20,Polarized_Capacitor,364
21,Push_Button,25
22,Resistor,2153
23,Signal_Source,97
24,Speaker,21
25,Switch,204
26,Terminal,826
27,Thermistor,26
28,Transformer,34
29,Trim_Capacitor,37
30,Variable_Resistor,75
31,Voltage_Source,168
