mode,criterion,criterion_label_it,mean_score,maximum_score,normalized_percentage,score_0_count,score_1_count,score_2_count
chat,diagnostic_correctness,Correttezza diagnostica,1.666667,2,0.833333,0,7,14
chat,test_quality,Qualità dei test,1.619048,2,0.809524,0,8,13
chat,evidence_interpretation,Interpretazione delle evidenze,1.571429,2,0.785714,0,9,12
chat,goal_achievement,Raggiungimento dell'obiettivo,1.523810,2,0.761905,0,10,11
chat,conclusion_quality,Qualità della conclusione,1.428571,2,0.714286,0,12,9
agent,diagnostic_correctness,Correttezza diagnostica,1.428571,2,0.714286,0,12,9
agent,test_quality,Qualità dei test,1.523810,2,0.761905,0,10,11
agent,evidence_interpretation,Interpretazione delle evidenze,1.238095,2,0.619048,1,14,6
agent,goal_achievement,Raggiungimento dell'obiettivo,1.285714,2,0.642857,1,13,7
agent,conclusion_quality,Qualità della conclusione,0.904762,2,0.452381,7,9,5
overall,diagnostic_correctness,Correttezza diagnostica,1.547619,2,0.773810,0,19,23
overall,test_quality,Qualità dei test,1.571429,2,0.785714,0,18,24
overall,evidence_interpretation,Interpretazione delle evidenze,1.404762,2,0.702381,1,23,18
overall,goal_achievement,Raggiungimento dell'obiettivo,1.404762,2,0.702381,1,23,18
overall,conclusion_quality,Qualità della conclusione,1.166667,2,0.583333,7,21,14
