mode,outcome,outcome_label_it,count,rate
chat,success,Successo,11,0.523810
chat,partial_success,Successo parziale,10,0.476190
chat,failure,Fallimento,0,0.000000
chat,inconclusive,Inconcludente,0,0.000000
chat,technical_failure,Fallimento tecnico,0,0.000000
agent,success,Successo,5,0.238095
agent,partial_success,Successo parziale,15,0.714286
agent,failure,Fallimento,1,0.047619
agent,inconclusive,Inconcludente,0,0.000000
agent,technical_failure,Fallimento tecnico,0,0.000000
overall,success,Successo,16,0.380952
overall,partial_success,Successo parziale,25,0.595238
overall,failure,Fallimento,1,0.023810
overall,inconclusive,Inconcludente,0,0.000000
overall,technical_failure,Fallimento tecnico,0,0.000000
