 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  0.00000000e+00  1.52019570e+00  8.76891599e-01  3.08437585e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  5.00000000e+00  6.28318489e-06  1.52020193e+00  8.76891620e-01  3.08395993e+00 -4.15909830e-04 
 2.00000000e-06  2.00000000e-06  5.00000000e+00  1.25663673e-05  1.52020815e+00  8.76891660e-01  3.08354622e+00 -8.29595481e-04 
 4.00000000e-06  4.00000000e-06  5.00000000e+00  2.51327148e-05  1.52022053e+00  8.76891782e-01  3.08272427e+00 -1.65147136e-03 
 8.00000000e-06  8.00000000e-06  5.00000000e+00  5.02652708e-05  1.52024504e+00  8.76892262e-01  3.08111291e+00 -3.26253121e-03 
 1.60000000e-05  1.60000000e-05  5.00000000e+00  1.00529272e-04  1.52029305e+00  8.76894141e-01  3.07801672e+00 -6.35755952e-03 
 3.20000000e-05  3.20000000e-05  5.00000000e+00  2.01048383e-04  1.52038521e+00  8.76901331e-01  3.07230245e+00 -1.20673594e-02 
 6.40000000e-05  6.40000000e-05  5.00000000e+00  4.02015494e-04  1.52055559e+00  8.76927724e-01  3.06256000e+00 -2.17933908e-02 
 1.28000000e-04  1.28000000e-04  5.00000000e+00  8.03381001e-04  1.52085034e+00  8.77017158e-01  3.04859179e+00 -3.57058461e-02 
 2.28000000e-04  2.28000000e-04  5.00000000e+00  1.42767131e-03  1.52121982e+00  8.77217659e-01  3.03705144e+00 -4.71207014e-02 
 3.28000000e-04  3.28000000e-04  5.00000000e+00  2.04632726e-03  1.52151155e+00  8.77453547e-01  3.03317683e+00 -5.08468723e-02 
 4.28000000e-04  4.28000000e-04  5.00000000e+00  2.65690728e-03  1.52175099e+00  8.77695967e-01  3.03337486e+00 -5.04952957e-02 
 5.28000000e-04  5.28000000e-04  5.00000000e+00  3.25700171e-03  1.52195195e+00  8.77929940e-01  3.03564284e+00 -4.80779649e-02 
 6.28000000e-04  6.28000000e-04  5.00000000e+00  3.84424223e-03  1.52212199e+00  8.78148026e-01  3.03894073e+00 -4.46395905e-02 
 7.28000000e-04  7.28000000e-04  5.00000000e+00  4.41631129e-03  1.52226536e+00  8.78346696e-01  3.04272936e+00 -4.07216240e-02 
 8.28000000e-04  8.28000000e-04  5.00000000e+00  4.97095119e-03  1.52238460e+00  8.78524440e-01  3.04672950e+00 -3.66043254e-02 
 9.28000000e-04  9.28000000e-04  5.00000000e+00  5.50597301e-03  1.52248134e+00  8.78680795e-01  3.05079672e+00 -3.24325073e-02 
 1.02800000e-03  1.02800000e-03  5.00000000e+00  6.01926528e-03  1.52255674e+00  8.78815832e-01  3.05485624e+00 -2.82809894e-02 
 1.12800000e-03  1.12800000e-03  5.00000000e+00  6.50880225e-03  1.52261174e+00  8.78929900e-01  3.05886922e+00 -2.41885183e-02 
 1.22800000e-03  1.22800000e-03  5.00000000e+00  6.97265196e-03  1.52264712e+00  8.79023487e-01  3.06281502e+00 -2.01754949e-02 
 1.32800000e-03  1.32800000e-03  5.00000000e+00  7.40898379e-03  1.52266363e+00  8.79097155e-01  3.06668225e+00 -1.62530738e-02 
 1.42800000e-03  1.42800000e-03  5.00000000e+00  7.81607575e-03  1.52266197e+00  8.79151503e-01  3.07046389e+00 -1.24279707e-02 
