time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,5.0,0.0,1.5201957,0.876891599,3.08437585,0.0
1e-06,5.0,6.28318489e-06,1.52020193,0.876891601,3.08395872,-0.000417123877
2e-06,5.0,1.25663673e-05,1.52020815,0.876891605,3.08354258,-0.000833231355
4e-06,5.0,2.51327148e-05,1.52022053,0.876891618,3.08271339,-0.00166234535
8e-06,5.0,5.02652708e-05,1.52024504,0.876891666,3.08107344,-0.00330199304
1.6e-05,5.0,0.000100529272,1.52029301,0.876891858,3.07786607,-0.00650818325
3.2e-05,5.0,0.000201048383,1.52038497,0.876892606,3.07173193,-0.012637676
6.4e-05,5.0,0.000402015494,1.52055396,0.876895459,3.06048265,-0.0238692588
0.000128,5.0,0.000803381001,1.52083988,0.87690585,3.04169255,-0.0425949077
0.000228,5.0,0.00142767131,1.52117535,0.876931855,3.02035956,-0.0637667403
0.000328,5.0,0.00204632726,1.52140854,0.876966391,3.00658205,-0.0773304691
0.000428,5.0,0.00265690728,1.52156989,0.877006327,2.99804568,-0.0856199429
0.000528,5.0,0.00325700171,1.52168019,0.877049454,2.99330361,-0.0900957757
0.000628,5.0,0.00384424223,1.52175371,0.877094184,2.99125984,-0.0918638493
0.000728,5.0,0.00441631129,1.52180009,0.877139384,2.99115952,-0.0916860672
0.000828,5.0,0.00497095119,1.52182587,0.877184231,2.99248466,-0.0900855102
0.000928,5.0,0.00550597301,1.52183548,0.877228118,2.99487824,-0.0874229852
0.001028,5.0,0.00601926528,1.52183191,0.877270586,2.99809339,-0.0839481822
0.001128,5.0,0.00650880225,1.52181724,0.877311277,3.00195658,-0.0798368309
0.001228,5.0,0.00697265196,1.52179288,0.877349907,3.00634449,-0.0752139956
0.001328,5.0,0.00740898379,1.52175987,0.877386246,3.01116634,-0.0701718656
0.001428,5.0,0.00781607575,1.52171895,0.8774201,3.01635398,-0.0647797467
0.001528,5.0,0.00819232123,1.52167069,0.877451309,3.02185327,-0.0590927749
0.001628,5.0,0.00853623536,1.52161556,0.877479733,3.02762022,-0.0531557512
0.001728,5.0,0.00884646086,1.52155394,0.877505254,3.03361652,-0.0470076873
0.001828,5.0,0.00912177343,1.52148622,0.877527774,3.03980851,-0.0406828314
0.001928,5.0,0.00936108653,1.52141273,0.877547206,3.04616455,-0.0342133174
0.002028,5.0,0.00956345569,1.52133381,0.877563483,3.05265525,-0.0276289193
0.002128,5.0,0.00972808227,1.52124981,0.877576549,3.05925171,-0.020958841
0.002228,5.0,0.00985431655,1.52116108,0.877586364,3.06592633,-0.0142308992
0.002328,5.0,0.00994166034,1.52106796,0.877592902,3.07264061,-0.0074837172
0.002428,5.0,0.00998976894,1.52097085,0.877596149,3.07939138,-0.000720514252
0.002528,5.0,0.00999845249,1.52087015,0.8775961,3.08613839,0.0060184692
0.002628,5.0,0.00996767671,1.52076629,0.877592766,3.09286667,0.0127183517
0.002728,5.0,0.00989756307,1.52065964,0.877586173,3.09951531,0.0193184585
0.002828,5.0,0.00978838826,1.52055064,0.877576362,3.1060966,0.0258313321
0.002928,5.0,0.00964058316,1.52043975,0.877563377,3.11258172,0.0322284836
0.003028,5.0,0.00945473108,1.52032742,0.877547279,3.11892368,0.0384633416
0.003128,5.0,0.0092315655,1.52021408,0.877528145,3.12511157,0.0445254863
0.003228,5.0,0.00897196715,1.5201002,0.877506059,3.13112224,0.0503923414
0.003328,5.0,0.00867696054,1.51998625,0.877481116,3.13693289,0.0560417272
0.003428,5.0,0.00834770994,1.51987269,0.877453424,3.14252205,0.0614528642
0.003528,5.0,0.00798551473,1.51975999,0.877423097,3.14786868,0.0666054668
0.003628,5.0,0.00759180435,1.51964861,0.877390263,3.15295319,0.0714807525
0.003728,5.0,0.00716813258,1.51953902,0.877355057,3.15775652,0.076060537
0.003828,5.0,0.00671617147,1.51943167,0.877317623,3.16226117,0.0803282386
0.003928,5.0,0.0062377047,1.51932701,0.877278113,3.16645029,0.0842679708
0.004028,5.0,0.00573462056,1.51922547,0.877236688,3.17030867,0.0878655393
0.004128,5.0,0.00520890449,1.51912748,0.877193514,3.17382183,0.0911075303
0.004228,5.0,0.00466263125,1.51903343,0.877148766,3.17697704,0.0939822997
0.004328,5.0,0.00409795674,1.51894373,0.877102622,3.17976237,0.0964790572
0.004428,5.0,0.00351710946,1.51885876,0.877055268,3.18216772,0.0985888463
0.004528,5.0,0.00292238177,1.51877885,0.877006891,3.18418385,0.100303625
0.004628,5.0,0.00231612076,1.51870435,0.876957685,3.1858034,0.101617236
0.004728,5.0,0.00170071909,1.51863557,0.876907846,3.18701996,0.102524484
0.004828,5.0,0.00107860545,1.51857279,0.876857573,3.18782901,0.103022099
0.004928,5.0,0.000452235051,1.51851626,0.876807065,3.18822703,0.103107805
0.005028,5.0,-0.000175920113,1.51846624,0.876756523,3.18821246,0.102781278
