 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  0.00000000e+00  1.52019570e+00  8.76891599e-01  3.08437585e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  5.00000000e+00  6.28318489e-06  1.52020193e+00  8.76891601e-01  3.08395872e+00 -4.17123877e-04 
 2.00000000e-06  2.00000000e-06  5.00000000e+00  1.25663673e-05  1.52020815e+00  8.76891605e-01  3.08354258e+00 -8.33231355e-04 
 4.00000000e-06  4.00000000e-06  5.00000000e+00  2.51327148e-05  1.52022053e+00  8.76891618e-01  3.08271339e+00 -1.66234535e-03 
 8.00000000e-06  8.00000000e-06  5.00000000e+00  5.02652708e-05  1.52024504e+00  8.76891666e-01  3.08107344e+00 -3.30199304e-03 
 1.60000000e-05  1.60000000e-05  5.00000000e+00  1.00529272e-04  1.52029301e+00  8.76891858e-01  3.07786607e+00 -6.50818325e-03 
 3.20000000e-05  3.20000000e-05  5.00000000e+00  2.01048383e-04  1.52038497e+00  8.76892606e-01  3.07173193e+00 -1.26376760e-02 
 6.40000000e-05  6.40000000e-05  5.00000000e+00  4.02015494e-04  1.52055396e+00  8.76895459e-01  3.06048265e+00 -2.38692588e-02 
 1.28000000e-04  1.28000000e-04  5.00000000e+00  8.03381001e-04  1.52083988e+00  8.76905850e-01  3.04169255e+00 -4.25949077e-02 
 2.28000000e-04  2.28000000e-04  5.00000000e+00  1.42767131e-03  1.52117535e+00  8.76931855e-01  3.02035956e+00 -6.37667403e-02 
 3.28000000e-04  3.28000000e-04  5.00000000e+00  2.04632726e-03  1.52140854e+00  8.76966391e-01  3.00658205e+00 -7.73304691e-02 
 4.28000000e-04  4.28000000e-04  5.00000000e+00  2.65690728e-03  1.52156989e+00  8.77006327e-01  2.99804568e+00 -8.56199429e-02 
 5.28000000e-04  5.28000000e-04  5.00000000e+00  3.25700171e-03  1.52168019e+00  8.77049454e-01  2.99330361e+00 -9.00957757e-02 
 6.28000000e-04  6.28000000e-04  5.00000000e+00  3.84424223e-03  1.52175371e+00  8.77094184e-01  2.99125984e+00 -9.18638493e-02 
