time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,5.04596981,4.39382493,4.46871998,0.0,0.0,12.0,0.0
1e-06,7.33438062e-05,5.0460426,4.39382494,4.46782837,-0.000891601418,0.000628318489,12.0,0.0
2e-06,0.000158740785,5.0461269,4.39382496,4.46678784,-0.00193211311,0.00125663673,12.0,0.0
4e-06,0.000334142423,5.04629902,4.39382501,4.46476699,-0.00395291179,0.00251327148,12.0,0.0
8e-06,0.000689130834,5.04664098,4.39382519,4.46115889,-0.00756077381,0.00502652708,12.0,0.0
1.6e-05,0.00140311013,5.04730301,4.39382592,4.45537136,-0.0133474727,0.0100529272,12.0,0.0
3.2e-05,0.00287207316,5.04856491,4.39382867,4.44716774,-0.0215482978,0.0201048383,12.0,0.0
6.4e-05,0.00601653453,5.05088669,4.39383897,4.43712192,-0.0315856219,0.0402015494,12.0,0.0
0.000128,0.0132962304,5.05492712,4.3938771,4.42662861,-0.0420553579,0.0803381001,12.0,0.0
0.000228,0.0275590704,5.06007747,4.39397932,4.41879894,-0.049839082,0.142767131,12.0,0.0
0.000328,0.0454318971,5.06422985,4.39412897,4.41470041,-0.0538857555,0.204632726,12.0,0.0
0.000428,0.0667677739,5.06765954,4.39432116,4.41229659,-0.0562345148,0.265690728,12.0,0.0
0.000528,0.0913152763,5.07054165,4.3945513,4.41076517,-0.0577089607,0.325700171,12.0,0.0
0.000628,0.11876381,5.07298792,4.394815,4.40977722,-0.0586387326,0.384424223,12.0,0.0
0.000728,0.148777781,5.0750762,4.39510801,4.40915279,-0.0592042493,0.441631129,12.0,0.0
0.000828,0.181035927,5.07688872,4.39542623,4.40874534,-0.0595523203,0.497095119,12.0,0.0
0.000928,0.215123187,5.07839931,4.3957657,4.4085915,-0.05964656,0.550597301,12.0,0.0
0.001028,0.250736173,5.07967907,4.39612263,4.40857605,-0.0596023879,0.601926528,12.0,0.0
0.001128,0.287533698,5.08074976,4.39649337,4.4086751,-0.0594438066,0.650880225,12.0,0.0
0.001228,0.325180437,5.08162493,4.39687439,4.40887003,-0.0591895619,0.697265196,12.0,0.0
0.001328,0.363355841,5.08231897,4.39726234,4.40914419,-0.0588563803,0.740898379,12.0,0.0
0.001428,0.401745565,5.08283847,4.39765398,4.40948853,-0.0584533867,0.781607575,12.0,0.0
0.001528,0.440051283,5.08319204,4.39804623,4.40989366,-0.0579900314,0.819232123,12.0,0.0
0.001628,0.477982225,5.08338188,4.39843615,4.41035598,-0.0574699814,0.853623536,12.0,0.0
0.001728,0.515264234,5.08341273,4.39882095,4.41087093,-0.0568978471,0.884646086,12.0,0.0
0.001828,0.551631486,5.08328359,4.39919796,4.41143916,-0.0562730374,0.912177343,12.0,0.0
0.001928,0.586835159,5.0829963,4.39956467,4.41206038,-0.0555958827,0.936108653,12.0,0.0
0.002028,0.620635218,5.08254717,4.39991871,4.41273977,-0.0548612601,0.956345569,12.0,0.0
0.002128,0.652808938,5.0819354,4.40025786,4.41348219,-0.0540643833,0.972808227,12.0,0.0
0.002228,0.683142596,5.08115464,4.40058003,4.41429912,-0.0531938162,0.985431655,12.0,0.0
0.002328,0.711440002,5.0802013,4.40088328,4.41520329,-0.0522369372,0.994166034,12.0,0.0
0.002428,0.737513919,5.07906576,4.40116582,4.41621693,-0.0511715866,0.998976894,12.0,0.0
0.002528,0.761162008,5.07770654,4.40142602,4.41743188,-0.0499060977,0.999845249,12.0,0.0
0.002628,0.782282375,5.07616848,4.40166236,4.41879087,-0.0484979092,0.996767671,12.0,0.0
0.002728,0.800704333,5.07441358,4.4018735,4.42040123,-0.0468398821,0.989756307,12.0,0.0
0.002828,0.816288655,5.07241779,4.40205821,4.42237002,-0.0448252581,0.978838826,12.0,0.0
0.002928,0.828916924,5.07016148,4.40221541,4.42485376,-0.0422979523,0.964058316,12.0,0.0
0.003028,0.838469908,5.06760724,4.40234413,4.42814267,-0.038968418,0.945473108,12.0,0.0
0.003128,0.84484633,5.06471799,4.40244347,4.43276536,-0.034309087,0.92315655,12.0,0.0
0.003228,0.847933962,5.06142697,4.40251252,4.44000214,-0.0270416325,0.897196715,12.0,0.0
0.003328,0.847621267,5.0576474,4.40254993,4.45365867,-0.0133648949,0.867696054,12.0,0.0
0.003428,0.843575386,5.053038,4.40254904,4.51560925,0.0485680779,0.834770994,12.0,0.0
0.003528,0.81520312,5.02593853,4.40218233,7.2699202,2.80145402,0.798551473,12.0,0.0
0.00360848653,0.785757526,4.99791376,4.40150199,8.35708648,3.88592908,0.767103405,12.0,0.0
0.00368505396,0.755711662,4.96936099,4.40071442,8.74746812,4.27318711,0.735364886,12.0,0.0
0.00378505396,0.71248977,4.92821281,4.3996173,8.91239004,4.43375556,0.691362474,12.0,0.0
0.00388505396,0.667108839,4.8850121,4.39849591,8.94798395,4.46490013,0.644631571,12.0,0.0
0.00398505396,0.618398285,4.8385775,4.39736951,8.9584821,4.47093037,0.595356601,12.0,0.0
0.00408505396,0.568133162,4.79068451,4.39624214,8.96150792,4.46948598,0.54373203,12.0,0.0
0.00418505396,0.514984942,4.74000752,4.39511485,8.96384045,4.4673501,0.489961597,12.0,0.0
0.00428505396,0.46070204,4.68829801,4.393988,8.96394324,4.46298772,0.43425751,12.0,0.0
0.00438505396,0.403977472,4.63425256,4.39286146,8.9672306,4.46181267,0.376839607,12.0,0.0
0.00448505396,0.3465514,4.57961423,4.39173521,8.96752104,4.45764339,0.31793449,12.0,0.0
0.00458505396,0.28713575,4.52309748,4.39060926,8.97083298,4.45649825,0.257774631,12.0,0.0
0.00468505396,0.227476477,4.46645021,4.38948359,8.97112831,4.45233917,0.196597454,12.0,0.0
0.00478505396,0.166299529,4.40839997,4.38835821,8.97443649,4.45119558,0.134644396,12.0,0.0
0.00488505396,0.105352831,4.35069568,4.38723312,8.97473213,4.4470421,0.0721599576,12.0,0.0
0.00498505396,0.0433723253,4.29207389,4.38610832,8.97803596,4.44589946,0.00939073721,12.0,0.0
0.00508505396,-0.0178957066,4.23428093,4.38498381,8.97833181,4.44175148,-0.0534155441,12.0,0.0
0.00518505396,-0.0797093188,4.1760584,4.38385959,8.98163131,4.44060981,-0.116011019,12.0,0.0
0.00528505396,-0.140327543,4.11914631,4.38273566,8.98192734,4.43646729,-0.178148651,12.0,0.0
0.00538505396,-0.201006413,4.06228734,4.38161201,8.98522253,4.43532659,-0.239583212,12.0,0.0
0.00548505396,-0.260013954,4.00721155,4.38048866,8.98551871,4.43118952,-0.300072247,12.0,0.0
0.00558505396,-0.318608102,3.95265876,4.37936559,8.98880962,4.4300498,-0.359377034,12.0,0.0
0.00568505396,-0.375069507,3.90034551,4.37824281,8.98910594,4.42591814,-0.417263524,12.0,0.0
0.00578505396,-0.430661805,3.84900498,4.37712032,8.99239257,4.42477942,-0.473503266,12.0,0.0
0.00588505396,-0.483681789,3.8003367,4.37599811,8.992689,4.42065314,-0.527874307,12.0,0.0
0.00598505396,-0.535402425,3.75306367,4.3748762,8.99597137,4.41951542,-0.580162069,12.0,0.0
0.00608505396,-0.584139995,3.70886509,4.37375457,8.99626791,4.4153945,-0.630160196,12.0,0.0
0.00618505396,-0.631180192,3.66645047,4.37263323,8.99954603,4.4142578,-0.677671369,12.0,0.0
0.00628505396,-0.674861906,3.62747562,4.37151218,8.99984265,4.41014222,-0.722508082,12.0,0.0
0.00638505396,-0.716486678,3.59063349,4.37039142,9.00311653,4.40900653,-0.764493387,12.0,0.0
0.00648505396,-0.754418843,3.5575538,4.36927094,9.00341321,4.40489625,-0.803461585,12.0,0.0
0.00658505396,-0.789978585,3.52691021,4.36815076,9.00668287,4.40376158,-0.839258887,12.0,0.0
0.00668505396,-0.821558198,3.5003039,4.36703086,9.00697959,4.39965659,-0.871744018,12.0,0.0
0.00678505396,-0.850498933,3.47638695,4.36591124,9.01024503,4.39852295,-0.900788774,12.0,0.0
0.00688505396,-0.875223186,3.45672996,4.36479192,9.01054178,4.39442322,-0.926278527,12.0,0.0
0.00698505396,-0.897095302,3.43996148,4.36367288,9.013803,4.39329059,-0.948112683,12.0,0.0
0.00708505396,-0.914569516,3.42761991,4.36255413,9.01409977,4.38919611,-0.966205071,12.0,0.0
0.00718505396,-0.929034855,3.41830882,4.36143567,9.01735679,4.3880645,-0.980484289,12.0,0.0
0.00728505396,-0.938978702,3.41353321,4.3603175,9.01765356,4.38397525,-0.990893984,12.0,0.0
0.00738505396,-0.945815893,3.41187064,4.35919961,9.02090636,4.38284464,-0.997393072,12.0,0.0
0.00748505396,-0.948067817,3.41479198,4.35808201,9.02120313,4.37876061,-0.999955906,12.0,0.0
0.00758505396,-0.94717577,3.42084826,4.3569647,9.02445172,4.377631,-0.998572371,12.0,0.0
0.00768505396,-0.941695535,3.43147595,4.35584767,9.02474848,4.37355217,-0.993247927,12.0,0.0
0.00778505396,-0.933095032,3.4451995,4.35473094,9.02799285,4.37242356,-0.984003586,12.0,0.0
0.00788505396,-0.919964356,3.46342117,4.35361448,9.02828959,4.36834991,-0.970875834,12.0,0.0
0.00798505396,-0.903797725,3.48463932,4.35249832,9.03152975,4.36722228,-0.953916478,12.0,0.0
0.00808505396,-0.883218993,3.51022266,4.35138244,9.03182646,4.36315381,-0.933192449,12.0,0.0
0.00818505396,-0.859747864,3.53864434,4.35026685,9.0350624,4.36202715,-0.908785537,12.0,0.0
0.00828505396,-0.832040933,3.57124072,4.34915155,9.03535908,4.35796384,-0.880792062,12.0,0.0
0.00838505396,-0.80164211,3.60646111,4.34803653,9.03859079,4.35683814,-0.849322504,12.0,0.0
0.00848505396,-0.767239268,3.64561107,4.3469218,9.03888745,4.35278,-0.814501058,12.0,0.0
0.00858505396,-0.730398788,3.68711795,4.34580735,9.04211491,4.35165524,-0.776465149,12.0,0.0
0.00868505396,-0.689837936,3.73225847,4.34469319,9.04241155,4.34760225,-0.735364886,12.0,0.0
0.00878505396,-0.647143403,3.7794403,4.34357932,9.04563476,4.34647842,-0.691362474,12.0,0.0
0.00888505396,-0.601059573,3.82991369,4.34246573,9.04593137,4.34243058,-0.644631571,12.0,0.0
0.00898505396,-0.55319089,3.88206926,4.34135243,9.04915033,4.34130767,-0.595356601,12.0,0.0
0.00908505396,-0.50230623,3.93713349,4.34023942,9.04944692,4.33726497,-0.54373203,12.0,0.0
0.00918505396,-0.450024877,3.99348297,4.33912669,9.05266161,4.33614295,-0.489961597,12.0,0.0
0.00928505396,-0.395137265,4.05232343,4.33801425,9.05295819,4.33210541,-0.43425751,12.0,0.0
0.00938505396,-0.339274291,4.11202068,4.33690209,9.05616858,4.33098426,-0.376839607,12.0,0.0
0.00948505396,-0.281244751,4.17376298,4.33579022,9.05646516,4.32695187,-0.31793449,12.0,0.0
0.00958505396,-0.222687665,4.2359089,4.33467863,9.05967126,4.32583158,-0.257774631,12.0,0.0
0.00968505396,-0.162426796,4.29963265,4.33356733,9.05996784,4.32180434,-0.196597454,12.0,0.0
0.00978505396,-0.102105574,4.36328934,4.33245632,9.06316963,4.32068488,-0.134644396,12.0,0.0
0.00988505396,-0.0405591895,4.42804271,4.33134559,9.06346623,4.31666281,-0.0721599576,12.0,0.0
0.00998505396,0.0205683919,4.49224828,4.33023515,9.06666368,4.31554416,-0.00939073721,12.0,0.0
0.010085054,0.0824341637,4.55706294,4.32912499,9.0669602,4.31152715,0.0534155441,12.0,0.0
0.010185054,0.143397597,4.62084664,4.32801511,9.07015202,4.31040799,0.116011019,12.0,0.0
0.010285054,0.204611327,4.68475283,4.32690553,9.0704327,4.30638028,0.178148651,12.0,0.0
0.010385054,0.26444123,4.74714877,4.32579625,9.0734287,4.30507055,0.239583212,12.0,0.0
0.010485054,0.324011519,4.80915892,4.32468827,9.06588687,4.29322958,0.300072247,12.0,0.0
0.010585054,0.381566069,4.86901989,4.32359108,8.99275082,4.21583899,0.359377034,12.0,0.0
0.010685054,0.43722146,4.92678263,4.32259319,8.27412163,3.4933552,0.417263524,12.0,0.0
0.010785054,0.482838184,4.97386399,4.32216406,4.43573043,-0.346609366,0.473503266,12.0,0.0
0.010885054,0.491054359,4.98070591,4.32224582,4.36461246,-0.417345365,0.527874307,12.0,0.0
0.010985054,0.501657225,4.98554254,4.32238148,4.35339473,-0.428140344,0.580162069,12.0,0.0
0.011085054,0.515216815,4.98942972,4.32255811,4.34786517,-0.433239215,0.630160196,12.0,0.0
0.011185054,0.531277469,4.99242351,4.32276955,4.3449945,-0.435675433,0.677671369,12.0,0.0
0.011285054,0.549806228,4.99499748,4.32301034,4.34284415,-0.437389246,0.722508082,12.0,0.0
0.011385054,0.570054992,4.99688923,4.32327537,4.34195762,-0.437838165,0.764493387,12.0,0.0
0.011485054,0.591957301,4.99849441,4.32355985,4.34126652,-0.438091306,0.803461585,12.0,0.0
0.011585054,0.614930372,4.99967584,4.32385924,4.3410062,-0.437913615,0.839258887,12.0,0.0
0.011685054,0.638760098,5.00063994,4.32416928,4.34087793,-0.437604129,0.871744018,12.0,0.0
0.011785054,0.662919474,5.00125666,4.32448595,4.34102696,-0.43701779,0.900788774,12.0,0.0
0.011885054,0.687206674,5.0016968,4.32480548,4.34125454,-0.436353524,0.926278527,12.0,0.0
0.011985054,0.711141423,5.00182939,4.32512434,4.34170238,-0.435469773,0.948112683,12.0,0.0
0.012085054,0.734549199,5.00180581,4.32543926,4.34221263,-0.434524525,0.966205071,12.0,0.0
0.012185054,0.75699345,5.00149273,4.32574716,4.34293267,-0.433370536,0.980484289,12.0,0.0
0.012285054,0.778333917,5.00103065,4.32604521,4.34372614,-0.432144313,0.990893984,12.0,0.0
0.012385054,0.798173497,5.00028125,4.3263308,4.34475866,-0.430680375,0.997393072,12.0,0.0
0.012485054,0.816409922,4.9993794,4.32660151,4.34590953,-0.42909962,0.999955906,12.0,0.0
0.012585054,0.832680347,4.99817792,4.32685514,4.34738518,-0.427195819,0.998572371,12.0,0.0
0.012685054,0.84692263,4.99680934,4.32708969,4.34908942,-0.425065449,0.993247927,12.0,0.0
0.012785054,0.858801596,4.99511194,4.32730334,4.35132169,-0.422409442,0.984003586,12.0,0.0
0.012885054,0.868296147,4.99321741,4.32749445,4.35406233,-0.419247973,0.970875834,12.0,0.0
0.012985054,0.875001344,4.99084786,4.32766148,4.35851444,-0.41437905,0.953916478,12.0,0.0
0.013085054,0.879096775,4.98829275,4.32780297,4.36424102,-0.408241163,0.933192449,12.0,0.0
0.013185054,0.880166361,4.9852266,4.32791736,4.37423461,-0.397844522,0.908785537,12.0,0.0
0.013285054,0.87824952,4.98175167,4.32800197,4.396693,-0.374999711,0.880792062,12.0,0.0
0.013385054,0.864290781,4.96841422,4.32787272,5.93043907,1.15835468,0.849322504,12.0,0.0
0.013485054,0.833874033,4.93971453,4.32729079,7.97769095,3.20342567,0.814501058,12.0,0.0
0.0135847405,0.797591218,4.90544414,4.32635911,8.77005437,3.99220255,0.776589248,12.0,0.0
0.0136847405,0.758171196,4.86820786,4.3252978,9.00094946,4.21899205,0.735498344,12.0,0.0
0.0137847405,0.714696447,4.82702633,4.32420049,9.06465364,4.27844751,0.691504764,12.0,0.0
0.0138847405,0.669327939,4.7840447,4.3230943,9.07773938,4.28725039,0.64478213,12.0,0.0
0.0139847405,0.620556662,4.7377528,4.32198605,9.08687236,4.29209371,0.595514836,12.0,0.0
0.0140847405,0.570337985,4.69010825,4.32087762,9.08491705,4.28584942,0.543897317,12.0,0.0
0.0141847405,0.517133781,4.63957611,4.31976976,9.08801251,4.28465963,0.490133284,12.0,0.0
0.0142847405,0.462912733,4.58812897,4.31866225,9.08794679,4.28031142,0.434434918,12.0,0.0
0.0143847405,0.406129656,4.53422517,4.31755502,9.09139286,4.2794776,0.377022037,12.0,0.0
0.0144847405,0.348763495,4.4798465,4.31644809,9.09139844,4.27520584,0.318121222,12.0,0.0
0.0145847405,0.289288,4.42346927,4.31534143,9.0948508,4.27438341,0.257964927,12.0,0.0
0.0146847405,0.229686991,4.36707924,4.31423506,9.09485878,4.27011913,0.196790563,12.0,0.0
0.0147847405,0.168448888,4.30916643,4.31312898,9.0983068,4.26929744,0.134839556,12.0,0.0
0.0148847405,0.107558792,4.25171692,4.31202318,9.09831542,4.26503889,0.0723563996,12.0,0.0
0.0149847405,0.0455157906,4.19323044,4.31091766,9.10175888,4.26421772,0.00958768522,12.0,0.0
0.0150847405,-0.015697313,4.13568982,4.30981243,9.10176807,4.25996483,-0.0532188674,12.0,0.0
0.0151847405,-0.0775747713,4.07760047,4.30870748,9.105207,4.2591442,-0.115815389,12.0,0.0
0.0152847405,-0.138139732,4.02093829,4.30760281,9.10521675,4.25489693,-0.177954841,12.0,0.0
0.0153847405,-0.198883785,3.96421041,4.30649843,9.10865117,4.25407686,-0.239391986,12.0,0.0
0.0154847405,-0.257839696,3.90938214,4.30539433,9.10866145,4.24983519,-0.299884361,12.0,0.0
0.0155847405,-0.316500327,3.85495839,4.30429051,9.11209137,4.24901569,-0.359193228,12.0,0.0
0.0156847405,-0.372911678,3.80289032,4.30318698,9.11210218,4.24477959,-0.417084525,12.0,0.0
0.0157847405,-0.428571699,3.75167685,4.30208373,9.11552762,4.24396066,-0.473329779,12.0,0.0
0.0158847405,-0.481543129,3.70325152,4.30098076,9.11553891,4.23973011,-0.527707016,12.0,0.0
0.0159847405,-0.533332645,3.65610364,4.29987808,9.1189599,4.23891178,-0.580001636,12.0,0.0
0.0160847405,-0.582023062,3.61214589,4.29877568,9.11897166,4.23468674,-0.630007253,12.0,0.0
0.0161847405,-0.629133192,3.56985463,4.29767357,9.1223882,4.233869,-0.67752652,12.0,0.0
0.0162847405,-0.672769037,3.5311186,4.29657173,9.12240041,4.22964945,-0.7223719,12.0,0.0
0.0163847405,-0.714464672,3.49439819,4.29547018,9.12581252,4.22883232,-0.764366407,12.0,0.0
0.0164847405,-0.752352116,3.46155544,4.29436892,9.12582516,4.22461824,-0.80334431,12.0,0.0
0.0165847405,-0.787983511,3.43103207,4.29326793,9.12923285,4.22380172,-0.839151779,12.0,0.0
0.0166847405,-0.819519397,3.404661,4.29216723,9.1292459,4.21959307,-0.8716475,12.0,0.0
0.0167847405,-0.84853242,3.38086293,4.29106681,9.13264918,4.21877716,-0.900703226,12.0,0.0
0.0168847405,-0.873213778,3.36143964,4.28996668,9.13266263,4.21457394,-0.926204288,12.0,0.0
0.0169847405,-0.895158645,3.34478886,4.28886683,9.1360615,4.21375864,-0.948050045,12.0,0.0
0.0170847405,-0.912590621,3.33267964,4.28776726,9.13607533,4.20956081,-0.966154282,12.0,0.0
0.0171847405,-0.927128997,3.32348528,4.28666797,9.13946979,4.20874612,-0.980445549,12.0,0.0
0.0172847405,-0.937031077,3.31894084,4.28556896,9.13948399,4.20455367,-0.990867445,12.0,0.0
0.0173847405,-0.943941406,3.3173942,4.28447024,9.14287405,4.20373958,-0.99737884,12.0,0.0
0.0174847405,-0.946151846,3.32054574,4.2833718,9.14288861,4.1995525,-0.999954037,12.0,0.0
0.0175847405,-0.945332847,3.32671735,4.28227364,9.14627427,4.19873901,-0.998582872,12.0,0.0
0.0176847405,-0.93981122,3.33757446,4.28117576,9.14628919,4.19455728,-0.993270756,12.0,0.0
0.0177847405,-0.931283484,3.35141293,4.28007817,9.14967044,4.19374438,-0.984038655,12.0,0.0
0.0178847405,-0.918111317,3.36986344,4.27898086,9.1496857,4.18956798,-0.970923003,12.0,0.0
0.0179847405,-0.902016983,3.39119629,4.27788383,9.15306254,4.18875566,-0.953975561,12.0,0.0
0.0180847405,-0.881396474,3.41700806,4.27678708,9.15307814,4.18458459,-0.933263213,12.0,0.0
0.0181847405,-0.857996987,3.44554442,4.27569061,9.15645057,4.18377284,-0.908867702,12.0,0.0
0.0182847405,-0.830247813,3.47836901,4.27459443,9.1564665,4.17960708,-0.880885305,12.0,0.0
0.0183847405,-0.799919801,3.51370423,4.27349852,9.15983451,4.17879589,-0.849426456,12.0,0.0
0.0184847405,-0.76547408,3.55308234,4.2724029,9.15985078,4.17463545,-0.81461531,12.0,0.0
0.0185847405,-0.728703411,3.59470436,4.27130756,9.16321435,4.17382479,-0.776589248,12.0,0.0
