 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 5.00000000e-06  5.00000000e-06  9.32809973e-06  2.50000000e-02 -1.37424178e-02  1.09869432e+00  7.97597674e-03  7.34641828e-14 
 5.14493906e-06  5.14493906e-06  9.59702164e-06  2.57246953e-02 -1.00960701e-02  1.08682821e+00  8.38711999e-03  6.57657121e-14 
 5.43481719e-06  5.43481719e-06  1.01264146e-05  2.71740860e-02  5.27215723e-04  1.03732829e+00  9.31573244e-03  4.46640333e-14 
 5.56910667e-06  5.56910667e-06  1.03664081e-05  2.78455334e-02  3.14763704e-03  1.01920198e+00  9.72610006e-03  4.06814883e-14 
 5.61675365e-06  5.61675365e-06  1.04509348e-05  2.80837683e-02  4.00842955e-03  1.01330847e+00  9.86948543e-03  3.94409833e-14 
 5.69936329e-06  5.69936329e-06  1.05967564e-05  2.84968164e-02  5.10829063e-03  1.00276448e+00  1.01194239e-02  3.80894792e-14 
 5.82678114e-06  5.82678114e-06  1.08196906e-05  2.91339057e-02  6.92635276e-03  9.85011559e-01  1.05110704e-02  3.58060396e-14 
 5.95950223e-06  5.95950223e-06  1.10492288e-05  2.97975111e-02  8.18593455e-03  9.66515487e-01  1.09190328e-02  3.46725265e-14 
 6.05806232e-06  6.05806232e-06  1.12179894e-05  3.02903116e-02  9.23563646e-03  9.53735643e-01  1.12180554e-02  3.36244035e-14 
 6.17908058e-06  6.17908058e-06  1.14231476e-05  3.08954029e-02  9.83479703e-03  9.35940935e-01  1.15938740e-02  3.36355100e-14 
 6.29183812e-06  6.29183812e-06  1.16121627e-05  3.14591906e-02  1.10404191e-02  9.19990816e-01  1.19414458e-02  3.24403759e-14 
 6.39494396e-06  6.39494396e-06  1.17831662e-05  3.19747198e-02  1.09713988e-02  9.04433140e-01  1.22632720e-02  3.35282822e-14 
 6.52205005e-06  6.52205005e-06  1.19915976e-05  3.26102502e-02  1.25486373e-02  8.86733415e-01  1.26539192e-02  3.17812195e-14 
 6.63769686e-06  6.63769686e-06  1.21788630e-05  3.31884843e-02  1.16922661e-02  8.68254791e-01  1.30191255e-02  3.44545444e-14 
 6.76040010e-06  6.76040010e-06  1.23751520e-05  3.38020005e-02  1.42328000e-02  8.52000248e-01  1.33928149e-02  3.08792236e-14 
 6.87709177e-06  6.87709177e-06  1.25593789e-05  3.43854589e-02  1.16320027e-02  8.31617679e-01  1.37684731e-02  3.68553043e-14 
 6.99563634e-06  6.99563634e-06  1.27443101e-05  3.49781817e-02  1.66416777e-02  8.18526431e-01  1.41187404e-02  2.86547341e-14 
 7.11129524e-06  7.11129524e-06  1.29222226e-05  3.55564762e-02  9.79121730e-03  7.94060231e-01  1.45086315e-02  4.28435426e-14 
 7.23053356e-06  7.23053356e-06  1.31036163e-05  3.61526678e-02  2.14056550e-02  7.87447979e-01  1.48339550e-02  2.24324250e-14 
 7.34741572e-06  7.34741572e-06  1.32782132e-05  3.67370786e-02  4.50685388e-04  7.48656498e-01  1.52858908e-02  6.69569523e-14 
 7.46633629e-06  7.46633629e-06  1.34543761e-05  3.73316815e-02  3.25340745e-02  7.62519571e-01  1.55261097e-02  6.83565304e-15 
 7.58297938e-06  7.58297938e-06  1.35702642e-05  3.79148969e-02 -6.33321608e-01  7.72115668e-02  5.40612920e-01  1.86485677e-03 
