time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0,5.5092115e-28,0.0,6.23797914e-20,1.1018423e-27,-2.34205604e-29,-6.23797914e-32
5e-06,1.25550149e-06,0.025,0.000112703717,0.000112540726,0.012496884,4.10618556e-14
5.42125447e-06,1.37015291e-06,0.0271062724,0.000113304213,0.000113135184,0.0135500068,4.53875477e-14
6.26376341e-06,1.6172005e-06,0.0313188171,0.000113620378,0.000113439114,0.0156562775,5.46218096e-14
7.94878129e-06,2.21776112e-06,0.0397439065,0.000114123282,0.000113910967,0.0198688258,7.5912471e-14
1.13188171e-05,3.84473337e-06,0.0565940853,0.000115721138,0.000115414048,0.0282939187,1.35259546e-13
1.80588886e-05,8.80201058e-06,0.0902944429,0.000120697904,0.000120004083,0.0451441079,4.06833558e-13
3.15390316e-05,2.55292455e-05,0.157695158,0.000144687355,0.000134983483,0.0788445156,4.56742167e-12
5.84993177e-05,8.62308402e-05,0.292496589,0.00292724332,0.000200577074,0.146245297,7.28262993e-10
8.62555314e-05,0.00018669021,0.431277657,0.0636094489,0.00044042668,0.215635898,1.49100751e-08
0.000113022902,0.000320048717,0.56511451,0.192070577,0.000606781874,0.282554359,1.8354439e-08
0.000153456561,0.00058934268,0.767282804,0.398869699,0.000843356304,0.383638585,1.53457114e-08
0.000194408797,0.000945279375,0.972043983,0.603025565,0.00120074753,0.486019233,1.57090725e-08
0.000276313268,0.00190816559,1.38156634,1.01624489,0.00213793755,0.690780537,1.36168522e-08
0.000440122211,0.00483696856,2.20061106,1.83700072,0.00505170337,1.10030306,1.27451894e-08
0.000720061106,0.0129321671,3.60030553,3.24154873,0.0131168561,1.80015052,1.05646097e-08
0.001,0.0249174951,5.0,4.64090751,0.0250942019,2.49999788,1.07026113e-08
0.00105,0.027403801,5.0,4.68596706,0.0274193675,2.50000004,1.87480901e-09
0.00115,0.0323739199,5.0,4.73747306,0.0323738391,2.50000004,2.56144099e-10
0.00135,0.0422992458,5.0,4.75735532,0.0422983815,2.50000004,1.18868374e-10
0.00175,0.0620904615,5.0,4.78188443,0.0620888882,2.50000004,4.61649842e-11
0.00225,0.0867184318,5.0,4.80544279,0.0867170251,2.50000004,1.8668093e-11
0.00275,0.111223569,5.0,4.82835759,0.111221964,2.50000004,7.78288064e-12
0.00325,0.135606487,5.0,4.85074957,0.135605057,2.50000004,3.34585019e-12
0.00375,0.159867793,5.0,4.87280159,0.159866179,2.50000004,1.48420951e-12
0.00425,0.184008096,5.0,4.89462006,0.184006666,2.50000004,6.83438989e-13
0.00475,0.208027998,5.0,4.91625988,0.208026388,2.50000004,3.2846396e-13
0.00525,0.2319281,5.0,4.93774868,0.231926676,2.50000004,1.6323365e-13
0.00575,0.255709,5.0,4.95909821,0.255707397,2.50000004,7.95175134e-14
0.00625,0.279371292,5.0,4.98031518,0.279369874,2.50000004,3.10903237e-14
0.00675,0.302915567,5.0,5.00140214,0.302913971,2.50000004,-1.92980279e-15
0.00725,0.326342414,5.0,5.02236161,0.326341004,2.50000004,-2.81492151e-14
0.00775,0.34965242,5.0,5.0431939,0.349650831,2.50000004,-5.13113877e-14
0.00825,0.372846166,5.0,5.06390061,0.372844763,2.50000004,-7.30552229e-14
0.00875,0.395924233,5.0,5.08448159,0.395922651,2.50000004,-9.40958224e-14
0.00925,0.418887196,5.0,5.10493831,0.418885801,2.50000004,-1.14737021e-13
