time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
0.0,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
1e-05,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
2e-05,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
4e-05,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
8e-05,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00016,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00032,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00064,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.00928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.01928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.02928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.03928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.04928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.05928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.06928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.07928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.08928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.09928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10228,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10328,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10428,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10528,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10628,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10728,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10828,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.10928,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.11028,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
0.11128,5.0,4.27401895,4.27401895,0.76996644,0.093619396,0.76996644,0.093619396,0.0154829613,0.0154829613
