time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
1e-05,5.0,4.27379538,4.27345838,0.0040357237,0.0571037387,1.2537809,0.00355255133,0.0156173766,0.0158221853
1.01876264e-05,5.0,4.2737066,4.27349184,0.00751583133,0.0425166016,1.2391312,0.00702360146,0.0156710741,0.0158017342
1.05628793e-05,5.0,4.14339764,6483.20099,6480.60303,-648.180609,-649.581174,6483.20099,2.41601484,-6.47821099e-09
1.06762968e-05,5.0,4.27526448,4.27611246,-2.96209787,0.291401643,-1.89377366,0.420743475,0.0147550475,0.0142791444
1.07040487e-05,5.0,4.27526482,4.27612572,-2.95987529,0.291454619,-1.89354941,0.422731776,0.0147548526,0.0142718295
1.07516448e-05,5.0,4.27525718,4.27610898,-2.96198502,0.290880642,-1.89383016,0.420220775,0.0147592095,0.0142810674
1.08019057e-05,5.0,4.27526034,4.27539938,-2.95909933,0.290760081,-1.89364176,0.422683515,0.0147574084,0.0146782925
1.09024275e-05,5.0,4.27525166,4.27610012,-2.96204886,0.289414583,-1.89437163,0.418890435,0.0147623595,0.0142859618
1.10313372e-05,5.0,4.27524457,4.27612979,-2.9565198,0.288313833,-1.89468699,0.423342828,0.0147664101,0.0142695813
1.11437344e-05,5.0,4.27522865,4.27608215,-2.96273613,0.285843716,-1.89647644,0.416192134,0.0147754998,0.0142958889
1.12538574e-05,5.0,4.2752227,4.27615039,-2.95158681,0.284920025,-1.89673623,0.426430708,0.0147788988,0.014258221
1.1370155e-05,5.0,4.27519555,4.27606306,-2.96373723,0.280701633,-1.90025746,0.413323024,0.0147944219,0.0143064446
1.14876866e-05,5.0,4.27518814,4.27621645,-2.93978369,0.279550634,-1.90070652,0.436315857,0.0147986574,0.014221854
1.16017707e-05,5.0,4.27512993,4.27604222,-2.96498396,0.270489782,-1.90909031,0.410188744,0.0148320006,0.0143179762
1.17085966e-05,5.0,4.27510586,4.27644915,-2.90337526,0.266736526,-1.91221041,0.470940436,0.0148458123,0.0140944767
1.1811654e-05,5.0,4.27241724,4.31487765,0.0797138858,-0.175042165,-2.35373306,3.45355783,0.0164720723,0.0031900752
1.1851865e-05,5.0,4.27426184,4.84178603,1.46794073,0.132935394,-2.04575278,4.84178603,0.0153382461,4.68293275e-12
1.1881073e-05,5.0,4.26520622,4.29023522,-1.31645851,-1.61227241,-3.79095818,2.05738937,0.0217684464,0.00827120465
1.19090577e-05,5.0,4.27299351,4.83740488,1.46355455,0.13568903,-2.04299476,4.83740488,0.0161091296,5.52431779e-12
1.19397162e-05,5.0,4.26208201,4.28238026,-2.05550143,-2.36999245,-4.54867358,1.31835249,0.0245632394,0.0112062534
1.19703778e-05,5.0,4.27295099,4.83314377,1.45928627,0.13847289,-2.04020598,4.83314376,0.0161356327,6.49061434e-12
1.20056401e-05,5.0,4.25980643,4.278056,-2.65384873,-2.98139881,-5.16007451,0.720013712,0.0268222209,0.0132455066
1.20475512e-05,5.0,4.2730813,4.8293088,1.45544048,0.142925513,-2.03574694,4.82930879,0.0160545451,7.50674295e-12
1.20997023e-05,5.0,4.25726088,4.27331721,-3.38989311,-3.73372514,-5.91239278,-0.0160159729,0.0295962454,0.0159087816
1.21704901e-05,5.0,4.27435825,4.82626926,1.45238017,0.151087681,-2.02757411,4.82626926,0.0152811837,8.42583028e-12
1.22729659e-05,5.0,4.25465405,4.26849183,-4.22245756,-4.58369847,-6.76235062,-0.848547801,0.0327346467,0.0191716408
1.24355295e-05,5.0,4.27444224,4.82443104,1.45048851,0.161899544,-2.01673817,4.82443104,0.0152316397,9.03622517e-12
1.25854433e-05,5.0,4.25363969,4.26651601,-4.57260594,-4.93821567,-7.11683916,-1.19863113,0.034043917,0.0206935492
1.26769361e-05,5.0,4.29989076,4.27430973,-3.23328643,2.76241739,0.583779915,0.140643066,0.0056943458,0.0153098765
1.27298805e-05,5.0,4.26518008,4.25338384,-8.40377291,-1.61823931,-3.79689224,-5.02984927,0.0217904629,0.0343823548
1.27815205e-05,5.0,4.29947303,4.27415445,-3.25832128,2.76223774,0.583569682,0.115597258,0.00578705842,0.0154020637
1.28345246e-05,5.0,4.26934385,4.25606359,-7.48743111,-0.727026455,-2.90570813,-4.11351816,0.0185503922,0.0309984692
1.29405327e-05,5.0,4.29988227,4.27410041,-3.26705612,2.76207706,0.583368068,0.106846466,0.00569621541,0.0154342745
1.3152549e-05,5.0,4.27165089,4.25743058,-7.05518041,-0.305845869,-2.48460592,-3.6812989,0.0169674254,0.0294027067
1.35514632e-05,5.0,4.29543897,4.35068807,0.770050354,2.46978305,0.291037906,4.14390221,0.00676384033,0.000798937531
1.40611838e-05,5.0,4.26658298,4.25436832,-8.05596844,-1.30621601,-3.48496158,-4.68215914,0.0206400338,0.0330982708
1.45507523e-05,5.0,4.29472555,4.35166811,0.780600526,2.41808321,0.239361847,4.15437118,0.00695300013,0.000769231622
1.527461e-05,5.0,4.26565691,4.25383939,-8.24103531,-1.51029715,-3.68898795,-4.86732499,0.0213924236,0.0337820921
1.65702891e-05,5.0,4.29458774,4.35195862,0.783953215,2.40793314,0.2293094,4.15755857,0.00699014603,0.00076063992
1.89840015e-05,5.0,4.26554061,4.25378512,-8.25993774,-1.53644365,-3.71494427,-4.88653114,0.0214888331,0.0338530378
2.38114263e-05,5.0,4.29455363,4.35198457,0.784831249,2.40541285,0.227168153,4.15784361,0.00699936963,0.000759877076
3.34662759e-05,5.0,4.26551277,4.25377909,-8.26089156,-1.54271965,-3.72045418,-4.88867086,0.0215119725,0.0338609368
5.2775975e-05,5.0,4.2945267,4.35177019,0.785049155,2.40342088,0.226714971,4.15568977,0.00700665996,0.000766201602
9.13953733e-05,5.0,4.26550168,4.25378225,-8.25502983,-1.54522226,-3.71987403,-4.88755142,0.0215212001,0.0338568015
0.00016863417,5.0,4.29444246,4.35086281,0.785131768,2.39717555,0.226639818,4.1462892,0.0070295178,0.000793558136
0.000323111763,5.0,4.26547626,4.253799,-8.23014782,-1.55096003,-3.71329777,-4.88161689,0.021542357,0.0338348841
0.000632066949,5.0,4.29411491,4.34749933,0.785265917,2.37270052,0.22676202,4.10855018,0.0071191048,0.000903762838
0.001,5.0,4.26540566,4.25384835,-8.15749681,-1.56692893,-3.69356764,-4.8641517,0.0216012398,0.0337703824
0.00106179104,5.0,4.30012069,4.27391838,-3.20862881,2.96825635,0.83513242,0.0798111827,0.00564394868,0.0155432851
0.00112406806,5.0,4.30365914,4.27393412,-3.20369625,2.97467629,0.835023217,0.0798012397,0.00492231613,0.0155338255
0.00116792695,5.0,4.30374365,4.27393497,-3.20007843,2.97905479,0.834815938,0.0799400889,0.00490625849,0.0155333144
0.0012098248,5.0,4.30023435,4.27393464,-3.19681061,2.98310537,0.834505347,0.0798858779,0.00561920148,0.015533514
0.00129362049,5.0,4.30372926,4.2739355,-3.19003038,2.99154926,0.834268196,0.0800261397,0.00490898875,0.0155329976
0.00146121188,5.0,4.30429946,4.27393553,-3.17676155,3.00809188,0.833586895,0.0800312652,0.00480195296,0.0155329788
0.00179639466,5.0,4.30493954,4.27393757,-3.14996728,3.0404975,0.832175112,0.0803630679,0.00468457702,0.0155317574
0.0024667602,5.0,4.30620004,4.27393967,-3.0969578,3.10300441,0.829503957,0.0807063136,0.0044617537,0.015530494
0.0034667602,5.0,4.3080732,4.27394444,-3.01825286,3.19064318,0.825707521,0.0814847058,0.00415005272,0.0155276289
0.0044667602,5.0,4.3099799,4.27394798,-2.94050546,3.27206738,0.822208838,0.0820620989,0.00385512471,0.0155255034
0.0054667602,5.0,4.31188486,4.27395293,-2.86327878,3.34766279,0.818917938,0.0828681605,0.0035813967,0.0155225364
0.0064667602,5.0,4.31378711,4.27395636,-2.78704002,3.41792663,0.815892475,0.083428401,0.00332745435,0.0155204741
0.0074667602,5.0,4.31568441,4.27396134,-2.71128583,3.48317411,0.813040243,0.0842390462,0.00309210878,0.0155174902
0.0084667602,5.0,4.31757848,4.27396461,-2.63653714,3.54384599,0.810424383,0.0847719728,0.00287376791,0.0155155284
0.0094667602,5.0,4.31946687,4.27396956,-2.56223424,3.60019917,0.807951705,0.0855798479,0.00267143064,0.0155125548
0.0104667602,5.0,4.32135167,4.27397262,-2.48895542,3.65262624,0.805690316,0.0860772929,0.00248368456,0.0155107235
0.0114667602,5.0,4.32322998,4.27397752,-2.41608211,3.70133378,0.80354594,0.0868759577,0.00230971265,0.0155077838
0.0124667602,5.0,4.32510431,4.27398031,-2.34425217,3.74667327,0.80159121,0.0873309752,0.00214825782,0.0155061087
0.0134667602,5.0,4.32697122,4.27398513,-2.2727862,3.78880782,0.799730706,0.0881149503,0.00199866163,0.0155032231
0.0144667602,5.0,4.32883373,4.27398763,-2.20238325,3.82805381,0.798041178,0.0885219233,0.00185980007,0.0155017249
0.0154667602,5.0,4.33068779,4.27399232,-2.13230178,3.86453681,0.796426038,0.0892867389,0.00173115111,0.0154989098
0.0164667602,5.0,4.33253697,4.2739945,-2.06330297,3.89854325,0.794965781,0.0896414339,0.00161170488,0.015497604
0.0174667602,5.0,4.33437657,4.27399906,-1.9945826,3.93016628,0.793562643,0.0903836382,0.00150105664,0.0154948722
0.0184667602,5.0,4.33621081,4.2740009,-1.92696415,3.95966674,0.792300521,0.0906832029,0.00139829447,0.0154937693
0.0194667602,5.0,4.33803418,4.27400531,-1.85958095,3.98710977,0.791080493,0.0914003307,0.00130311438,0.0154911298
0.0204667602,5.0,4.33985169,4.2740068,-1.79331823,4.01273441,0.78998954,0.0916432387,0.00121468868,0.0154902355
0.0214667602,5.0,4.34165695,4.27401105,-1.72724781,4.03658157,0.788927609,0.0923337456,0.0011327998,0.0154876939
0.0224667602,5.0,4.34345581,4.27401219,-1.66231543,4.05887167,0.787984475,0.0925196921,0.00105669258,0.0154870093
0.0234667602,5.0,4.34524091,4.27401627,-1.59753308,4.0796247,0.787058997,0.0931828614,0.000986223474,0.0154845684
0.0244667602,5.0,4.34701909,4.27401707,-1.53390508,4.0990452,0.786243478,0.0933126219,0.000920699969,0.0154840905
0.0254667602,5.0,4.34878187,4.27402098,-1.47038583,4.11713504,0.785435731,0.0939484525,0.000860041742,0.0154817503
0.0264667602,5.0,4.35053722,4.27402144,-1.40803581,4.13408524,0.784730346,0.0940237163,0.000803610549,0.0154814731
