 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  1.34859944e+01  6.06074835e-06  1.83044974e-02  0.00000000e+00  1.34859958e+01  3.08296672e-07  1.31737148e+00  6.67601583e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01671771e+00 -4.35241903e-09 -1.40134851e-08 -1.40134851e-08  8.13209625e-04 
 1.00000000e-06  1.00000000e-06  1.34859988e+01  6.60092345e-03  1.83072612e-02  6.66432322e-03  1.34859959e+01  6.66366863e-03  1.31737308e+00  6.67603736e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01671921e+00  1.63382300e-07  2.92807388e-08  2.97591983e-08  8.13191984e-04 
 2.00000000e-06  2.00000000e-06  1.34859988e+01  1.32636751e-02  1.83073318e-02  1.33286458e-02  1.34859959e+01  1.33279908e-02  1.31737312e+00  6.67603791e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01671925e+00  1.67712310e-07  2.97654622e-08  2.97762010e-08  8.13191533e-04 
 4.00000000e-06  4.00000000e-06  1.34859988e+01  2.65906408e-02  1.83074153e-02  2.66572863e-02  1.34859959e+01  2.66566310e-02  1.31737316e+00  6.67603856e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01671930e+00  1.74808125e-07  2.98059588e-08  2.98064499e-08  8.13191001e-04 
 8.00000000e-06  8.00000000e-06  1.34859989e+01  5.32416634e-02  1.83077264e-02  5.33145305e-02  1.34859959e+01  5.33138741e-02  1.31737334e+00  6.67604098e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01671947e+00  1.90992926e-07  2.98165331e-08  2.98367289e-08  8.13189012e-04 
 1.60000000e-05  1.60000000e-05  1.34859989e+01  1.06531229e-01  1.83089585e-02  1.06628724e-01  1.34859959e+01  1.06628066e-01  1.31737405e+00  6.67605057e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01672013e+00  2.65532275e-07  2.99070211e-08  2.99276578e-08  8.13181131e-04 
 3.20000000e-05  3.20000000e-05  1.34859989e+01  2.12899718e-01  1.83218576e-02  2.13254754e-01  1.34859959e+01  2.13254093e-01  1.31738146e+00  6.67615095e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01672712e+00  1.04598938e-06  2.98870469e-08  3.00797427e-08  8.13098542e-04 
 5.07647020e-05  5.07647020e-05  1.34859989e+01  3.34827085e-01  1.84776590e-02  3.38298046e-01  1.34859961e+01  3.38297380e-01  1.31747094e+00  6.67736317e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01681146e+00  1.04898746e-05  2.82654606e-08  3.02809695e-08  8.12101117e-04 
 6.88301143e-05  6.88301143e-05  1.34859984e+01  4.33884706e-01  1.95301956e-02  4.58670390e-01  1.34859968e+01  4.58669720e-01  1.31807392e+00  6.68554288e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01737983e+00  7.51040605e-05  1.67175926e-08  3.04554998e-08  8.05379020e-04 
 8.88249729e-05  8.88249729e-05  1.34859989e+01  5.02690441e-01  2.25773037e-02  5.91881515e-01  1.34859988e+01  5.91880841e-01  1.31980506e+00  6.70912765e-01  1.34999860e+01  1.35000000e+01  0.00000000e+00  2.01901160e+00  2.70275754e-04  1.21164618e-09  3.06709780e-08  7.86080074e-04 
