 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00 -1.22428978e-16 -7.91174109e-01 -1.20767573e-01  0.00000000e+00  1.69058345e-28 
 1.00000000e-08  1.00000000e-08  1.10132415e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.98160900e-06 -7.91171127e-01 -1.20761393e-01  6.28318530e-06 -4.13430442e-18 
 2.00000000e-08  2.00000000e-08  3.28363068e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  5.91464300e-06 -7.91168194e-01 -1.20755315e-01  1.25663706e-05 -8.20112502e-18 
 4.00000000e-08  4.00000000e-08  9.76770018e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.16845855e-05 -7.91162424e-01 -1.20743360e-01  2.51327410e-05 -1.62011075e-17 
 8.00000000e-08  8.00000000e-08  3.49043576e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.26663313e-05 -7.91151443e-01 -1.20720611e-01  5.02654803e-05 -3.14258424e-17 
 1.60000000e-07  1.60000000e-07  1.27694361e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  4.25712258e-05 -7.91131538e-01 -1.20679400e-01  1.00530948e-04 -5.90167496e-17 
 3.20000000e-07  3.20000000e-07  4.25736351e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  7.53549887e-05 -7.91098754e-01 -1.20611589e-01  2.01061794e-04 -1.04446644e-16 
 6.40000000e-07  6.40000000e-07  1.01247241e-13 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.20203288e-04 -7.91053906e-01 -1.20518971e-01  4.02122776e-04 -1.66568952e-16 
 1.28000000e-06  1.28000000e-06  6.36066885e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.63037245e-04 -7.91011072e-01 -1.20430717e-01  8.04239049e-04 -2.25873122e-16 
 2.28000000e-06  2.28000000e-06 -9.16015758e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79969754e-04 -7.90994139e-01 -1.20395934e-01  1.43251725e-03 -2.49308883e-16 
 3.28000000e-06  3.28000000e-06  2.89301952e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81451297e-04 -7.90992658e-01 -1.20392898e-01  2.06073890e-03 -2.51359238e-16 
 4.28000000e-06  4.28000000e-06  6.61008545e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81559886e-04 -7.90992549e-01 -1.20392674e-01  2.68887919e-03 -2.51509517e-16 
 5.28000000e-06  5.28000000e-06 -8.89765511e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81541384e-04 -7.90992568e-01 -1.20392712e-01  3.31691333e-03 -2.51483913e-16 
 6.28000000e-06  6.28000000e-06  1.47593579e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81505119e-04 -7.90992604e-01 -1.20392787e-01  3.94481653e-03 -2.51433723e-16 
 7.28000000e-06  7.28000000e-06  7.55183638e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81460730e-04 -7.90992648e-01 -1.20392878e-01  4.57256399e-03 -2.51372292e-16 
 8.28000000e-06  8.28000000e-06 -8.34607521e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81409069e-04 -7.90992700e-01 -1.20392985e-01  5.20013093e-03 -2.51300799e-16 
 9.28000000e-06  9.28000000e-06  2.99431437e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81350215e-04 -7.90992759e-01 -1.20393106e-01  5.82749259e-03 -2.51219349e-16 
 1.02800000e-05  1.02800000e-05  8.31256896e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81284176e-04 -7.90992825e-01 -1.20393242e-01  6.45462418e-03 -2.51127956e-16 
 1.12800000e-05  1.12800000e-05 -7.59383222e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81210955e-04 -7.90992898e-01 -1.20393392e-01  7.08150095e-03 -2.51026624e-16 
 1.22800000e-05  1.22800000e-05 -1.41681602e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81130555e-04 -7.90992978e-01 -1.20393558e-01  7.70809816e-03 -2.50915356e-16 
 1.32800000e-05  1.32800000e-05  8.87339349e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.81042980e-04 -7.90993066e-01 -1.20393738e-01  8.33439107e-03 -2.50794158e-16 
 1.42800000e-05  1.42800000e-05 -6.65908066e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80948232e-04 -7.90993161e-01 -1.20393933e-01  8.96035495e-03 -2.50663035e-16 
 1.52800000e-05  1.52800000e-05 -2.82958080e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80846317e-04 -7.90993263e-01 -1.20394142e-01  9.58596509e-03 -2.50521991e-16 
 1.62800000e-05  1.62800000e-05  9.22080855e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80737237e-04 -7.90993372e-01 -1.20394367e-01  1.02111968e-02 -2.50371032e-16 
 1.72800000e-05  1.72800000e-05 -5.56431157e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80620997e-04 -7.90993488e-01 -1.20394606e-01  1.08360254e-02 -2.50210164e-16 
 1.82800000e-05  1.82800000e-05 -4.17440303e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80497603e-04 -7.90993611e-01 -1.20394860e-01  1.14604262e-02 -2.50039395e-16 
 1.92800000e-05  1.92800000e-05  9.34644394e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80367058e-04 -7.90993742e-01 -1.20395128e-01  1.20843745e-02 -2.49858729e-16 
 2.02800000e-05  2.02800000e-05 -4.33586306e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80229369e-04 -7.90993880e-01 -1.20395412e-01  1.27078458e-02 -2.49668176e-16 
 2.12800000e-05  2.12800000e-05 -5.41896797e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80084541e-04 -7.90994024e-01 -1.20395710e-01  1.33308154e-02 -2.49467742e-16 
 2.22800000e-05  2.22800000e-05  9.24726155e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79932579e-04 -7.90994176e-01 -1.20396022e-01  1.39532587e-02 -2.49257435e-16 
 2.32800000e-05  2.32800000e-05 -3.00328715e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79773490e-04 -7.90994336e-01 -1.20396350e-01  1.45751512e-02 -2.49037265e-16 
 2.42800000e-05  2.42800000e-05 -6.53337128e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79607280e-04 -7.90994502e-01 -1.20396692e-01  1.51964683e-02 -2.48807239e-16 
 2.52800000e-05  2.52800000e-05  8.92562839e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79433956e-04 -7.90994675e-01 -1.20397048e-01  1.58171854e-02 -2.48567367e-16 
 2.62800000e-05  2.62800000e-05 -1.59863927e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79253524e-04 -7.90994855e-01 -1.20397419e-01  1.64372781e-02 -2.48317659e-16 
 2.72800000e-05  2.72800000e-05 -7.49083789e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79065993e-04 -7.90995043e-01 -1.20397805e-01  1.70567219e-02 -2.48058124e-16 
 2.82800000e-05  2.82800000e-05  8.38925968e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78871370e-04 -7.90995238e-01 -1.20398206e-01  1.76754923e-02 -2.47788773e-16 
 2.92800000e-05  2.92800000e-05 -1.55707533e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78669662e-04 -7.90995439e-01 -1.20398621e-01  1.82935649e-02 -2.47509617e-16 
 3.02800000e-05  3.02800000e-05 -8.26836578e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78460877e-04 -7.90995648e-01 -1.20399050e-01  1.89109154e-02 -2.47220667e-16 
 3.12800000e-05  3.12800000e-05  7.65103341e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78245025e-04 -7.90995864e-01 -1.20399494e-01  1.95275192e-02 -2.46921934e-16 
 3.22800000e-05  3.22800000e-05  1.29079956e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78022113e-04 -7.90996087e-01 -1.20399953e-01  2.01433522e-02 -2.46613431e-16 
 3.32800000e-05  3.32800000e-05 -8.84727897e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77792152e-04 -7.90996317e-01 -1.20400426e-01  2.07583899e-02 -2.46295170e-16 
