time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.0,0.0,-9.0,-3.93119182e-24,-3.93119181e-24,-1.22428978e-16,-3.9311901e-24,-3.93119185e-24,-3.9311901e-24,1.69058345e-28
1e-08,-3.34577667e-27,-9.0,3.13407682e-17,3.13407682e-17,-9.10881918e-17,3.13407821e-17,3.13407679e-17,3.13407679e-17,1.26615329e-28
2e-08,-6.70504326e-27,-9.0,3.15144262e-17,3.15144262e-17,-9.09145338e-17,3.15144401e-17,3.15144259e-17,3.15144259e-17,1.26441671e-28
4e-08,-1.34032421e-26,-9.0,3.15327059e-17,3.15327059e-17,-9.08962541e-17,3.15327199e-17,3.15327056e-17,3.15327056e-17,1.26423391e-28
8e-08,-2.65880426e-26,-9.0,3.15418458e-17,3.15418458e-17,-9.08871142e-17,3.15418598e-17,3.15418455e-17,3.15418455e-17,1.26414251e-28
1.6e-07,-5.12871548e-26,-9.0,3.15414314e-17,3.15414314e-17,-9.08875286e-17,3.15414453e-17,3.15414311e-17,3.15414311e-17,1.26414665e-28
3.2e-07,-8.84862765e-26,-9.0,3.15412242e-17,3.15412242e-17,-9.08877358e-17,3.15412381e-17,3.15412239e-17,3.15412239e-17,1.26414872e-28
6.4e-07,-9.3975889e-26,-9.0,3.15422098e-17,3.15422098e-17,-9.08867501e-17,3.15422238e-17,3.15422095e-17,3.15422095e-17,1.26413887e-28
1.28e-06,4.65242492e-26,-9.0,3.15421581e-17,3.15421581e-17,-9.08868019e-17,3.1542172e-17,3.15421578e-17,3.15421578e-17,1.26413939e-28
2.28e-06,6.08111578e-26,-9.0,3.15419635e-17,3.15419635e-17,-9.08869965e-17,3.15419774e-17,3.15419632e-17,3.15419632e-17,1.26414133e-28
3.28e-06,-1.01807183e-25,-9.0,3.15419634e-17,3.15419634e-17,-9.08869966e-17,3.15419773e-17,3.15419631e-17,3.15419631e-17,1.26414133e-28
4.28e-06,3.17409264e-26,-9.0,3.15421062e-17,3.15421062e-17,-9.08868537e-17,3.15421202e-17,3.1542106e-17,3.15421059e-17,1.26413991e-28
