time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.0,0.0,9.0,9.0,9.0,-1.22428978e-16,8.99999604,9.0,8.99999604,1.69058345e-28
1e-08,1.11846486e-20,9.0,9.0,9.0,3.02803116e-10,8.99999604,9.0,8.99999604,-4.19874095e-22
2e-08,2.23454586e-20,9.0,9.0,9.0,3.02803116e-10,8.99999604,9.0,8.99999604,-4.19874095e-22
4e-08,4.45956958e-20,9.0,9.0,9.0,3.02803116e-10,8.99999604,9.0,8.99999604,-4.19874095e-22
8e-08,8.83861021e-20,9.0,9.0,9.0,3.02803116e-10,8.99999604,9.0,8.99999604,-4.19874095e-22
1.6e-07,1.70415583e-19,9.0,9.0,9.0,3.02803116e-10,8.99999604,9.0,8.99999604,-4.19874095e-22
3.2e-07,1.82343649e-19,9.0,9.0,9.0,-1.00206066e-10,8.99999604,9.0,8.99999604,1.38948144e-22
6.4e-07,-5.40210597e-20,9.0,9.0,9.0,3.59889896e-12,8.99999604,9.0,8.99999604,-4.99032043e-24
1.28e-06,-1.8453822e-19,9.0,9.0,9.0,2.80184764e-11,8.99999604,9.0,8.99999604,-3.88510947e-23
2.28e-06,1.32369718e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
3.28e-06,4.49579074e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
4.28e-06,-1.73240581e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
5.28e-06,1.12533227e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
6.28e-06,7.09375719e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
7.28e-06,-1.77022107e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
