time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
0.0,0.0,9.0,0.0,-1.22428978e-16,0.66010638,1.28178949,8.99999914,0.0,0.0,1.69058345e-28
1e-08,7.28201536e-22,9.0,7.7331241e-06,1.91923144e-11,0.66010638,1.28179012,8.99999914,7.73316804e-06,6.2831853e-07,-2.66125255e-23
1.0840002e-08,7.94598543e-22,9.0,8.38270785e-06,2.08326689e-11,0.66010638,1.28179017,8.99999914,8.38275579e-06,6.8109741e-07,-2.88870805e-23
1.25200059e-08,9.37901758e-22,9.0,9.68187497e-06,2.41306974e-11,0.66010638,1.28179027,8.99999914,9.68193153e-06,7.86655169e-07,-3.34602068e-23
1.58800137e-08,1.28791572e-21,9.0,1.22802069e-05,3.07847081e-11,0.66010638,1.28179049,8.99999914,1.22802844e-05,9.97770687e-07,-4.26868174e-23
2.26000294e-08,2.24475912e-21,9.0,1.74768616e-05,4.43012849e-11,0.66010638,1.28179091,8.99999914,1.74769959e-05,1.42000172e-06,-6.14292284e-23
3.60400608e-08,5.21023828e-21,9.0,2.78701343e-05,7.21874782e-11,0.66010638,1.28179175,8.99999914,2.78704417e-05,2.26446378e-06,-1.00096896e-22
6.29201235e-08,1.55309343e-20,9.0,4.86565324e-05,1.31354427e-10,0.66010638,1.28179344,8.99999914,4.86574243e-05,3.95338785e-06,-1.82139214e-22
1.16680249e-07,5.49581558e-20,9.0,9.02287379e-05,2.63276956e-10,0.66010638,1.28179682,8.99999914,9.02317509e-05,7.3312356e-06,-3.65066169e-22
2.242005e-07,2.14759228e-19,9.0,0.000173370769,5.81442006e-10,0.660106381,1.28180357,8.99999914,0.000173381834,1.40869282e-05,-8.06241489e-22
4.39241002e-07,8.4145545e-19,9.0,0.000339645179,1.43490425e-09,0.660106383,1.28181708,8.99999914,0.000339687584,2.7598291e-05,-1.98967278e-21
8.69322005e-07,2.60571397e-18,9.0,0.000672154332,4.00903455e-09,0.660106388,1.28184408,8.99999914,0.000672320361,5.46208409e-05,-5.55902376e-21
1.72948401e-06,4.36796934e-18,9.0,0.0013370055,1.26156002e-08,0.660106405,1.28189803,8.99999914,0.0013376625,0.000108664547,-1.74930939e-20
2.72948401e-06,4.97447832e-18,9.0,0.00210964091,2.83941249e-08,0.660106437,1.28196067,8.99999914,0.00211127707,0.000171490132,-3.93719715e-20
3.72948401e-06,7.94395028e-18,9.0,0.0028819229,5.03459978e-08,0.660106481,1.28202322,8.99999914,0.00288497712,0.000234308947,-6.98109544e-20
4.72948401e-06,9.97093893e-18,9.0,0.00365382109,7.84349009e-08,0.660106537,1.28208567,8.99999914,0.00365873205,0.000297118511,-1.08759677e-19
5.72948401e-06,1.05696708e-17,9.0,0.00442530509,1.12624091e-07,0.660106605,1.28214802,8.99999914,0.00443251125,0.000359916347,-1.56167183e-19
6.72948401e-06,1.35443501e-17,9.0,0.00519634453,1.52876389e-07,0.660106686,1.28221025,8.99999914,0.00520628412,0.000422699973,-2.11981909e-19
7.72948401e-06,1.54713424e-17,9.0,0.00596690908,1.99154198e-07,0.660106778,1.28227237,8.99999914,0.00598002005,0.000485466911,-2.76151713e-19
8.72948401e-06,1.60640107e-17,9.0,0.00673696841,2.51419496e-07,0.660106883,1.28233436,8.99999914,0.00675368844,0.000548214685,-3.48623857e-19
9.72948401e-06,1.90401369e-17,9.0,0.00750649221,3.0963385e-07,0.660106999,1.28239622,8.99999914,0.00752725868,0.000610940815,-4.29345039e-19
1.0729484e-05,2.08657667e-17,9.0,0.0082754502,3.73758412e-07,0.660107127,1.28245796,8.99999914,0.00830070017,0.000673642827,-5.18261374e-19
1.1729484e-05,2.14540578e-17,9.0,0.00904381211,4.43753935e-07,0.660107267,1.28251955,8.99999914,0.00907398233,0.000736318245,-6.15318425e-19
1.2729484e-05,2.44278259e-17,9.0,0.00981154771,5.19580765e-07,0.660107419,1.28258099,8.99999914,0.00984707456,0.000798964594,-7.20461187e-19
1.3729484e-05,2.61509181e-17,9.0,0.0105786268,6.01198858e-07,0.660107582,1.28264229,8.99999914,0.0106199463,0.000861579401,-8.33634117e-19
1.4729484e-05,2.6736486e-17,9.0,0.0113450191,6.88567772e-07,0.660107757,1.28270342,8.99999914,0.0113925669,0.000924160195,-9.54781117e-19
1.5729484e-05,2.97040535e-17,9.0,0.0121106946,7.81646688e-07,0.660107943,1.2827644,8.99999914,0.012164906,0.000986704504,-1.08384556e-18
1.6729484e-05,3.13236243e-17,9.0,0.012875623,8.80394396e-07,0.660108141,1.2828252,8.99999914,0.0129369328,0.00104920986,-1.22077029e-18
1.7729484e-05,3.19080843e-17,9.0,0.0136397744,9.84769317e-07,0.660108349,1.28288584,8.99999914,0.0137086169,0.00111167379,-1.36549761e-18
1.8729484e-05,3.48655772e-17,9.0,0.0144031185,1.09472949e-06,0.660108569,1.28294629,8.99999914,0.0144799278,0.00117409384,-1.51796933e-18
1.9729484e-05,3.63808345e-17,9.0,0.0151656254,1.21023261e-06,0.6601088,1.28300656,8.99999914,0.0152508349,0.00123646754,-1.67812674e-18
2.0729484e-05,3.69657572e-17,9.0,0.0159272651,1.33123598e-06,0.660109042,1.28306664,8.99999914,0.0160213078,0.00129879242,-1.84591063e-18
2.1729484e-05,3.99092767e-17,9.0,0.0166880075,1.45769656e-06,0.660109295,1.28312652,8.99999914,0.0167913159,0.00136106603,-2.02126129e-18
2.2729484e-05,4.13196198e-17,9.0,0.0174478228,1.58957096e-06,0.660109559,1.2831862,8.99999914,0.0175608289,0.00142328591,-2.20411851e-18
2.3729484e-05,4.19065254e-17,9.0,0.018206681,1.72681545e-06,0.660109834,1.28324568,8.99999914,0.0183298162,0.0014854496,-2.39442161e-18
2.4729484e-05,4.48321549e-17,9.0,0.0189645524,1.86938593e-06,0.660110119,1.28330494,8.99999914,0.0190982476,0.00154755464,-2.59210945e-18
2.5729484e-05,4.61371731e-17,9.0,0.0197214069,2.01723799e-06,0.660110414,1.28336399,8.99999914,0.0198660925,0.00160959859,-2.79712038e-18
2.6729484e-05,4.6727526e-17,9.0,0.020477215,2.17032688e-06,0.660110721,1.28342281,8.99999914,0.0206333206,0.00167157899,-3.00939232e-18
2.7729484e-05,4.96313379e-17,9.0,0.0212319467,2.3286075e-06,0.660111037,1.28348141,8.99999914,0.0213999015,0.00173349341,-3.22886274e-18
2.8729484e-05,5.08308099e-17,9.0,0.0219855725,2.49203447e-06,0.660111364,1.28353977,8.99999914,0.022165805,0.00179533939,-3.45546861e-18
2.9729484e-05,5.14260133e-17,9.0,0.0227380626,2.66056205e-06,0.660111701,1.2835979,8.99999914,0.0229310007,0.00185711449,-3.68914653e-18
3.0729484e-05,5.4304076e-17,9.0,0.0234893875,2.83414421e-06,0.660112048,1.28365579,8.99999914,0.0236954584,0.00191881628,-3.9298326e-18
3.1729484e-05,5.53979685e-17,9.0,0.0242395175,3.0127346e-06,0.660112405,1.28371343,8.99999914,0.0244591478,0.00198044231,-4.17746254e-18
3.2729484e-05,5.59993589e-17,9.0,0.0249884233,3.19628658e-06,0.660112772,1.28377081,8.99999914,0.0252220387,0.00204199016,-4.43197162e-18
3.3729484e-05,5.88477439e-17,9.0,0.0257360752,3.3847532e-06,0.660113149,1.28382794,8.99999914,0.025984101,0.0021034574,-4.69329471e-18
3.4729484e-05,5.98362094e-17,9.0,0.0264824439,3.57808722e-06,0.660113536,1.2838848,8.99999914,0.0267453045,0.00216484159,-4.96136625e-18
3.5729484e-05,6.0445052e-17,9.0,0.0272274999,3.77624111e-06,0.660113932,1.2839414,8.99999914,0.027505619,0.00222614032,-5.23612032e-18
3.6729484e-05,6.32598411e-17,9.0,0.0279712141,3.97916705e-06,0.660114338,1.28399772,8.99999914,0.0282650146,0.00228735117,-5.51749055e-18
3.7729484e-05,6.4143216e-17,9.0,0.028713557,4.18681695e-06,0.660114754,1.28405377,8.99999914,0.0290234612,0.00234847172,-5.80541024e-18
