time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@dled12_1[id],@dled12_2[id]
0.0,0.0,9.0,7.27838058,7.27838058,0.750665691,0.15193889,0.750665691,0.15193889,0.0151626419,0.0151626419
1e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
2e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
4e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
8e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
0.00016,0.0,9.0,7.27838058,7.27838058,0.7506657,0.151938901,0.7506657,0.151938901,0.0151626419,0.0151626419
0.00032,0.0,9.0,7.27838058,7.27838058,0.7506657,0.151938902,0.7506657,0.151938902,0.0151626419,0.0151626419
0.00064,0.0,9.0,7.27838058,7.27838058,0.750665699,0.151938904,0.750665699,0.151938904,0.0151626419,0.0151626419
0.00128,0.0,9.0,7.27838058,7.27838058,0.750665697,0.151938907,0.750665697,0.151938907,0.0151626419,0.0151626419
0.00228,0.0,9.0,7.27838058,7.27838058,0.750665696,0.151938911,0.750665696,0.151938911,0.0151626419,0.0151626419
0.00328,0.0,9.0,7.27838058,7.27838058,0.750665695,0.151938914,0.750665695,0.151938914,0.0151626418,0.0151626418
0.00428,0.0,9.0,7.27838058,7.27838058,0.750665694,0.151938916,0.750665694,0.151938916,0.0151626418,0.0151626418
0.00528,0.0,9.0,7.27838058,7.27838058,0.750665693,0.151938918,0.750665693,0.151938918,0.0151626418,0.0151626418
0.00628,0.0,9.0,7.27838058,7.27838058,0.750665692,0.151938919,0.750665692,0.151938919,0.0151626418,0.0151626418
0.00728,0.0,9.0,7.27838058,7.27838058,0.750665692,0.15193892,0.750665692,0.15193892,0.0151626418,0.0151626418
0.00828,0.0,9.0,7.27838058,7.27838058,0.750665692,0.151938921,0.750665692,0.151938921,0.0151626418,0.0151626418
0.00928,0.0,9.0,7.27838058,7.27838058,0.750665691,0.151938921,0.750665692,0.151938921,0.0151626418,0.0151626418
0.01028,0.0,9.0,7.27838058,7.27838058,0.750665691,0.151938922,0.750665691,0.151938921,0.0151626418,0.0151626418
0.01128,0.0,9.0,7.27838058,7.27838058,0.750665691,0.151938922,0.750665691,0.151938922,0.0151626418,0.0151626418
0.01228,0.0,9.0,7.27838058,7.27838058,0.750665691,0.151938922,0.750665691,0.151938922,0.0151626418,0.0151626418
0.01328,0.0,9.0,7.27838058,7.27838058,0.750665691,0.151938923,0.750665691,0.151938922,0.0151626418,0.0151626418
0.01428,0.0,9.0,7.27838058,7.27838058,0.75066569,0.151938924,0.750665692,0.151938921,0.0151626418,0.0151626418
0.01528,0.0,9.0,7.27838058,7.27838058,0.75066569,0.151938926,0.750665692,0.151938919,0.0151626418,0.0151626418
0.01628,0.0,9.0,7.27838058,7.27838058,0.750665688,0.15193893,0.750665694,0.151938915,0.0151626418,0.0151626418
0.01728,0.0,9.0,7.27838058,7.27838058,0.750665684,0.151938939,0.750665698,0.151938906,0.0151626418,0.0151626419
0.01828,0.0,9.0,7.27838058,7.27838058,0.750665675,0.151938959,0.750665707,0.151938886,0.0151626418,0.0151626419
0.01928,0.0,9.0,7.27838058,7.27838058,0.750665654,0.151939004,0.750665727,0.151938842,0.0151626417,0.015162642
0.02028,0.0,9.0,7.27838059,7.27838058,0.750665609,0.151939104,0.750665773,0.151938741,0.0151626415,0.0151626422
0.02128,0.0,9.0,7.27838059,7.27838057,0.750665508,0.15193933,0.750665874,0.151938515,0.015162641,0.0151626427
0.02228,0.0,9.0,7.27838061,7.27838056,0.75066528,0.151939836,0.750666102,0.151938009,0.0151626399,0.0151626437
0.02328,0.0,9.0,7.27838064,7.27838052,0.750664769,0.151940971,0.750666613,0.151936875,0.0151626376,0.0151626461
0.02428,0.0,9.0,7.27838071,7.27838045,0.750663623,0.151943517,0.750667759,0.151934329,0.0151626323,0.0151626513
0.02528,0.0,9.0,7.27838087,7.2783803,0.750661052,0.151949227,0.75067033,0.15192862,0.0151626205,0.0151626631
0.02628,0.0,9.0,7.27838122,7.27837994,0.750655288,0.151962036,0.750676097,0.151915815,0.015162594,0.0151626896
0.02728,0.0,9.0,7.27838202,7.27837914,0.750642364,0.151990774,0.750689036,0.151887103,0.0151625346,0.015162749
0.02828,0.0,9.0,7.27838381,7.27837736,0.750613395,0.152055266,0.750718078,0.151822739,0.0151624012,0.0151628822
0.02928,0.0,9.0,7.27838783,7.27837336,0.750548522,0.152200095,0.75078332,0.151678554,0.0151621016,0.0151631804
0.03028,0.0,9.0,7.27839686,7.27836441,0.750403534,0.152525829,0.750930162,0.151356058,0.0151614278,0.0151638476
0.03128,0.0,9.0,7.27841726,7.27834447,0.75008096,0.153260881,0.751262065,0.150637298,0.0151599073,0.0151653345
0.03228,0.0,9.0,7.27846361,7.27830039,0.749370877,0.154931538,0.752019037,0.149048544,0.0151564516,0.0151686213
0.03328,0.0,9.0,7.27857051,7.27820491,0.747848119,0.158784324,0.75377675,0.145606355,0.0151484834,0.0151757433
0.03428,0.0,9.0,7.27882907,7.27802644,0.74523719,0.168099903,0.758114436,0.139171599,0.015129211,0.0151890529
0.03528,0.0,9.0,7.27940791,7.27774455,0.741667646,0.188944777,0.767462004,0.129004873,0.0150860918,0.0152100844
0.03628,0.0,9.0,7.28056665,7.27741323,0.738928252,0.230628657,0.784831711,0.117050953,0.0149998681,0.0152348133
0.03728,0.0,9.0,7.2827421,7.27706916,0.737115709,0.308726699,0.815464072,0.104632196,0.0148383419,0.0152605043
0.03828,0.0,9.0,7.28726654,7.27667438,0.734106098,0.470462974,0.88247147,0.0903767422,0.0145038374,0.015289995
0.0391723151,0.0,9.0,7.2757924,7.32623908,1.94781393,0.0585042248,0.421917976,1.82147531,0.0153559323,0.0117126796
0.0398365496,0.0,9.0,7.27581267,7.34464071,1.82035723,0.0592369894,0.43476485,2.4302581,0.0153544163,0.0104622262
0.0404563892,0.0,9.0,7.27583549,7.36062737,1.71373669,0.0600619112,0.446877713,2.93922545,0.0153527097,0.00940737519
0.0412062853,0.0,9.0,7.27586614,7.3785239,1.59898948,0.0611703749,0.461621081,3.4875699,0.0153504165,0.00827887358
0.0422062853,0.0,9.0,7.27591379,7.4002882,1.46692155,0.0628928853,0.481488955,4.11846416,0.015346853,0.00698324264
0.0432062853,0.0,9.0,7.27596764,7.41997727,1.35562382,0.0648395044,0.501538033,4.65068405,0.0153428258,0.00589264427
0.0442062853,0.0,9.0,7.27602844,7.43789619,1.26159933,0.0670372193,0.521794396,5.09954321,0.0153382792,0.00497565671
0.0452062853,0.0,9.0,7.27609447,7.45429975,1.18207799,0.0694238858,0.542194433,5.47796014,0.0153333417,0.00420533334
0.0462062853,0.0,9.0,7.27616762,7.46935249,1.11418467,0.0720677442,0.562803539,5.79594449,0.0153278721,0.00356071887
0.0472062853,0.0,9.0,7.27624732,7.48311411,1.0552342,0.0749480077,0.583594973,6.06094516,0.0153219134,0.00302608305
0.0482062853,0.0,9.0,7.27634188,7.49537264,1.00118167,0.0783650028,0.604855458,6.27574418,0.0153148445,0.00259504042
0.0492062853,0.0,9.0,7.27646955,7.50528489,0.944944972,0.0829779041,0.627210683,6.43465501,0.0153053016,0.00227793611
0.0492235036,0.0,9.0,7.2778251,7.49409728,0.764377287,0.131910166,0.676432754,6.25430793,0.0152040743,0.00263785017
0.0492579403,0.0,9.0,7.27780085,7.49424087,0.766326116,0.131035705,0.676138545,6.2567306,0.0152058834,0.00263300503
0.0492759045,0.0,9.0,7.27779637,7.49420283,0.765427247,0.130874116,0.676279694,6.25608799,0.0152062176,0.00263428691
0.0492932935,0.0,9.0,7.27778126,7.49431572,0.767076069,0.130329151,0.676027809,6.25799115,0.015207345,0.00263048057
0.0493280715,0.0,9.0,7.27776755,7.49431401,0.766519425,0.129834387,0.676119295,6.25796145,0.0152083685,0.00263053736
0.0493976275,0.0,9.0,7.27772318,7.49454867,0.769342133,0.128233951,0.675691756,6.26191392,0.0152116796,0.002622639
0.0495367396,0.0,9.0,7.27764976,7.49482333,0.771371532,0.125585411,0.675390687,6.26652786,0.0152171592,0.00261341089
0.0498149638,0.0,9.0,7.27747276,7.49587838,0.782109298,0.119199148,0.673708211,6.28414715,0.0152303694,0.00257815427
0.0503714122,0.0,9.0,7.27700163,7.5001577,0.824111449,0.102194224,0.666183266,6.35409185,0.0152655477,0.00243843823
0.0507639169,0.0,9.0,7.32124355,7.27579442,-5.47928381,1.65313059,1.98371101,0.0585773169,0.012061948,0.0153557811
0.0510133898,0.0,9.0,7.32845206,7.27580184,-5.47133237,1.89593831,1.93191184,0.0588453207,0.0115606724,0.0153552266
0.0512411485,0.0,9.0,7.33490246,7.27580928,-5.46405225,2.11025362,1.88800787,0.059114469,0.0111162744,0.0153546701
0.0514925042,0.0,9.0,7.34176242,7.2758169,-5.45604356,2.33564796,1.8398319,0.0593899045,0.0106513074,0.0153541
0.0519952157,0.0,9.0,7.35497408,7.27583415,-5.43996609,2.76095975,1.75172937,0.0600137478,0.00977456021,0.0153528094
0.0529952157,0.0,9.0,7.37910758,7.2758752,-5.40779306,3.50511581,1.59503383,0.0614975797,0.00824329555,0.0153497396
0.0539952157,0.0,9.0,7.40084938,7.27592263,-5.37545749,4.13416255,1.464434,0.0632125994,0.00695103813,0.0153461916
0.0549952157,0.0,9.0,7.42046922,7.27597753,-5.34292166,4.66347512,1.35292953,0.06519691,0.00586647299,0.0153420864
0.0559952157,0.0,9.0,7.43840501,7.27603769,-5.31026479,5.11176353,1.26040571,0.0673716179,0.0049507456,0.0153375874
0.0569952157,0.0,9.0,7.45479979,7.27610436,-5.27744247,5.48898517,1.18098312,0.0697814544,0.00418294796,0.0153326019
0.0579952157,0.0,9.0,7.47001586,7.27617503,-5.24454579,5.80929898,1.11549576,0.0723355682,0.00353374655,0.015327318
0.0589952157,0.0,9.0,7.4840913,7.27625116,-5.21152201,6.07882629,1.05885482,0.0750869214,0.00299017348,0.0153216261
0.0599952157,0.0,9.0,7.49734784,7.27632984,-5.17847683,6.30850844,1.01256844,0.0779299724,0.00252965469,0.0153157444
0.0609952157,0.0,9.0,7.50973287,7.2764129,-5.1453439,6.50174963,0.972105123,0.0809311722,0.00214481195,0.0153095356
0.0619952157,0.0,9.0,7.52155693,7.27649692,-5.1122472,6.66721815,0.939454294,0.0839666042,0.00181788307,0.015303256
0.0629952157,0.0,9.0,7.53268154,7.2765843,-5.0791,6.80639185,0.910476054,0.0871230058,0.00154540737,0.0152967262
0.0639952157,0.0,9.0,7.54343271,7.27667094,-5.04604999,6.92633519,0.887505871,0.0902526582,0.00131306686,0.0152902517
0.0649952157,0.0,9.0,7.55358308,7.27676005,-5.01298158,7.02715771,0.866677038,0.0934710403,0.00112012504,0.0152835937
0.0659952157,0.0,9.0,7.56350014,7.27684667,-4.98007377,7.11479455,0.850576544,0.0965990105,0.000954753358,0.0152771227
0.0669952157,0.0,9.0,7.57285837,7.27693508,-4.94717164,7.18838016,0.835525588,0.0997913184,0.000818083279,0.0152705186
0.0679952157,0.0,9.0,7.58209335,7.27701917,-4.91449545,7.25305739,0.824297059,0.102827449,0.000700114823,0.0152642377
0.0689952157,0.0,9.0,7.59076715,7.27710468,-4.88183793,7.30726229,0.81333805,0.105914423,0.000603228744,0.0152578516
0.0699952157,0.0,9.0,7.59941099,7.27718401,-4.84947282,7.35558546,0.80556225,0.108778152,0.00051880121,0.0152519274
0.0709952157,0.0,9.0,7.60745723,7.27726477,-4.81712507,7.39595908,0.797497177,0.11169337,0.000450011696,0.0152458966
0.0719952157,0.0,9.0,7.61556031,7.2773375,-4.78513612,7.43259296,0.792166644,0.114318229,0.000389306184,0.0152404665
0.0729952157,0.0,9.0,7.62300463,7.27741215,-4.75314605,7.46305222,0.786145083,0.117012274,0.000340332959,0.0152348934
0.0739952157,0.0,9.0,7.63021998,7.27747462,-4.7216635,7.49119744,0.782484459,0.119266315,0.0002985841,0.0152302311
0.0749952157,0.0,9.0,7.6370952,7.27754181,-4.69007745,7.51446581,0.777917521,0.121690962,0.000263193059,0.0152252154
0.0759952157,0.0,9.0,7.64415942,7.27759896,-4.65892103,7.53658525,0.775547218,0.123752723,0.000231023683,0.01522095
0.0769952157,0.0,9.0,7.65049101,7.27765902,-4.62772579,7.55467482,0.771999518,0.125919635,0.000205399927,0.0152164674
0.0779952157,0.0,9.0,7.65707219,7.27770735,-4.59702002,7.5723745,0.770495596,0.127662927,0.000181691463,0.0152128609
0.0789952157,0.0,9.0,7.66283528,7.27776035,-4.56621123,7.58665479,0.767661181,0.129574681,0.000163106865,0.0152089062
0.0799952157,0.0,9.0,7.66895068,7.27780016,-4.53594316,7.60109072,0.766773665,0.131010685,0.000145417631,0.0152059353
0.0809952157,0.0,9.0,7.67416628,7.27784674,-4.50549544,7.61253582,0.764443182,0.132690939,0.000131808239,0.0152024596
0.0819952157,0.0,9.0,7.67984312,7.2778787,-4.47563936,7.62453066,0.763997283,0.133843702,0.000118416323,0.0152000747
0.0829952157,0.0,9.0,7.68454202,7.27791973,-4.44552011,7.6338364,0.762024504,0.135323439,0.000108339086,0.0151970137
0.0839952157,0.0,9.0,7.68981285,7.2779447,-4.41604366,7.64397969,0.761897705,0.136223784,9.80402966e-05,0.015195151
0.0849952157,0.0,9.0,7.69403282,7.27798108,-4.3862185,7.65164751,0.760180589,0.137535912,9.04882217e-05,0.0151924368
0.0859952157,0.0,9.0,7.69893317,7.27799996,-4.35708743,7.66036573,0.760286815,0.138216678,8.24391283e-05,0.0151910283
0.0869952157,0.0,9.0,7.70271572,7.27803256,-4.32752392,7.66676088,0.75875406,0.139392322,7.67085746e-05,0.0151885965
0.0879952157,0.0,9.0,7.70728179,7.27804623,-4.29870534,7.67436601,0.759032528,0.139885147,7.03157525e-05,0.0151875768
0.0889952157,0.0,9.0,7.71066925,7.27807581,-4.26937492,7.67975774,0.757634113,0.140951671,6.59130549e-05,0.0151853707
0.0899952157,0.0,9.0,7.71493603,7.27808506,-4.24083905,7.68648081,0.758041577,0.141285211,6.07559432e-05,0.0151846805
0.0909952157,0.0,9.0,7.71796934,7.27811225,-4.21171771,7.69107018,0.75674218,0.142265553,5.73324854e-05,0.0151826527
0.0919952157,0.0,9.0,7.72196945,7.27811777,-4.18343856,7.69708452,0.757247578,0.14246477,5.31101985e-05,0.0151822404
0.0929952157,0.0,9.0,7.72468679,7.27814309,-4.1545067,7.70102368,0.756022046,0.143377558,5.0417687e-05,0.0151803523
0.0939952157,0.0,9.0,7.72844988,7.27814548,-4.12646213,7.70646104,0.756602816,0.143463666,4.69125651e-05,0.0151801741
0.0949952157,0.0,9.0,7.73088598,7.27816933,-4.09770404,7.70986662,0.75543306,0.144323729,4.47723858e-05,0.015178395
0.0959952157,0.0,9.0,7.73443855,7.27816908,-4.06987545,7.71482847,0.756072623,0.144314487,4.18250631e-05,0.015178414
0.0969952157,0.0,9.0,7.73662446,7.27819179,-4.04127865,7.71779107,0.754945491,0.145133482,4.01073193e-05,0.0151767199
0.0979952157,0.0,9.0,7.7399899,7.2781893,-4.01365051,7.72235653,0.75563151,0.145043633,3.75996366e-05,0.0151769057
0.0989952157,0.0,9.0,7.7419531,7.27821113,-3.98520515,7.72494737,0.754537334,0.145830659,3.620878e-05,0.0151752777
0.0999952157,0.0,9.0,7.74515193,7.27820674,-3.95776453,7.72917893,0.755260515,0.145672392,3.4052013e-05,0.015175605
0.100995216,0.0,9.0,7.74691652,7.27822788,-3.92946281,7.73145465,0.754192103,0.146434532,3.2916947e-05,0.0151740285
0.101995216,0.0,9.0,7.74996667,7.27822187,-3.90219895,7.7354022,0.754945363,0.14621792,3.10436354e-05,0.0151744765
0.102995216,0.0,9.0,7.75155377,7.27824248,-3.87403468,7.73740839,0.753897306,0.14696068,3.01108519e-05,0.0151729401
0.103995216,0.0,9.0,7.75447085,7.27823508,-3.84693859,7.74111222,0.754675176,0.146694055,2.84690771e-05,0.0151734916
0.104995216,0.0,9.0,7.75589889,7.27825527,-3.81890685,7.74288589,0.753643359,0.147421723,2.76978554e-05,0.0151719863
0.105995216,0.0,9.0,7.75869654,7.27824668,-3.79197098,7.74637886,0.754441573,0.147112002,2.62471917e-05,0.015172627
0.106995216,0.0,9.0,7.75998161,7.27826653,-3.7640678,7.74795043,0.753422834,0.147827922,2.56062098e-05,0.0151711461
0.107995216,0.0,9.0,7.76267172,7.27825691,-3.73728578,7.75125959,0.754238026,0.147480864,2.43148288e-05,0.0151718639
0.108995216,0.0,9.0,7.76382789,7.27827651,-3.70950795,7.75265422,0.753229909,0.148187653,2.3779747e-05,0.0151704019
0.109995216,0.0,9.0,7.76642086,7.27826598,-3.68287437,7.75580206,0.754059395,0.147808079,2.26223243e-05,0.0151711871
0.110995216,0.0,9.0,7.76746046,7.27828539,-3.65521926,7.75704078,0.753059976,0.148507792,2.21740445e-05,0.0151697396
0.111995216,0.0,9.0,7.7699654,7.27827408,-3.6287295,7.76004612,0.753901596,0.148099752,2.113023e-05,0.0151705837
0.112995216,0.0,9.0,7.77089924,7.27829333,-3.60119492,7.76114663,0.75290935,0.148794006,2.07536289e-05,0.0151691476
0.113995216,0.0,9.0,7.77332416,7.27828132,-3.574845,7.76402538,0.753761351,0.148360926,1.98069162e-05,0.0151700434
0.114995216,0.0,9.0,7.77416174,7.27830046,-3.54742913,7.76500269,0.752775063,0.149050997,1.94899142e-05,0.015168616
0.115995216,0.0,9.0,7.77651369,7.27828784,-3.52121559,7.76776836,0.753636007,0.148595785,1.86267968e-05,0.0151695576
0.116995216,0.0,9.0,7.77726343,7.27830689,-3.49391687,7.76863529,0.752654698,0.149282684,1.83596667e-05,0.0151681367
0.117995216,0.0,9.0,7.77954864,7.27829372,-3.46783669,7.77129945,0.753523398,0.148807822,1.75690014e-05,0.015169119
0.118995216,0.0,9.0,7.78021795,7.27831271,-3.44065379,7.77206702,0.752546275,0.149492353,1.73438501e-05,0.0151677029
0.119995216,0.0,9.0,7.78244197,7.27829905,-3.41470432,7.77463965,0.753421743,0.148999971,1.66163722e-05,0.0151687215
0.120995216,0.0,9.0,7.78303744,7.27831799,-3.38763607,7.77531738,0.752448159,0.149682772,1.6426749e-05,0.015167309
0.121995216,0.0,9.0,7.78520517,7.2783039,-3.36181495,7.7778071,0.753329567,0.149174706,1.57546997e-05,0.01516836
0.122995216,0.0,9.0,7.78573269,7.2783228,-3.33486033,7.77840328,0.752358988,0.149856286,1.5595297e-05,0.0151669501
0.123995216,0.0,9.0,7.78784851,7.27830832,-3.30916546,7.78081762,0.753245638,0.149334125,1.49721339e-05,0.0151680302
0.124995216,0.0,9.0,7.78831331,7.2783272,-3.28232356,7.78133947,0.752277625,0.15001489,1.4838557e-05,0.015166622
0.125995216,0.0,9.0,7.79038116,7.27831237,-3.25675305,7.78368503,0.753168922,0.149480018,1.42587287e-05,0.0151677284
