time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.0,18.0,9.0,9.0,8.99190737,0.0,0.0890287859,9.0,0.0,0.0
1e-07,18.0,9.00012566,9.00012564,8.99402934,0.000125663698,0.0891544148,9.00199881,0.00212180207,0.00106090104
1.13006175e-07,18.0,9.00014201,9.00014198,8.99430709,0.000142007736,0.0891707542,9.00225846,0.00239953011,0.00118456276
1.39018525e-07,18.0,9.0001747,9.00017466,8.99486611,0.000174695808,0.0892034326,9.00277713,0.00295850501,0.00140653496
1.91043225e-07,18.0,9.00024007,9.00024003,8.99600526,0.000240071939,0.0892687873,9.00381071,0.00409752324,0.00172973553
2.95092624e-07,18.0,9.00037082,9.00037075,8.99836738,0.000370824116,0.0893994881,9.00586284,0.00645930506,0.00209941387
5.03191423e-07,18.0,9.00063233,9.0006322,9.00342256,0.000632327938,0.0896608541,9.00990779,0.0115135526,0.00243530925
8.53170239e-07,18.0,9.00107212,9.00107189,9.01289722,0.00107212021,0.0901003096,9.01653615,0.020985873,0.00278050577
1.55312787e-06,18.0,9.00195169,9.00195122,9.03534651,0.00195168706,0.0909788236,9.02916526,0.0434273538,0.00344256328
2.95304313e-06,18.0,9.00371069,9.00370961,9.09309927,0.00371069052,0.0927343286,9.05211725,0.101149161,0.00463373122
5.75287365e-06,18.0,9.0072277,9.00722495,9.2521141,0.00722770009,0.0962396252,9.09020447,0.260021896,0.00657624856
1.12339844e-05,18.0,9.01410531,9.01409799,9.68580685,0.0141053216,0.103081038,9.14268828,0.693018636,0.00913016004
1.9490735e-05,18.0,9.02443158,9.02441536,10.5240194,0.0244316045,0.113332613,9.18796361,1.52885461,0.0110690001
2.9490735e-05,18.0,9.03684739,9.03681844,11.6788822,0.0368474464,0.125642192,9.21603893,2.6783435,0.0119040761
3.9490735e-05,18.0,9.04911777,9.04907401,12.8855407,0.0491178682,0.137798966,9.23204883,3.87668841,0.0120597094
4.9490735e-05,18.0,9.06119429,9.06113273,14.0974901,0.0611944442,0.149758059,9.24338458,5.07732521,0.0119551184
5.9490735e-05,18.0,9.07302929,9.0729443,15.2958602,0.0730295137,0.161470946,9.25247218,6.26140347,0.0117309305
6.9490735e-05,18.0,9.08457607,9.08443163,16.4698111,0.0845763691,0.172861475,9.25979272,7.4181393,0.0114102008
7.9490735e-05,18.0,9.09578905,9.07818479,16.8468392,0.0957894402,0.166567937,9.07402591,7.77613721,-0.0039431751
8.9490735e-05,18.0,9.10662398,9.07852445,16.8463359,0.106624474,0.166908175,9.08054661,7.75622112,0.00339802922
9.9490735e-05,18.0,9.11703811,9.07840516,16.8486015,0.11703871,0.16678848,9.0778826,7.7391186,-0.00360011684
0.000109490735,18.0,9.12699032,9.07844123,16.8482473,0.126991048,0.166824645,9.07862899,7.71944382,0.00307315595
0.000119490735,18.0,9.13644135,9.07847365,16.8503742,0.136442209,0.166856908,9.07886202,7.70229467,-0.00328889804
0.000129490735,18.0,9.1453539,9.07843549,16.8501375,0.145354896,0.166818716,9.07818199,7.68282913,0.00277824456
0.000139490735,18.0,9.15369279,9.0785025,16.8521471,0.153693934,0.16688563,9.07909083,7.66565419,-0.00300605734
0.000149490735,18.0,9.16142511,9.07844977,16.8520122,0.161426411,0.166832835,9.07811674,7.64638178,0.00251028227
0.000159490735,18.0,9.16852034,9.07852111,16.853917,0.168521813,0.166904102,9.07912643,7.62919328,-0.00274886923
0.000169490735,18.0,9.1749505,9.07846901,16.8538731,0.174952136,0.166851931,9.07814799,7.61010272,0.0022667457
0.000179490735,18.0,9.18069018,9.07853718,16.8556829,0.180692002,0.166920033,9.07911468,7.59290998,-0.0025149662
0.000189490735,18.0,9.18571676,9.0784893,16.8557211,0.18571876,0.166872071,9.07820128,7.57399189,0.00204539718
0.000199490735,18.0,9.19001038,9.07855272,16.8574443,0.190012571,0.166935423,9.07909352,7.5568029,-0.00230222464
0.000209490735,18.0,9.19355411,9.07850961,16.8575567,0.193556489,0.166892241,9.07825735,7.53804896,0.00184421699
0.000219490735,18.0,9.19633395,9.07856822,16.8592008,0.196336528,0.166950782,9.07907263,7.52087081,-0.0021087213
0.000229490735,18.0,9.19833894,9.07852971,16.8593802,0.198341716,0.166912193,9.07831142,7.50227347,0.00166137267
0.000239490735,18.0,9.19956117,9.07858381,16.8609522,0.19956414,0.166966227,9.0790543,7.48511254,-0.00193270953
0.000249490735,18.0,9.1999958,9.07854954,16.8611921,0.199998976,0.166931877,9.07836248,7.46666493,0.00149519911
0.000259490735,18.0,9.19964114,9.0785995,16.862698,0.199644507,0.166981775,9.07903889,7.449527,-0.00177260174
0.000269490735,18.0,9.19849856,9.07856909,16.8629926,0.198502133,0.166951293,9.07841049,7.43122283,0.0013441826
0.000279490735,18.0,9.19657259,9.07861529,16.8644381,0.196576361,0.166997419,9.07902629,7.41411309,-0.00162695456
0.000289490735,18.0,9.19387083,9.0785884,16.8647821,0.193874792,0.166970454,9.07845563,7.39594661,0.00120694694
0.000299490735,18.0,9.19040393,9.07863115,16.8661724,0.190408088,0.167013144,9.07901628,7.37886977,-0.00149445571
0.000309490735,18.0,9.18618559,9.07860746,16.8665609,0.18618993,0.166989376,9.07849814,7.36083572,0.00108224084
0.000319490735,18.0,9.18123244,9.07864709,16.8679005,0.181236966,0.167028937,9.07900863,7.34379601,-0.00137391202
0.000329490735,18.0,9.17556404,9.07862629,16.8683292,0.175568742,0.167008071,9.07853824,7.32588958,0.000968926622
0.000339490735,18.0,9.16920275,9.07866307,16.8696224,0.169207628,0.167044785,9.07900311,7.30889081,-0.00126423862
0.000349490735,18.0,9.16217369,9.07864492,16.8700872,0.16217873,0.167026554,9.07857615,7.29110758,0.000865969863
0.000359490735,18.0,9.15450458,9.0786791,16.8713379,0.154509786,0.167060675,9.07899954,7.2741532,-0.00116444913
0.000369490735,18.0,9.14622571,9.07866334,16.8718351,0.146231062,0.167044837,9.07861205,7.25648913,0.00077243005
0.000379490735,18.0,9.13736974,9.07869516,16.8730468,0.137375231,0.167076597,9.07899772,7.23958222,-0.00107364671
0.000389490735,18.0,9.12797162,9.07868157,16.8735733,0.127977243,0.16706293,9.07864612,7.22203358,0.000687452042
0.000399490735,18.0,9.11806844,9.07871125,16.8747491,0.118074187,0.16709254,9.0789975,7.20517692,-0.000991015893
0.000409490735,18.0,9.10769928,9.07869962,16.8753017,0.107705147,0.167080845,9.07867852,7.18774032,0.000610258324
0.000419490735,18.0,9.09690508,9.07872734,16.8764446,0.0969110429,0.167108496,9.07899871,7.1709364,-0.000915815274
0.000429490735,18.0,9.08572842,9.0787175,16.8770207,0.0857344756,0.167098591,9.07870939,7.15360869,0.000540141959
0.000430740735,18.0,9.08430663,9.07872673,16.8772499,0.0843126943,0.167107807,9.07884301,7.15160313,-0.000108549615
0.000433240735,18.0,9.08144753,9.07873026,16.8774838,0.0814536172,0.167111326,9.07886809,7.14736902,-0.000221169384
0.000433865735,18.0,9.08072959,9.07873025,16.8775288,0.0807356801,0.167111312,9.07885984,7.14629752,-0.00017829862
0.000435115735,18.0,9.07928998,9.07873021,16.877613,0.0792960817,0.167111261,9.07884398,7.14414899,-0.00016723635
0.000435428235,18.0,9.07892931,9.07857653,16.8747733,0.0789354144,0.166957613,9.07644268,7.14075168,-0.000864133949
0.000436053235,18.0,9.07820706,9.07792416,16.8619164,0.0782131681,0.166305481,9.06639334,7.12678137,-0.0029415808
