 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 0.00000000e+00  0.00000000e+00  1.80000000e+01  9.00000000e+00  9.00000000e+00  8.99190737e+00  0.00000000e+00  8.90287859e-02  9.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.00000000e-07  1.80000000e+01  9.00012566e+00  9.00012564e+00  8.99402934e+00  1.25663698e-04  8.91544148e-02  9.00199881e+00  2.12180207e-03  1.06090104e-03 
 1.13006175e-07  1.13006175e-07  1.80000000e+01  9.00014201e+00  9.00014198e+00  8.99430709e+00  1.42007736e-04  8.91707542e-02  9.00225846e+00  2.39953011e-03  1.18456276e-03 
 1.39018525e-07  1.39018525e-07  1.80000000e+01  9.00017470e+00  9.00017466e+00  8.99486611e+00  1.74695808e-04  8.92034326e-02  9.00277713e+00  2.95850501e-03  1.40653496e-03 
 1.91043225e-07  1.91043225e-07  1.80000000e+01  9.00024007e+00  9.00024003e+00  8.99600526e+00  2.40071939e-04  8.92687873e-02  9.00381071e+00  4.09752324e-03  1.72973553e-03 
 2.95092624e-07  2.95092624e-07  1.80000000e+01  9.00037082e+00  9.00037075e+00  8.99836738e+00  3.70824116e-04  8.93994881e-02  9.00586284e+00  6.45930506e-03  2.09941387e-03 
 5.03191423e-07  5.03191423e-07  1.80000000e+01  9.00063233e+00  9.00063220e+00  9.00342256e+00  6.32327938e-04  8.96608541e-02  9.00990779e+00  1.15135526e-02  2.43530925e-03 
 8.53170239e-07  8.53170239e-07  1.80000000e+01  9.00107212e+00  9.00107189e+00  9.01289722e+00  1.07212021e-03  9.01003096e-02  9.01653615e+00  2.09858730e-02  2.78050577e-03 
 1.55312787e-06  1.55312787e-06  1.80000000e+01  9.00195169e+00  9.00195122e+00  9.03534651e+00  1.95168706e-03  9.09788236e-02  9.02916526e+00  4.34273538e-02  3.44256328e-03 
 2.95304313e-06  2.95304313e-06  1.80000000e+01  9.00371069e+00  9.00370961e+00  9.09309927e+00  3.71069052e-03  9.27343286e-02  9.05211725e+00  1.01149161e-01  4.63373122e-03 
 5.75287365e-06  5.75287365e-06  1.80000000e+01  9.00722770e+00  9.00722495e+00  9.25211410e+00  7.22770009e-03  9.62396252e-02  9.09020447e+00  2.60021896e-01  6.57624856e-03 
 1.12339844e-05  1.12339844e-05  1.80000000e+01  9.01410531e+00  9.01409799e+00  9.68580685e+00  1.41053216e-02  1.03081038e-01  9.14268828e+00  6.93018636e-01  9.13016004e-03 
 1.94907350e-05  1.94907350e-05  1.80000000e+01  9.02443158e+00  9.02441536e+00  1.05240194e+01  2.44316045e-02  1.13332613e-01  9.18796361e+00  1.52885461e+00  1.10690001e-02 
 2.94907350e-05  2.94907350e-05  1.80000000e+01  9.03684739e+00  9.03681844e+00  1.16788822e+01  3.68474464e-02  1.25642192e-01  9.21603893e+00  2.67834350e+00  1.19040761e-02 
 3.94907350e-05  3.94907350e-05  1.80000000e+01  9.04911777e+00  9.04907401e+00  1.28855407e+01  4.91178682e-02  1.37798966e-01  9.23204883e+00  3.87668841e+00  1.20597094e-02 
 4.94907350e-05  4.94907350e-05  1.80000000e+01  9.06119429e+00  9.06113273e+00  1.40974901e+01  6.11944442e-02  1.49758059e-01  9.24338458e+00  5.07732521e+00  1.19551184e-02 
 5.94907350e-05  5.94907350e-05  1.80000000e+01  9.07302929e+00  9.07294430e+00  1.52958602e+01  7.30295137e-02  1.61470946e-01  9.25247218e+00  6.26140347e+00  1.17309305e-02 
