time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,5.0,0.0,1.5201957,0.876891599,3.08437585,0.0
1e-06,5.0,6.28318489e-06,1.52020193,0.87689162,3.08395993,-0.00041590983
2e-06,5.0,1.25663673e-05,1.52020815,0.87689166,3.08354622,-0.000829595481
4e-06,5.0,2.51327148e-05,1.52022053,0.876891782,3.08272427,-0.00165147136
8e-06,5.0,5.02652708e-05,1.52024504,0.876892262,3.08111291,-0.00326253121
1.6e-05,5.0,0.000100529272,1.52029305,0.876894141,3.07801672,-0.00635755952
3.2e-05,5.0,0.000201048383,1.52038521,0.876901331,3.07230245,-0.0120673594
6.4e-05,5.0,0.000402015494,1.52055559,0.876927724,3.06256,-0.0217933908
0.000128,5.0,0.000803381001,1.52085034,0.877017158,3.04859179,-0.0357058461
0.000228,5.0,0.00142767131,1.52121982,0.877217659,3.03705144,-0.0471207014
0.000328,5.0,0.00204632726,1.52151155,0.877453547,3.03317683,-0.0508468723
0.000428,5.0,0.00265690728,1.52175099,0.877695967,3.03337486,-0.0504952957
0.000528,5.0,0.00325700171,1.52195195,0.87792994,3.03564284,-0.0480779649
0.000628,5.0,0.00384424223,1.52212199,0.878148026,3.03894073,-0.0446395905
0.000728,5.0,0.00441631129,1.52226536,0.878346696,3.04272936,-0.040721624
0.000828,5.0,0.00497095119,1.5223846,0.87852444,3.0467295,-0.0366043254
0.000928,5.0,0.00550597301,1.52248134,0.878680795,3.05079672,-0.0324325073
0.001028,5.0,0.00601926528,1.52255674,0.878815832,3.05485624,-0.0282809894
0.001128,5.0,0.00650880225,1.52261174,0.8789299,3.05886922,-0.0241885183
0.001228,5.0,0.00697265196,1.52264712,0.879023487,3.06281502,-0.0201754949
0.001328,5.0,0.00740898379,1.52266363,0.879097155,3.06668225,-0.0162530738
0.001428,5.0,0.00781607575,1.52266197,0.879151503,3.07046389,-0.0124279707
0.001528,5.0,0.00819232123,1.52264285,0.879187155,3.07415502,-0.00870482986
0.001628,5.0,0.00853623536,1.52260698,0.87920475,3.07775143,-0.00508752124
0.001728,5.0,0.00884646086,1.52255507,0.879204948,3.08124657,-0.0015822743
0.001828,5.0,0.00912177343,1.52248787,0.879188404,3.0846452,0.00181600256
0.001928,5.0,0.00936108653,1.52240611,0.879155792,3.08793275,0.00509307989
0.002028,5.0,0.00956345569,1.52231058,0.879107815,3.09110905,0.00824916569
0.002128,5.0,0.00972808227,1.52220205,0.879045181,3.09416937,0.0112799044
0.002228,5.0,0.00985431655,1.52208134,0.878968612,3.09710885,0.0141807985
0.002328,5.0,0.00994166034,1.52194925,0.87887885,3.09992257,0.0169473585
0.002428,5.0,0.00998976894,1.52180664,0.878776651,3.10260557,0.0195750267
0.002528,5.0,0.00999845249,1.52165435,0.878662787,3.10515298,0.0220593488
0.002628,5.0,0.00996767671,1.52149326,0.878538047,3.10755992,0.0243959057
0.002728,5.0,0.00989756307,1.52132425,0.878403234,3.10982174,0.0265804847
0.002828,5.0,0.00978838826,1.52114822,0.878259168,3.11193388,0.0286090085
0.002928,5.0,0.00964058316,1.52096606,0.878106678,3.1138921,0.0304777017
0.003028,5.0,0.00945473108,1.52077869,0.877946609,3.11569235,0.0321830136
0.003128,5.0,0.0092315655,1.52058703,0.877779811,3.11733098,0.0337217794
0.003228,5.0,0.00897196715,1.52039199,0.877607148,3.11880459,0.0350911363
0.003328,5.0,0.00867696054,1.5201945,0.877429487,3.12011029,0.0362886777
0.003428,5.0,0.00834770994,1.51999546,0.877247701,3.12124549,0.0373123639
0.003528,5.0,0.00798551473,1.51979579,0.877062664,3.12220815,0.0381606696
0.003628,5.0,0.00759180435,1.5195964,0.876875251,3.12299662,0.0388324879
0.003728,5.0,0.00716813258,1.51939818,0.876686335,3.12360983,0.0393272719
0.003828,5.0,0.00671617147,1.519202,0.876496785,3.12404715,0.0396449324
0.003928,5.0,0.0062377047,1.51900873,0.876307461,3.12430854,0.0397859732
0.004028,5.0,0.00573462056,1.51881921,0.876119213,3.12439446,0.0397513827
0.004128,5.0,0.00520890449,1.51863428,0.875932882,3.12430598,0.0395427629
0.004228,5.0,0.00466263125,1.51845472,0.87574929,3.12404468,0.0391622156
0.004328,5.0,0.00409795674,1.5182813,0.875569244,3.12361277,0.0386124644
0.004428,5.0,0.00351710946,1.51811478,0.875393529,3.12301297,0.0378967356
0.004528,5.0,0.00292238177,1.51795586,0.875222911,3.12224861,0.0370188747
0.004628,5.0,0.00231612076,1.51780521,0.875058125,3.12132357,0.0359832206
0.004728,5.0,0.00170071909,1.51766348,0.874899884,3.12024231,0.034794717
0.004828,5.0,0.00107860545,1.51753126,0.874748867,3.11900978,0.033458781
