time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,5.0,0.0,1.13443934,0.50592635,3.89508941,0.0
1e-06,5.0,6.28318489e-06,1.1344456,0.505926362,3.89484748,-0.000241924311
2e-06,5.0,1.25663673e-05,1.13445183,0.505926386,3.89460389,-0.000485501145
4e-06,5.0,2.51327148e-05,1.13446428,0.505926457,3.89411874,-0.000970604942
8e-06,5.0,5.02652708e-05,1.13448897,0.505926741,3.8931609,-0.00192826461
1.6e-05,5.0,0.000100529272,1.13453762,0.505927859,3.89129422,-0.00379425061
3.2e-05,5.0,0.000201048383,1.13463202,0.505932202,3.88775012,-0.00733565553
6.4e-05,5.0,0.000402015494,1.13480996,0.505948621,3.88135014,-0.0137254234
0.000128,5.0,0.000803381001,1.13512743,0.506007333,3.87102601,-0.0240129629
0.000228,5.0,0.00142767131,1.13553915,0.506149727,3.8601723,-0.0347775931
0.000328,5.0,0.00204632726,1.13586984,0.506331662,3.85414495,-0.0406906006
0.000428,5.0,0.00265690728,1.1361393,0.506533155,3.85135647,-0.0433517385
0.000528,5.0,0.00325700171,1.13636096,0.506740786,3.85077494,-0.0438012177
0.000628,5.0,0.00384424223,1.13654399,0.506945578,3.8516582,-0.0427867631
0.000728,5.0,0.00441631129,1.1366946,0.507141657,3.85350791,-0.0408103974
0.000828,5.0,0.00497095119,1.13681705,0.507325225,3.85599116,-0.0382074228
0.000928,5.0,0.00550597301,1.1369143,0.507493873,3.85888548,-0.0352018697
0.001028,5.0,0.00601926528,1.13698846,0.507646117,3.86204223,-0.0319433861
0.001128,5.0,0.00650880225,1.13704111,0.507781092,3.86536124,-0.0285327512
0.001228,5.0,0.00697265196,1.13707344,0.507898349,3.86877469,-0.0250381263
0.001328,5.0,0.00740898379,1.13708643,0.507997723,3.87223571,-0.0215065833
0.001428,5.0,0.00781607575,1.13708093,0.508079245,3.8757115,-0.0179709797
0.001528,5.0,0.00819232123,1.13705771,0.50814308,3.87917811,-0.014455239
0.001628,5.0,0.00853623536,1.13701747,0.508189497,3.88261774,-0.0109770799
0.001728,5.0,0.00884646086,1.13696092,0.508218837,3.8860162,-0.00755055001
0.001828,5.0,0.00912177343,1.13688878,0.5082315,3.88936202,-0.0041869392
0.001928,5.0,0.00936108653,1.13680173,0.508227948,3.89264074,-0.000900518607
0.002028,5.0,0.00956345569,1.13670052,0.508208667,3.89585366,0.00231027003
0.002128,5.0,0.00972808227,1.13658592,0.50817416,3.89899043,0.00543530864
0.002228,5.0,0.00985431655,1.13645869,0.508124994,3.90203423,0.00845805555
0.002328,5.0,0.00994166034,1.13631962,0.508061772,3.90498327,0.0113770356
0.002428,5.0,0.00998976894,1.13616955,0.507985114,3.90783046,0.0141854955
0.002528,5.0,0.00999845249,1.13600932,0.507895669,3.91056876,0.0168767393
0.002628,5.0,0.00996767671,1.1358398,0.507794111,3.91319161,0.0194445517
0.002728,5.0,0.00989756307,1.13566187,0.507681139,3.91569243,0.0218827581
