 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  0.00000000e+00  1.13443934e+00  5.05926350e-01  3.89508941e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  5.00000000e+00  6.28318489e-06  1.13444560e+00  5.05926362e-01  3.89484748e+00 -2.41924311e-04 
 2.00000000e-06  2.00000000e-06  5.00000000e+00  1.25663673e-05  1.13445183e+00  5.05926386e-01  3.89460389e+00 -4.85501145e-04 
 4.00000000e-06  4.00000000e-06  5.00000000e+00  2.51327148e-05  1.13446428e+00  5.05926457e-01  3.89411874e+00 -9.70604942e-04 
 8.00000000e-06  8.00000000e-06  5.00000000e+00  5.02652708e-05  1.13448897e+00  5.05926741e-01  3.89316090e+00 -1.92826461e-03 
 1.60000000e-05  1.60000000e-05  5.00000000e+00  1.00529272e-04  1.13453762e+00  5.05927859e-01  3.89129422e+00 -3.79425061e-03 
 3.20000000e-05  3.20000000e-05  5.00000000e+00  2.01048383e-04  1.13463202e+00  5.05932202e-01  3.88775012e+00 -7.33565553e-03 
 6.40000000e-05  6.40000000e-05  5.00000000e+00  4.02015494e-04  1.13480996e+00  5.05948621e-01  3.88135014e+00 -1.37254234e-02 
 1.28000000e-04  1.28000000e-04  5.00000000e+00  8.03381001e-04  1.13512743e+00  5.06007333e-01  3.87102601e+00 -2.40129629e-02 
 2.28000000e-04  2.28000000e-04  5.00000000e+00  1.42767131e-03  1.13553915e+00  5.06149727e-01  3.86017230e+00 -3.47775931e-02 
 3.28000000e-04  3.28000000e-04  5.00000000e+00  2.04632726e-03  1.13586984e+00  5.06331662e-01  3.85414495e+00 -4.06906006e-02 
 4.28000000e-04  4.28000000e-04  5.00000000e+00  2.65690728e-03  1.13613930e+00  5.06533155e-01  3.85135647e+00 -4.33517385e-02 
 5.28000000e-04  5.28000000e-04  5.00000000e+00  3.25700171e-03  1.13636096e+00  5.06740786e-01  3.85077494e+00 -4.38012177e-02 
 6.28000000e-04  6.28000000e-04  5.00000000e+00  3.84424223e-03  1.13654399e+00  5.06945578e-01  3.85165820e+00 -4.27867631e-02 
 7.28000000e-04  7.28000000e-04  5.00000000e+00  4.41631129e-03  1.13669460e+00  5.07141657e-01  3.85350791e+00 -4.08103974e-02 
 8.28000000e-04  8.28000000e-04  5.00000000e+00  4.97095119e-03  1.13681705e+00  5.07325225e-01  3.85599116e+00 -3.82074228e-02 
 9.28000000e-04  9.28000000e-04  5.00000000e+00  5.50597301e-03  1.13691430e+00  5.07493873e-01  3.85888548e+00 -3.52018697e-02 
 1.02800000e-03  1.02800000e-03  5.00000000e+00  6.01926528e-03  1.13698846e+00  5.07646117e-01  3.86204223e+00 -3.19433861e-02 
 1.12800000e-03  1.12800000e-03  5.00000000e+00  6.50880225e-03  1.13704111e+00  5.07781092e-01  3.86536124e+00 -2.85327512e-02 
 1.22800000e-03  1.22800000e-03  5.00000000e+00  6.97265196e-03  1.13707344e+00  5.07898349e-01  3.86877469e+00 -2.50381263e-02 
 1.32800000e-03  1.32800000e-03  5.00000000e+00  7.40898379e-03  1.13708643e+00  5.07997723e-01  3.87223571e+00 -2.15065833e-02 
 1.42800000e-03  1.42800000e-03  5.00000000e+00  7.81607575e-03  1.13708093e+00  5.08079245e-01  3.87571150e+00 -1.79709797e-02 
 1.52800000e-03  1.52800000e-03  5.00000000e+00  8.19232123e-03  1.13705771e+00  5.08143080e-01  3.87917811e+00 -1.44552390e-02 
 1.62800000e-03  1.62800000e-03  5.00000000e+00  8.53623536e-03  1.13701747e+00  5.08189497e-01  3.88261774e+00 -1.09770799e-02 
 1.72800000e-03  1.72800000e-03  5.00000000e+00  8.84646086e-03  1.13696092e+00  5.08218837e-01  3.88601620e+00 -7.55055001e-03 
 1.82800000e-03  1.82800000e-03  5.00000000e+00  9.12177343e-03  1.13688878e+00  5.08231500e-01  3.88936202e+00 -4.18693920e-03 
 1.92800000e-03  1.92800000e-03  5.00000000e+00  9.36108653e-03  1.13680173e+00  5.08227948e-01  3.89264074e+00 -9.00518607e-04 
 2.02800000e-03  2.02800000e-03  5.00000000e+00  9.56345569e-03  1.13670052e+00  5.08208667e-01  3.89585366e+00  2.31027003e-03 
 2.12800000e-03  2.12800000e-03  5.00000000e+00  9.72808227e-03  1.13658592e+00  5.08174160e-01  3.89899043e+00  5.43530864e-03 
 2.22800000e-03  2.22800000e-03  5.00000000e+00  9.85431655e-03  1.13645869e+00  5.08124994e-01  3.90203423e+00  8.45805555e-03 
 2.32800000e-03  2.32800000e-03  5.00000000e+00  9.94166034e-03  1.13631962e+00  5.08061772e-01  3.90498327e+00  1.13770356e-02 
 2.42800000e-03  2.42800000e-03  5.00000000e+00  9.98976894e-03  1.13616955e+00  5.07985114e-01  3.90783046e+00  1.41854955e-02 
 2.52800000e-03  2.52800000e-03  5.00000000e+00  9.99845249e-03  1.13600932e+00  5.07895669e-01  3.91056876e+00  1.68767393e-02 
 2.62800000e-03  2.62800000e-03  5.00000000e+00  9.96767671e-03  1.13583980e+00  5.07794111e-01  3.91319161e+00  1.94445517e-02 
 2.72800000e-03  2.72800000e-03  5.00000000e+00  9.89756307e-03  1.13566187e+00  5.07681139e-01  3.91569243e+00  2.18827581e-02 
 2.82800000e-03  2.82800000e-03  5.00000000e+00  9.78838826e-03  1.13547644e+00  5.07557477e-01  3.91806515e+00  2.41856791e-02 
 2.92800000e-03  2.92800000e-03  5.00000000e+00  9.64058316e-03  1.13528445e+00  5.07423870e-01  3.92030375e+00  2.63477097e-02 
 3.02800000e-03  3.02800000e-03  5.00000000e+00  9.45473108e-03  1.13508681e+00  5.07281084e-01  3.92240272e+00  2.83637843e-02 
 3.12800000e-03  3.12800000e-03  5.00000000e+00  9.23156550e-03  1.13488447e+00  5.07129902e-01  3.92435668e+00  3.02289620e-02 
 3.22800000e-03  3.22800000e-03  5.00000000e+00  8.97196715e-03  1.13467840e+00  5.06971127e-01  3.92616080e+00  3.19388932e-02 
 3.32800000e-03  3.32800000e-03  5.00000000e+00  8.67696054e-03  1.13446953e+00  5.06805574e-01  3.92781045e+00  3.34894061e-02 
 3.42800000e-03  3.42800000e-03  5.00000000e+00  8.34770994e-03  1.13425884e+00  5.06634072e-01  3.92930160e+00  3.48769717e-02 
 3.52800000e-03  3.52800000e-03  5.00000000e+00  7.98551473e-03  1.13404726e+00  5.06457461e-01  3.93063045e+00  3.60982880e-02 
 3.62800000e-03  3.62800000e-03  5.00000000e+00  7.59180435e-03  1.13383576e+00  5.06276588e-01  3.93179389e+00  3.71507418e-02 
 3.72800000e-03  3.72800000e-03  5.00000000e+00  7.16813258e-03  1.13362528e+00  5.06092307e-01  3.93278905e+00  3.80319908e-02 
 3.82800000e-03  3.82800000e-03  5.00000000e+00  6.71617147e-03  1.13341673e+00  5.05905476e-01  3.93361380e+00  3.87404199e-02 
 3.92800000e-03  3.92800000e-03  5.00000000e+00  6.23770470e-03  1.13321104e+00  5.05716951e-01  3.93426631e+00  3.92747207e-02 
 4.02800000e-03  4.02800000e-03  5.00000000e+00  5.73462056e-03  1.13300911e+00  5.05527591e-01  3.93474549e+00  3.96343432e-02 
 4.12800000e-03  4.12800000e-03  5.00000000e+00  5.20890449e-03  1.13281180e+00  5.05338247e-01  3.93505060e+00  3.98190714e-02 
 4.22800000e-03  4.22800000e-03  5.00000000e+00  4.66263125e-03  1.13261997e+00  5.05149764e-01  3.93518168e+00  3.98294700e-02 
 4.32800000e-03  4.32800000e-03  5.00000000e+00  4.09795674e-03  1.13243445e+00  5.04962978e-01  3.93513912e+00  3.96664562e-02 
 4.42800000e-03  4.42800000e-03  5.00000000e+00  3.51710946e-03  1.13225602e+00  5.04778713e-01  3.93492409e+00  3.93317416e-02 
 4.52800000e-03  4.52800000e-03  5.00000000e+00  2.92238177e-03  1.13208544e+00  5.04597776e-01  3.93453818e+00  3.88273992e-02 
