time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,3.66400021,3.02445816,6.76332305,0.0,0.0,12.0,0.0
1e-06,7.14751734e-06,3.66400736,3.02445816,6.7624954,-0.000827639462,1.25663698e-05,12.0,0.0
2e-06,1.65438361e-05,3.66401674,3.02445816,6.7614265,-0.0018965252,2.51327346e-05,12.0,0.0
4e-06,3.66075257e-05,3.66403679,3.02445818,6.7591365,-0.00418645648,5.02654295e-05,12.0,0.0
8e-06,7.81518953e-05,3.66407826,3.02445824,6.75438954,-0.00893316105,0.000100530542,12.0,0.0
1.6e-05,0.000160567231,3.66416042,3.02445852,6.74498955,-0.0183320555,0.000201058543,12.0,0.0
3.2e-05,0.000325875274,3.6643248,3.02445962,6.72613147,-0.0371856948,0.000402096767,12.0,0.0
6.4e-05,0.000656257857,3.66465159,3.02446408,6.68860882,-0.0746904437,0.000804030987,12.0,0.0
0.000128,0.00131743259,3.66529878,3.02448189,6.61410794,-0.149119707,0.001606762,12.0,0.0
0.000228,0.00234846852,3.66629001,3.0245332,6.4997391,-0.263282349,0.00285534262,12.0,0.0
0.000328,0.00337448691,3.66725477,3.02461251,6.38850018,-0.374202526,0.00409265451,12.0,0.0
0.000428,0.00439153136,3.6681898,3.02471893,6.28124292,-0.48103217,0.00531381456,12.0,0.0
0.000528,0.00539654041,3.66909282,3.02485136,6.17867444,-0.583068592,0.00651400341,12.0,0.0
0.000628,0.00638561819,3.66996088,3.02500852,6.08157893,-0.679532806,0.00768848447,12.0,0.0
0.000728,0.0073557211,3.67079199,3.02518896,5.99057366,-0.769813405,0.00883262259,12.0,0.0
0.000828,0.00830418711,3.67158473,3.02539099,5.90698435,-0.852591509,0.00994190238,12.0,0.0
0.000928,0.00922530266,3.67233463,3.02561286,5.82985696,-0.928828188,0.011011946,12.0,0.0
0.001028,0.0101170842,3.673041,3.02585279,5.76051169,-0.99721044,0.0120385306,12.0,0.0
0.001128,0.010976178,3.67370195,3.02610879,5.69934986,-1.05734499,0.0130176045,12.0,0.0
0.001228,0.0117993402,3.67431575,3.02637876,5.64668864,-1.10892308,0.0139453039,12.0,0.0
0.001328,0.0125833402,3.67488072,3.02666056,5.60277256,-1.15170884,0.0148179676,12.0,0.0
0.001428,0.0133250765,3.67539537,3.02695199,5.56775721,-1.18555556,0.0156321515,12.0,0.0
0.001528,0.0140214929,3.67585827,3.02725081,5.54172712,-1.21038768,0.0163846425,12.0,0.0
0.001628,0.0146696908,3.67626817,3.02755479,5.52468218,-1.22621432,0.0170724707,12.0,0.0
0.001728,0.0152668526,3.67662389,3.0278617,5.5165569,-1.23310993,0.0176929217,12.0,0.0
0.001828,0.0158103501,3.67692443,3.02816934,5.51720904,-1.23122562,0.0182435469,12.0,0.0
0.001928,0.0162976733,3.67716887,3.02847554,5.52643954,-1.22076913,0.0187221731,12.0,0.0
0.002028,0.0167265339,3.67735648,3.02877821,5.54398276,-1.20201451,0.0191269114,12.0,0.0
0.002128,0.0170947986,3.67748666,3.02907533,5.56952652,-1.1752821,0.0194561645,12.0,0.0
0.002228,0.0174005861,3.67755898,3.02936495,5.60270358,-1.14094694,0.0197086331,12.0,0.0
0.002328,0.017642204,3.67757314,3.02964523,5.64311124,-1.09941909,0.0198833207,12.0,0.0
0.002428,0.0178182392,3.67752905,3.02991444,5.69030375,-1.05115129,0.0199795379,12.0,0.0
