time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
1e-05,5.0,4.27390008,4.27356877,0.622124258,0.0742530216,1.07097608,0.0217039643,0.0155542859,0.0157548049
1.02401101e-05,5.0,4.27377979,4.27358717,0.623245922,0.054547257,1.05119106,0.0228157045,0.015626788,0.015743598
1.07203302e-05,5.0,4.26748999,11.009169,11.6040891,-1.05287634,-0.0618181269,11.009169,0.0199287912,-6.01916902e-12
1.09693911e-05,5.0,4.27343331,4.27375552,0.642669473,-0.0027000584,0.985466328,0.0505612428,0.015837531,0.0156414603
1.10688699e-05,5.0,4.27342214,4.27376952,0.645007982,-0.00455837025,0.983578366,0.052861003,0.0158443723,0.0156329947
1.1146314e-05,5.0,4.27341216,4.27377768,0.646374919,-0.00621889469,0.981893575,0.054200552,0.0158504854,0.0156280635
1.12349442e-05,5.0,4.27339888,4.27379719,0.649604488,-0.00842970171,0.979654014,0.0574020072,0.0158586244,0.0156162785
1.13507726e-05,5.0,4.27337455,4.27381272,0.652181008,-0.0124839906,0.975561049,0.0599474635,0.0158735502,0.0156069084
1.14615217e-05,5.0,4.27334162,4.27383153,0.655286801,-0.0179778349,0.970029736,0.0630301725,0.0158937757,0.0155955606
1.15590006e-05,5.0,4.27331186,4.2738289,0.654870393,-0.0229469564,0.965027639,0.0625990537,0.0159120697,0.0155971476
1.16521395e-05,5.0,4.27330489,4.27383645,0.656116446,-0.0241118684,0.963831111,0.0638356673,0.0159163584,0.0155925955
1.17390578e-05,5.0,4.2733202,4.27383014,0.655087918,-0.0215543749,0.966358533,0.0628015783,0.0159069429,0.0155964021
1.18215324e-05,5.0,4.2733407,4.27383898,0.656540457,-0.0181314231,0.969752209,0.0642508067,0.0158943413,0.0155910673
1.19086604e-05,5.0,4.27335285,4.2738335,0.655644301,-0.0161039498,0.971748136,0.063352293,0.0158868771,0.0155943748
1.1996424e-05,5.0,4.27335819,4.27384268,0.657149979,-0.0152122646,0.97260772,0.0648561038,0.0158835943,0.0155888392
1.21053526e-05,5.0,4.27335915,4.27383694,0.656211925,-0.0150523988,0.972727595,0.0639159448,0.0158830057,0.0155923
1.22538462e-05,5.0,4.27336012,4.27384546,0.657610767,-0.0148900321,0.972835385,0.0653119994,0.015882408,0.0155871618
1.2506083e-05,5.0,4.27335981,4.27383882,0.656527776,-0.0149423522,0.972690344,0.06422429,0.0158826006,0.0155911649
1.30035526e-05,5.0,4.27336098,4.27384624,0.657751345,-0.0147473464,0.972702518,0.0654385289,0.0158818827,0.0155866952
1.39984919e-05,5.0,4.27336193,4.27383907,0.656597044,-0.0145890568,0.972495333,0.0642654798,0.0158812999,0.0155910133
1.59883704e-05,5.0,4.27336523,4.27384645,0.657842453,-0.014038958,0.972315246,0.0654730296,0.0158792748,0.0155865682
1.99681275e-05,5.0,4.27337043,4.27383954,0.656787492,-0.0131709671,0.971725898,0.0643409225,0.0158760793,0.0155907356
2.79276417e-05,5.0,4.27338232,4.27384746,0.658245372,-0.0111888879,0.970805347,0.0656388674,0.0158687839,0.0155859585
4.38466701e-05,5.0,4.27340464,4.27384127,0.657572891,-0.0074712433,0.968764355,0.0646248833,0.0158550959,0.0155896903
7.56847269e-05,5.0,4.27345135,4.2738507,0.659879763,0.000299663137,0.965194339,0.0661687859,0.0158264877,0.0155840071
0.00013936084,5.0,4.27354512,4.27384697,0.661066805,0.0158571267,0.958701222,0.0655580495,0.0157692149,0.0155862553
0.000266713067,5.0,4.27374293,4.27385937,0.667441823,0.0484924335,0.949231889,0.0675869892,0.0156490775,0.0155787866
0.000521417521,5.0,4.27415258,4.27385569,0.676827673,0.115296869,0.937136956,0.06698613,0.0154031778,0.0155809985
0.001,5.0,4.2748318,4.27386913,0.698687107,0.223767567,0.913577602,0.0691842951,0.0150039505,0.0155729068
0.00105094089,5.0,4.27489077,4.27386592,0.700254856,0.233059751,0.910263813,0.0686598892,0.0149697835,0.0155748373
0.00115282267,5.0,4.27499888,4.27386804,0.704778771,0.250016573,0.902725717,0.0690056476,0.014907342,0.0155735644
0.00135658624,5.0,4.27516119,4.27387466,0.714175881,0.275360004,0.884054043,0.0700890921,0.0148140836,0.0155695762
0.00162875989,5.0,4.27517171,4.2738998,0.729259268,0.276995798,0.842098504,0.0741974912,0.0148080605,0.0155544531
0.00193262125,5.0,4.27385973,4.27549943,0.942102468,0.0676457501,0.620707805,0.327671889,0.0155785703,0.0146216225
0.00210260539,5.0,4.2738597,4.27582262,0.939588409,0.0676412811,0.627889798,0.377010835,0.0155785867,0.014440058
0.00226800019,5.0,4.2738606,4.27613261,0.936730141,0.0677886013,0.635016306,0.423765171,0.0155780444,0.0142680275
0.00244803637,5.0,4.2738607,4.276468,0.93369551,0.0678047906,0.642614129,0.473732434,0.0155779848,0.0140842058
0.00280810872,5.0,4.2738626,4.27711635,0.926091265,0.0681162034,0.658036886,0.568517745,0.0155768385,0.0137355504
0.00352825342,5.0,4.27386801,4.27824662,0.90228173,0.0690018139,0.688887436,0.728231632,0.0155735786,0.0131482438
0.00365325342,5.0,4.27387063,4.27839695,0.895507879,0.0694292922,0.694468256,0.748943637,0.0155720049,0.0130720493
0.00390325342,5.0,4.27387743,4.27864293,0.878204946,0.0705413699,0.705849654,0.782598086,0.0155679114,0.0129483211
0.00413607665,5.0,4.27557714,4.27386222,0.147302141,0.33958463,0.94358695,0.0680541629,0.0145777553,0.0155770669
0.00430150392,5.0,4.2759006,4.27386175,0.154982247,0.388857853,0.941869498,0.0679766905,0.0143965854,0.0155773521
0.00445428804,5.0,4.27619591,4.27386288,0.162321432,0.433245742,0.939723891,0.068162285,0.0142331492,0.0155766692
0.00463884608,5.0,4.27655679,4.27386247,0.170881659,0.486853425,0.937828523,0.0680954055,0.0140359389,0.0155769156
0.00500796215,5.0,4.27726238,4.27386389,0.188321237,0.590940099,0.933187023,0.0683271793,0.0136582209,0.0155760619
0.00574619429,5.0,4.27866965,4.27386462,0.222670704,0.791593081,0.925186211,0.0684459133,0.0129349527,0.0155756248
0.00674619429,5.0,4.28057616,4.27386766,0.269146597,1.04556746,0.914303034,0.0689441252,0.0120158051,0.015573791
0.00774619429,5.0,4.28251724,4.27386942,0.31496595,1.28172223,0.904760275,0.0692321009,0.0111470616,0.0155727309
0.00874619429,5.0,4.2844546,4.27387309,0.36065527,1.50018394,0.895284073,0.069832546,0.0103426172,0.0155705207
0.00974619429,5.0,4.28639548,4.27387518,0.405647451,1.70343672,0.887062356,0.0701743636,0.00959491819,0.0155692623
0.0107461943,5.0,4.28832934,4.27387935,0.450544032,1.89139669,0.878810587,0.0708552911,0.00890369105,0.015566756
0.0117461943,5.0,4.29026708,4.27388169,0.49471209,2.06637209,0.871728533,0.0712385546,0.00826102228,0.015565345
0.0127461943,5.0,4.29219598,4.27388632,0.538825519,2.22805948,0.86450817,0.0719947994,0.00766736148,0.0155625614
0.0137461943,5.0,4.29419476,4.27388924,0.58223199,2.37796811,0.858039448,0.0724722788,0.00709716124,0.0155608036
0.0147461943,5.0,4.29605732,4.27389574,0.625782324,2.51296413,0.849939154,0.0735348427,0.00660405497,0.0155568922
0.0157461943,5.0,4.29764068,4.27390685,0.669578111,2.6204269,0.835112551,0.0753500825,0.00621190288,0.0155502103
0.0157621475,5.0,4.29645119,4.27423858,0.72405616,2.54030386,0.755465047,0.129185925,0.00650424941,0.0153520477
0.0157940539,5.0,4.29647179,4.27422596,0.723306691,2.54172275,0.757770393,0.127151383,0.00649907259,0.0153595373
0.0158107186,5.0,4.29644019,4.27422546,0.723895843,2.53954534,0.756048065,0.127069282,0.00650701797,0.0153598377
0.0158268298,5.0,4.29646547,4.27421697,0.72317546,2.54128821,0.758224887,0.125699893,0.00650065963,0.0153648789
0.0158590522,5.0,4.29643056,4.27421234,0.723726588,2.53888348,0.756671663,0.124952888,0.00650943957,0.0153676279
0.0159174465,5.0,4.2964501,4.27419209,0.722810154,2.54022913,0.759499404,0.121683459,0.00650452398,0.0153796663
0.0160241249,5.0,4.29641087,4.27416641,0.722960401,2.53752572,0.759275101,0.117533295,0.00651439694,0.015394945
0.0162374818,5.0,4.29648494,4.27409544,0.720079573,2.54262907,0.767849742,0.10603926,0.0064957681,0.0154372454
0.0162908211,5.0,4.29649468,4.27407995,0.719724374,2.54329784,0.768908375,0.103526716,0.00649332169,0.0154464935
0.0163974995,5.0,4.29659666,4.27403689,0.717052891,2.55029988,0.776043578,0.0965348956,0.00646777026,0.0154722299
0.0164006018,5.0,4.29698568,4.2739574,0.704243159,2.57675616,0.802342911,0.0835980285,0.00637122069,0.0155198496
0.0164068065,5.0,4.2970335,4.27394523,0.702512294,2.5799811,0.805238898,0.0816127775,0.0063594537,0.0155271573
0.016410707,5.0,4.29699058,4.27395577,0.704391255,2.57708695,0.802138807,0.0833318327,0.006370015,0.0155208296
0.0164159931,5.0,4.29701218,4.27395017,0.703695536,2.57854495,0.803326462,0.0824194828,0.00636469567,0.0155241881
0.0164217588,5.0,4.29697986,4.27395759,0.705140838,2.57636316,0.800856394,0.0836285692,0.00637265453,0.0155197371
0.0164282285,5.0,4.29698548,4.2739558,0.705114486,2.57674232,0.800925654,0.0833372867,0.00637127111,0.0155208094
0.0164370059,5.0,4.29695151,4.27396294,0.706636821,2.57444744,0.798230633,0.0845003921,0.00637964479,0.015516528
0.0164478812,5.0,4.29693633,4.27396532,0.707468994,2.5734215,0.796748686,0.0848878503,0.00638338935,0.0155151018
0.0164481183,5.0,4.29612587,4.2740975,0.728964734,2.51775089,0.741091578,0.106374139,0.00658657439,0.0154360125
0.0164481225,5.0,4.29543292,4.27410211,0.729711913,2.51543156,0.73877251,0.107121153,0.00676542107,0.0154332628
0.0164481308,5.0,4.29600949,4.27411258,0.731408638,2.50961416,0.732955655,0.108817551,0.00661627899,0.0154270186
0.0164481474,5.0,4.29569895,4.27414777,0.737108848,2.48772682,0.711069806,0.114517116,0.00669619316,0.0154060395
0.0164481629,5.0,4.27467831,4.27473042,0.830345906,0.199500462,-1.57715302,0.207754475,0.0150932513,0.0150628739
0.0164481737,5.0,4.27417754,4.27612833,1.0457124,0.119331554,-1.65732118,0.423124305,0.0153883188,0.0142703853
0.0164481836,5.0,4.27425581,4.27476404,0.835655855,0.131963625,-1.64468852,0.213070855,0.015341823,0.0150433081
0.0164481947,5.0,4.27404127,4.27610739,1.04256666,0.0972473971,-1.67940399,0.419985114,0.0154696089,0.0142819471
0.0164482091,5.0,4.27414283,4.27479038,0.8398112,0.113716436,-1.66293406,0.217234147,0.0154089875,0.015027999
0.0164482251,5.0,4.27396198,4.27609565,1.04079549,0.0843445583,-1.69230486,0.418223411,0.0155171019,0.0142884269
0.0164482452,5.0,4.27407049,4.27481074,0.843013424,0.101992775,-1.67465539,0.220447638,0.0154521399,0.0150161714
0.0164482706,5.0,4.27390537,4.27609064,1.04002864,0.0751070604,-1.70153942,0.41747076,0.015551105,0.014291195
0.0164483036,5.0,4.27401502,4.27482651,0.845481286,0.0929791177,-1.68366527,0.222933703,0.0154853182,0.0150070213
0.0164483494,5.0,4.2738594,4.27609164,1.04015385,0.0675919313,-1.70904944,0.417620529,0.0155787685,0.0142906435
0.0164484166,5.0,4.27397068,4.2748391,0.847430805,0.0857618112,-1.69087525,0.224918438,0.0155118848,0.0149997167
0.0164485237,5.0,4.273823,4.27609691,1.04089008,0.0616324981,-1.71499758,0.418411057,0.0156007056,0.0142877349
0.0164487129,5.0,4.2739414,4.27484823,0.848777129,0.0809889831,-1.69562886,0.226357086,0.0155294534,0.014994422
