 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.00000000e-05  1.00000000e-05  5.00000000e+00  4.27390008e+00  4.27356877e+00  6.22124258e-01  7.42530216e-02  1.07097608e+00  2.17039643e-02  1.55542859e-02  1.57548049e-02 
 1.02401101e-05  1.02401101e-05  5.00000000e+00  4.27377979e+00  4.27358717e+00  6.23245922e-01  5.45472570e-02  1.05119106e+00  2.28157045e-02  1.56267880e-02  1.57435980e-02 
 1.07203302e-05  1.07203302e-05  5.00000000e+00  4.26748999e+00  1.10091690e+01  1.16040891e+01 -1.05287634e+00 -6.18181269e-02  1.10091690e+01  1.99287912e-02 -6.01916902e-12 
 1.09693911e-05  1.09693911e-05  5.00000000e+00  4.27343331e+00  4.27375552e+00  6.42669473e-01 -2.70005840e-03  9.85466328e-01  5.05612428e-02  1.58375310e-02  1.56414603e-02 
 1.10688699e-05  1.10688699e-05  5.00000000e+00  4.27342214e+00  4.27376952e+00  6.45007982e-01 -4.55837025e-03  9.83578366e-01  5.28610030e-02  1.58443723e-02  1.56329947e-02 
 1.11463140e-05  1.11463140e-05  5.00000000e+00  4.27341216e+00  4.27377768e+00  6.46374919e-01 -6.21889469e-03  9.81893575e-01  5.42005520e-02  1.58504854e-02  1.56280635e-02 
 1.12349442e-05  1.12349442e-05  5.00000000e+00  4.27339888e+00  4.27379719e+00  6.49604488e-01 -8.42970171e-03  9.79654014e-01  5.74020072e-02  1.58586244e-02  1.56162785e-02 
 1.13507726e-05  1.13507726e-05  5.00000000e+00  4.27337455e+00  4.27381272e+00  6.52181008e-01 -1.24839906e-02  9.75561049e-01  5.99474635e-02  1.58735502e-02  1.56069084e-02 
 1.14615217e-05  1.14615217e-05  5.00000000e+00  4.27334162e+00  4.27383153e+00  6.55286801e-01 -1.79778349e-02  9.70029736e-01  6.30301725e-02  1.58937757e-02  1.55955606e-02 
 1.15590006e-05  1.15590006e-05  5.00000000e+00  4.27331186e+00  4.27382890e+00  6.54870393e-01 -2.29469564e-02  9.65027639e-01  6.25990537e-02  1.59120697e-02  1.55971476e-02 
 1.16521395e-05  1.16521395e-05  5.00000000e+00  4.27330489e+00  4.27383645e+00  6.56116446e-01 -2.41118684e-02  9.63831111e-01  6.38356673e-02  1.59163584e-02  1.55925955e-02 
 1.17390578e-05  1.17390578e-05  5.00000000e+00  4.27332020e+00  4.27383014e+00  6.55087918e-01 -2.15543749e-02  9.66358533e-01  6.28015783e-02  1.59069429e-02  1.55964021e-02 
 1.18215324e-05  1.18215324e-05  5.00000000e+00  4.27334070e+00  4.27383898e+00  6.56540457e-01 -1.81314231e-02  9.69752209e-01  6.42508067e-02  1.58943413e-02  1.55910673e-02 
 1.19086604e-05  1.19086604e-05  5.00000000e+00  4.27335285e+00  4.27383350e+00  6.55644301e-01 -1.61039498e-02  9.71748136e-01  6.33522930e-02  1.58868771e-02  1.55943748e-02 
 1.19964240e-05  1.19964240e-05  5.00000000e+00  4.27335819e+00  4.27384268e+00  6.57149979e-01 -1.52122646e-02  9.72607720e-01  6.48561038e-02  1.58835943e-02  1.55888392e-02 
 1.21053526e-05  1.21053526e-05  5.00000000e+00  4.27335915e+00  4.27383694e+00  6.56211925e-01 -1.50523988e-02  9.72727595e-01  6.39159448e-02  1.58830057e-02  1.55923000e-02 
 1.22538462e-05  1.22538462e-05  5.00000000e+00  4.27336012e+00  4.27384546e+00  6.57610767e-01 -1.48900321e-02  9.72835385e-01  6.53119994e-02  1.58824080e-02  1.55871618e-02 
 1.25060830e-05  1.25060830e-05  5.00000000e+00  4.27335981e+00  4.27383882e+00  6.56527776e-01 -1.49423522e-02  9.72690344e-01  6.42242900e-02  1.58826006e-02  1.55911649e-02 
 1.30035526e-05  1.30035526e-05  5.00000000e+00  4.27336098e+00  4.27384624e+00  6.57751345e-01 -1.47473464e-02  9.72702518e-01  6.54385289e-02  1.58818827e-02  1.55866952e-02 
 1.39984919e-05  1.39984919e-05  5.00000000e+00  4.27336193e+00  4.27383907e+00  6.56597044e-01 -1.45890568e-02  9.72495333e-01  6.42654798e-02  1.58812999e-02  1.55910133e-02 
 1.59883704e-05  1.59883704e-05  5.00000000e+00  4.27336523e+00  4.27384645e+00  6.57842453e-01 -1.40389580e-02  9.72315246e-01  6.54730296e-02  1.58792748e-02  1.55865682e-02 
 1.99681275e-05  1.99681275e-05  5.00000000e+00  4.27337043e+00  4.27383954e+00  6.56787492e-01 -1.31709671e-02  9.71725898e-01  6.43409225e-02  1.58760793e-02  1.55907356e-02 
 2.79276417e-05  2.79276417e-05  5.00000000e+00  4.27338232e+00  4.27384746e+00  6.58245372e-01 -1.11888879e-02  9.70805347e-01  6.56388674e-02  1.58687839e-02  1.55859585e-02 
 4.38466701e-05  4.38466701e-05  5.00000000e+00  4.27340464e+00  4.27384127e+00  6.57572891e-01 -7.47124330e-03  9.68764355e-01  6.46248833e-02  1.58550959e-02  1.55896903e-02 
 7.56847269e-05  7.56847269e-05  5.00000000e+00  4.27345135e+00  4.27385070e+00  6.59879763e-01  2.99663137e-04  9.65194339e-01  6.61687859e-02  1.58264877e-02  1.55840071e-02 
 1.39360840e-04  1.39360840e-04  5.00000000e+00  4.27354512e+00  4.27384697e+00  6.61066805e-01  1.58571267e-02  9.58701222e-01  6.55580495e-02  1.57692149e-02  1.55862553e-02 
 2.66713067e-04  2.66713067e-04  5.00000000e+00  4.27374293e+00  4.27385937e+00  6.67441823e-01  4.84924335e-02  9.49231889e-01  6.75869892e-02  1.56490775e-02  1.55787866e-02 
 5.21417521e-04  5.21417521e-04  5.00000000e+00  4.27415258e+00  4.27385569e+00  6.76827673e-01  1.15296869e-01  9.37136956e-01  6.69861300e-02  1.54031778e-02  1.55809985e-02 
 1.00000000e-03  1.00000000e-03  5.00000000e+00  4.27483180e+00  4.27386913e+00  6.98687107e-01  2.23767567e-01  9.13577602e-01  6.91842951e-02  1.50039505e-02  1.55729068e-02 
 1.05094089e-03  1.05094089e-03  5.00000000e+00  4.27489077e+00  4.27386592e+00  7.00254856e-01  2.33059751e-01  9.10263813e-01  6.86598892e-02  1.49697835e-02  1.55748373e-02 
 1.15282267e-03  1.15282267e-03  5.00000000e+00  4.27499888e+00  4.27386804e+00  7.04778771e-01  2.50016573e-01  9.02725717e-01  6.90056476e-02  1.49073420e-02  1.55735644e-02 
 1.35658624e-03  1.35658624e-03  5.00000000e+00  4.27516119e+00  4.27387466e+00  7.14175881e-01  2.75360004e-01  8.84054043e-01  7.00890921e-02  1.48140836e-02  1.55695762e-02 
 1.62875989e-03  1.62875989e-03  5.00000000e+00  4.27517171e+00  4.27389980e+00  7.29259268e-01  2.76995798e-01  8.42098504e-01  7.41974912e-02  1.48080605e-02  1.55544531e-02 
 1.93262125e-03  1.93262125e-03  5.00000000e+00  4.27385973e+00  4.27549943e+00  9.42102468e-01  6.76457501e-02  6.20707805e-01  3.27671889e-01  1.55785703e-02  1.46216225e-02 
 2.10260539e-03  2.10260539e-03  5.00000000e+00  4.27385970e+00  4.27582262e+00  9.39588409e-01  6.76412811e-02  6.27889798e-01  3.77010835e-01  1.55785867e-02  1.44400580e-02 
 2.26800019e-03  2.26800019e-03  5.00000000e+00  4.27386060e+00  4.27613261e+00  9.36730141e-01  6.77886013e-02  6.35016306e-01  4.23765171e-01  1.55780444e-02  1.42680275e-02 
 2.44803637e-03  2.44803637e-03  5.00000000e+00  4.27386070e+00  4.27646800e+00  9.33695510e-01  6.78047906e-02  6.42614129e-01  4.73732434e-01  1.55779848e-02  1.40842058e-02 
 2.80810872e-03  2.80810872e-03  5.00000000e+00  4.27386260e+00  4.27711635e+00  9.26091265e-01  6.81162034e-02  6.58036886e-01  5.68517745e-01  1.55768385e-02  1.37355504e-02 
 3.52825342e-03  3.52825342e-03  5.00000000e+00  4.27386801e+00  4.27824662e+00  9.02281730e-01  6.90018139e-02  6.88887436e-01  7.28231632e-01  1.55735786e-02  1.31482438e-02 
 3.65325342e-03  3.65325342e-03  5.00000000e+00  4.27387063e+00  4.27839695e+00  8.95507879e-01  6.94292922e-02  6.94468256e-01  7.48943637e-01  1.55720049e-02  1.30720493e-02 
 3.90325342e-03  3.90325342e-03  5.00000000e+00  4.27387743e+00  4.27864293e+00  8.78204946e-01  7.05413699e-02  7.05849654e-01  7.82598086e-01  1.55679114e-02  1.29483211e-02 
 4.13607665e-03  4.13607665e-03  5.00000000e+00  4.27557714e+00  4.27386222e+00  1.47302141e-01  3.39584630e-01  9.43586950e-01  6.80541629e-02  1.45777553e-02  1.55770669e-02 
 4.30150392e-03  4.30150392e-03  5.00000000e+00  4.27590060e+00  4.27386175e+00  1.54982247e-01  3.88857853e-01  9.41869498e-01  6.79766905e-02  1.43965854e-02  1.55773521e-02 
 4.45428804e-03  4.45428804e-03  5.00000000e+00  4.27619591e+00  4.27386288e+00  1.62321432e-01  4.33245742e-01  9.39723891e-01  6.81622850e-02  1.42331492e-02  1.55766692e-02 
 4.63884608e-03  4.63884608e-03  5.00000000e+00  4.27655679e+00  4.27386247e+00  1.70881659e-01  4.86853425e-01  9.37828523e-01  6.80954055e-02  1.40359389e-02  1.55769156e-02 
 5.00796215e-03  5.00796215e-03  5.00000000e+00  4.27726238e+00  4.27386389e+00  1.88321237e-01  5.90940099e-01  9.33187023e-01  6.83271793e-02  1.36582209e-02  1.55760619e-02 
 5.74619429e-03  5.74619429e-03  5.00000000e+00  4.27866965e+00  4.27386462e+00  2.22670704e-01  7.91593081e-01  9.25186211e-01  6.84459133e-02  1.29349527e-02  1.55756248e-02 
 6.74619429e-03  6.74619429e-03  5.00000000e+00  4.28057616e+00  4.27386766e+00  2.69146597e-01  1.04556746e+00  9.14303034e-01  6.89441252e-02  1.20158051e-02  1.55737910e-02 
 7.74619429e-03  7.74619429e-03  5.00000000e+00  4.28251724e+00  4.27386942e+00  3.14965950e-01  1.28172223e+00  9.04760275e-01  6.92321009e-02  1.11470616e-02  1.55727309e-02 
 8.74619429e-03  8.74619429e-03  5.00000000e+00  4.28445460e+00  4.27387309e+00  3.60655270e-01  1.50018394e+00  8.95284073e-01  6.98325460e-02  1.03426172e-02  1.55705207e-02 
 9.74619429e-03  9.74619429e-03  5.00000000e+00  4.28639548e+00  4.27387518e+00  4.05647451e-01  1.70343672e+00  8.87062356e-01  7.01743636e-02  9.59491819e-03  1.55692623e-02 
 1.07461943e-02  1.07461943e-02  5.00000000e+00  4.28832934e+00  4.27387935e+00  4.50544032e-01  1.89139669e+00  8.78810587e-01  7.08552911e-02  8.90369105e-03  1.55667560e-02 
 1.17461943e-02  1.17461943e-02  5.00000000e+00  4.29026708e+00  4.27388169e+00  4.94712090e-01  2.06637209e+00  8.71728533e-01  7.12385546e-02  8.26102228e-03  1.55653450e-02 
 1.27461943e-02  1.27461943e-02  5.00000000e+00  4.29219598e+00  4.27388632e+00  5.38825519e-01  2.22805948e+00  8.64508170e-01  7.19947994e-02  7.66736148e-03  1.55625614e-02 
 1.37461943e-02  1.37461943e-02  5.00000000e+00  4.29419476e+00  4.27388924e+00  5.82231990e-01  2.37796811e+00  8.58039448e-01  7.24722788e-02  7.09716124e-03  1.55608036e-02 
 1.47461943e-02  1.47461943e-02  5.00000000e+00  4.29605732e+00  4.27389574e+00  6.25782324e-01  2.51296413e+00  8.49939154e-01  7.35348427e-02  6.60405497e-03  1.55568922e-02 
 1.57461943e-02  1.57461943e-02  5.00000000e+00  4.29764068e+00  4.27390685e+00  6.69578111e-01  2.62042690e+00  8.35112551e-01  7.53500825e-02  6.21190288e-03  1.55502103e-02 
 1.57621475e-02  1.57621475e-02  5.00000000e+00  4.29645119e+00  4.27423858e+00  7.24056160e-01  2.54030386e+00  7.55465047e-01  1.29185925e-01  6.50424941e-03  1.53520477e-02 
 1.57940539e-02  1.57940539e-02  5.00000000e+00  4.29647179e+00  4.27422596e+00  7.23306691e-01  2.54172275e+00  7.57770393e-01  1.27151383e-01  6.49907259e-03  1.53595373e-02 
 1.58107186e-02  1.58107186e-02  5.00000000e+00  4.29644019e+00  4.27422546e+00  7.23895843e-01  2.53954534e+00  7.56048065e-01  1.27069282e-01  6.50701797e-03  1.53598377e-02 
