time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,10.0,1.1648347,8.46526125,0.00131294873,9.58628177,9.79314089,9.99983607,9.9999999,9.99991799,8.37918518,1.16482868,0.831458903,0.141123231,0.00131297641,8.38967903,9.99999984,-6.00729797e-09,-3.97854864e-07,3.97854866e-07,3.97854864e-07,-1.00098361e-11,1.00093712e-11,1.00098361e-11,0.00823806194,7.55882254e-05,6.0162734e-09
1e-05,0.0,10.0000133,1.16484135,8.46527449,0.00131307645,9.58628618,9.79314976,9.9998494,10.0000132,9.99993132,8.37919829,1.16483534,0.831458948,0.141123231,0.00131310413,8.38969214,10.0000132,-6.00821188e-09,-3.9789357e-07,3.97893572e-07,3.97893569e-07,-1.00098494e-11,1.00134818e-11,1.00098494e-11,0.00823807506,7.55883569e-05,6.01704771e-09
2e-05,0.0,10.0000267,1.16484498,8.46528773,0.00131319973,9.58629043,9.79315855,9.99986274,10.0000266,9.99994465,8.37921141,1.16483896,0.831458992,0.14112323,0.00131322741,8.38970525,10.0000265,-6.00863368e-09,-3.97930927e-07,3.97930929e-07,3.97930927e-07,-1.00098627e-11,1.00083492e-11,1.00098627e-11,0.00823808818,7.5588488e-05,6.01746887e-09
4e-05,0.0,10.0000533,1.16484892,8.46531422,0.00131344615,9.58629893,9.79317613,9.9998894,10.0000532,9.99997132,8.37923765,1.1648429,0.831459081,0.141123229,0.00131347383,8.38973148,10.0000532,-6.00909204e-09,-3.98005605e-07,3.98005605e-07,3.98005605e-07,-1.00098894e-11,1.00128475e-11,1.00098894e-11,0.00823811443,7.55887498e-05,6.01792738e-09
8e-05,0.0,10.0001067,1.1648494,8.46536719,0.00131393908,9.58631592,9.7932113,9.99994273,10.0001066,10.0000246,8.37929013,1.16484338,0.831459259,0.141123227,0.00131396676,8.38978393,10.0001065,-6.00914767e-09,-3.98154999e-07,3.98154999e-07,3.98154998e-07,-1.00099427e-11,1.00093683e-11,1.00099427e-11,0.00823816691,7.55892726e-05,6.0179835e-09
0.00016,0.0,10.0002133,1.16484925,8.46547313,0.00131492536,9.58634991,9.79328162,10.0000494,10.0002132,10.0001313,8.37939509,1.16484324,0.831459614,0.141123223,0.00131495304,8.38988882,10.0002132,-6.00913078e-09,-3.98453955e-07,3.98453955e-07,3.98453953e-07,-1.00100494e-11,1.00127101e-11,1.00100494e-11,0.00823827187,7.5590318e-05,6.01796641e-09
0.00032,0.0,10.0004267,1.16484935,8.46568501,0.00131689955,9.58641789,9.79342228,10.0002627,10.0004266,10.0003446,8.37960501,1.16484333,0.831460326,0.141123214,0.00131692722,8.39009861,10.0004265,-6.00914129e-09,-3.9905253e-07,3.99052521e-07,3.99052523e-07,-1.00102627e-11,1.00143537e-11,1.00102627e-11,0.0082384818,7.55924088e-05,6.01797692e-09
0.00064,0.0,10.0008533,1.16484928,8.46610877,0.00132085446,9.58655386,9.7937036,10.0006894,10.0008532,10.0007713,8.38002484,1.16484327,0.831461748,0.141123197,0.00132088214,8.39051819,10.0008532,-6.00913345e-09,-4.00252338e-07,4.00252314e-07,4.00252312e-07,-1.00106894e-11,1.00091256e-11,1.00106894e-11,0.00823890165,7.55965905e-05,6.01796971e-09
0.00128,0.0,10.0017067,1.16484936,8.4669563,0.00132879052,9.58682579,9.79426623,10.0015427,10.0017066,10.0016247,8.3808645,1.16484334,0.831464592,0.141123163,0.0013288182,8.39135736,10.0017065,-6.00914155e-09,-4.02662632e-07,4.02662525e-07,4.02662526e-07,-1.00115427e-11,1.00100643e-11,1.00115427e-11,0.00823974138,7.5604954e-05,6.01797866e-09
0.00228,0.0,10.00304,1.16484932,8.46828056,0.00134127806,9.58725072,9.79514536,10.002876,10.0030399,10.0029579,8.38217648,1.16484331,0.831469035,0.14112311,0.00134130575,8.39266855,10.0030398,-6.00913582e-09,-4.06457277e-07,4.06457017e-07,4.06457017e-07,-1.0012876e-11,1.00149809e-11,1.0012876e-11,0.00824105347,7.56180222e-05,6.01797445e-09
0.00328,0.0,10.0043733,1.1648494,8.46960483,0.00135391489,9.5876757,9.79602452,10.0042094,10.0043732,10.0042913,8.38348846,1.16484338,0.831473477,0.141123057,0.00135394259,8.39397975,10.0043732,-6.00914359e-09,-4.10286777e-07,4.10286516e-07,4.10286519e-07,-1.00142094e-11,1.00120098e-11,1.00142094e-11,0.0082423655,7.56310898e-05,6.01798364e-09
0.00428,0.0,10.0057067,1.16484937,8.47092909,0.00136666846,9.58810072,9.7969037,10.0055426,10.0057066,10.0056246,8.38480044,1.16484335,0.831477919,0.141123005,0.00136669615,8.39529095,10.0057065,-6.0091385e-09,-4.14151655e-07,4.14151396e-07,4.14151396e-07,-1.00155426e-11,1.00192231e-11,1.00155426e-11,0.00824367754,7.56441573e-05,6.0179799e-09
0.00528,0.0,10.00704,1.16484944,8.47225336,0.00137953982,9.58852579,9.7977829,10.0068759,10.0070399,10.0069579,8.38611242,1.16484342,0.83148236,0.141122953,0.00137956752,8.39660215,10.0070398,-6.00914567e-09,-4.18052229e-07,4.18051967e-07,4.18051971e-07,-1.00168759e-11,1.00200726e-11,1.00168759e-11,0.00824498957,7.56572249e-05,6.01798823e-09
0.00628,0.0,10.0083733,1.16484942,8.47357763,0.00139253004,9.5889509,9.79866212,10.0082093,10.0083732,10.0082913,8.3874244,1.1648434,0.831486801,0.1411229,0.00139255774,8.39791335,10.0083732,-6.00914113e-09,-4.21988823e-07,4.21988564e-07,4.21988565e-07,-1.00182093e-11,1.00179595e-11,1.00182093e-11,0.0082463016,7.56702925e-05,6.01798509e-09
0.00728,0.0,10.0097067,1.16484948,8.4749019,0.00140564019,9.58937605,9.79954136,10.0095426,10.0097066,10.0096245,8.38873638,1.16484347,0.831491241,0.141122849,0.0014056679,8.39922455,10.0097065,-6.00914777e-09,-4.25961761e-07,4.25961505e-07,4.25961503e-07,-1.00195426e-11,1.00229422e-11,1.00195426e-11,0.00824761364,7.56833602e-05,6.01799304e-09
0.00828,0.0,10.01104,1.16484946,8.47622617,0.00141887137,9.58980126,9.80042063,10.0108759,10.0110399,10.0109579,8.39004837,1.16484344,0.83149568,0.141122797,0.00141889908,8.40053575,10.0110398,-6.00914375e-09,-4.29971377e-07,4.29971119e-07,4.29971119e-07,-1.00208759e-11,1.0020293e-11,1.00208759e-11,0.00824892567,7.56964278e-05,6.01799022e-09
