 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  1.19876111e+01  6.04823973e-06  1.81193877e-02  0.00000000e+00  1.19876125e+01  3.08263699e-07  1.22383575e+00  6.20742830e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244361e+00 -4.31601287e-09 -1.40119863e-08 -1.40119863e-08  1.33799746e-04 
 1.00000000e-06  1.00000000e-06  1.19876158e+01  6.60022300e-03  1.81359433e-02  6.66432322e-03  1.19876126e+01  6.66361457e-03  1.22383882e+00  6.20752494e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244651e+00  1.63079591e-07  3.17056133e-08  3.22170113e-08  1.33765638e-04 
 2.00000000e-06  2.00000000e-06  1.19876158e+01  1.32628459e-02  1.81364019e-02  1.33286458e-02  1.19876126e+01  1.33279367e-02  1.22383890e+00  6.20752761e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244659e+00  1.67768139e-07  3.22243447e-08  3.22366171e-08  1.33764693e-04 
 4.00000000e-06  4.00000000e-06  1.19876158e+01  2.65898001e-02  1.81369059e-02  2.66572863e-02  1.19876126e+01  2.66565768e-02  1.22383899e+00  6.20753055e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244667e+00  1.74897979e-07  3.22725570e-08  3.22722570e-08  1.33763655e-04 
 8.00000000e-06  8.00000000e-06  1.19876159e+01  5.32408107e-02  1.81387762e-02  5.33145305e-02  1.19876126e+01  5.33138197e-02  1.22383934e+00  6.20754147e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244700e+00  1.91107595e-07  3.22857253e-08  3.23079501e-08  1.33759801e-04 
 1.60000000e-05  1.60000000e-05  1.19876159e+01  1.06530296e-01  1.81461933e-02  1.06628724e-01  1.19876126e+01  1.06628011e-01  1.22384071e+00  6.20758475e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84244829e+00  2.65873273e-07  3.23940937e-08  3.24151856e-08  1.33744517e-04 
 3.20000000e-05  3.20000000e-05  1.19876159e+01  2.12898403e-01  1.82237202e-02  2.13254754e-01  1.19876127e+01  2.13254037e-01  1.22385504e+00  6.20803705e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84246180e+00  1.04747376e-06  3.23900643e-08  3.25948453e-08  1.33584835e-04 
 5.08156973e-05  5.08156973e-05  1.19876160e+01  3.35190412e-01  1.91498739e-02  3.38637853e-01  1.19876129e+01  3.38637130e-01  1.22402504e+00  6.21343269e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84262204e+00  1.04161554e-05  3.07277971e-08  3.28336210e-08  1.31689701e-04 
 6.89381606e-05  6.89381606e-05  1.19876161e+01  4.36192188e-01  2.49333264e-02  4.59390277e-01  1.19876141e+01  4.59389550e-01  1.22504011e+00  6.24682078e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84357884e+00  7.02978636e-05  1.97479740e-08  3.30413486e-08  1.20374414e-04 
 8.91614077e-05  8.91614077e-05  1.19876175e+01  5.14708940e-01  4.00656446e-02  5.94122750e-01  1.19876168e+01  5.94122017e-01  1.22733535e+00  6.33158625e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84574232e+00  2.40641569e-04  7.10825129e-09  3.33006396e-08  9.47860890e-05 
 1.18065390e-04  1.18065390e-04  1.19876202e+01  5.88349739e-01  6.62744825e-02  7.86645528e-01  1.19876201e+01  7.86644788e-01  1.23022888e+00  6.46810974e-01  1.19999876e+01  1.20000000e+01  0.00000000e+00  1.84846975e+00  6.02402566e-04  9.91001448e-10  3.36467928e-08  6.25308976e-05 
