 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  7.99174946e+00  5.98049913e-06  1.71083830e-02  0.00000000e+00  7.99175086e+00  3.08175722e-07  8.23886473e-01  4.20271521e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583270e+00 -4.11473724e-09 -1.40079874e-08 -1.40079874e-08  5.98479668e-08 
 1.00000000e-06  1.00000000e-06  7.99175510e+00  6.64376035e-03  2.27560494e-02  6.66432322e-03  7.99175097e+00  6.66340929e-03  8.23887061e-01  4.23046758e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583326e+00  2.10385850e-08  4.12953768e-08  4.15526562e-08  5.37602063e-08 
 1.54209229e-06  1.54209229e-06  7.99175512e+00  1.02522495e-02  2.55635453e-02  1.02770012e-02  7.99175097e+00  1.02760865e-02  8.23887282e-01  4.24413979e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583347e+00  3.35167375e-08  4.15148132e-08  4.15796820e-08  5.09926964e-08 
 2.62627686e-06  2.62627686e-06  7.99175513e+00  1.74700210e-02  3.06964912e-02  1.75023562e-02  7.99175097e+00  1.75014412e-02  8.23887722e-01  4.26918785e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583389e+00  5.65395172e-08  4.15611605e-08  4.16132479e-08  4.62868690e-08 
 4.79464602e-06  4.79464602e-06  7.99175513e+00  3.19089568e-02  3.85376052e-02  3.19530592e-02  7.99175098e+00  3.19521440e-02  8.23888312e-01  4.30720763e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583444e+00  9.26140340e-08  4.16080510e-08  4.16468495e-08  3.99603894e-08 
 9.13138432e-06  9.13138432e-06  7.99175516e+00  6.07949011e-02  4.80753361e-02  6.08544141e-02  7.99175099e+00  6.08534956e-02  8.23888846e-01  4.35248937e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583495e+00  1.38615488e-07  4.17268506e-08  4.17478510e-08  3.35434265e-08 
 1.44585656e-05  1.44585656e-05  7.99175518e+00  9.62858158e-02  5.45327435e-02  9.63562245e-02  7.99175100e+00  9.63553039e-02  8.23889179e-01  4.38277512e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583526e+00  1.71530307e-07  4.18338001e-08  4.18475081e-08  2.98374144e-08 
 2.31232020e-05  2.31232020e-05  7.99175521e+00  1.54010307e-01  6.47681930e-02  1.54099139e-01  7.99175101e+00  1.54098215e-01  8.23889627e-01  4.42972930e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583568e+00  2.27385259e-07  4.20173401e-08  4.20398875e-08  2.48845366e-08 
 3.68863476e-05  3.68863476e-05  7.99175526e+00  2.45663357e-01  9.56519571e-02  2.45817045e-01  7.99175103e+00  2.45816114e-01  8.23890496e-01  4.55729726e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583650e+00  4.23480996e-07  4.22616529e-08  4.23193870e-08  1.51967315e-08 
 6.43244352e-05  6.43244352e-05  7.99175537e+00  4.28353468e-01  2.27678998e-01  4.28649658e-01  7.99175108e+00  4.28648714e-01  8.23891152e-01  4.72522257e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583712e+00  8.55383575e-07  4.28874699e-08  4.29195333e-08  7.93977918e-09 
 9.45556151e-05  9.45556151e-05  7.99175549e+00  6.29756561e-01  4.25092867e-01  6.30056520e-01  7.99175113e+00  6.30055561e-01  8.23891163e-01  4.72733967e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583714e+00  8.65361113e-07  4.36051552e-08  4.35773073e-08  7.87506134e-09 
 1.24678198e-04  1.24678198e-04  7.99175561e+00  8.30382050e-01  6.27519007e-01  8.30683381e-01  7.99175118e+00  8.30682407e-01  8.23891168e-01  4.72734406e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583715e+00  8.68883143e-07  4.42413701e-08  4.42721713e-08  7.87492940e-09 
 1.62788339e-04  1.62788339e-04  7.99175576e+00  1.08409819e+00  8.79702038e-01  1.08440128e+00  7.99175125e+00  1.08440029e+00  8.23891175e-01  4.72734823e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583716e+00  8.73266665e-07  4.51832279e-08  4.51555099e-08  7.87480428e-09 
 2.35344590e-04  2.35344590e-04  7.99175606e+00  1.56667745e+00  1.36276344e+00  1.56698388e+00  7.99175137e+00  1.56698285e+00  8.23891187e-01  4.72735623e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583717e+00  8.81663468e-07  4.69254700e-08  4.69564723e-08  7.87456467e-09 
 3.33643174e-04  3.33643174e-04  7.99175650e+00  2.21912568e+00  2.01380561e+00  2.21943675e+00  7.99175153e+00  2.21943566e+00  8.23891204e-01  4.72736701e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583720e+00  8.92981229e-07  4.96540766e-08  4.96267470e-08  7.87424175e-09 
 4.33643174e-04  4.33643174e-04  7.99175697e+00  2.88069147e+00  2.67542621e+00  2.88100734e+00  7.99175170e+00  2.88100618e+00  8.23891221e-01  4.72737796e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583723e+00  9.04483699e-07  5.27060264e-08  5.27375672e-08  7.87391361e-09 
 5.33643174e-04  5.33643174e-04  7.99175750e+00  3.53941388e+00  3.33296061e+00  3.53973472e+00  7.99175187e+00  3.53973348e+00  8.23891239e-01  4.72738884e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583725e+00  9.15916210e-07  5.63160174e-08  5.62893991e-08  7.87358754e-09 
 6.33643174e-04  6.33643174e-04  7.99175808e+00  4.19464285e+00  3.98808833e+00  4.19496881e+00  7.99175203e+00  4.19496748e+00  8.23891256e-01  4.72739969e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583728e+00  9.27307754e-07  6.04694480e-08  6.05019160e-08  7.87326268e-09 
 7.33643174e-04  7.33643174e-04  7.99175876e+00  4.84573159e+00  4.63816172e+00  4.84606298e+00  7.99175220e+00  4.84606153e+00  8.23891274e-01  4.72741045e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583730e+00  9.38612420e-07  6.55759732e-08  6.55506457e-08  7.87294038e-09 
 8.33643174e-04  8.33643174e-04  7.99175956e+00  5.49203750e+00  5.28425922e+00  5.49237466e+00  7.99175237e+00  5.49237308e+00  8.23891291e-01  4.72742115e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583733e+00  9.49848837e-07  7.18437676e-08  7.18780773e-08  7.87262009e-09 
 9.33643174e-04  9.33643174e-04  7.99176056e+00  6.13292248e+00  5.92426192e+00  6.13326603e+00  7.99175255e+00  6.13326427e+00  8.23891309e-01  4.72743175e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583736e+00  9.60980215e-07  8.00969182e-08  8.00744424e-08  7.87230291e-09 
 1.03364317e-03  1.03364317e-03  7.99176186e+00  6.76775368e+00  6.55881306e+00  6.76810461e+00  7.99175272e+00  6.76810260e+00  8.23891327e-01  4.72744227e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583738e+00  9.72017662e-07  9.14006200e-08  9.14397044e-08  7.87198854e-09 
 1.13364317e-03  1.13364317e-03  7.99176378e+00  7.39590367e+00  7.18618538e+00  7.39626389e+00  7.99175291e+00  7.39626150e+00  8.23891347e-01  4.72745267e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583741e+00  9.82931164e-07  1.08647059e-07  1.08633881e-07  7.87167793e-09 
 1.23364317e-03  1.23364317e-03  7.99176951e+00  8.01674210e+00  7.80669801e+00  8.01712395e+00  7.99175317e+00  8.01712035e+00  8.23891374e-01  4.72746299e-01  7.99999176e+00  8.00000000e+00  0.00000000e+00  1.23583745e+00  9.93726334e-07  1.63403341e-07  1.63665539e-07  7.87137191e-09 
 1.33364317e-03  1.33364317e-03  8.02741828e+00  8.52048045e+00  8.30959791e+00  8.63007207e+00  7.99430946e+00  8.58111464e+00  8.24154905e-01  4.72878826e-01  7.99999432e+00  8.00000000e+00  0.00000000e+00  1.23623275e+00  1.00759066e-06  3.31440236e-04  2.22533787e-03  7.91133943e-09 
 1.43364317e-03  1.43364317e-03  8.16726546e+00  8.73697560e+00  8.52400335e+00  9.23450336e+00  8.01660520e+00  8.72104830e+00  8.26453402e-01  4.74027860e-01  8.00001659e+00  8.00000000e+00  0.00000000e+00  1.23968052e+00  1.05724464e-06  1.54767748e-03  2.33811950e-02  8.27084263e-09 
 1.53364317e-03  1.53364317e-03  8.31855421e+00  8.91771675e+00  8.70192888e+00  9.82982131e+00  8.04227050e+00  8.78483812e+00  8.29099271e-01  4.75350439e-01  8.00004223e+00  8.00000000e+00  0.00000000e+00  1.24364934e+00  1.11609596e-06  2.76336605e-03  4.75491551e-02  8.70498677e-09 
 1.63364317e-03  1.63364317e-03  8.47555214e+00  9.09290372e+00  8.87400785e+00  1.04154384e+01  8.07490351e+00  8.84004195e+00  8.32463446e-01  4.77032006e-01  8.00007483e+00  8.00000000e+00  0.00000000e+00  1.24869563e+00  1.19455251e-06  4.00648792e-03  7.27241236e-02  9.29008247e-09 
 1.73364317e-03  1.73364317e-03  8.70394382e+00  9.33283735e+00  9.10177963e+00  1.09907767e+01  8.20169229e+00  8.98033874e+00  8.45534215e-01  4.83565058e-01  8.00020149e+00  8.00000000e+00  0.00000000e+00  1.26830192e+00  1.54362594e-06  5.02260842e-03  9.18148376e-02  1.19616240e-08 
 1.83364317e-03  1.83364317e-03  9.09368751e+00  9.72736141e+00  9.46360037e+00  1.15552685e+01  8.54008098e+00  9.32428801e+00  8.80418613e-01  5.01002942e-01  8.00053954e+00  8.00000000e+00  0.00000000e+00  1.32062909e+00  3.04700878e-06  5.53606570e-03  1.01408211e-01  2.34815292e-08 
 1.93364317e-03  1.93364317e-03  9.55696509e+00  1.01930524e+01  9.88617835e+00  1.21083566e+01  8.97730295e+00  9.76454408e+00  9.25490115e-01  5.23535954e-01  8.00097633e+00  8.00000000e+00  0.00000000e+00  1.38823798e+00  7.33067265e-06  5.79662568e-03  1.06537019e-01  5.61259185e-08 
 2.03364317e-03  2.03364317e-03  1.00387929e+01  1.06761849e+01  1.03234813e+01  1.26494952e+01  9.44268505e+00  1.02315834e+01  9.73459964e-01  5.47519644e-01  8.00144124e+00  8.00000000e+00  0.00000000e+00  1.46019704e+00  1.86517093e-05  5.96117908e-03  1.09906782e-01  1.41876410e-07 
 2.13364317e-03  2.13364317e-03  1.05191411e+01  1.11575662e+01  1.07586022e+01  1.31781503e+01  9.91162230e+00  1.07020422e+01  1.02178435e+00  5.71681303e-01  8.00190971e+00  8.00000000e+00  0.00000000e+00  1.53269457e+00  4.77953961e-05  6.07521645e-03  1.12550557e-01  3.61095948e-07 
 2.23364317e-03  2.23364317e-03  1.09827509e+01  1.16217881e+01  1.11779586e+01  1.36938001e+01  1.03667670e+01  1.11584370e+01  1.06865872e+00  5.95118279e-01  8.00236440e+00  8.00000000e+00  0.00000000e+00  1.60303276e+00  1.19012900e-04  6.15985106e-03  1.15243864e-01  8.93627800e-07 
 2.33364317e-03  2.33364317e-03  1.14119758e+01  1.20515781e+01  1.15660882e+01  1.41959358e+01  1.07898859e+01  1.15834131e+01  1.11217357e+00  6.16875617e-01  8.00278710e+00  8.00000000e+00  0.00000000e+00  1.66836393e+00  2.77380677e-04  6.22090741e-03  1.18752267e-01  2.07244983e-06 
 2.43364317e-03  2.43364317e-03  1.17870507e+01  1.24269039e+01  1.19049866e+01  1.46840619e+01  1.11610216e+01  1.19569602e+01  1.15023331e+00  6.35905453e-01  8.00315786e+00  8.00000000e+00  0.00000000e+00  1.72556597e+00  5.80599366e-04  6.26029812e-03  1.23962900e-01  4.32526406e-06 
 2.53364317e-03  2.53364317e-03  1.20952769e+01  1.27353501e+01  1.21835608e+01  1.51576965e+01  1.14672685e+01  1.22667436e+01  1.18148404e+00  6.51530804e-01  8.00346380e+00  8.00000000e+00  0.00000000e+00  1.77262108e+00  1.06265272e-03  6.28008916e-03  1.31411142e-01  7.91364068e-06 
 2.63364317e-03  2.63364317e-03  1.23393254e+01  1.29793815e+01  1.24040761e+01  1.56163723e+01  1.17108531e+01  1.25144703e+01  1.20616229e+00  6.63869923e-01  8.00370715e+00  8.00000000e+00  0.00000000e+00  1.80988015e+00  1.70892753e-03  6.28472603e-03  1.40997986e-01  1.27514947e-05 
 2.73364317e-03  2.73364317e-03  1.25314161e+01  1.31714829e+01  1.25778279e+01  1.60596367e+01  1.19034744e+01  1.27117975e+01  1.22550146e+00  6.73539506e-01  8.00389957e+00  8.00000000e+00  0.00000000e+00  1.83917807e+00  2.47482204e-03  6.27941819e-03  1.52175125e-01  1.85319845e-05 
 2.83364317e-03  2.83364317e-03  1.26849228e+01  1.33248554e+01  1.27166955e+01  1.64870521e+01  1.20580834e+01  1.28711122e+01  1.24086534e+00  6.81221442e-01  8.00405403e+00  8.00000000e+00  0.00000000e+00  1.86254454e+00  3.31554682e-03  6.26839412e-03  1.64360986e-01  2.49406855e-05 
 2.93364317e-03  2.93364317e-03  1.28101374e+01  1.34500034e+01  1.28301552e+01  1.68981968e+01  1.21846962e+01  1.30024567e+01  1.25330951e+00  6.87443526e-01  8.00418052e+00  8.00000000e+00  0.00000000e+00  1.88155012e+00  4.19561641e-03  6.25441171e-03  1.77079108e-01  3.17236131e-05 
 3.03364317e-03  3.03364317e-03  1.29144220e+01  1.35541263e+01  1.29246713e+01  1.72926650e+01  1.22905058e+01  1.31127234e+01  1.26359181e+00  6.92584676e-01  8.00428622e+00  8.00000000e+00  0.00000000e+00  1.89732250e+00  5.09033176e-03  6.23916218e-03  1.89997404e-01  3.86996523e-05 
 3.13364317e-03  3.13364317e-03  1.30027724e+01  1.36423906e+01  1.30049056e+01  1.76700675e+01  1.23804099e+01  1.32069195e+01  1.27222937e+00  6.96903457e-01  8.00437603e+00  8.00000000e+00  0.00000000e+00  1.91063055e+00  5.98181794e-03  6.22362596e-03  2.02870483e-01  4.57323131e-05 
 3.23364317e-03  3.23364317e-03  1.30824955e+01  1.37219584e+01  1.30772748e+01  1.80300317e+01  1.24616422e+01  1.32921500e+01  1.27998839e+00  7.00782965e-01  8.00445719e+00  8.00000000e+00  0.00000000e+00  1.92261217e+00  6.91478139e-03  6.20856476e-03  2.15758893e-01  5.31328988e-05 
