 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.22428978e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.69058345e-28 
 1.00000000e-08  1.00000000e-08  2.15182090e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  5.77315973e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -8.00470801e-27 
 2.00000000e-08  2.00000000e-08  6.50696540e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  1.16573418e-14 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -1.61648472e-26 
 4.00000000e-08  4.00000000e-08  1.62300883e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  1.44328993e-14 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -2.00128802e-26 
 8.00000000e-08  8.00000000e-08  2.61401656e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -6.66133815e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  9.23705559e-28 
 1.60000000e-07  1.60000000e-07  1.83476829e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852778e-27 
 3.20000000e-07  3.20000000e-07  1.72112286e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53210778e-28 
 6.40000000e-07  6.40000000e-07 -1.72932681e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53876911e-27 
 1.28000000e-06  1.28000000e-06 -1.49155521e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.44089210e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  6.15063554e-28 
 2.28000000e-06  2.28000000e-06  2.57879909e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494782e-28 
 3.28000000e-06  3.28000000e-06 -6.58130953e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.07404599e-35 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -6.58130953e-37 
 4.28000000e-06  4.28000000e-06 -1.83048715e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852776e-28 
 5.28000000e-06  5.28000000e-06  1.93357629e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691634e-27 
 6.28000000e-06  6.28000000e-06 -2.91412084e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53876911e-27 
 7.28000000e-06  7.28000000e-06 -1.85030599e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53876911e-27 
 8.28000000e-06  8.28000000e-06  1.86914908e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53876911e-27 
 9.28000000e-06  9.28000000e-06  1.78487687e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-15 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53876911e-27 
 1.02800000e-05  1.02800000e-05 -1.84358946e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691633e-27 
 1.12800000e-05  1.12800000e-05  1.79266033e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -6.66133815e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  9.23705558e-28 
 1.22800000e-05  1.22800000e-05  4.33562636e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 1.32800000e-05  1.32800000e-05 -2.25327573e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494777e-28 
 1.42800000e-05  1.42800000e-05  1.61170247e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -4.44089210e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  6.15063557e-28 
 1.52800000e-05  1.52800000e-05  9.56430881e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 1.62800000e-05  1.62800000e-05 -2.49094311e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852776e-28 
 1.72800000e-05  1.72800000e-05  1.05881109e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691633e-27 
 1.82800000e-05  1.82800000e-05  1.42805248e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494781e-28 
 1.92800000e-05  1.92800000e-05 -1.82408722e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -4.61852780e-28 
