time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.0,0.0,-9.0,-8.99999801,-8.99999803,-1.22428978e-16,-0.791174109,-0.120767573,0.0,1.69058345e-28
1e-08,5.50662298e-18,-9.0,-8.99999801,-8.99999803,1.4908051e-07,-0.79117396,-0.120767264,3.14159265e-07,-2.06718461e-19
2e-08,1.64174533e-17,-9.0,-8.99999801,-8.99999803,2.95706382e-07,-0.791173813,-0.12076696,6.28318529e-07,-4.10032939e-19
4e-08,4.88343438e-17,-9.0,-8.99999801,-8.99999803,5.84128191e-07,-0.791173525,-0.120766362,1.25663705e-06,-8.09963672e-19
8e-08,1.74491281e-16,-9.0,-8.99999801,-8.99999803,1.13293196e-06,-0.791172976,-0.120765225,2.51327402e-06,-1.57094115e-18
1.6e-07,6.38253542e-16,-9.0,-8.99999801,-8.99999803,2.12718038e-06,-0.791171982,-0.120763164,5.0265474e-06,-2.94956575e-18
3.2e-07,2.12731741e-15,-9.0,-8.99999801,-8.99999803,3.76328872e-06,-0.791170346,-0.120759773,1.00530897e-05,-5.21816094e-18
6.4e-07,5.05636474e-15,-9.0,-8.99999801,-8.99999803,5.99824556e-06,-0.791168111,-0.120755142,2.01061388e-05,-8.31704289e-18
1.28e-06,3.17034329e-15,-9.0,-8.99999801,-8.99999803,8.12855314e-06,-0.79116598,-0.120750728,4.02119525e-05,-1.12707538e-17
2.28e-06,-4.57623097e-15,-9.0,-8.99999801,-8.99999803,8.96878812e-06,-0.79116514,-0.120748988,7.16258625e-05,-1.24357365e-17
3.28e-06,1.45056916e-15,-9.0,-8.99999801,-8.99999803,9.04234293e-06,-0.791165067,-0.120748835,0.000103036945,-1.25377195e-17
4.28e-06,3.29735394e-15,-9.0,-8.99999801,-8.99999803,9.04777636e-06,-0.791165061,-0.120748824,0.00013444396,-1.25452529e-17
5.28e-06,-4.44588495e-15,-9.0,-8.99999801,-8.99999803,9.04686259e-06,-0.791165062,-0.120748826,0.000165845667,-1.2543986e-17
6.28e-06,7.42991143e-16,-9.0,-8.99999801,-8.99999803,9.04506202e-06,-0.791165064,-0.12074883,0.000197240826,-1.25414895e-17
7.28e-06,3.76841915e-15,-9.0,-8.99999801,-8.99999803,9.04285746e-06,-0.791165066,-0.120748834,0.0002286282,-1.25384329e-17
8.28e-06,-4.17123182e-15,-9.0,-8.99999801,-8.99999803,9.04029171e-06,-0.791165069,-0.120748839,0.000260006547,-1.25348755e-17
9.28e-06,2.08424284e-17,-9.0,-8.99999801,-8.99999803,9.03736863e-06,-0.791165072,-0.120748845,0.000291374629,-1.25308227e-17
1.028e-05,4.14915673e-15,-9.0,-8.99999801,-8.99999803,9.03408869e-06,-0.791165075,-0.120748852,0.000322731209,-1.25262751e-17
1.128e-05,-3.7962903e-15,-9.0,-8.99999801,-8.99999803,9.03045202e-06,-0.791165079,-0.12074886,0.000354075048,-1.25212329e-17
1.228e-05,-7.01830562e-16,-9.0,-8.99999801,-8.99999803,9.02645879e-06,-0.791165083,-0.120748868,0.000385404908,-1.25156963e-17
1.328e-05,4.43011178e-15,-9.0,-8.99999801,-8.99999803,9.02210914e-06,-0.791165087,-0.120748877,0.000416719553,-1.25096656e-17
