time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
0.0,0.0,9.0,0.0,-1.22428978e-16,0.66010638,1.28178949,8.99999914,0.0,0.0,1.69058345e-28
1e-08,2.76297551e-27,9.0,4.85135021e-11,1.11022302e-16,0.66010638,1.28178949,8.99999914,4.85137777e-11,3.94173583e-12,-1.54321e-28
2e-08,1.3811441e-26,9.0,7.6229868e-11,2.77555756e-16,0.66010638,1.28178949,8.99999914,7.62305767e-11,6.19371221e-12,-3.8524739e-28
4e-08,4.14068393e-26,9.0,1.16227285e-10,4.4408921e-16,0.66010638,1.28178949,8.99999914,1.16229088e-10,9.44355705e-12,-6.16173779e-28
8e-08,9.32087804e-26,9.0,7.93077571e-11,2.77555756e-16,0.66010638,1.28178949,8.99999914,7.93117814e-11,6.44395648e-12,-3.85247389e-28
1.6e-07,9.41588851e-26,9.0,-4.10095265e-11,-1.66533454e-16,0.66010638,1.28178949,8.99999914,-4.10046319e-11,-3.3317793e-12,2.30926389e-28
3.2e-07,-5.80081227e-26,9.0,-6.28179392e-12,-2.77555756e-16,0.66010638,1.28178949,8.99999914,-6.27904884e-12,-5.10258502e-13,3.84137166e-28
6.4e-07,-2.75324332e-25,9.0,-7.32498395e-12,-2.22044605e-16,0.66010638,1.28178949,8.99999914,-7.32347586e-12,-5.95079541e-13,3.08642001e-28
1.28e-06,-8.77059448e-26,9.0,-1.98985444e-11,-2.77555756e-16,0.66010638,1.28178949,8.99999914,-1.9901986e-11,-1.61692881e-12,3.84137166e-28
2.28e-06,2.68459769e-25,9.0,1.17630225e-11,-2.77555756e-16,0.66010638,1.28178949,8.99999914,1.17572696e-11,9.55457935e-13,3.84137167e-28
3.28e-06,-2.72437992e-25,9.0,5.56156428e-13,-4.4408921e-16,0.66010638,1.28178949,8.99999914,5.53903328e-13,4.50750548e-14,6.15063555e-28
4.28e-06,-1.29048032e-25,9.0,9.64112213e-12,-6.10622664e-16,0.66010638,1.28178949,8.99999914,9.64176599e-12,7.83373366e-13,8.45989945e-28
5.28e-06,2.34439173e-25,9.0,1.58543083e-12,-7.77156117e-16,0.66010638,1.28178949,8.99999914,1.58926404e-12,1.29007915e-13,1.07691633e-27
6.28e-06,-2.88586543e-25,9.0,9.44319854e-12,-9.43689571e-16,0.66010638,1.28178949,8.99999914,9.45016489e-12,7.67608199e-13,1.30784272e-27
7.28e-06,-8.712381e-26,9.0,2.26467008e-12,-1.22124533e-15,0.66010638,1.28178949,8.99999914,2.27496253e-12,1.84519067e-13,1.69420034e-27
8.28e-06,1.45644551e-25,9.0,9.77518822e-12,-1.49880108e-15,0.66010638,1.28178949,8.99999914,9.78890108e-12,7.94919686e-13,2.0783375e-27
9.28e-06,-3.10221045e-25,9.0,3.81518472e-12,-1.72084569e-15,0.66010638,1.28178949,8.99999914,3.83275849e-12,3.10862447e-13,2.3869795e-27
1.028e-05,-8.75354678e-27,9.0,9.39883362e-12,-1.83186799e-15,0.66010638,1.28178949,8.99999914,9.42016137e-12,7.64721619e-13,2.54019028e-27
1.128e-05,1.72634831e-25,9.0,6.59212705e-12,-1.99840144e-15,0.66010638,1.28178949,8.99999914,6.61799769e-12,5.36903855e-13,2.77111667e-27
1.228e-05,-2.23205501e-25,9.0,9.55172134e-12,-1.99840144e-15,0.66010638,1.28178949,8.99999914,9.58217829e-12,7.77600206e-13,2.77111667e-27
1.328e-05,4.74224957e-26,9.0,7.27231046e-12,-2.0539126e-15,0.66010638,1.28178949,8.99999914,7.30754697e-12,5.92637051e-13,2.84883228e-27
1.428e-05,7.65179749e-26,9.0,9.53217794e-12,-2.1649349e-15,0.66010638,1.28178949,8.99999914,9.57218845e-12,7.76489983e-13,3.00204306e-27
1.528e-05,-1.73823029e-25,9.0,4.79636519e-12,-2.10942375e-15,0.66010638,1.28178949,8.99999914,4.84044631e-12,3.91908728e-13,2.92432745e-27
1.628e-05,2.23815968e-25,9.0,1.16065092e-11,-1.94289029e-15,0.66010638,1.28178949,8.99999914,1.16552503e-11,9.45465928e-13,2.69340106e-27
1.728e-05,5.31463458e-26,9.0,7.21971584e-12,-1.88737914e-15,0.66010638,1.28178949,8.99999914,7.27380523e-12,5.89306381e-13,2.61790589e-27
1.828e-05,-2.62697746e-25,9.0,1.10479872e-11,-1.88737914e-15,0.66010638,1.28178949,8.99999914,1.11072663e-11,9.00612918e-13,2.61790589e-27
