time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
0.0,0.0,9.0,0.0,0.0,0.660106432,1.28178965,8.99999914,0.0,0.0,0.0
1e-08,1.19199723e-17,9.0,-0.000203474969,3.14159265e-07,0.660106746,1.28177311,8.99999914,-0.000203476125,-1.6532399e-05,-4.35620067e-19
1.06563562e-08,1.27536939e-17,9.0,-0.000217476782,3.34779304e-07,0.660106766,1.28177198,8.99999914,-0.000217478019,-1.76700504e-05,-4.64212209e-19
1.19690686e-08,1.45238205e-17,9.0,-0.000246756395,3.7601938e-07,0.660106808,1.2817696,8.99999914,-0.000246757806,-2.00490276e-05,-5.21396474e-19
1.45944935e-08,1.86800508e-17,9.0,-0.000312433381,4.58499534e-07,0.66010689,1.28176426,8.99999914,-0.000312435209,-2.53853036e-05,-6.35764927e-19
1.98453431e-08,2.94548917e-17,9.0,-0.000467308502,6.2345984e-07,0.660107054,1.28175168,8.99999914,-0.000467311493,-3.79689653e-05,-8.64501528e-19
3.03470425e-08,6.08370394e-17,9.0,-0.000842315702,9.53380451e-07,0.660107383,1.28172121,8.99999914,-0.0008423226,-6.84384957e-05,-1.32197351e-18
5.13504411e-08,1.62719088e-16,9.0,-0.00172488389,1.61322166e-06,0.660108041,1.2816495,8.99999914,-0.00172490611,-0.000140147927,-2.23691256e-18
9.33572385e-08,5.20064235e-16,9.0,-0.00364534381,2.93290398e-06,0.660109354,1.28149344,8.99999914,-0.00364543011,-0.0002961885,-4.06677102e-18
1.77370833e-07,1.80787266e-15,9.0,-0.00754382643,5.57226791e-06,0.660111979,1.28117663,8.99999914,-0.00754417979,-0.000612953566,-7.72640887e-18
3.45398022e-07,6.11205875e-15,9.0,-0.0153150075,1.08509904e-05,0.660117219,1.28054498,8.99999914,-0.0153164521,-0.00124441659,-1.50453648e-17
6.81452401e-07,1.57493233e-14,9.0,-0.0308078693,2.14083932e-05,0.660127662,1.27928521,8.99999914,-0.0308137172,-0.00250343177,-2.96819692e-17
1.35356116e-06,1.57610068e-14,9.0,-0.0615650821,4.25228653e-05,0.660148399,1.27678228,8.99999914,-0.0615885677,-0.0050033372,-5.89497225e-17
2.35356116e-06,1.23595266e-16,9.0,-0.106791254,7.39366096e-05,0.660178888,1.27309705,8.99999914,-0.106862568,-0.00868035507,-1.02481466e-16
3.35356116e-06,1.31018906e-14,9.0,-0.151386843,0.000105347435,0.660208943,1.2694574,8.99999914,-0.151531503,-0.012307414,-1.45994458e-16
4.35356116e-06,1.5389045e-14,9.0,-0.195349829,0.000136754102,0.66023857,1.26586357,8.99999914,-0.195592994,-0.0158843318,-1.89487003e-16
5.35356116e-06,4.63998551e-17,9.0,-0.238679063,0.000168155369,0.660267772,1.26231572,8.99999914,-0.239045532,-0.0194109973,-2.32957409e-16
6.35356116e-06,1.35092823e-14,9.0,-0.281385253,0.000199549998,0.660296553,1.25881308,8.99999914,-0.281899467,-0.0228882625,-2.76403986e-16
7.35356116e-06,1.50016991e-14,9.0,-0.323467965,0.00023093675,0.660324918,1.25535574,8.99999914,-0.324154012,-0.0263160745,-3.19825047e-16
8.35356116e-06,-1.22740792e-17,9.0,-0.364937178,0.000262314384,0.66035287,1.25194299,8.99999914,-0.365818795,-0.0296952265,-3.63218907e-16
9.35356116e-06,1.390425e-14,9.0,-0.405793085,0.000293681663,0.660380414,1.24857486,8.99999913,-0.406893659,-0.0330257169,-4.06583884e-16
1.03535612e-05,1.45984917e-14,9.0,-0.446045015,0.000325037347,0.660407554,1.24525069,8.99999913,-0.447387589,-0.0363082862,-4.499183e-16
1.13535612e-05,-5.23155455e-17,9.0,-0.485693706,0.0003563802,0.660434294,1.24197049,8.99999913,-0.487300979,-0.0395429773,-4.93220477e-16
1.23535612e-05,1.428586e-14,9.0,-0.524747911,0.000387708983,0.660460637,1.23873362,8.99999913,-0.52664224,-0.0427304842,-5.36488743e-16
1.33535612e-05,1.41803212e-14,9.0,-0.563208837,0.00041902246,0.660486588,1.23554006,8.99999913,-0.565412245,-0.0458708884,-5.79721428e-16
1.43535612e-05,-7.36629845e-17,9.0,-0.601084723,0.000450319395,0.66051215,1.2323892,8.99999913,-0.603618897,-0.0489648424,-6.22916864e-16
1.53535612e-05,1.46532028e-14,9.0,-0.638377185,0.000481598553,0.660537327,1.22928099,8.99999913,-0.641263478,-0.0520124609,-6.66073386e-16
1.63535612e-05,1.37481136e-14,9.0,-0.675094002,0.000512858697,0.660562123,1.22621488,8.99999913,-0.678353441,-0.0550143596,-7.09189335e-16
1.73535612e-05,-7.63043901e-17,9.0,-0.711237141,0.000544098595,0.660586542,1.22319077,8.99999913,-0.714890424,-0.0579706819,-7.52263052e-16
1.83535612e-05,1.5005395e-14,9.0,-0.746813971,0.000575317012,0.660610587,1.22020813,8.99999913,-0.750881473,-0.0608820103,-7.95292882e-16
1.93535612e-05,1.33028207e-14,9.0,-0.78182676,0.000606512717,0.660634263,1.21726685,8.99999913,-0.786328534,-0.0637485129,-8.38277174e-16
2.03535612e-05,-6.02773137e-17,9.0,-0.816282508,0.000637684478,0.660657572,1.21436642,8.99999913,-0.821238291,-0.0665707429,-8.81214281e-16
2.13535612e-05,1.53415813e-14,9.0,-0.850183741,0.000668831065,0.660680519,1.21150673,8.99999913,-0.855612952,-0.0693488895,-9.24102558e-16
2.23535612e-05,1.28454178e-14,9.0,-0.883537129,0.000699951247,0.660703106,1.20868728,8.99999913,-0.889458874,-0.072083479,-9.66940363e-16
2.33535612e-05,-2.56687525e-17,9.0,-0.916345416,0.000731043796,0.660725338,1.20590792,8.99999913,-0.922778491,-0.0747747188,-1.00972606e-15
2.43535612e-05,1.56609369e-14,9.0,-0.948614975,0.000762107484,0.660747218,1.20316821,8.99999913,-0.955577869,-0.0774231114,-1.05245801e-15
2.53535612e-05,1.23769016e-14,9.0,-0.980348733,0.000793141086,0.66076875,1.20046797,8.99999913,-0.987859628,-0.0800288793,-1.0951346e-15
2.63535612e-05,2.73850785e-17,9.0,-1.0115528,0.000824143377,0.660789936,1.19780677,8.99999913,-1.01962957,-0.0825925035,-1.13775418e-15
2.73535612e-05,1.5962669e-14,9.0,-1.04223025,0.000855113131,0.66081078,1.19518443,8.99999913,-1.05089048,-0.0851142193,-1.18031514e-15
2.83535612e-05,1.18982877e-14,9.0,-1.07238694,0.000886049127,0.660831286,1.19260054,8.99999913,-1.08164792,-0.0875944882,-1.22281586e-15
2.93535612e-05,9.86990891e-17,9.0,-1.1020261,0.000916950143,0.660851457,1.1900549,8.99999913,-1.11190481,-0.0900335561,-1.26525472e-15
3.03535612e-05,1.62460189e-14,9.0,-1.13115335,0.00094781496,0.660871296,1.18754711,8.99999913,-1.14166649,-0.0924318668,-1.30763011e-15
3.13535612e-05,1.14106085e-14,9.0,-1.15977202,0.000978642359,0.660890807,1.18507696,8.99999913,-1.17093599,-0.094789675,-1.34994043e-15
3.23535612e-05,1.88039772e-16,9.0,-1.18788754,0.00100943112,0.660909992,1.18264409,8.99999913,-1.19971846,-0.0971074085,-1.39218407e-15
3.33535612e-05,1.65102637e-14,9.0,-1.21550331,0.00104018003,0.660928855,1.18024828,8.99999913,-1.22801701,-0.0993853289,-1.43435944e-15
3.43535612e-05,1.09149108e-14,9.0,-1.24262459,0.00107088788,0.660947399,1.17788915,8.99999913,-1.25583662,-0.101623849,-1.47646493e-15
3.53535612e-05,2.95125774e-16,9.0,-1.26925484,0.00110155345,0.660965627,1.1755665,8.99999913,-1.28318047,-0.103823237,-1.51849895e-15
3.63535612e-05,1.6754718e-14,9.0,-1.29539914,0.00113217554,0.660983542,1.17327996,8.99999913,-1.31005337,-0.105983892,-1.56045993e-15
3.73535612e-05,1.04122534e-14,9.0,-1.32106102,0.00116275293,0.661001148,1.17102931,8.99999913,-1.33645856,-0.108106085,-1.60234627e-15
3.83535612e-05,4.19628579e-16,9.0,-1.34624541,0.00119328441,0.661018446,1.16881421,8.99999913,-1.36240071,-0.110190204,-1.6441564e-15
3.93535612e-05,1.69787354e-14,9.0,-1.37095585,0.00122376879,0.661035441,1.16663444,8.99999913,-1.38788308,-0.112236524,-1.68588874e-15
