 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  0.00000000e+00  0.00000000e+00  6.60106432e-01  1.28178965e+00  8.99999914e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  1.00000000e-08  1.19199723e-17  9.00000000e+00 -2.03474969e-04  3.14159265e-07  6.60106746e-01  1.28177311e+00  8.99999914e+00 -2.03476125e-04 -1.65323990e-05 -4.35620067e-19 
 1.06563562e-08  1.06563562e-08  1.27536939e-17  9.00000000e+00 -2.17476782e-04  3.34779304e-07  6.60106766e-01  1.28177198e+00  8.99999914e+00 -2.17478019e-04 -1.76700504e-05 -4.64212209e-19 
 1.19690686e-08  1.19690686e-08  1.45238205e-17  9.00000000e+00 -2.46756395e-04  3.76019380e-07  6.60106808e-01  1.28176960e+00  8.99999914e+00 -2.46757806e-04 -2.00490276e-05 -5.21396474e-19 
 1.45944935e-08  1.45944935e-08  1.86800508e-17  9.00000000e+00 -3.12433381e-04  4.58499534e-07  6.60106890e-01  1.28176426e+00  8.99999914e+00 -3.12435209e-04 -2.53853036e-05 -6.35764927e-19 
 1.98453431e-08  1.98453431e-08  2.94548917e-17  9.00000000e+00 -4.67308502e-04  6.23459840e-07  6.60107054e-01  1.28175168e+00  8.99999914e+00 -4.67311493e-04 -3.79689653e-05 -8.64501528e-19 
 3.03470425e-08  3.03470425e-08  6.08370394e-17  9.00000000e+00 -8.42315702e-04  9.53380451e-07  6.60107383e-01  1.28172121e+00  8.99999914e+00 -8.42322600e-04 -6.84384957e-05 -1.32197351e-18 
 5.13504411e-08  5.13504411e-08  1.62719088e-16  9.00000000e+00 -1.72488389e-03  1.61322166e-06  6.60108041e-01  1.28164950e+00  8.99999914e+00 -1.72490611e-03 -1.40147927e-04 -2.23691256e-18 
 9.33572385e-08  9.33572385e-08  5.20064235e-16  9.00000000e+00 -3.64534381e-03  2.93290398e-06  6.60109354e-01  1.28149344e+00  8.99999914e+00 -3.64543011e-03 -2.96188500e-04 -4.06677102e-18 
 1.77370833e-07  1.77370833e-07  1.80787266e-15  9.00000000e+00 -7.54382643e-03  5.57226791e-06  6.60111979e-01  1.28117663e+00  8.99999914e+00 -7.54417979e-03 -6.12953566e-04 -7.72640887e-18 
 3.45398022e-07  3.45398022e-07  6.11205875e-15  9.00000000e+00 -1.53150075e-02  1.08509904e-05  6.60117219e-01  1.28054498e+00  8.99999914e+00 -1.53164521e-02 -1.24441659e-03 -1.50453648e-17 
 6.81452401e-07  6.81452401e-07  1.57493233e-14  9.00000000e+00 -3.08078693e-02  2.14083932e-05  6.60127662e-01  1.27928521e+00  8.99999914e+00 -3.08137172e-02 -2.50343177e-03 -2.96819692e-17 
