time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@dled12_1[id],@dled12_2[id]
0.0,0.0,9.0,7.27838058,7.27838058,0.750665691,0.15193889,0.750665691,0.15193889,0.0151626419,0.0151626419
1e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
2e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.1519389,0.7506657,0.1519389,0.0151626419,0.0151626419
4e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.151938901,0.7506657,0.1519389,0.0151626419,0.0151626419
8e-05,0.0,9.0,7.27838058,7.27838058,0.7506657,0.151938901,0.7506657,0.1519389,0.0151626419,0.0151626419
0.00016,0.0,9.0,7.27838058,7.27838058,0.750665699,0.151938903,0.7506657,0.1519389,0.0151626419,0.0151626419
0.00032,0.0,9.0,7.27838058,7.27838058,0.750665698,0.151938906,0.750665701,0.151938899,0.0151626419,0.0151626419
0.00064,0.0,9.0,7.27838058,7.27838058,0.750665694,0.151938914,0.750665702,0.151938898,0.0151626418,0.0151626419
0.00128,0.0,9.0,7.27838058,7.27838058,0.750665685,0.151938936,0.750665706,0.151938887,0.0151626418,0.0151626419
0.00228,0.0,9.0,7.27838058,7.27838058,0.750665644,0.151939026,0.750665736,0.151938822,0.0151626416,0.015162642
0.00328,0.0,9.0,7.27838059,7.27838057,0.750665501,0.151939346,0.750665851,0.151938569,0.015162641,0.0151626426
0.00428,0.0,9.0,7.27838063,7.27838055,0.750664974,0.151940527,0.750666284,0.151937615,0.0151626385,0.0151626445
0.00528,0.0,9.0,7.27838075,7.27838045,0.750663005,0.15194493,0.750667904,0.151934048,0.0151626294,0.0151626519
0.00628,0.0,9.0,7.2783812,7.27838008,0.750655657,0.15196137,0.750673955,0.151920725,0.0151625954,0.0151626795
0.00728,0.0,9.0,7.27838291,7.2783787,0.750628234,0.152022765,0.750696552,0.151870994,0.0151624684,0.0151627823
0.00828,0.0,9.0,7.27838927,7.27837356,0.750526108,0.152252008,0.750780921,0.151685712,0.0151619942,0.0151631656
0.00928,0.0,9.0,7.278413,7.27835454,0.750148797,0.153107338,0.751095564,0.151000113,0.0151602249,0.0151645839
0.01028,0.0,9.0,7.27850127,7.27828594,0.748795995,0.156288834,0.752263813,0.148527375,0.0151536449,0.0151696999
0.01128,0.0,9.0,7.27880793,7.27810248,0.745474649,0.167338461,0.756196803,0.141913249,0.0151307862,0.0151833816
0.01228,0.0,9.0,7.27965876,7.27778545,0.740904944,0.19797391,0.765918782,0.130480187,0.0150674154,0.0152070325
0.01328,0.0,9.0,7.28146034,7.27744622,0.738421962,0.262737137,0.782720419,0.118241612,0.0149334541,0.0152323502
0.01428,0.0,9.0,7.28496252,7.27709592,0.736621127,0.388220683,0.812471325,0.105598351,0.014673951,0.0152585055
0.01528,0.0,9.0,7.29254887,7.27667171,0.732727158,0.658092903,0.883164568,0.0902805176,0.0141158643,0.015290194
0.0153651297,0.0,9.0,7.29356909,7.27662766,0.732147034,0.694185868,0.894164526,0.0886891364,0.0140412979,0.0152934863
0.0155353891,0.0,9.0,7.29593935,7.27653087,0.73069441,0.777823434,0.922611835,0.0851931276,0.0138683358,0.0153007186
0.0155779539,0.0,9.0,7.29664438,7.27650395,0.730240921,0.802650121,0.93159895,0.0842203906,0.0138170098,0.015302731
0.0156630836,0.0,9.0,7.29820746,7.27644564,0.729180409,0.857605549,0.952991656,0.082114061,0.0137034094,0.0153070885
0.015833343,0.0,9.0,7.30287804,7.27628206,0.725425001,1.02109058,1.03170428,0.0762034395,0.0133655075,0.0153193162
0.0158404211,0.0,9.0,7.3076812,7.2760839,0.718362082,1.18805457,1.19220743,0.0690420683,0.0130204826,0.0153341316
0.0158545772,0.0,9.0,7.30773112,7.27609093,0.7188122,1.18978381,1.18117773,0.0692959679,0.0130169097,0.0153336063
0.0158571619,0.0,9.0,7.30746746,7.27610329,0.719294543,1.18065041,1.16980543,0.0697427175,0.0130357816,0.0153326821
0.0158623315,0.0,9.0,7.30720418,7.27611722,0.719869164,1.17152637,1.15627631,0.0702463305,0.0130546339,0.0153316402
0.0158624061,0.0,9.0,7.29090708,7.27693079,0.749259578,0.599917103,0.584693124,0.0996365841,0.0142361498,0.0152708387
0.0158625554,0.0,9.0,7.27596284,7.31730102,2.16828726,0.0646659766,0.0494489889,1.51876808,0.0153431849,0.0123373041
0.0158626325,0.0,9.0,7.27583902,7.30974755,1.9089348,0.0601897412,0.0449749045,1.25951299,0.0153524453,0.0128728395
0.0158627081,0.0,9.0,7.27575453,7.31720446,2.16480117,0.0571348761,0.0419240292,1.51547451,0.0153587652,0.0123441111
0.0158627928,0.0,9.0,7.27580647,7.30991025,1.91435003,0.0590129937,0.0438047339,1.26513026,0.0153548797,0.0128612388
0.0158628863,0.0,9.0,7.27576006,7.31708136,2.16037558,0.0573347256,0.0421310495,1.51127356,0.0153583518,0.0123527866
0.0158630012,0.0,9.0,7.27579959,7.31002253,1.91796258,0.0587640266,0.0435642685,1.26900554,0.0153553948,0.0128532318
0.0158631533,0.0,9.0,7.27576495,7.31700808,2.15753803,0.0575116487,0.0423187668,1.5087726,0.0153579858,0.0123579514
0.0158633699,0.0,9.0,7.2757963,7.31005166,1.91983231,0.0586450946,0.0434603385,1.27133996,0.015355641,0.0128581819
0.0158637141,0.0,9.0,7.27576718,7.31698685,2.15610676,0.0575922692,0.0424221808,1.50804812,0.015357819,0.0123594478
0.0158643243,0.0,9.0,7.27579498,7.31010448,1.92042429,0.0585974002,0.0434514234,1.27313478,0.0153557397,0.0128542648
0.0158654688,0.0,9.0,7.27576802,7.31698892,2.15528501,0.0576225809,0.0425237361,1.50943744,0.0153577564,0.0123660072
0.0158677577,0.0,9.0,7.27579469,7.31021702,1.91990538,0.0585867742,0.043580168,1.27694113,0.0153557616,0.0128458323
0.0158723354,0.0,9.0,7.27576837,7.31719427,2.15368096,0.0576351164,0.04281485,1.51647968,0.0153577304,0.0123517006
0.0158814909,0.0,9.0,7.27579494,7.31063501,1.91697094,0.0585958168,0.0441462007,1.29128239,0.0153557429,0.0128156338
0.015899802,0.0,9.0,7.2757691,7.31802482,2.14768249,0.0576616886,0.0439551866,1.54496521,0.0153576755,0.012294018
0.015936424,0.0,9.0,7.2757963,7.31229289,1.90508794,0.0586451794,0.0464227043,1.34809866,0.0153556408,0.0126962138
0.0160096681,0.0,9.0,7.27577191,7.32131942,2.12406641,0.0577634377,0.0485101159,1.65768019,0.015357465,0.0120664516
0.0161561563,0.0,9.0,7.275802,7.31880186,1.8586017,0.0588511328,0.0555310935,1.57006431,0.0153552148,0.0122324885
0.0164491327,0.0,9.0,7.27578457,7.33423277,2.03395652,0.0582209411,0.0667571605,2.08810367,0.0153565184,0.0111620678
0.0170350854,0.0,9.0,7.27582839,7.34311032,1.68900928,0.0598055253,0.0920038656,2.37957963,0.0153532401,0.0105607152
0.0180350854,0.0,9.0,7.27584251,7.37562139,1.75923813,0.0603158686,0.13274876,3.40070669,0.0153521844,0.0084594382
0.0190350854,0.0,9.0,7.27591041,7.39011678,1.38558293,0.062770634,0.175248329,3.82878028,0.0153471059,0.0075774374
0.0200350854,0.0,9.0,7.27594148,7.41891224,1.50377555,0.063894041,0.216228781,4.62324925,0.0153447818,0.00595033344
0.0210350854,0.0,9.0,7.27601959,7.4281661,1.17003314,0.0667174492,0.258718987,4.86011448,0.0153389407,0.00546397226
0.0220350854,0.0,9.0,7.27606559,7.45501868,1.3224188,0.0683802279,0.299860515,5.49428534,0.0153355008,0.00417400001
0.0230350854,0.0,9.0,7.2761519,7.459716,1.01684372,0.0714997211,0.342268253,5.59560148,0.0153290472,0.00396620404
0.0240350854,0.0,9.0,7.27621027,7.48613562,1.19370878,0.0736090489,0.383477876,6.11647723,0.0153246835,0.00291671313
0.0250350854,0.0,9.0,7.27630326,7.48644032,0.907646565,0.0769693774,0.425746828,6.12117281,0.0153177317,0.00290482466
0.0260350854,0.0,9.0,7.27637019,7.51383864,1.10246085,0.0793880463,0.466886712,6.56226583,0.015312728,0.00202766338
0.0270350854,0.0,9.0,7.27648716,7.50877167,0.822704559,0.0836140839,0.509608941,6.48745953,0.0153039854,0.00217309154
0.0280350854,0.0,9.0,7.27653641,7.53892169,1.03888999,0.0853930415,0.549697858,6.87766685,0.015300305,0.00140692554
0.0281600854,0.0,9.0,7.27655926,7.52992669,0.914760629,0.086218727,0.55529949,6.77334212,0.0152985973,0.00160975447
0.0284100854,0.0,9.0,7.2765848,7.53250582,0.907394082,0.0871412818,0.565767855,6.80469024,0.0152966885,0.00154969294
0.0286406528,0.0,9.0,7.27661144,7.53482386,0.900043766,0.0881032706,0.575520675,6.83139732,0.0152946982,0.00149672243
0.0288884279,0.0,9.0,7.27664233,7.53715045,0.891826327,0.0892190678,0.586067821,6.85790628,0.0152923899,0.00144520038
0.029383978,0.0,9.0,7.27672546,7.54103287,0.871954793,0.0922217297,0.607872728,6.9007322,0.0152861782,0.00136235361
0.0293922948,0.0,9.0,7.278253,7.53061237,0.752854933,0.147339985,0.663295039,6.78164678,0.0151721554,0.00159354382
0.0294089286,0.0,9.0,7.27822334,7.53078373,0.754877641,0.146270881,0.662835078,6.78371477,0.0151743671,0.00158951353
0.0294176066,0.0,9.0,7.27822415,7.53066462,0.753414022,0.146299979,0.663181989,6.78227709,0.0151743068,0.00159231388
0.0294260038,0.0,9.0,7.2782036,7.5308224,0.755290471,0.145558917,0.66274848,6.78418031,0.0151758398,0.00158860453
0.0294427981,0.0,9.0,7.2781953,7.53071987,0.753996037,0.145259927,0.66306463,6.78294408,0.0151764583,0.00159101415
0.0294763868,0.0,9.0,7.2781454,7.53093964,0.756508659,0.143460688,0.662495879,6.78559273,0.0151801807,0.00158585288
0.0295435641,0.0,9.0,7.27807787,7.53097553,0.756582059,0.141025976,0.662522967,6.78602144,0.0151852176,0.00158500893
0.0296779188,0.0,9.0,7.27790028,7.53161782,0.76314053,0.134621846,0.661046781,6.79371838,0.0151984648,0.00156999966
0.0299466281,0.0,9.0,7.27753412,7.53322146,0.777203678,0.121413149,0.65772136,6.81272542,0.0152257895,0.00153301001
0.0300138055,0.0,9.0,7.27739344,7.53423858,0.786760537,0.116336784,0.655126937,6.82459279,0.0152362908,0.00150988539
0.0300160069,0.0,9.0,7.27696575,7.53811215,0.830680765,0.100898763,0.639771345,6.86868227,0.0152682276,0.001424319
0.0300204096,0.0,9.0,7.27693816,7.53831077,0.832552293,0.0999025122,0.638939728,6.87089624,0.0152702887,0.00142003736
0.0300231424,0.0,9.0,7.27697153,7.5380636,0.829586074,0.101107606,0.640246978,6.86814112,0.0152677956,0.00142536769
0.0300265576,0.0,9.0,7.27695094,7.53821367,0.830998306,0.100364043,0.639631078,6.8698146,0.0152693339,0.00142212936
0.0300323042,0.0,9.0,7.27698359,7.53796202,0.827756588,0.101543023,0.641024795,6.86700738,0.0152668948,0.00142756319
0.0300377007,0.0,9.0,7.27696986,7.53806085,0.828458616,0.101047379,0.640730751,6.8681108,0.0152679202,0.00142542725
0.0300465665,0.0,9.0,7.27700911,7.53774162,0.824247217,0.102464383,0.642478795,6.86454378,0.0152649888,0.00143233621
0.0300570399,0.0,9.0,7.27700771,7.5377341,0.82342716,0.102413597,0.642818824,6.86445942,0.0152650938,0.00143249932
0.0300712358,0.0,9.0,7.27709433,7.53696096,0.813812177,0.105541075,0.646475274,6.85576995,0.015258624,0.00144934307
0.0300738149,0.0,9.0,7.27708422,7.53704201,0.814568354,0.105176097,0.646206303,6.85668416,0.015259379,0.00144757004
0.0300789731,0.0,9.0,7.27712825,7.53662481,0.809549763,0.106765495,0.647987567,6.85196911,0.015256091,0.00145671453
0.0300791343,0.0,9.0,7.27735931,7.53425873,0.782403988,0.115105341,0.656333283,6.82482819,0.0152388383,0.00150943093
0.0300791393,0.0,9.0,7.27736861,7.53416297,0.781289311,0.115440998,0.656669123,6.82371365,0.0152381439,0.00151159429
0.0300791494,0.0,9.0,7.27738904,7.53394359,0.778735129,0.116178065,0.657406554,6.82115975,0.0152366191,0.00151656137
0.0300791695,0.0,9.0,7.27744576,7.53329836,0.771188833,0.118225045,0.659454257,6.81361392,0.0152323845,0.00153124381
0.0300791699,0.0,9.0,7.27744717,7.5332824,0.771001418,0.118275822,0.659505048,6.81342651,0.0152322795,0.00153160829
0.0300791707,0.0,9.0,7.27745001,7.53325013,0.770622602,0.118378511,0.659607765,6.81304771,0.015232067,0.00153234559
0.0300791723,0.0,9.0,7.27745588,7.53318329,0.769837481,0.118590316,0.659819627,6.81226262,0.0152316289,0.00153387377
0.0300791755,0.0,9.0,7.27746829,7.53304032,0.768157638,0.119037792,0.660267216,6.81058283,0.0152307032,0.00153714708
0.0300791819,0.0,9.0,7.27749691,7.53270688,0.764225964,0.120070533,0.661300182,6.80665125,0.0152285668,0.00154479922
0.0300791947,0.0,9.0,7.277579,7.53174183,0.752772873,0.1230327,0.664262789,6.79519824,0.0152224389,0.00156711403
0.0300792067,0.0,9.0,7.30358374,7.2790546,-5.86619324,1.04569579,1.58691576,0.176223367,0.0133146552,0.0151124069
0.0300792157,0.0,9.0,7.32570919,7.27644184,-5.96043786,1.80360226,2.34479947,0.0819764703,0.0117491637,0.0153073731
0.0300792242,0.0,9.0,7.30834235,7.27667073,-5.95217054,1.21094285,1.75211701,0.0902448263,0.0129731904,0.0152902679
0.0300792308,0.0,9.0,7.32191336,7.27625012,-5.9673651,1.67551787,2.21667498,0.0750491738,0.0120136074,0.0153217041
0.0300792377,0.0,9.0,7.31128506,7.27621225,-5.96873377,1.31253554,1.853674,0.0736808202,0.0127632969,0.015324535
0.0300792445,0.0,9.0,7.31998919,7.27615312,-5.97087021,1.61027213,2.15139294,0.0715438169,0.0121483342,0.015328956
0.0300792519,0.0,9.0,7.31258964,7.27602785,-5.97539762,1.35895728,1.90005827,0.0670163909,0.0126785474,0.0153383251
0.0300792605,0.0,9.0,7.31914987,7.27603887,-5.97499927,1.58174594,2.12282436,0.0674143153,0.0122072424,0.0153374991
0.0300792696,0.0,9.0,7.31323466,7.2759203,-5.979285,1.38056289,1.92161715,0.0631283906,0.0126298568,0.0153463683
0.0300792805,0.0,9.0,7.31873373,7.27595139,-5.97816087,1.56758738,2.10861287,0.0642520968,0.0122364816,0.015344041
0.0300792931,0.0,9.0,7.31357806,7.27585104,-5.98178823,1.39211646,1.93310851,0.060624387,0.0126042735,0.0153515479
0.0300793085,0.0,9.0,7.318518,7.2758865,-5.98050582,1.56024424,2.10119572,0.0619062676,0.0122516472,0.0153488941
0.0300793277,0.0,9.0,7.31377251,7.27580403,-5.98348685,1.39867548,1.93957625,0.0589246622,0.0125898979,0.0153550637
0.0300793519,0.0,9.0,7.31840495,7.27584329,-5.98206672,1.55639486,2.09723176,0.0603439891,0.0122595966,0.0153521262
0.0300793832,0.0,9.0,7.3138832,7.27577667,-5.98447439,1.40241498,1.94316909,0.0579353521,0.012581752,0.01535711
0.0300794244,0.0,9.0,7.31833034,7.27582275,-5.98280693,1.55440973,2.09505504,0.0596014742,0.0122676482,0.0153536627
0.0300794784,0.0,9.0,7.31394644,7.2757669,-5.98482446,1.40454017,1.94504265,0.0575822432,0.0125770419,0.0153578403
0.0300795514,0.0,9.0,7.31830236,7.27581678,-5.98301859,1.55343352,2.09374311,0.0593857644,0.0122695009,0.015354109
0.0300796478,0.0,9.0,7.31398621,7.2757662,-5.98484457,1.4058882,1.94594316,0.057556732,0.0125741418,0.0153578929
0.0300797802,0.0,9.0,7.31829664,7.27581604,-5.9830383,1.55322767,2.09293284,0.0593587539,0.0122698467,0.0153541649
0.0300799574,0.0,9.0,7.31402121,7.27576655,-5.98482202,1.40707935,1.94631627,0.0575694016,0.0125716125,0.0153578667
0.0300802001,0.0,9.0,7.31831257,7.27581577,-5.98303442,1.55376561,2.09236151,0.0593492534,0.0122687025,0.0153541845
0.0300805301,0.0,9.0,7.31406592,7.27576676,-5.98479614,1.40860598,1.94633015,0.0575770316,0.0125684106,0.0153578509
0.030080992,0.0,9.0,7.31835747,7.27581567,-5.98301305,1.55529495,2.09179919,0.0593453704,0.012265544,0.0153541926
0.0300817192,0.0,9.0,7.31414583,7.27576691,-5.98475268,1.41133821,1.94592208,0.0575825807,0.0125627078,0.0153578394
0.0300829446,0.0,9.0,7.31847987,7.27581571,-5.98294916,1.55947311,2.09082255,0.0593470128,0.0122569873,0.0153541892
0.0300852764,0.0,9.0,7.31437428,7.27576714,-5.98463105,1.41914609,1.94434437,0.0575908011,0.0125464027,0.0153578224
0.0300899401,0.0,9.0,7.31892545,7.27581608,-5.98271274,1.57469337,2.08760508,0.0593604151,0.0122259342,0.0153541614
0.0300992674,0.0,9.0,7.31526567,7.27576793,-5.98415652,1.44958364,1.93798444,0.057619293,0.0124828364,0.0153577635
0.0301179219,0.0,9.0,7.32070145,7.27581765,-5.98176417,1.63528089,2.07490835,0.0594169399,0.0121025525,0.0153540445
0.0301552311,0.0,9.0,7.31879455,7.27577109,-5.9822581,1.56975432,1.91281994,0.0577337233,0.0122326952,0.0153575267
0.0302298494,0.0,9.0,7.32766692,7.27582409,-5.9779635,1.87159807,2.02541385,0.0596500055,0.0116243072,0.0153535624
0.030379086,0.0,9.0,7.33236397,7.2757844,-5.97464329,2.02680423,1.81710058,0.0582148423,0.0112932312,0.0153565313
0.0306775592,0.0,9.0,7.35390605,7.27585655,-5.9625286,2.72707961,1.84635958,0.0608236482,0.00984470405,0.0153511338
0.0312745057,0.0,9.0,7.37989675,7.27585304,-5.9436635,3.52871261,1.50247032,0.0606967193,0.00819501055,0.0153513964
0.0322745057,0.0,9.0,7.428587,7.27602608,-5.90565353,4.87393591,1.39775395,0.0669519348,0.00544964955,0.0153384559
0.0332745057,0.0,9.0,7.45809577,7.27609801,-5.8713759,5.56162013,1.07794025,0.0695517902,0.00403828588,0.0153330772
0.0342745057,0.0,9.0,7.49606563,7.27633518,-5.83120619,6.29025112,1.10437811,0.07812294,0.00257509786,0.0153153455
0.0352745057,0.0,9.0,7.51308088,7.27643192,-5.79619255,6.55060641,0.873948281,0.0816180584,0.00204837877,0.0153081147
0.0362745057,0.0,9.0,7.54898533,7.27670307,-5.75496004,6.98592856,0.96397149,0.0914131435,0.0012059331,0.0152878511
0.0372745057,0.0,9.0,7.5551042,7.27680539,-5.71990849,7.04125411,0.775542673,0.0951084603,0.00109330731,0.0152802064
0.0382745057,0.0,9.0,7.59541886,7.2770738,-5.6789416,7.33750406,0.897106207,0.104799971,0.000557185644,0.0152601572
0.0392745057,0.0,9.0,7.58840387,7.27717447,-5.64411313,7.29307842,0.727456413,0.108433723,0.000628364014,0.01525264
0.0402745057,0.0,9.0,7.64056584,7.27738846,-5.60527341,7.52463117,0.865921825,0.116157072,0.000246792955,0.0152366625
0.0412745057,0.0,9.0,7.6147463,7.27751284,-5.56974788,7.42987989,0.703085161,0.120645379,0.000395171889,0.0152273776
0.0422745057,0.0,9.0,7.6837062,7.27760866,-5.53532781,7.63209033,0.851768662,0.124102603,0.000110062581,0.0152202257
