 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665691e-01  1.51938890e-01  7.50665691e-01  1.51938890e-01  1.51626419e-02  1.51626419e-02 
 1.00000000e-05  1.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 2.00000000e-05  2.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938900e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 4.00000000e-05  4.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938901e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 8.00000000e-05  8.00000000e-05  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665700e-01  1.51938901e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 1.60000000e-04  1.60000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665699e-01  1.51938903e-01  7.50665700e-01  1.51938900e-01  1.51626419e-02  1.51626419e-02 
 3.20000000e-04  3.20000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665698e-01  1.51938906e-01  7.50665701e-01  1.51938899e-01  1.51626419e-02  1.51626419e-02 
 6.40000000e-04  6.40000000e-04  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665694e-01  1.51938914e-01  7.50665702e-01  1.51938898e-01  1.51626418e-02  1.51626419e-02 
 1.28000000e-03  1.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665685e-01  1.51938936e-01  7.50665706e-01  1.51938887e-01  1.51626418e-02  1.51626419e-02 
 2.28000000e-03  2.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838058e+00  7.27838058e+00  7.50665644e-01  1.51939026e-01  7.50665736e-01  1.51938822e-01  1.51626416e-02  1.51626420e-02 
 3.28000000e-03  3.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838059e+00  7.27838057e+00  7.50665501e-01  1.51939346e-01  7.50665851e-01  1.51938569e-01  1.51626410e-02  1.51626426e-02 
 4.28000000e-03  4.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838063e+00  7.27838055e+00  7.50664974e-01  1.51940527e-01  7.50666284e-01  1.51937615e-01  1.51626385e-02  1.51626445e-02 
 5.28000000e-03  5.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838075e+00  7.27838045e+00  7.50663005e-01  1.51944930e-01  7.50667904e-01  1.51934048e-01  1.51626294e-02  1.51626519e-02 
 6.28000000e-03  6.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838120e+00  7.27838008e+00  7.50655657e-01  1.51961370e-01  7.50673955e-01  1.51920725e-01  1.51625954e-02  1.51626795e-02 
 7.28000000e-03  7.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838291e+00  7.27837870e+00  7.50628234e-01  1.52022765e-01  7.50696552e-01  1.51870994e-01  1.51624684e-02  1.51627823e-02 
 8.28000000e-03  8.28000000e-03  0.00000000e+00  9.00000000e+00  7.27838927e+00  7.27837356e+00  7.50526108e-01  1.52252008e-01  7.50780921e-01  1.51685712e-01  1.51619942e-02  1.51631656e-02 
