time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.0,18.0,9.0,9.0,8.99190737,0.0,0.0890287859,9.0,0.0,0.0
1e-07,18.0,9.00001257,9.00001256,8.99211957,1.25663698e-05,0.0890413488,9.00019988,0.000212180114,0.000106090057
1.13006156e-07,18.0,9.0000142,9.0000142,8.99214734,1.42007712e-05,0.0890429827,9.00022585,0.000239952277,0.000118455688
1.39018469e-07,18.0,9.00001747,9.00001747,8.99220325,1.74695738e-05,0.0890462505,9.00027771,0.000295850385,0.000140653633
1.91043093e-07,18.0,9.00002401,9.000024,8.99231716,2.40071774e-05,0.089052786,9.00038107,0.000409752242,0.000172973755
2.95092343e-07,18.0,9.00003708,9.00003708,8.99255337,3.70823762e-05,0.0890658561,9.00058628,0.000645929819,0.000209941242
5.03190842e-07,18.0,9.00006323,9.00006322,8.99305889,6.32327207e-05,0.0890919926,9.00099078,0.00115135417,0.000243531062
8.53170452e-07,18.0,9.00010721,9.00010719,8.99400636,0.000107212048,0.0891359383,9.00165362,0.00209858824,0.000278050526
1.55312967e-06,18.0,9.00019517,9.00019512,8.99625129,0.000195168933,0.0892237899,9.00291653,0.00434274211,0.000344256544
2.95304812e-06,18.0,9.00037107,9.00037096,9.00202659,0.000371069678,0.0893993408,9.00521173,0.0101149397,0.000463373462
5.752885e-06,18.0,9.00072277,9.0007225,9.01792812,0.000722771435,0.0897498713,9.00902046,0.0260022651,0.00065762564
1.10766711e-05,18.0,9.00139081,9.00139009,9.05989979,0.00139081212,0.0904144122,9.01414596,0.0679072768,0.000907252588
1.87684675e-05,18.0,9.00235305,9.00235152,9.13730645,0.00235305254,0.0913697746,9.01849066,0.145101432,0.00109504591
2.87684675e-05,18.0,9.00359549,9.00359276,9.25203136,0.00359549788,0.0926017369,9.02145207,0.259309414,0.00118726926
3.87684675e-05,18.0,9.00482374,9.00481974,9.37252672,0.00482375343,0.0938188596,9.02311059,0.378994928,0.00120606511
4.87684675e-05,18.0,9.00603296,9.00602767,9.49378793,0.00603297183,0.0950168294,9.02427137,0.499146445,0.00119714365
5.87684675e-05,18.0,9.00721836,9.00721181,9.61382504,0.00721838085,0.0961910816,9.0252007,0.617775538,0.00117586382
6.87684675e-05,18.0,9.00837527,9.00836748,9.73165994,0.00837530222,0.0973370361,9.02598529,0.733909218,0.00114737946
7.87684675e-05,18.0,9.00949913,9.00949012,9.84665926,0.00949917009,0.0984501882,9.02665222,0.846921191,0.00111353684
8.87684675e-05,18.0,9.0105855,9.0105753,9.95831294,0.0105855491,0.0995261507,9.0272089,0.956309895,0.00107500782
9.87684675e-05,18.0,9.01163009,9.01161874,10.0661616,0.0116301517,0.100560679,9.02765652,1.06162559,0.00103216292
0.000108768467,18.0,9.01262878,9.01261632,10.1697733,0.0126288555,0.101549691,9.02799443,1.16244712,0.000985206959
0.000118768467,18.0,9.01357763,9.0135641,10.2687371,0.013577719,0.102489285,9.02822166,1.25837529,0.000934373025
0.000128768467,18.0,9.0144729,9.01445836,10.3626617,0.0144729973,0.103375751,9.02833745,1.34903158,0.000879843376
0.000138768467,18.0,9.01531104,9.01529554,10.4511763,0.0153111574,0.104205593,9.02834138,1.43405877,0.000821860171
