 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 0.00000000e+00  0.00000000e+00  1.80000000e+01  9.00000000e+00  9.00000000e+00  8.99190737e+00  0.00000000e+00  8.90287859e-02  9.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.00000000e-07  1.80000000e+01  9.00001257e+00  9.00001256e+00  8.99211957e+00  1.25663698e-05  8.90413488e-02  9.00019988e+00  2.12180114e-04  1.06090057e-04 
 1.13006156e-07  1.13006156e-07  1.80000000e+01  9.00001420e+00  9.00001420e+00  8.99214734e+00  1.42007712e-05  8.90429827e-02  9.00022585e+00  2.39952277e-04  1.18455688e-04 
 1.39018469e-07  1.39018469e-07  1.80000000e+01  9.00001747e+00  9.00001747e+00  8.99220325e+00  1.74695738e-05  8.90462505e-02  9.00027771e+00  2.95850385e-04  1.40653633e-04 
 1.91043093e-07  1.91043093e-07  1.80000000e+01  9.00002401e+00  9.00002400e+00  8.99231716e+00  2.40071774e-05  8.90527860e-02  9.00038107e+00  4.09752242e-04  1.72973755e-04 
 2.95092343e-07  2.95092343e-07  1.80000000e+01  9.00003708e+00  9.00003708e+00  8.99255337e+00  3.70823762e-05  8.90658561e-02  9.00058628e+00  6.45929819e-04  2.09941242e-04 
 5.03190842e-07  5.03190842e-07  1.80000000e+01  9.00006323e+00  9.00006322e+00  8.99305889e+00  6.32327207e-05  8.90919926e-02  9.00099078e+00  1.15135417e-03  2.43531062e-04 
 8.53170452e-07  8.53170452e-07  1.80000000e+01  9.00010721e+00  9.00010719e+00  8.99400636e+00  1.07212048e-04  8.91359383e-02  9.00165362e+00  2.09858824e-03  2.78050526e-04 
 1.55312967e-06  1.55312967e-06  1.80000000e+01  9.00019517e+00  9.00019512e+00  8.99625129e+00  1.95168933e-04  8.92237899e-02  9.00291653e+00  4.34274211e-03  3.44256544e-04 
 2.95304812e-06  2.95304812e-06  1.80000000e+01  9.00037107e+00  9.00037096e+00  9.00202659e+00  3.71069678e-04  8.93993408e-02  9.00521173e+00  1.01149397e-02  4.63373462e-04 
 5.75288500e-06  5.75288500e-06  1.80000000e+01  9.00072277e+00  9.00072250e+00  9.01792812e+00  7.22771435e-04  8.97498713e-02  9.00902046e+00  2.60022651e-02  6.57625640e-04 
 1.10766711e-05  1.10766711e-05  1.80000000e+01  9.00139081e+00  9.00139009e+00  9.05989979e+00  1.39081212e-03  9.04144122e-02  9.01414596e+00  6.79072768e-02  9.07252588e-04 
 1.87684675e-05  1.87684675e-05  1.80000000e+01  9.00235305e+00  9.00235152e+00  9.13730645e+00  2.35305254e-03  9.13697746e-02  9.01849066e+00  1.45101432e-01  1.09504591e-03 
 2.87684675e-05  2.87684675e-05  1.80000000e+01  9.00359549e+00  9.00359276e+00  9.25203136e+00  3.59549788e-03  9.26017369e-02  9.02145207e+00  2.59309414e-01  1.18726926e-03 
 3.87684675e-05  3.87684675e-05  1.80000000e+01  9.00482374e+00  9.00481974e+00  9.37252672e+00  4.82375343e-03  9.38188596e-02  9.02311059e+00  3.78994928e-01  1.20606511e-03 
 4.87684675e-05  4.87684675e-05  1.80000000e+01  9.00603296e+00  9.00602767e+00  9.49378793e+00  6.03297183e-03  9.50168294e-02  9.02427137e+00  4.99146445e-01  1.19714365e-03 
 5.87684675e-05  5.87684675e-05  1.80000000e+01  9.00721836e+00  9.00721181e+00  9.61382504e+00  7.21838085e-03  9.61910816e-02  9.02520070e+00  6.17775538e-01  1.17586382e-03 
 6.87684675e-05  6.87684675e-05  1.80000000e+01  9.00837527e+00  9.00836748e+00  9.73165994e+00  8.37530222e-03  9.73370361e-02  9.02598529e+00  7.33909218e-01  1.14737946e-03 
 7.87684675e-05  7.87684675e-05  1.80000000e+01  9.00949913e+00  9.00949012e+00  9.84665926e+00  9.49917009e-03  9.84501882e-02  9.02665222e+00  8.46921191e-01  1.11353684e-03 
 8.87684675e-05  8.87684675e-05  1.80000000e+01  9.01058550e+00  9.01057530e+00  9.95831294e+00  1.05855491e-02  9.95261507e-02  9.02720890e+00  9.56309895e-01  1.07500782e-03 
 9.87684675e-05  9.87684675e-05  1.80000000e+01  9.01163009e+00  9.01161874e+00  1.00661616e+01  1.16301517e-02  1.00560679e-01  9.02765652e+00  1.06162559e+00  1.03216292e-03 
 1.08768467e-04  1.08768467e-04  1.80000000e+01  9.01262878e+00  9.01261632e+00  1.01697733e+01  1.26288555e-02  1.01549691e-01  9.02799443e+00  1.16244712e+00  9.85206959e-04 
 1.18768467e-04  1.18768467e-04  1.80000000e+01  9.01357763e+00  9.01356410e+00  1.02687371e+01  1.35777190e-02  1.02489285e-01  9.02822166e+00  1.25837529e+00  9.34373025e-04 
 1.28768467e-04  1.28768467e-04  1.80000000e+01  9.01447290e+00  9.01445836e+00  1.03626617e+01  1.44729973e-02  1.03375751e-01  9.02833745e+00  1.34903158e+00  8.79843376e-04 
 1.38768467e-04  1.38768467e-04  1.80000000e+01  9.01531104e+00  9.01529554e+00  1.04511763e+01  1.53111574e-02  1.04205593e-01  9.02834138e+00  1.43405877e+00  8.21860171e-04 
 1.48768467e-04  1.48768467e-04  1.80000000e+01  9.01608876e+00  9.01607236e+00  1.05339314e+01  1.60888914e-02  1.04975535e-01  9.02823346e+00  1.51312203e+00  7.60629602e-04 
 1.58768467e-04  1.58768467e-04  1.80000000e+01  9.01680298e+00  9.01678574e+00  1.06106006e+01  1.68031298e-02  1.05682539e-01  9.02801412e+00  1.58591011e+00  6.96416227e-04 
 1.68768467e-04  1.68768467e-04  1.80000000e+01  9.01745089e+00  9.01743288e+00  1.06808812e+01  1.74510540e-02  1.06323817e-01  9.02768422e+00  1.65213655e+00  6.29451940e-04 
 1.78768467e-04  1.78768467e-04  1.80000000e+01  9.01802993e+00  9.01801121e+00  1.07444960e+01  1.80301068e-02  1.06896837e-01  9.02724508e+00  1.71154082e+00  5.60021909e-04 
 1.88768467e-04  1.88768467e-04  1.80000000e+01  9.01853780e+00  9.01851847e+00  1.08011940e+01  1.85380030e-02  1.07399339e-01  9.02669842e+00  1.76388928e+00  4.88380162e-04 
 1.98768467e-04  1.98768467e-04  1.80000000e+01  9.01897252e+00  9.01895263e+00  1.08507515e+01  1.89727382e-02  1.07829342e-01  9.02604641e+00  1.80897617e+00  4.14828640e-04 
 2.08768467e-04  2.08768467e-04  1.80000000e+01  9.01933236e+00  9.01931201e+00  1.08929730e+01  1.93325967e-02  1.08185147e-01  9.02529161e+00  1.84662437e+00  3.39639126e-04 
 2.18768467e-04  2.18768467e-04  1.80000000e+01  9.01961590e+00  9.01959516e+00  1.09276919e+01  1.96161582e-02  1.08465352e-01  9.02443701e+00  1.87668611e+00  2.63126021e-04 
 2.28768467e-04  2.28768467e-04  1.80000000e+01  9.01982203e+00  9.01980099e+00  1.09547712e+01  1.98223037e-02  1.08668852e-01  9.02348598e+00  1.89904357e+00  1.85574165e-04 
 2.38768467e-04  2.38768467e-04  1.80000000e+01  9.01994992e+00  9.01992867e+00  1.09741042e+01  1.99502197e-02  1.08794843e-01  9.02244227e+00  1.91360930e+00  1.07305870e-04 
 2.48768467e-04  2.48768467e-04  1.80000000e+01  9.01999909e+00  9.01997770e+00  1.09856147e+01  1.99994012e-02  1.08842830e-01  9.02131000e+00  1.92032661e+00  2.86141674e-05 
 2.58768467e-04  2.58768467e-04  1.80000000e+01  9.01996932e+00  9.01994790e+00  1.09892571e+01  1.99696543e-02  1.08812622e-01  9.02009364e+00  1.91916976e+00 -5.01754210e-05 
 2.68768467e-04  2.68768467e-04  1.80000000e+01  9.01986074e+00  9.01983937e+00  1.09850171e+01  1.98610962e-02  1.08704339e-01  9.01879798e+00  1.91014407e+00 -1.28766624e-04 
 2.78768467e-04  2.78768467e-04  1.80000000e+01  9.01967378e+00  9.01965255e+00  1.09729116e+01  1.96741555e-02  1.08518408e-01  9.01742814e+00  1.89328589e+00 -2.06835488e-04 
 2.88768467e-04  2.88768467e-04  1.80000000e+01  9.01940917e+00  9.01938817e+00  1.09529881e+01  1.94095699e-02  1.08255564e-01  9.01598951e+00  1.86866249e+00 -2.84087490e-04 
 2.98768467e-04  2.98768467e-04  1.80000000e+01  9.01906797e+00  9.01904728e+00  1.09253255e+01  1.90683835e-02  1.07916842e-01  9.01448778e+00  1.83637175e+00 -3.60204994e-04 
 3.08768467e-04  3.08768467e-04  1.80000000e+01  9.01865151e+00  9.01863122e+00  1.08900327e+01  1.86519430e-02  1.07503579e-01  9.01292887e+00  1.79654180e+00 -4.34900153e-04 
 3.18768467e-04  3.18768467e-04  1.80000000e+01  9.01816144e+00  9.01814163e+00  1.08472490e+01  1.81618918e-02  1.07017406e-01  9.01131893e+00  1.74933050e+00 -5.07866370e-04 
 3.28768467e-04  3.28768467e-04  1.80000000e+01  9.01759969e+00  9.01758044e+00  1.07971433e+01  1.76001639e-02  1.06460240e-01  9.00966430e+00  1.69492486e+00 -5.78827252e-04 
 3.38768467e-04  3.38768467e-04  1.80000000e+01  9.01696849e+00  9.01694987e+00  1.07399131e+01  1.69689761e-02  1.05834280e-01  9.00797153e+00  1.63354024e+00 -6.47491799e-04 
 3.48768467e-04  3.48768467e-04  1.80000000e+01  9.01627032e+00  9.01625241e+00  1.06757843e+01  1.62708196e-02  1.05141996e-01  9.00624729e+00  1.56541956e+00 -7.13599668e-04 
 3.58768467e-04  3.58768467e-04  1.80000000e+01  9.01550793e+00  9.01549080e+00  1.06050099e+01  1.55084496e-02  1.04386118e-01  9.00449837e+00  1.49083231e+00 -7.76879797e-04 
 3.68768467e-04  3.68768467e-04  1.80000000e+01  9.01468434e+00  9.01466806e+00  1.05278692e+01  1.46848748e-02  1.03569630e-01  9.00273169e+00  1.41007350e+00 -8.37092246e-04 
 3.78768467e-04  3.78768467e-04  1.80000000e+01  9.01380280e+00  9.01378742e+00  1.04446664e+01  1.38033455e-02  1.02695752e-01  9.00095422e+00  1.32346249e+00 -8.93989926e-04 
 3.88768467e-04  3.88768467e-04  1.80000000e+01  9.01286678e+00  9.01285237e+00  1.03557300e+01  1.28673408e-02  1.01767934e-01  8.99917297e+00  1.23134176e+00 -9.47357300e-04 
 3.98768467e-04  3.98768467e-04  1.80000000e+01  9.01187998e+00  9.01186660e+00  1.02614108e+01  1.18805545e-02  1.00789836e-01  8.99739497e+00  1.13407553e+00 -9.96974967e-04 
 4.08768467e-04  4.08768467e-04  1.80000000e+01  9.01084630e+00  9.01083398e+00  1.01620811e+01  1.08468811e-02  9.97653175e-02  8.99562724e+00  1.03204833e+00 -1.04265540e-03 
 4.18768467e-04  4.18768467e-04  1.80000000e+01  9.00976980e+00  9.00975861e+00  1.00581327e+01  9.77039997e-03  9.86984227e-02  8.99387676e+00  9.25663498e-01 -1.08421016e-03 
 4.28768467e-04  4.28768467e-04  1.80000000e+01  9.00865475e+00  9.00864471e+00  9.94997604e+00  8.65535957e-03  9.75933615e-02  8.99215044e+00  8.15341573e-01 -1.12148289e-03 
 4.38768467e-04  4.38768467e-04  1.80000000e+01  9.00750555e+00  9.00749670e+00  9.83803781e+00  7.50616043e-03  9.64544951e-02  8.99045509e+00  7.01518646e-01 -1.15431894e-03 
 4.48768467e-04  4.48768467e-04  1.80000000e+01  9.00632672e+00  9.00631909e+00  9.72275982e+00  6.32733789e-03  9.52863182e-02  8.98879741e+00  5.84644634e-01 -1.18259576e-03 
 4.58768467e-04  4.58768467e-04  1.80000000e+01  9.00512292e+00  9.00511655e+00  9.60459703e+00  5.12354425e-03  9.40934413e-02  8.98718393e+00  4.65181508e-01 -1.20619478e-03 
 4.68768467e-04  4.68768467e-04  1.80000000e+01  9.00389890e+00  9.00389380e+00  9.48401581e+00  3.89953031e-03  9.28805726e-02  8.98562104e+00  3.43601466e-01 -1.22502938e-03 
 4.78768467e-04  4.78768467e-04  1.80000000e+01  9.00265949e+00  9.00265569e+00  9.36149207e+00  2.66012672e-03  9.16524992e-02  8.98411490e+00  2.20385068e-01 -1.23901879e-03 
 4.88768467e-04  4.88768467e-04  1.80000000e+01  9.00140959e+00  9.00140709e+00  9.23750942e+00  1.41022481e-03  9.04140682e-02  8.98267145e+00  9.60193405e-02 -1.24811385e-03 
 4.98768467e-04  4.98768467e-04  1.80000000e+01  9.00015412e+00  9.00015293e+00  9.11255719e+00  1.54757396e-04  8.91701679e-02  8.98129640e+00 -2.90041476e-02 -1.25227274e-03 
 5.08768467e-04  5.08768467e-04  1.80000000e+01  8.99889804e+00  8.99889817e+00  8.98712860e+00 -1.10132078e-03  8.79257079e-02  8.97999516e+00 -1.54191229e-01 -1.25148465e-03 
 5.18768467e-04  5.18768467e-04  1.80000000e+01  8.99764631e+00  8.99764776e+00  8.86171871e+00 -2.35305254e-03  8.66856002e-02  8.97877289e+00 -2.79047088e-01 -1.24574727e-03 
 5.28768467e-04  5.28768467e-04  1.80000000e+01  8.99640387e+00  8.99640663e+00  8.73682252e+00 -3.59549788e-03  8.54547396e-02  8.97763440e+00 -4.03078217e-01 -1.23508848e-03 
 5.38768467e-04  5.38768467e-04  1.80000000e+01  8.99517562e+00  8.99517968e+00  8.61293301e+00 -4.82375343e-03  8.42379845e-02  8.97658419e+00 -5.25794365e-01 -1.21954534e-03 
 5.48768467e-04  5.48768467e-04  1.80000000e+01  8.99396641e+00  8.99397176e+00  8.49053917e+00 -6.03297183e-03  8.30401374e-02  8.97562640e+00 -6.46710475e-01 -1.19918410e-03 
 5.58768467e-04  5.58768467e-04  1.80000000e+01  8.99278100e+00  8.99278763e+00  8.37012410e+00 -7.21838085e-03  8.18659261e-02  8.97476481e+00 -7.65348603e-01 -1.17408052e-03 
 5.68768467e-04  5.68768467e-04  1.80000000e+01  8.99162409e+00  8.99163196e+00  8.25216308e+00 -8.37530222e-03  8.07199853e-02  8.97400283e+00 -8.81239800e-01 -1.14433826e-03 
 5.78768467e-04  5.78768467e-04  1.80000000e+01  8.99050023e+00  8.99050932e+00  8.13712168e+00 -9.49917009e-03  7.96068378e-02  8.97334345e+00 -9.93925970e-01 -1.11007050e-03 
 5.88768467e-04  5.88768467e-04  1.80000000e+01  8.98941386e+00  8.98942414e+00  8.02545395e+00 -1.05855491e-02  7.85308769e-02  8.97278927e+00 -1.10296168e+00 -1.07141674e-03 
 5.98768467e-04  5.98768467e-04  1.80000000e+01  8.98836927e+00  8.98838070e+00  7.91760063e+00 -1.16301517e-02  7.74963491e-02  8.97234250e+00 -1.20791591e+00 -1.02852568e-03 
 6.08768467e-04  6.08768467e-04  1.80000000e+01  8.98737058e+00  8.98738312e+00  7.81398736e+00 -1.26288555e-02  7.65073371e-02  8.97200487e+00 -1.30837377e+00 -9.81570580e-04 
 6.18768467e-04  6.18768467e-04  1.80000000e+01  8.98642173e+00  8.98643533e+00  7.71502305e+00 -1.35777190e-02  7.55677440e-02  8.97177774e+00 -1.40393812e+00 -9.30733185e-04 
