 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 0.00000000e+00  0.00000000e+00  1.80000000e+01  9.00000000e+00  9.00000000e+00  8.99190737e+00  0.00000000e+00  8.90287859e-02  9.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.00000000e-07  1.80000000e+01  9.00003142e+00  9.00003141e+00  8.99243786e+00  3.14159245e-05  8.90601931e-02  9.00049970e+00  5.30450402e-04  2.65225201e-04 
 1.13006169e-07  1.13006169e-07  1.80000000e+01  9.00003550e+00  9.00003549e+00  8.99250730e+00  3.55019319e-05  8.90642780e-02  9.00056461e+00  5.99881799e-04  2.96140115e-04 
 1.39018506e-07  1.39018506e-07  1.80000000e+01  9.00004367e+00  9.00004367e+00  8.99264706e+00  4.36739461e-05  8.90724476e-02  9.00069428e+00  7.39625380e-04  3.51633206e-04 
 1.91043180e-07  1.91043180e-07  1.80000000e+01  9.00006002e+00  9.00006001e+00  8.99293184e+00  6.00179708e-05  8.90887862e-02  9.00095268e+00  1.02437997e-03  4.32433671e-04 
 2.95092529e-07  2.95092529e-07  1.80000000e+01  9.00009271e+00  9.00009269e+00  8.99352237e+00  9.27059991e-05  8.91214614e-02  9.00146571e+00  1.61482571e-03  5.24853752e-04 
 5.03191227e-07  5.03191227e-07  1.80000000e+01  9.00015808e+00  9.00015805e+00  8.99478617e+00  1.58081923e-04  8.91868029e-02  9.00247695e+00  2.87838676e-03  6.08827175e-04 
 8.53168251e-07  8.53168251e-07  1.80000000e+01  9.00026803e+00  9.00026797e+00  8.99715482e+00  2.68029427e-04  8.92966662e-02  9.00413403e+00  5.24645366e-03  6.95125935e-04 
 1.55312230e-06  1.55312230e-06  1.80000000e+01  9.00048792e+00  9.00048780e+00  9.00276711e+00  4.87920016e-04  8.95162936e-02  9.00729129e+00  1.08567894e-02  8.60639641e-04 
 2.95303039e-06  2.95303039e-06  1.80000000e+01  9.00092767e+00  9.00092740e+00  9.01720520e+00  9.27668629e-04  8.99551676e-02  9.01302926e+00  2.52871412e-02  1.15843022e-03 
 5.75284658e-06  5.75284658e-06  1.80000000e+01  9.00180692e+00  9.00180623e+00  9.05695861e+00  1.80691652e-03  9.08314873e-02  9.02255104e+00  6.50050321e-02  1.64405825e-03 
 1.10766054e-05  1.10766054e-05  1.80000000e+01  9.00347701e+00  9.00347522e+00  9.16188695e+00  3.47700972e-03  9.24928311e-02  9.03536476e+00  1.69766716e-01  2.26812561e-03 
 1.91662157e-05  1.91662157e-05  1.80000000e+01  9.00600670e+00  9.00600275e+00  9.36610122e+00  6.00670128e-03  9.50043622e-02  9.04665860e+00  3.73411416e-01  2.75457015e-03 
 2.91662157e-05  2.91662157e-05  1.80000000e+01  9.00911162e+00  9.00910465e+00  9.65400641e+00  9.11163696e-03  9.80829625e-02  9.05384382e+00  6.59996211e-01  2.97276190e-03 
 3.91662157e-05  3.91662157e-05  1.80000000e+01  9.01218059e+00  9.01217042e+00  9.95550838e+00  1.21806132e-02  1.01124051e-01  9.05791093e+00  9.59443932e-01  3.01534094e-03 
 4.91662157e-05  4.91662157e-05  1.80000000e+01  9.01520148e+00  9.01518806e+00  1.02586146e+01  1.52015181e-02  1.04116784e-01  9.06077976e+00  1.25974613e+00  2.99118602e-03 
 5.91662157e-05  5.91662157e-05  1.80000000e+01  9.01816238e+00  9.01814571e+00  1.05585233e+01  1.81624295e-02  1.07049733e-01  9.06308500e+00  1.55610542e+00  2.93708201e-03 
 6.91662157e-05  6.91662157e-05  1.80000000e+01  9.02105159e+00  9.02103168e+00  1.08528473e+01  2.10516621e-02  1.09911444e-01  9.06503312e+00  1.84614754e+00  2.86519805e-03 
