time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
5e-06,4.9997192,0.025,0.054223064,0.63943294,0.0304541199,-3.59921953e-14
5.14041749e-06,4.99971132,0.0257020874,0.0543484326,0.640171172,0.0308020914,-3.53426276e-14
5.42125246e-06,4.99969555,0.0271062623,0.0546495067,0.641142714,0.0315001134,-3.40955804e-14
5.98292242e-06,4.99966403,0.0299146121,0.055987592,0.642571092,0.0328982769,-3.24236599e-14
7.10626232e-06,4.99960104,0.0355313116,0.0588126297,0.645336919,0.0356949786,-2.92160762e-14
8.47243311e-06,4.99952452,0.0423621655,0.0621968591,0.648722548,0.0390961497,-2.51899877e-14
1.12047747e-05,4.9993718,0.0560238734,0.069011461,0.655480132,0.0458985494,-1.6935195e-14
1.66694578e-05,4.99906756,0.0833472891,0.0826052874,0.669001439,0.0595033286,1.03303197e-15
2.75988241e-05,4.99846395,0.137994121,0.109824451,0.696039886,0.0867129241,4.78858695e-14
4.94575567e-05,4.99727617,0.247287784,0.164233028,0.750117111,0.141132194,3.21117576e-13
9.31750219e-05,4.99497838,0.465875109,0.273079595,0.858260728,0.249971098,1.74493064e-11
0.000180609952,4.99069363,0.903049761,0.490745476,1.07451307,0.467650376,8.3743306e-08
0.000340304976,4.98395674,1.70152488,1.06670277,1.64371121,0.992264511,0.000456263829
0.0005,4.97866078,2.5,1.83125719,2.39272588,1.71110719,0.00169345731
0.000522442595,4.97804806,2.61221297,1.94204838,2.50054166,1.81654069,0.00178915142
0.000567327784,4.97688031,2.83663892,2.16151648,2.71342981,2.02462762,0.00216717363
0.000657098163,4.9748903,3.28549081,2.60365973,3.13164688,2.43606326,0.00280890937
0.00080928745,4.97253501,4.04643725,3.36304674,3.5537672,2.85686338,0.00298347074
0.000904643725,4.97169094,4.52321862,3.84282299,3.69909841,3.00549438,0.00265726752
0.001,4.9713225,5.0,4.32290643,3.84367744,3.15369034,0.00233878731
0.00101179568,4.97130631,5.0,4.32314765,3.84317354,3.15342676,0.00231707683
0.00103538703,4.97127394,5.0,4.3231499,3.84311478,3.15337038,0.00231687508
0.00108256974,4.97120924,5.0,4.32314915,3.84313416,3.15338898,0.00231694274
0.00117693515,4.97107992,5.0,4.32315282,3.84303787,3.15329657,0.00231661322
0.00136566598,4.97082169,5.0,4.32315502,3.84297965,3.15324071,0.00231641665
0.00174312763,4.97030682,5.0,4.32316453,3.84273008,3.15300122,0.00231556537
0.00224312763,4.96962805,5.0,4.3231731,3.84250425,3.15278453,0.00231479809
0.00274312763,4.96895296,5.0,4.32318504,3.84219096,3.15248391,0.00231372989
0.00324312763,4.96828154,5.0,4.32319351,3.84196797,3.15226994,0.0023129722
0.00374312763,4.96761376,5.0,4.32320534,3.84165768,3.15197221,0.00231191424
0.00424312763,4.96694961,5.0,4.32321371,3.8414375,3.15176094,0.00231116613
0.00474312763,4.96628906,5.0,4.32322544,3.84113017,3.15146606,0.0023101183
0.00524312763,4.96563209,5.0,4.32323371,3.84091277,3.15125747,0.00230937967
0.00574312763,4.9649787,5.0,4.32324534,3.84060838,3.15096541,0.00230834186
0.00624312763,4.96432884,5.0,4.32325351,3.84039371,3.15075946,0.00230761259
0.00674312763,4.96368252,5.0,4.32326504,3.84009223,3.1504702,0.0023065847
0.00724312763,4.9630397,5.0,4.32327311,3.83988028,3.15026685,0.00230586469
0.00774312763,4.96240038,5.0,4.32328453,3.83958167,3.14998036,0.0023048466
0.00824312763,4.96176452,5.0,4.32329251,3.8393724,3.14977959,0.00230413575
0.00874312763,4.96113211,5.0,4.32330383,3.83907663,3.14949583,0.00230312738
0.00924312763,4.96050314,5.0,4.32331172,3.83887002,3.14929762,0.00230242558
0.00974312763,4.95987758,5.0,4.32332294,3.83857706,3.14901656,0.00230142681
0.0102431276,4.95925541,5.0,4.32333073,3.83837308,3.14882088,0.00230073396
0.0107431276,4.95863663,5.0,4.32334185,3.8380829,3.1485425,0.0022997447
0.0112431276,4.9580212,5.0,4.32334954,3.83788152,3.14834931,0.00229906071
0.0117431276,4.95740911,5.0,4.32336057,3.83759409,3.14807358,0.00229808084
0.0122431276,4.95680034,5.0,4.32336817,3.83739527,3.14788286,0.00229740561
0.0127431276,4.95619488,5.0,4.3233791,3.83711057,3.14760975,0.00229643504
0.0132431276,4.95559271,5.0,4.32338661,3.83691429,3.14742146,0.00229576846
0.0137431276,4.9549938,5.0,4.32339744,3.83663229,3.14715095,0.0022948071
0.0142431276,4.95439814,5.0,4.32340486,3.83643852,3.14696508,0.00229414909
0.0147431276,4.95380572,5.0,4.3234156,3.83615918,3.14669713,0.00229319683
0.0152431276,4.95321651,5.0,4.32342293,3.83596789,3.14651365,0.00229254728
0.0157431276,4.9526305,5.0,4.32343357,3.83569119,3.14624824,0.00229160404
0.0162431276,4.95204767,5.0,4.32344081,3.83550236,3.14606711,0.00229096285
0.0167431276,4.951468,5.0,4.32345136,3.83522827,3.14580421,0.00229002852
0.0172431276,4.95089148,5.0,4.32345851,3.83504187,3.14562542,0.00228939562
0.0177431276,4.95031809,5.0,4.32346897,3.83477036,3.14536501,0.00228847011
0.0182431276,4.94974781,5.0,4.32347603,3.83458636,3.14518852,0.00228784539
0.0187431276,4.94918063,5.0,4.32348639,3.83431741,3.14493057,0.0022869286
0.0192431276,4.94861653,5.0,4.32349337,3.83413578,3.14475637,0.00228631197
0.0197431276,4.94805548,5.0,4.32350365,3.83386936,3.14450084,0.00228540382
0.0202431276,4.94749749,5.0,4.32351053,3.83369008,3.1443289,0.0022847952
0.0207431276,4.94694252,5.0,4.32352072,3.83342616,3.14407578,0.00228389559
0.0212431276,4.94639056,5.0,4.32352752,3.8332492,3.14390607,0.00228329488
0.0217431276,4.9458416,5.0,4.32353762,3.83298776,3.14365533,0.00228240372
0.0222431276,4.94529562,5.0,4.32354434,3.8328131,3.14348782,0.00228181083
0.0227431276,4.9447526,5.0,4.32355435,3.83255411,3.14323944,0.00228092804
0.0232431276,4.94421253,5.0,4.32356099,3.83238171,3.14307411,0.00228034289
0.0237431276,4.94367539,5.0,4.32357091,3.83212515,3.14282807,0.00227946838
0.0242431276,4.94314117,5.0,4.32357746,3.83195499,3.14266489,0.00227889087
0.0247431276,4.94260984,5.0,4.32358729,3.83170083,3.14242116,0.00227802454
0.0252431276,4.9420814,5.0,4.32359377,3.8315329,3.14226011,0.0022774546
0.0257431276,4.94155583,5.0,4.32360352,3.83128111,3.14201866,0.00227659638
0.0262431276,4.94103311,5.0,4.32360991,3.83111537,3.14185973,0.00227603392
0.0267431276,4.94051323,5.0,4.32361957,3.83086593,3.14162053,0.00227518371
0.0272431276,4.93999617,5.0,4.32362588,3.83070236,3.14146368,0.00227462864
0.0277431276,4.93948191,5.0,4.32363546,3.83045524,3.14122672,0.00227378636
0.0282431276,4.93897045,5.0,4.32364169,3.83029382,3.14107193,0.00227323861
0.0287431276,4.93846176,5.0,4.32365119,3.830049,3.14083718,0.00227240418
0.0292431276,4.93795584,5.0,4.32365734,3.8298897,3.14068443,0.00227186366
0.0297431276,4.93745266,5.0,4.32366675,3.82964716,3.14045187,0.00227103699
0.0302431276,4.93695221,5.0,4.32367283,3.82948996,3.14030113,0.00227050362
0.0307431276,4.93645448,5.0,4.32368216,3.82924967,3.14007073,0.00226968463
0.0312431276,4.93595944,5.0,4.32368816,3.82909454,3.13992199,0.00226915833
0.0317431276,4.9354671,5.0,4.32369741,3.82885648,3.13969374,0.00226834695
0.0322431276,4.93497743,5.0,4.32370333,3.82870341,3.13954697,0.00226782763
0.0327431276,4.93449041,5.0,4.3237125,3.82846755,3.13932083,0.00226702378
0.0332431276,4.93400604,5.0,4.32371835,3.8283165,3.13917601,0.00226651137
0.0337431276,4.9335243,5.0,4.32372744,3.82808283,3.13895197,0.00226571496
0.0342431276,4.93304518,5.0,4.32373321,3.82793379,3.13880907,0.00226520939
0.0347431276,4.93256865,5.0,4.32374222,3.82770228,3.1385871,0.00226442034
0.0352431276,4.93209471,5.0,4.32374792,3.82755522,3.13844611,0.00226392152
0.0357431276,4.93162334,5.0,4.32375685,3.82732584,3.1382262,0.00226313976
0.0362431276,4.93115453,5.0,4.32376248,3.82718074,3.13808709,0.00226264763
0.0367431276,4.93068827,5.0,4.32377133,3.82695348,3.13786921,0.00226187307
0.0372431276,4.93022453,5.0,4.32377689,3.82681032,3.13773197,0.00226138755
0.0377431276,4.92976332,5.0,4.32378566,3.82658515,3.1375161,0.00226062013
0.0382431276,4.9293046,5.0,4.32379115,3.82644391,3.13738069,0.00226014113
0.0387431276,4.92884838,5.0,4.32379985,3.82622081,3.13716681,0.00225938077
0.0392431276,4.92839463,5.0,4.32380526,3.82608146,3.13703323,0.00225890824
0.0397431276,4.92794335,5.0,4.32381389,3.82586041,3.13682131,0.00225815486
0.0402431276,4.92749451,5.0,4.32381923,3.82572294,3.13668953,0.00225768871
0.0407431276,4.92704811,5.0,4.32382778,3.82550391,3.13647956,0.00225694225
0.0412431276,4.92660414,5.0,4.32383305,3.8253683,3.13634956,0.00225648241
0.0417431276,4.92616257,5.0,4.32384153,3.82515127,3.13614152,0.00225574279
0.0422431276,4.9257234,5.0,4.32384673,3.82501749,3.13601328,0.00225528919
0.0427431276,4.92528661,5.0,4.32385514,3.82480246,3.13580715,0.00225455634
0.0432431276,4.9248522,5.0,4.32386027,3.82467049,3.13568064,0.00225410891
0.0437431276,4.92442014,5.0,4.3238686,3.82445741,3.1354764,0.00225338276
0.0442431276,4.92399043,5.0,4.32387367,3.82432723,3.13535161,0.00225294144
0.0447431276,4.92356305,5.0,4.32388193,3.8241161,3.13514923,0.0022522219
0.0452431276,4.92313799,5.0,4.32388693,3.8239877,3.13502615,0.00225178662
0.0457431276,4.92271524,5.0,4.32389512,3.82377849,3.13482562,0.00225107364
0.0462431276,4.92229478,5.0,4.32390006,3.82365184,3.13470422,0.00225064432
0.0467431276,4.9218766,5.0,4.32390818,3.82344453,3.13450552,0.00224993783
0.0472431276,4.92146069,5.0,4.32391304,3.82331961,3.13438578,0.00224951441
0.0477431276,4.92104704,5.0,4.32392109,3.82311419,3.13418888,0.00224881434
0.0482431276,4.92063564,5.0,4.3239259,3.82299098,3.13407079,0.00224839676
0.0487431276,4.92022647,5.0,4.32393388,3.82278743,3.13387569,0.00224770304
0.0492431276,4.91981952,5.0,4.32393862,3.82266591,3.13375922,0.00224729122
0.0497431276,4.91941478,5.0,4.32394653,3.8224642,3.13356589,0.00224660379
0.0502431276,4.91901223,5.0,4.32395121,3.82234436,3.13345103,0.00224619767
0.0506215638,4.91870901,5.0,4.32395754,3.82218316,3.13329653,0.00224564801
0.051,4.91840703,5.0,4.32396065,3.82210328,3.13321997,0.00224537778
0.0510179334,4.91837595,4.91033307,4.23359801,3.79454895,3.10491131,0.00230659295
0.0510538002,4.91828021,4.73099921,4.05295277,3.74001029,3.04894249,0.00242655539
0.0511255337,4.91788733,4.37233149,3.69177035,3.63077828,2.9369587,0.00267432478
0.0512690008,4.91629605,3.65499605,2.9704481,3.40542351,2.70715243,0.00312001161
0.051555935,4.90972239,2.22032517,1.56071395,2.12776032,1.45408858,0.00118972558
0.0517779675,4.90146574,1.11016258,0.595960851,1.17831424,0.571616842,4.30422483e-06
0.052,4.89052355,0.0,0.0406655972,0.626642262,0.0175571582,-4.85897796e-14
0.0520359538,4.88854059,0.0,0.0406565817,0.626622758,0.0175490734,-4.85800404e-14
0.0521078614,4.8845763,0.0,0.0406403487,0.626582084,0.0175329174,-4.85625037e-14
0.0522516767,4.87665752,0.0,0.0406079541,0.626500765,0.0175006455,-4.85275051e-14
0.0525393072,4.86085904,0.0,0.0405432951,0.626338353,0.0174362616,-4.84576387e-14
0.0530393072,4.83351942,0.0,0.0404314305,0.626056574,0.017324847,-4.83367341e-14
0.0535393072,4.80633595,0.0,0.0403201882,0.625775015,0.0172140744,-4.82164634e-14
0.0540393072,4.77930774,0.0,0.0402096045,0.625493991,0.0171039389,-4.80968661e-14
