 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 0.00000000e+00  0.00000000e+00 -1.39882884e-27  0.00000000e+00 -3.70853964e-18 -1.09108650e-26  2.21237056e-27  5.92898568e-30 
 5.00000000e-06  5.00000000e-06  1.25106344e-06  2.50000000e-02  1.54456577e-04  1.54386024e-04  2.66047013e-03  4.09778841e-14 
 5.42025194e-06  5.42025194e-06  1.36504948e-06  2.71012597e-02  1.60355679e-04  1.60281345e-04  2.88413583e-03  4.52783849e-14 
 6.26075581e-06  6.26075581e-06  1.61068446e-06  3.13037790e-02  1.65057703e-04  1.64973467e-04  3.33151964e-03  5.44695606e-14 
 7.94176355e-06  7.94176355e-06  2.20791803e-06  3.97088178e-02  1.64226860e-04  1.64112986e-04  4.22636340e-03  7.56750865e-14 
 1.13037790e-05  1.13037790e-05  3.82621401e-06  5.65188952e-02  1.66594545e-04  1.66388994e-04  6.01602462e-03  1.34701823e-13 
 1.80278100e-05  1.80278100e-05  8.75805749e-06  9.01390501e-02  1.71147049e-04  1.70563871e-04  9.59536235e-03  4.04038362e-13 
 3.14758720e-05  3.14758720e-05  2.54021750e-05  1.57379360e-01  1.96639228e-04  1.87197781e-04  1.67540287e-02  4.50465635e-12 
 5.83719959e-05  5.83719959e-05  8.58084991e-05  2.91859979e-01  2.94524505e-03  2.92889915e-04  3.10713768e-02  7.10069120e-10 
 8.62686610e-05  8.62686610e-05  1.86672964e-04  4.31343305e-01  6.39775548e-02  1.32865442e-03  4.59214511e-02  1.47367396e-08 
 1.13064001e-04  1.13064001e-04  3.20185179e-04  5.65320007e-01  1.92230681e-01  1.73924955e-03  6.01849054e-02  1.83866780e-08 
 1.53648603e-04  1.53648603e-04  5.90688699e-04  7.68243017e-01  3.99941005e-01  1.77652063e-03  8.17890506e-02  1.52799421e-08 
 1.94801059e-04  1.94801059e-04  9.48933903e-04  9.74005293e-01  6.05060679e-01  2.17632946e-03  1.03695180e-01  1.56643124e-08 
 2.77105969e-04  2.77105969e-04  1.91889932e-03  1.38552985e+00  1.02014899e+00  2.98768532e-03  1.47507823e-01  1.36481589e-08 
 4.41715790e-04  4.41715790e-04  4.87169008e-03  2.20857895e+00  1.84505953e+00  5.88257710e-03  2.35132753e-01  1.27004703e-08 
 7.20857895e-04  7.20857895e-04  1.29602637e-02  3.60428948e+00  3.24545259e+00  1.38016593e-02  3.83725686e-01  1.05973707e-08 
 1.00000000e-03  1.00000000e-03  2.49168369e-02  5.00000000e+00  4.64099738e+00  2.57382976e-02  5.32318388e-01  1.06654922e-08 
 1.05000000e-03  1.05000000e-03  2.74031432e-02  5.00000000e+00  4.68583920e+00  2.75100267e-02  5.32319461e-01  1.88409840e-09 
 1.15000000e-03  1.15000000e-03  3.23732624e-02  5.00000000e+00  4.73752807e+00  3.23669326e-02  5.32319513e-01  2.55600414e-10 
 1.35000000e-03  1.35000000e-03  4.22985886e-02  5.00000000e+00  4.75733084e+00  4.22923390e-02  5.32319465e-01  1.18980743e-10 
 1.75000000e-03  1.75000000e-03  6.20898052e-02  5.00000000e+00  4.78189968e+00  6.20734799e-02  5.32319512e-01  4.61378778e-11 
 2.25000000e-03  2.25000000e-03  8.67177766e-02  5.00000000e+00  4.80544461e+00  8.67077440e-02  5.32319465e-01  1.86667880e-11 
 2.75000000e-03  2.75000000e-03  1.11222915e-01  5.00000000e+00  4.82835611e+00  1.11206340e-01  5.32319512e-01  7.78331877e-12 
 3.25000000e-03  3.25000000e-03  1.35605833e-01  5.00000000e+00  4.85075433e+00  1.35595558e-01  5.32319465e-01  3.34525470e-12 
 3.75000000e-03  3.75000000e-03  1.59867141e-01  5.00000000e+00  4.87280001e+00  1.59850448e-01  5.32319512e-01  1.48429457e-12 
 4.25000000e-03  4.25000000e-03  1.84007445e-01  5.00000000e+00  4.89462463e+00  1.83997077e-01  5.32319466e-01  6.83330651e-13 
 4.75000000e-03  4.75000000e-03  2.08027348e-01  5.00000000e+00  4.91625832e+00  2.08010619e-01  5.32319512e-01  3.28480827e-13 
 5.25000000e-03  5.25000000e-03  2.31927451e-01  5.00000000e+00  4.93775334e+00  2.31917030e-01  5.32319466e-01  1.63208994e-13 
 5.75000000e-03  5.75000000e-03  2.55708351e-01  5.00000000e+00  4.95909683e+00  2.55691601e-01  5.32319512e-01  7.95214808e-14 
 6.25000000e-03  6.25000000e-03  2.79370644e-01  5.00000000e+00  4.98032006e+00  2.79360174e-01  5.32319466e-01  3.10813972e-14 
 6.75000000e-03  6.75000000e-03  3.02914920e-01  5.00000000e+00  5.00140094e+00  3.02898148e-01  5.32319513e-01 -1.92817673e-15 
 7.25000000e-03  7.25000000e-03  3.26341768e-01  5.00000000e+00  5.02236642e+00  3.26331245e-01  5.32319467e-01 -2.81548031e-14 
 7.75000000e-03  7.75000000e-03  3.49651774e-01  5.00000000e+00  5.04319247e+00  3.49634975e-01  5.32319513e-01 -5.13098599e-14 
 8.25000000e-03  8.25000000e-03  3.72845521e-01  5.00000000e+00  5.06390512e+00  3.72834939e-01  5.32319467e-01 -7.30598896e-14 
