time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
1e-05,5.0,4.27345838,4.27379538,1.2537809,0.00355255135,0.00403572372,0.0571037387,0.0158221853,0.0156173766
1.01876264e-05,5.0,4.27349184,4.2737066,1.2391312,0.00702360146,0.00751583133,0.0425166016,0.0158017342,0.0156710741
1.05628793e-05,5.0,6483.20099,4.14339764,-649.581174,6483.20099,6480.60303,-648.180609,-6.47821099e-09,2.41601484
1.06762968e-05,5.0,4.27611246,4.27526448,-1.89377366,0.420743475,-2.96209787,0.291401643,0.0142791444,0.0147550475
1.07040487e-05,5.0,4.27612572,4.27526482,-1.89354941,0.422731776,-2.95987529,0.291454619,0.0142718295,0.0147548526
1.07516448e-05,5.0,4.27610898,4.27525718,-1.89383016,0.420220775,-2.96198502,0.290880642,0.0142810674,0.0147592095
1.08019057e-05,5.0,4.27539938,4.27526034,-1.89364176,0.422683515,-2.95909933,0.290760081,0.0146782925,0.0147574084
1.09024275e-05,5.0,4.27610012,4.27525166,-1.89437163,0.418890435,-2.96204886,0.289414583,0.0142859618,0.0147623595
1.10313372e-05,5.0,4.27612979,4.27524457,-1.89468699,0.423342828,-2.9565198,0.288313833,0.0142695813,0.0147664101
1.11437344e-05,5.0,4.27608215,4.27522865,-1.89647644,0.416192134,-2.96273613,0.285843716,0.0142958889,0.0147754998
1.12538574e-05,5.0,4.27615039,4.2752227,-1.89673623,0.426430708,-2.95158681,0.284920025,0.014258221,0.0147788988
1.1370155e-05,5.0,4.27606306,4.27519555,-1.90025746,0.413323024,-2.96373723,0.280701633,0.0143064446,0.0147944219
1.14876866e-05,5.0,4.27621645,4.27518814,-1.90070652,0.436315857,-2.93978369,0.279550634,0.014221854,0.0147986574
1.16017707e-05,5.0,4.27604222,4.27512993,-1.90909031,0.410188744,-2.96498396,0.270489782,0.0143179762,0.0148320006
1.17085966e-05,5.0,4.27644915,4.27510586,-1.91221041,0.470940436,-2.90337526,0.266736526,0.0140944767,0.0148458123
1.1811654e-05,5.0,4.31487765,4.27241724,-2.35373306,3.45355783,0.0797138859,-0.175042165,0.0031900752,0.0164720723
1.1851865e-05,5.0,4.84178603,4.27426184,-2.04575278,4.84178603,1.46794073,0.132935394,4.68293276e-12,0.0153382461
1.1881073e-05,5.0,4.29023522,4.26520622,-3.79095818,2.05738937,-1.31645851,-1.61227241,0.00827120465,0.0217684464
1.19090577e-05,5.0,4.83740488,4.27299351,-2.04299476,4.83740488,1.46355455,0.13568903,5.5243178e-12,0.0161091296
1.19397162e-05,5.0,4.28238026,4.26208201,-4.54867358,1.31835249,-2.05550143,-2.36999245,0.0112062534,0.0245632394
1.19703778e-05,5.0,4.83314377,4.27295099,-2.04020598,4.83314376,1.45928627,0.13847289,6.49061435e-12,0.0161356327
1.20056401e-05,5.0,4.278056,4.25980643,-5.1600745,0.720013714,-2.65384873,-2.98139881,0.0132455066,0.0268222209
1.20475512e-05,5.0,4.8293088,4.2730813,-2.03574694,4.82930879,1.45544048,0.142925513,7.50674296e-12,0.0160545451
1.20997023e-05,5.0,4.27331721,4.25726088,-5.91239278,-0.0160159714,-3.3898931,-3.73372514,0.0159087816,0.0295962454
1.21704901e-05,5.0,4.82626926,4.27435825,-2.02757411,4.82626926,1.45238017,0.151087681,8.42583029e-12,0.0152811837
1.22729659e-05,5.0,4.26849183,4.25465405,-6.76235062,-0.848547799,-4.22245756,-4.58369847,0.0191716408,0.0327346467
1.24355295e-05,5.0,4.82443104,4.27444224,-2.01673817,4.82443104,1.45048851,0.161899544,9.03622518e-12,0.0152316397
1.25854433e-05,5.0,4.26651601,4.25363969,-7.11683916,-1.19863112,-4.57260594,-4.93821566,0.0206935492,0.034043917
1.26769361e-05,5.0,4.27430973,4.29989076,0.583779915,0.140643066,-3.23328643,2.76241739,0.0153098765,0.0056943458
1.27298805e-05,5.0,4.25338384,4.26518008,-3.79689224,-5.02984927,-8.40377291,-1.61823931,0.0343823548,0.0217904629
1.27815205e-05,5.0,4.27415445,4.29947303,0.583569682,0.115597258,-3.25832128,2.76223774,0.0154020637,0.00578705842
1.28345246e-05,5.0,4.25606359,4.26934385,-2.90570813,-4.11351816,-7.48743111,-0.727026455,0.0309984692,0.0185503922
1.29405327e-05,5.0,4.27410041,4.29988227,0.583368068,0.106846466,-3.26705612,2.76207706,0.0154342745,0.00569621541
1.3152549e-05,5.0,4.25743058,4.27165089,-2.48460592,-3.6812989,-7.05518041,-0.305845869,0.0294027067,0.0169674254
1.35514632e-05,5.0,4.35068807,4.29543897,0.291037907,4.14390221,0.770050354,2.46978305,0.00079893753,0.00676384033
1.40611838e-05,5.0,4.25436832,4.26658298,-3.48496158,-4.68215914,-8.05596843,-1.306216,0.0330982708,0.0206400338
1.45507523e-05,5.0,4.35166811,4.29472555,0.239361847,4.15437118,0.780600526,2.41808321,0.000769231621,0.00695300013
1.527461e-05,5.0,4.25383939,4.26565691,-3.68898795,-4.86732499,-8.24103531,-1.51029715,0.0337820921,0.0213924236
