time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0,4.49946297e-28,0.0,-5.24852323e-19,3.50958111e-27,1.1220356e-28,5.24852323e-31
5e-06,1.25522826e-06,0.025,0.00072098992,0.000720834607,0.012497037,3.98451831e-14
5.4211354e-06,1.36983444e-06,0.027105677,0.000744839377,0.000744675255,0.0135497778,4.40698738e-14
6.26340619e-06,1.6167935e-06,0.0313170309,0.000764892903,0.000764714189,0.0156553733,5.31355834e-14
7.94794777e-06,2.21713656e-06,0.0397397389,0.000761108426,0.000760900278,0.0198667455,7.41106898e-14
1.13170309e-05,3.84342415e-06,0.0565851547,0.000761974147,0.000761668411,0.0282894569,1.32383693e-13
1.80551973e-05,8.7983504e-06,0.0902759864,0.000761136425,0.000760332658,0.0451348988,3.97958277e-13
3.153153e-05,2.55170506e-05,0.15765765,0.000780558379,0.000770751138,0.0788257575,4.45316425e-12
5.84841953e-05,8.61862202e-05,0.292420977,0.00351817067,0.000861281948,0.146207495,7.09741841e-10
8.64432457e-05,0.000187499704,0.432216228,0.0647967841,0.00188848235,0.216105245,1.47673634e-08
0.000113292277,0.0003215713,0.566461385,0.193387371,0.00228297041,0.283227754,1.83757971e-08
0.000153956407,0.000593181102,0.769782035,0.401479421,0.00230770587,0.384888236,1.52802983e-08
0.000195186174,0.000952843818,0.975930871,0.606995637,0.00269335981,0.487962649,1.56586326e-08
0.000277645709,0.00192659407,1.38822854,1.02285515,0.0034848374,0.694111663,1.36442214e-08
0.000442564777,0.00489074988,2.21282389,1.84931695,0.00635312334,1.10640945,1.26943419e-08
0.000721282389,0.0129760248,3.60641194,3.24757465,0.0142282671,1.80320375,1.05975381e-08
0.001,0.0249175134,5.0,4.64100505,0.0261227651,2.49999786,1.06623289e-08
0.00105,0.0274038197,5.0,4.6857279,0.0275151854,2.50000002,1.89222167e-09
0.00115,0.0323739387,5.0,4.73761632,0.0323695912,2.50000006,2.547305e-10
0.00135,0.0422992645,5.0,4.75733391,0.0422969551,2.50000003,1.18966619e-10
0.00175,0.0620904801,5.0,4.78194536,0.0620762881,2.50000006,4.60567883e-11
0.00225,0.0867184503,5.0,4.80547052,0.0867123496,2.50000002,1.86482537e-11
0.00275,0.111223588,5.0,4.82838346,0.111209218,2.50000006,7.77523646e-12
0.00325,0.135606505,5.0,4.85078302,0.13560023,2.50000002,3.34167253e-12
0.00375,0.159867811,5.0,4.8728268,0.159853396,2.50000006,1.48285246e-12
0.00425,0.184008114,5.0,4.8946531,0.184001822,2.50000002,6.82655316e-13
0.00475,0.208028016,5.0,4.91628479,0.20801364,2.50000006,3.28193774e-13
0.00525,0.231928118,5.0,4.93778148,0.231921852,2.50000002,1.63060213e-13
0.00575,0.255709018,5.0,4.95912331,0.255694701,2.50000006,7.94452491e-14
0.00625,0.279371309,5.0,4.98034839,0.279365077,2.50000002,3.10296427e-14
0.00675,0.302915585,5.0,5.00142755,0.302901331,2.50000006,-1.96452063e-15
0.00725,0.326342432,5.0,5.0223948,0.326336236,2.50000002,-2.81878109e-14
0.00775,0.349652437,5.0,5.04321916,0.349638248,2.50000006,-5.1338487e-14
0.00825,0.372846183,5.0,5.06393354,0.372840023,2.50000002,-7.30892369e-14
0.00875,0.39592425,5.0,5.08450661,0.395910123,2.50000006,-9.41211794e-14
0.00925,0.418887214,5.0,5.10497111,0.418881088,2.50000002,-1.14770015e-13
0.00975,0.441735649,5.0,5.12529599,0.441721585,2.50000006,-1.3517774e-13
0.01025,0.464470127,5.0,5.14551358,0.464464037,2.50000002,-1.55438089e-13
0.01075,0.487091217,5.0,5.16559248,0.487077215,2.50000006,-1.7554125e-13
0.01125,0.509599482,5.0,5.18556523,0.509593426,2.50000002,-1.9552883e-13
0.01175,0.531995488,5.0,5.20540095,0.531981548,2.50000006,-2.15374104e-13
0.01225,0.554279792,5.0,5.22513187,0.55427377,2.50000002,-2.35111485e-13
0.01275,0.576452953,5.0,5.24472697,0.576439075,2.50000006,-2.54711102e-13
0.01325,0.598515524,5.0,5.26421825,0.598509535,2.50000002,-2.74205638e-13
0.01375,0.620468058,5.0,5.283575,0.620454241,2.50000006,-2.93564803e-13
0.01425,0.642311103,5.0,5.30282922,0.642305147,2.50000002,-3.12820841e-13
0.01475,0.664045205,5.0,5.32195003,0.664031448,2.50000006,-3.31943059e-13
0.01525,0.685670908,5.0,5.34096955,0.685664983,2.50000002,-3.50963679e-13
0.01575,0.707188751,5.0,5.35985712,0.707175054,2.50000005,-3.69852126e-13
0.01625,0.728599274,5.0,5.37864444,0.728593381,2.50000002,-3.88640152e-13
0.01675,0.749903011,5.0,5.39730103,0.749889373,2.50000005,-4.07297317e-13
0.01725,0.771100495,5.0,5.41585845,0.771094634,2.50000002,-4.25855212e-13
0.01775,0.792192256,5.0,5.4342863,0.792178677,2.50000005,-4.44283457e-13
0.01825,0.813178821,5.0,5.45261631,0.813172991,2.50000002,-4.62613804e-13
0.01875,0.834060715,5.0,5.4708181,0.834047195,2.50000005,-4.80815873e-13
0.01925,0.85483846,5.0,5.48892297,0.85483266,2.50000002,-4.98920984e-13
0.01975,0.875512576,5.0,5.50690077,0.875499113,2.50000005,-5.16898984e-13
0.02025,0.896083578,5.0,5.52478286,0.896077808,2.50000002,-5.34781251e-13
0.02075,0.916551982,5.0,5.54253913,0.916538577,2.50000005,-5.52537669e-13
0.02125,0.936918299,5.0,5.56020072,0.936912558,2.50000002,-5.70199394e-13
0.02175,0.957183039,5.0,5.57773773,0.957169691,2.50000005,-5.87736521e-13
0.02225,0.977346708,5.0,5.59518129,0.977340995,2.50000002,-6.05180191e-13
0.02275,0.997409809,5.0,5.61250134,0.997396518,2.50000005,-6.2250033e-13
0.02325,1.01737285,5.0,5.62972883,1.01736716,2.50000002,-6.39727898e-13
0.02375,1.03723632,5.0,5.64683415,1.03722308,2.50000005,-6.56833287e-13
0.02425,1.05700072,5.0,5.66384808,1.05699506,2.50000002,-6.73847287e-13
0.02475,1.07666654,5.0,5.68074083,1.07665336,2.50000005,-6.90740089e-13
0.02525,1.09623428,5.0,5.69754318,1.09622865,2.50000002,-7.07542491e-13
0.02575,1.11570443,5.0,5.71422561,1.1156913,2.50000005,-7.24224972e-13
0.02625,1.13507747,5.0,5.73081874,1.13507186,2.50000002,-7.4081814e-13
0.02675,1.15435388,5.0,5.74729303,1.15434081,2.50000005,-7.5729247e-13
0.02725,1.17353415,5.0,5.76367908,1.17352858,2.50000002,-7.73678562e-13
0.02775,1.19261877,5.0,5.7799476,1.19260575,2.50000005,-7.89947109e-13
0.02825,1.21160819,5.0,5.79612877,1.21160264,2.50000002,-8.06128307e-13
0.02875,1.23050291,5.0,5.81219333,1.23048994,2.50000005,-8.22192894e-13
0.02925,1.24930338,5.0,5.82817157,1.24929786,2.50000002,-8.38171158e-13
0.02975,1.26801009,5.0,5.84403433,1.26799718,2.50000005,-8.54033947e-13
0.03025,1.2866235,5.0,5.85981189,1.286618,2.50000002,-8.69811528e-13
0.03075,1.30514408,5.0,5.87547526,1.30513122,2.50000005,-8.85474915e-13
0.03125,1.32357228,5.0,5.89105427,1.3235668,2.50000002,-9.01053938e-13
0.03175,1.34190857,5.0,5.90651997,1.34189576,2.50000005,-9.16519654e-13
0.03225,1.36015341,5.0,5.92190246,1.36014796,2.50000002,-9.31902165e-13
