time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0,4.49946297e-28,0.0,-5.24852323e-19,3.50958111e-27,1.1220356e-28,5.24852323e-31
5e-06,5.70573994e-07,0.025,0.000720344691,0.00072018937,0.0124970369,3.98464661e-14
5.4211277e-06,6.22668124e-07,0.0271056385,0.000744134684,0.000743970554,0.0135497584,4.40712537e-14
6.26338309e-06,7.34923042e-07,0.0313169154,0.000764060319,0.000763881595,0.0156553154,5.31372039e-14
7.94789387e-06,1.00780785e-06,0.0397394693,0.000759962558,0.000759754398,0.0198666104,7.41130954e-14
1.13169154e-05,1.74703497e-06,0.0565845772,0.000759968469,0.000759662712,0.0282891678,1.323899e-13
1.80549586e-05,3.99931199e-06,0.0902747928,0.000756482582,0.000755678741,0.0451343014,3.98004342e-13
3.15310448e-05,1.15990464e-05,0.157655224,0.000766895398,0.000757084625,0.0788245437,4.45504681e-12
5.84832173e-05,3.91787283e-05,0.292416087,0.00347549624,0.000814798922,0.146205049,7.10779048e-10
8.64296351e-05,8.52143709e-05,0.432148176,0.0647125642,0.00178746714,0.216071216,1.47765966e-08
0.000113272877,0.000146149761,0.566364384,0.193276961,0.00210905798,0.28317925,1.83853258e-08
0.000153930343,0.00026961368,0.769651714,0.401328489,0.00198606086,0.384823071,1.52924791e-08
0.000195152067,0.000433115717,0.975760334,0.606800545,0.00217602107,0.487877375,1.56735044e-08
0.000277595515,0.000875858552,1.38797757,1.02256857,0.00243720572,0.69398617,1.36630184e-08
0.00044248241,0.00222408436,2.21241205,1.84885002,0.00369099954,1.10620352,1.27214087e-08
0.000721241205,0.00590553094,3.60620603,3.24727708,0.00716420683,1.80310077,1.06351553e-08
0.001,0.01134723,5.0,4.64087178,0.0125607382,2.49999784,1.07174051e-08
0.00105,0.0124807611,5.0,4.68522019,0.0126003328,2.5,1.92972662e-09
0.00115,0.0147473043,5.0,4.73586318,0.0147499011,2.50000004,2.72578984e-10
0.00135,0.0192772937,5.0,4.75282748,0.0192828821,2.5,1.41569618e-10
0.00175,0.0283249279,5.0,4.77277133,0.028318183,2.50000004,6.55855498e-11
0.00225,0.0396113629,5.0,4.78892034,0.0396122373,2.5,3.52126333e-11
0.00275,0.0508721759,5.0,4.80294844,0.0508643423,2.50000004,2.0541871e-11
0.00325,0.062107425,5.0,4.81520205,0.0621073519,2.5,1.28489361e-11
0.00375,0.0733171684,5.0,4.82629198,0.0733087592,2.50000004,8.41855429e-12
0.00425,0.0845014639,5.0,4.83663556,0.0845009938,2.5,5.68726389e-12
0.00475,0.0956603694,5.0,4.84644934,0.0956517236,2.50000004,3.93014979e-12
0.00525,0.106793943,5.0,4.85592506,0.106793294,2.5,2.75916183e-12
0.00575,0.117902241,5.0,4.86513361,0.117893499,2.50000004,1.96362256e-12
