 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 0.00000000e+00  0.00000000e+00  4.49946297e-28  0.00000000e+00 -5.24852323e-19  3.50958111e-27  1.12203560e-28  5.24852323e-31 
 5.00000000e-06  5.00000000e-06  5.70573994e-07  2.50000000e-02  7.20344691e-04  7.20189370e-04  1.24970369e-02  3.98464661e-14 
 5.42112770e-06  5.42112770e-06  6.22668124e-07  2.71056385e-02  7.44134684e-04  7.43970554e-04  1.35497584e-02  4.40712537e-14 
 6.26338309e-06  6.26338309e-06  7.34923042e-07  3.13169154e-02  7.64060319e-04  7.63881595e-04  1.56553154e-02  5.31372039e-14 
 7.94789387e-06  7.94789387e-06  1.00780785e-06  3.97394693e-02  7.59962558e-04  7.59754398e-04  1.98666104e-02  7.41130954e-14 
 1.13169154e-05  1.13169154e-05  1.74703497e-06  5.65845772e-02  7.59968469e-04  7.59662712e-04  2.82891678e-02  1.32389900e-13 
 1.80549586e-05  1.80549586e-05  3.99931199e-06  9.02747928e-02  7.56482582e-04  7.55678741e-04  4.51343014e-02  3.98004342e-13 
 3.15310448e-05  3.15310448e-05  1.15990464e-05  1.57655224e-01  7.66895398e-04  7.57084625e-04  7.88245437e-02  4.45504681e-12 
 5.84832173e-05  5.84832173e-05  3.91787283e-05  2.92416087e-01  3.47549624e-03  8.14798922e-04  1.46205049e-01  7.10779048e-10 
 8.64296351e-05  8.64296351e-05  8.52143709e-05  4.32148176e-01  6.47125642e-02  1.78746714e-03  2.16071216e-01  1.47765966e-08 
 1.13272877e-04  1.13272877e-04  1.46149761e-04  5.66364384e-01  1.93276961e-01  2.10905798e-03  2.83179250e-01  1.83853258e-08 
 1.53930343e-04  1.53930343e-04  2.69613680e-04  7.69651714e-01  4.01328489e-01  1.98606086e-03  3.84823071e-01  1.52924791e-08 
 1.95152067e-04  1.95152067e-04  4.33115717e-04  9.75760334e-01  6.06800545e-01  2.17602107e-03  4.87877375e-01  1.56735044e-08 
 2.77595515e-04  2.77595515e-04  8.75858552e-04  1.38797757e+00  1.02256857e+00  2.43720572e-03  6.93986170e-01  1.36630184e-08 
 4.42482410e-04  4.42482410e-04  2.22408436e-03  2.21241205e+00  1.84885002e+00  3.69099954e-03  1.10620352e+00  1.27214087e-08 
 7.21241205e-04  7.21241205e-04  5.90553094e-03  3.60620603e+00  3.24727708e+00  7.16420683e-03  1.80310077e+00  1.06351553e-08 
 1.00000000e-03  1.00000000e-03  1.13472300e-02  5.00000000e+00  4.64087178e+00  1.25607382e-02  2.49999784e+00  1.07174051e-08 
 1.05000000e-03  1.05000000e-03  1.24807611e-02  5.00000000e+00  4.68522019e+00  1.26003328e-02  2.50000000e+00  1.92972662e-09 
 1.15000000e-03  1.15000000e-03  1.47473043e-02  5.00000000e+00  4.73586318e+00  1.47499011e-02  2.50000004e+00  2.72578984e-10 
 1.35000000e-03  1.35000000e-03  1.92772937e-02  5.00000000e+00  4.75282748e+00  1.92828821e-02  2.50000000e+00  1.41569618e-10 
 1.75000000e-03  1.75000000e-03  2.83249279e-02  5.00000000e+00  4.77277133e+00  2.83181830e-02  2.50000004e+00  6.55855498e-11 
 2.25000000e-03  2.25000000e-03  3.96113629e-02  5.00000000e+00  4.78892034e+00  3.96122373e-02  2.50000000e+00  3.52126333e-11 
 2.75000000e-03  2.75000000e-03  5.08721759e-02  5.00000000e+00  4.80294844e+00  5.08643423e-02  2.50000004e+00  2.05418710e-11 
 3.25000000e-03  3.25000000e-03  6.21074250e-02  5.00000000e+00  4.81520205e+00  6.21073519e-02  2.50000000e+00  1.28489361e-11 
 3.75000000e-03  3.75000000e-03  7.33171684e-02  5.00000000e+00  4.82629198e+00  7.33087592e-02  2.50000004e+00  8.41855429e-12 
 4.25000000e-03  4.25000000e-03  8.45014639e-02  5.00000000e+00  4.83663556e+00  8.45009938e-02  2.50000000e+00  5.68726389e-12 
 4.75000000e-03  4.75000000e-03  9.56603694e-02  5.00000000e+00  4.84644934e+00  9.56517236e-02  2.50000004e+00  3.93014979e-12 
 5.25000000e-03  5.25000000e-03  1.06793943e-01  5.00000000e+00  4.85592506e+00  1.06793294e-01  2.50000000e+00  2.75916183e-12 
 5.75000000e-03  5.75000000e-03  1.17902241e-01  5.00000000e+00  4.86513361e+00  1.17893499e-01  2.50000004e+00  1.96362256e-12 
 6.25000000e-03  6.25000000e-03  1.28985321e-01  5.00000000e+00  4.87417616e+00  1.28984586e-01  2.50000000e+00  1.41208315e-12 
 6.75000000e-03  6.75000000e-03  1.40043242e-01  5.00000000e+00  4.88306703e+00  1.40034465e-01  2.50000004e+00  1.02612520e-12 
 7.25000000e-03  7.25000000e-03  1.51076059e-01  5.00000000e+00  4.89187028e+00  1.51075279e-01  2.50000000e+00  7.52151409e-13 
 7.75000000e-03  7.75000000e-03  1.62083831e-01  5.00000000e+00  4.90057592e+00  1.62075048e-01  2.50000003e+00  5.56531560e-13 
 8.25000000e-03  8.25000000e-03  1.73066613e-01  5.00000000e+00  4.90923151e+00  1.73065807e-01  2.50000000e+00  4.15026612e-13 
 8.75000000e-03  8.75000000e-03  1.84024462e-01  5.00000000e+00  4.91781605e+00  1.84015687e-01  2.50000003e+00  3.12034123e-13 
 9.25000000e-03  9.25000000e-03  1.94957436e-01  5.00000000e+00  4.92636910e+00  1.94956615e-01  2.50000000e+00  2.35947461e-13 
 9.75000000e-03  9.75000000e-03  2.05865590e-01  5.00000000e+00  4.93486436e+00  2.05856829e-01  2.50000003e+00  1.79210579e-13 
 1.02500000e-02  1.02500000e-02  2.16748981e-01  5.00000000e+00  4.94333744e+00  2.16748150e-01  2.50000000e+00  1.36078265e-13 
 1.07500000e-02  1.07500000e-02  2.27607665e-01  5.00000000e+00  4.95175947e+00  2.27598923e-01  2.50000003e+00  1.02806014e-13 
 1.12500000e-02  1.12500000e-02  2.38441698e-01  5.00000000e+00  4.96016433e+00  2.38440859e-01  2.50000000e+00  7.64882295e-14 
 1.17500000e-02  1.17500000e-02  2.49251136e-01  5.00000000e+00  4.96852192e+00  2.49242415e-01  2.50000003e+00  5.52491065e-14 
 1.22500000e-02  1.22500000e-02  2.60036035e-01  5.00000000e+00  4.97686491e+00  2.60035191e-01  2.50000000e+00  3.75952015e-14 
 1.27500000e-02  1.27500000e-02  2.70796452e-01  5.00000000e+00  4.98516244e+00  2.70787751e-01  2.50000003e+00  2.25849888e-14 
