time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
1e-05,5.0,4.27390965,4.27357021,0.0225321783,0.0758075118,1.07249932,0.0220507965,0.0155485265,0.0157539263
1.01858633e-05,5.0,4.27380685,4.27358827,0.0234877315,0.0589864215,1.05561649,0.0229974058,0.0156104471,0.0157429291
1.05575898e-05,5.0,4.27238299,4.30075681,3.00004524,-0.180969113,0.81475904,3.0004145,0.0164938967,0.00550683568
1.06567238e-05,5.0,4.27313654,4.2742881,0.136626814,-0.0523431659,0.943149846,0.137164011,0.0160202952,0.0153226818
1.06803712e-05,5.0,4.27302829,4.27428017,0.135379445,-0.0705916247,0.924896526,0.135886874,0.0160874815,0.0153273826
1.07276661e-05,5.0,4.27259854,4.27420562,0.123414402,-0.143794967,0.851687514,0.12386758,0.0163570132,0.0153716224
1.07750296e-05,5.0,4.2721654,4.27413672,0.112321391,-0.218807941,0.776675396,0.112728641,0.0166332369,0.0154126228
1.08697566e-05,5.0,4.27183183,4.27405985,0.0999285502,-0.27743498,0.718060863,0.100265201,0.0168491365,0.0154584987
1.09429788e-05,5.0,4.27441506,4.2737601,0.0509852437,0.157572516,1.15304711,0.0513137676,0.0152476517,0.0156386919
1.09851315e-05,5.0,4.27210576,4.27400229,0.0905816024,-0.229235846,0.766224313,0.090908283,0.0166716359,0.0154929408
1.10251197e-05,5.0,4.27438533,4.27375531,0.050203595,0.153055953,1.14850263,0.0505282142,0.0152651887,0.0156415875
1.10415292e-05,5.0,4.27214782,4.27398777,0.0882213992,-0.221879535,0.773561485,0.0885453678,0.0166445461,0.0155016385
1.10573469e-05,5.0,4.27432721,4.27376424,0.0516718053,0.143688801,1.13912453,0.0519948925,0.0152995291,0.0156361877
1.10698685e-05,5.0,4.27220377,4.2739734,0.0858822141,-0.21211384,0.783317568,0.0862048144,0.0166085839,0.015510254
1.10820025e-05,5.0,4.27426702,4.273775,0.0534377288,0.133848478,1.12927583,0.0537596444,0.0153351764,0.0156296874
1.1094364e-05,5.0,4.27225772,4.27396008,0.0837129715,-0.202692479,0.792730617,0.084034395,0.0165739775,0.0155182433
1.11071787e-05,5.0,4.27421479,4.27378396,0.0549098335,0.125378369,1.12079717,0.0552305518,0.0153661741,0.015624272
1.11217746e-05,5.0,4.27230162,4.27394941,0.0819740161,-0.195063387,0.800350403,0.0822941274,0.0165458658,0.0155246492
1.11391441e-05,5.0,4.2741766,4.27378975,0.0558621049,0.119196352,1.1146043,0.0561813011,0.0153888817,0.0156207721
1.11608961e-05,5.0,4.27233096,4.27394181,0.0807365704,-0.189972716,0.805427789,0.081054813,0.0165271086,0.0155292111
1.11854674e-05,5.0,4.27415188,4.27379262,0.0563342677,0.115195886,1.1105881,0.0566512562,0.0154035919,0.0156190421
1.12153061e-05,5.0,4.27235136,4.27393606,0.0798024606,-0.186435336,0.808946692,0.0801181062,0.0165140762,0.0155326591
1.12498053e-05,5.0,4.27413487,4.273794,0.056563432,0.112440206,1.10781057,0.0568773528,0.0154137282,0.0156182098
1.12902433e-05,5.0,4.27236591,4.27393165,0.0790857474,-0.183914755,0.811441825,0.0793978174,0.0165047905,0.0155353105
1.13375721e-05,5.0,4.27412285,4.27379466,0.0566764485,0.110492114,1.10583267,0.0569861836,0.015420895,0.0156178092
1.13924606e-05,5.0,4.2723765,4.27392834,0.0785503959,-0.182081232,0.813240636,0.0788575892,0.0164980361,0.0155372991
1.14565258e-05,5.0,4.27411426,4.27379508,0.0567517943,0.109099827,1.10439999,0.0570558558,0.0154260174,0.0156175527
1.15308484e-05,5.0,4.27238431,4.27392601,0.0781763073,-0.180728419,0.814546454,0.0784768986,0.0164930526,0.0155387004
1.1617192e-05,5.0,4.27410809,4.27379553,0.0568322002,0.108100642,1.10334624,0.0571285978,0.0154296936,0.0156172849
1.17174014e-05,5.0,4.27239016,4.27392448,0.0779370065,-0.179716472,0.815495051,0.0782286981,0.0164893249,0.015539614
1.18335828e-05,5.0,4.27410371,4.27379605,0.0569275885,0.107389546,1.10256166,0.0572136638,0.0154323099,0.0156169718
1.19682852e-05,5.0,4.27239464,4.27392354,0.0777951728,-0.178941408,0.816184921,0.078074896,0.0164864699,0.0155401802
1.21423086e-05,5.0,4.2741009,4.27379654,0.0570227808,0.106934707,1.10200199,0.0572941289,0.0154339833,0.0156166756
1.23773756e-05,5.0,4.27239788,4.27392303,0.0777310185,-0.178381252,0.816606164,0.0779912263,0.0164844065,0.0155404882
1.27208194e-05,5.0,4.2741002,4.27379684,0.057100682,0.106820715,1.10169156,0.0573444331,0.0154344024,0.0156164904
1.32748478e-05,5.0,4.27240072,4.27392281,0.0777381992,-0.177888999,0.816793681,0.0779555943,0.0164825935,0.0155406193
1.42664314e-05,5.0,4.27410258,4.27379697,0.0571957539,0.107205923,1.10155198,0.0573657744,0.0154329843,0.0156164118
1.62495985e-05,5.0,4.2724067,4.27392275,0.0778694349,-0.176855304,0.816817448,0.0779449264,0.0164787867,0.0155406586
2.02159328e-05,5.0,4.27411435,4.27379702,0.0574869197,0.109113934,1.10144051,0.05737314,0.0154259616,0.0156163847
2.81486013e-05,5.0,4.27242921,4.27392274,0.0784365455,-0.172962185,0.816673112,0.0779444634,0.0164644501,0.0155406603
4.40139383e-05,5.0,4.27416218,4.27379707,0.0586304051,0.11685703,1.10111472,0.0573815876,0.0153974625,0.0156163536
7.57446124e-05,5.0,4.2725189,4.2739228,0.080714928,-0.157484171,0.816037408,0.0779532036,0.0164074525,0.0155406281
0.000139205961,5.0,4.2743537,4.27379725,0.06319674,0.147720689,1.09984688,0.0574103855,0.0152838709,0.0156162476
0.000266128657,5.0,4.27287748,4.27392303,0.0898215681,-0.0961383937,0.813501907,0.0779917395,0.0161815616,0.0155404863
0.00051997405,5.0,4.27512017,4.27379796,0.0814229686,0.268995016,1.09486897,0.05752835,0.0148375975,0.0156158134
0.001,5.0,4.27425776,4.27392404,0.124783801,0.132277987,0.804042299,0.0781558064,0.0153406679,0.0155398823
0.00105076908,5.0,4.2752366,4.27386172,0.117010089,0.290006709,0.945827275,0.0679845241,0.0147709588,0.0155773681
0.00113175758,5.0,4.27541281,4.2738618,0.120833333,0.314335786,0.944799402,0.0679846395,0.0146706724,0.0155773228
0.00118175073,5.0,4.27551,4.27386189,0.123206764,0.329293066,0.944181011,0.0679996015,0.0146156446,0.0155772677
0.00122858045,5.0,4.27560096,4.27386197,0.125428876,0.34325367,0.943604542,0.068013523,0.0145643395,0.0155772165
0.00132223988,5.0,4.2757826,4.27386215,0.12987047,0.371026583,0.942456311,0.0680417541,0.0144624176,0.0155771126
0.00150955875,5.0,4.27614491,4.27386249,0.138742045,0.42599023,0.940184298,0.0680986634,0.0142612444,0.0155769031
0.00188419649,5.0,4.27686562,4.27386321,0.156439917,0.533623767,0.93573065,0.0682153362,0.0138693442,0.0155764736
0.00263347197,5.0,4.27829171,4.27386469,0.191653829,0.740037877,0.927178413,0.0684585588,0.0131253429,0.0155755783
0.00363347197,5.0,4.28020164,4.27386691,0.238293436,0.998044623,0.916453462,0.0688213062,0.0121910565,0.015574243
0.00463347197,5.0,4.28214089,4.27386945,0.284536277,1.23734582,0.906465783,0.0692364302,0.0113104437,0.015572715
0.00563347197,5.0,4.28408092,4.27387221,0.330370938,1.45931698,0.897169866,0.0696886264,0.0104931239,0.0155710504
0.00663347197,5.0,4.28601956,4.27387518,0.375797646,1.66522739,0.888519444,0.0701741784,0.00973538945,0.0155692631
0.00763347197,5.0,4.28795654,4.27387834,0.420818219,1.85624962,0.880468108,0.0706909787,0.00903295239,0.0155673607
0.00863347197,5.0,4.28989174,4.27388168,0.465433896,2.03347095,0.872974677,0.0712363995,0.00838177794,0.015565353
0.00963347197,5.0,4.29182483,4.27388518,0.509646816,2.19788287,0.865992194,0.071808887,0.00777817748,0.0155632457
0.010633472,5.0,4.29375461,4.27388885,0.553460829,2.35033576,0.859449322,0.0724092758,0.00721896828,0.0155610356
0.011633472,5.0,4.29573819,4.27389332,0.596974195,2.49051219,0.85273071,0.073139366,0.00668604251,0.015558348
0.012633472,5.0,4.29755103,4.27389976,0.640356553,2.6145138,0.843937783,0.0741919176,0.00623347149,0.0155544735
0.013633472,5.0,4.29879124,4.27392418,0.686094961,2.69455049,0.820371398,0.0781794566,0.00594163279,0.0155397953
0.013758472,5.0,4.29881817,4.27393406,0.69286429,2.69624783,0.813335377,0.0797908006,0.00593544872,0.0155338643
0.014008472,5.0,4.27385979,4.27573555,0.943488417,0.0697774292,-1.81361417,0.363773972,0.0155785313,0.0144887466
0.0141412526,5.0,4.27387248,4.27599462,0.942013444,0.0697323124,-1.8049152,0.40302742,0.0155708895,0.0143443487
0.0142684708,5.0,4.27387338,4.27624121,0.940359554,0.0698802608,-1.79640006,0.440016163,0.0155703457,0.0142082417
0.0144390311,5.0,4.27387313,4.27657369,0.938457305,0.0698389195,-1.78523981,0.489345513,0.0155704975,0.0140267715
0.0147801516,5.0,4.27387427,4.27722743,0.934315633,0.0700256448,-1.7627055,0.585721933,0.0155698098,0.0136766855
0.0154623925,5.0,4.27387516,4.27852914,0.926761769,0.0701706899,-1.71808681,0.771667702,0.0155692758,0.0130054091
0.0164623925,5.0,4.27387796,4.28043167,0.916002892,0.0706282062,-1.65297233,1.02726152,0.0155675918,0.0120831145
0.0174623925,5.0,4.27388,4.28237139,0.906253384,0.0709626747,-1.58860701,1.26459424,0.0155663605,0.0112100971
0.0184623925,5.0,4.27388342,4.28431024,0.896907795,0.071521273,-1.52463813,1.48446922,0.0155643044,0.0104005044
0.0194623925,5.0,4.27388582,4.28624997,0.88848499,0.0719133017,-1.4614507,1.68870921,0.0155628612,0.00964905103
0.0204623925,5.0,4.2738897,4.28818561,0.880371047,0.0725475566,-1.39863036,1.87790879,0.0155605266,0.00895330923
0.0214623925,5.0,4.27389237,4.29012212,0.873097807,0.072984508,-1.336611,2.05371983,0.0155589181,0.00830745095
0.0224623925,5.0,4.27389667,4.29205389,0.866050555,0.0736861021,-1.27492519,2.21656581,0.0155563356,0.00770959673
0.0234623925,5.0,4.27389955,4.29398678,0.859773445,0.0741564127,-1.21406325,2.36795307,0.0155546043,0.00715445923
0.0244623925,5.0,4.2739042,4.29591419,0.853650183,0.0749168733,-1.15349834,2.50815725,0.0155518052,0.00664070182
0.0254623925,5.0,4.27390721,4.29784299,0.848236384,0.075408662,-1.09378372,2.6385606,0.0155499947,0.00616350427
0.0264623925,5.0,4.27391218,4.29976546,0.842913564,0.0762193804,-1.03432643,2.75931095,0.0155470106,0.00572199833
0.0274623925,5.0,4.27391525,4.30168966,0.838248001,0.0767206413,-0.975749372,2.87168476,0.0155451653,0.00531176322
0.0284623925,5.0,4.27392047,4.30360655,0.833618576,0.0775730182,-0.917386668,2.97571932,0.0155420279,0.00493233449
0.0294623925,5.0,4.27392352,4.30552556,0.82960148,0.0780718542,-0.859937524,3.07260103,0.0155401915,0.00457963299
0.0304623925,5.0,4.27392895,4.30743612,0.825572648,0.0789574593,-0.8026564,3.16227153,0.0155369318,0.0042535422
0.0314623925,5.0,4.27393192,4.30934926,0.822117474,0.0794423365,-0.746325386,3.24584052,0.0155351467,0.00395027534
0.0324623925,5.0,4.2739375,4.31125265,0.818608748,0.0803530718,-0.690112729,3.32316688,0.0155317946,0.00367001544
0.0334623925,5.0,4.27394032,4.31315916,0.815640396,0.0808130809,-0.634889656,3.39529506,0.015530101,0.00340922621
0.0344623925,5.0,4.27394601,4.31505441,0.812581951,0.0817413362,-0.579732093,3.46201227,0.0155266844,0.00316834826
0.0354623925,5.0,4.27394862,4.31695343,0.810035241,0.0821664441,-0.525606127,3.52430749,0.0155251193,0.00294406018
0.0364623925,5.0,4.27395438,4.31883947,0.807366502,0.0831052361,-0.471489892,3.58190587,0.0155216639,0.00273702381
0.0374623925,5.0,4.27395672,4.32073002,0.80518486,0.0834865138,-0.418449338,3.63574922,0.0155202601,0.00254410241
0.0384623925,5.0,4.2739625,4.32260561,0.802853278,0.0844295998,-0.365360176,3.68550895,0.0155167889,0.0023661474
0.0394623925,5.0,4.27396453,4.32448659,0.800987609,0.0847594108,-0.313392301,3.7320868,0.0155155746,0.00220018124
0.0404623925,5.0,4.27397031,4.32635037,0.798947604,0.0857013702,-0.261315397,3.77510757,0.0155121076,0.00204721733
0.0414623925,5.0,4.27397198,4.32822056,0.797355313,0.0859735088,-0.210406311,3.81543902,0.0155111055,0.00190441584
0.0424623925,5.0,4.27397773,4.33007101,0.795567364,0.0869097901,-0.15932626,3.85266553,0.0155076594,0.00177292805
0.0434623925,5.0,4.27397901,4.33192906,0.794211504,0.0871195592,-0.109460852,3.887626,0.0155068869,0.00165003388
