 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.00000000e-05  1.00000000e-05  5.00000000e+00  4.27434538e+00  4.27383226e+00  6.63567609e-01  1.46373305e-01  9.43301688e-01  6.31502878e-02  1.52887855e-02  1.55951187e-02 
 1.02772240e-05  1.02772240e-05  5.00000000e+00  4.27433554e+00  4.27384769e+00  6.66104563e-01  1.44792936e-01  9.41636612e-01  6.56757026e-02  1.52946023e-02  1.55858222e-02 
 1.08316721e-05  1.08316721e-05  5.00000000e+00  4.27432673e+00  4.27386199e+00  6.68467964e-01  1.43376387e-01  9.40051131e-01  6.80160361e-02  1.52998161e-02  1.55772072e-02 
 1.15905030e-05  1.15905030e-05  5.00000000e+00  4.27433035e+00  4.27385854e+00  6.67934631e-01  1.43958853e-01  9.40402912e-01  6.74511405e-02  1.52976722e-02  1.55792867e-02 
 1.25080017e-05  1.25080017e-05  5.00000000e+00  4.27433109e+00  4.27385979e+00  6.68178388e-01  1.44077846e-01  9.40242903e-01  6.76567326e-02  1.52972343e-02  1.55785299e-02 
 1.34525015e-05  1.34525015e-05  5.00000000e+00  4.27433303e+00  4.27385926e+00  6.68130129e-01  1.44389092e-01  9.40267029e-01  6.75691860e-02  1.52960887e-02  1.55788521e-02 
 1.53415010e-05  1.53415010e-05  5.00000000e+00  4.27433608e+00  4.27385955e+00  6.68256859e-01  1.44879849e-01  9.40183672e-01  6.76173389e-02  1.52942825e-02  1.55786749e-02 
 1.91195002e-05  1.91195002e-05  5.00000000e+00  4.27434260e+00  4.27385937e+00  6.68383795e-01  1.45927187e-01  9.40083430e-01  6.75871169e-02  1.52904280e-02  1.55787861e-02 
 2.66754984e-05  2.66754984e-05  5.00000000e+00  4.27435534e+00  4.27385959e+00  6.68734183e-01  1.47972443e-01  9.39836024e-01  6.76231721e-02  1.52829015e-02  1.55786534e-02 
 4.17874950e-05  4.17874950e-05  5.00000000e+00  4.27438099e+00  4.27385951e+00  6.69350001e-01  1.52089387e-01  9.39377740e-01  6.76102670e-02  1.52677542e-02  1.55787009e-02 
