time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,10.0,1.1648347,8.46526125,0.00131294873,9.58628177,9.79314089,9.99983607,9.9999999,9.99991799,8.37918518,1.16482868,0.831458903,0.141123231,0.00131297641,8.38967903,9.99999984,-6.00729797e-09,-3.97854864e-07,3.97854866e-07,3.97854864e-07,-1.00098361e-11,1.00093712e-11,1.00098361e-11,0.00823806194,7.55882254e-05,6.0162734e-09
1e-05,0.0,10.00002,1.16484496,8.46528111,0.00131314031,9.58628838,9.79315419,9.99985607,10.0000199,9.99993798,8.37920485,1.16483894,0.83145897,0.14112323,0.00131316799,8.3896987,10.0000198,-6.00863084e-09,-3.97912924e-07,3.97912926e-07,3.97912924e-07,-1.00098561e-11,1.00134884e-11,1.00098561e-11,0.00823808162,7.55884227e-05,6.01746673e-09
2e-05,0.0,10.00004,1.16485054,8.46530098,0.00131332525,9.58629476,9.79316738,9.99987607,10.0000399,9.99995799,8.37922453,1.16484452,0.831459037,0.14112323,0.00131335292,8.38971837,10.0000398,-6.00928057e-09,-3.97968964e-07,3.97968963e-07,3.97968964e-07,-1.00098761e-11,1.00080191e-11,1.00098761e-11,0.0082381013,7.55886193e-05,6.01811609e-09
4e-05,0.0,10.00008,1.16485662,8.4653407,0.00131369491,9.58630751,9.79319375,9.99991607,10.0000799,9.99999799,8.37926389,1.1648506,0.83145917,0.141123228,0.00131372259,8.3897577,10.0000798,-6.00998736e-09,-3.98080996e-07,3.98080996e-07,3.98080995e-07,-1.00099161e-11,1.00096225e-11,1.00099161e-11,0.00823814067,7.55890121e-05,6.01882293e-09
8e-05,0.0,10.00016,1.16485736,8.46542016,0.00131443446,9.586333,9.7932465,9.99999608,10.0001599,10.000078,8.37934261,1.16485134,0.831459437,0.141123225,0.00131446214,8.38983637,10.0001598,-6.01007334e-09,-3.98305149e-07,3.98305147e-07,3.98305148e-07,-1.00099961e-11,1.00076711e-11,1.00099961e-11,0.00823821939,7.55897962e-05,6.01890862e-09
0.00016,0.0,10.00032,1.16485713,8.46557907,0.00131591449,9.58638398,9.79335199,10.0001561,10.0003199,10.000238,8.37950005,1.16485111,0.83145997,0.141123218,0.00131594217,8.38999372,10.0003198,-6.01004648e-09,-3.98753833e-07,3.98753828e-07,3.98753829e-07,-1.00101561e-11,1.00134351e-11,1.00101561e-11,0.00823837683,7.55913643e-05,6.01888255e-09
0.00032,0.0,10.00064,1.16485728,8.46589689,0.00131887822,9.58648595,9.79356298,10.0004761,10.0006399,10.000558,8.37981492,1.16485126,0.831461037,0.141123206,0.0013189059,8.3903084,10.0006398,-6.01006342e-09,-3.9965269e-07,3.99652675e-07,3.99652675e-07,-1.00104761e-11,1.0008426e-11,1.00104761e-11,0.00823869172,7.55945006e-05,6.01889963e-09
0.00064,0.0,10.00128,1.16485718,8.46653254,0.00132482042,9.5866899,9.79398495,10.001116,10.0012799,10.001198,8.38044467,1.16485116,0.83146317,0.14112318,0.0013248481,8.39093777,10.0012798,-6.0100507e-09,-4.01456404e-07,4.01456344e-07,4.01456344e-07,-1.0011116e-11,1.00150983e-11,1.0011116e-11,0.00823932152,7.56007731e-05,6.01888777e-09
0.00128,0.0,10.00256,1.16485729,8.46780383,0.00133676397,9.58709782,9.79482891,10.002396,10.0025599,10.0024779,8.38170417,1.16485128,0.831467436,0.141123129,0.00133679165,8.39219652,10.0025598,-6.01006361e-09,-4.05087928e-07,4.05087688e-07,4.05087688e-07,-1.0012396e-11,1.00148946e-11,1.0012396e-11,0.00824058113,7.56133187e-05,6.01890156e-09
0.00228,0.0,10.00456,1.16485723,8.46979022,0.00135562343,9.58773525,9.79614763,10.004396,10.0045599,10.004478,8.38367213,1.16485121,0.8314741,0.14112305,0.00135565112,8.39416331,10.0045598,-6.01005412e-09,-4.1082686e-07,4.10826274e-07,4.10826274e-07,-1.0014396e-11,1.00137184e-11,1.0014396e-11,0.00824254932,7.56329215e-05,6.01889428e-09
0.00328,0.0,10.00656,1.16485736,8.47177662,0.0013748216,9.58837281,9.79746641,10.0063959,10.0065599,10.0064779,8.3856401,1.16485134,0.831480762,0.141122971,0.0013748493,8.39613011,10.0065598,-6.01006642e-09,-4.16645028e-07,4.16644448e-07,4.16644447e-07,-1.00163959e-11,1.00192937e-11,1.00163959e-11,0.00824451737,7.56525229e-05,6.01890872e-09
0.00428,0.0,10.00856,1.1648573,8.47376302,0.00139428633,9.58901047,9.79878523,10.0083959,10.0085599,10.0084779,8.38760808,1.16485128,0.831487423,0.141122893,0.00139431404,8.39809691,10.0085598,-6.01005794e-09,-4.22543985e-07,4.22543404e-07,4.22543404e-07,-1.00183959e-11,1.00173941e-11,1.00183959e-11,0.00824648542,7.56721243e-05,6.01890249e-09
0.00528,0.0,10.01056,1.16485742,8.47574943,0.00141402124,9.58964822,9.80010411,10.0103959,10.0105599,10.0104779,8.38957605,1.1648514,0.831494082,0.141122815,0.00141404895,8.40006372,10.0105598,-6.01006929e-09,-4.28524821e-07,4.28524241e-07,4.2852424e-07,-1.00203959e-11,1.00244702e-11,1.00203959e-11,0.00824845347,7.56917258e-05,6.01891558e-09
0.00628,0.0,10.01256,1.16485737,8.47773584,0.00143403002,9.59028609,9.80142304,10.0123959,10.0125599,10.0124779,8.39154403,1.16485135,0.83150074,0.141122738,0.00143405774,8.40203053,10.0125598,-6.01006172e-09,-4.34588656e-07,4.34588075e-07,4.34588076e-07,-1.00223959e-11,1.00204079e-11,1.00223959e-11,0.00825042153,7.57113273e-05,6.01890986e-09
0.00728,0.0,10.01456,1.16485747,8.47972225,0.00145431638,9.59092406,9.80274203,10.0143958,10.0145599,10.0144779,8.39351201,1.16485146,0.831507397,0.141122661,0.0014543441,8.40399734,10.0145598,-6.01007218e-09,-4.40736613e-07,4.40736029e-07,4.40736032e-07,-1.00243958e-11,1.00265428e-11,1.00243958e-11,0.00825238958,7.57309288e-05,6.01892248e-09
0.00828,0.0,10.01656,1.16485744,8.48170867,0.00147488409,9.59156214,9.80406107,10.0163958,10.0165599,10.0164778,8.39547999,1.16485142,0.831514051,0.141122585,0.00147491182,8.40596415,10.0165598,-6.01006545e-09,-4.46969836e-07,4.46969257e-07,4.46969256e-07,-1.00263958e-11,1.0030424e-11,1.00263958e-11,0.00825435764,7.57505304e-05,6.01891798e-09
0.00928,0.0,10.01856,1.16485754,8.48369509,0.00149573697,9.59220035,9.80538017,10.0183958,10.0185599,10.0184778,8.39744798,1.16485152,0.831520705,0.141122509,0.00149576471,8.40793097,10.0185598,-6.01007512e-09,-4.53289483e-07,4.53288902e-07,4.53288903e-07,-1.00283958e-11,1.00273233e-11,1.00283958e-11,0.00825632571,7.57701321e-05,6.01892962e-09
0.01028,0.0,10.02056,1.1648575,8.48568151,0.0015168789,9.59283867,9.80669934,10.0203957,10.0205599,10.0204778,8.39941597,1.16485148,0.831527357,0.141122434,0.00151690664,8.40989779,10.0205598,-6.01006916e-09,-4.59696727e-07,4.59696149e-07,4.59696147e-07,-1.00303957e-11,1.00339307e-11,1.00303957e-11,0.00825829377,7.57897338e-05,6.01892535e-09
