 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 0.00000000e+00  0.00000000e+00  3.78930123e-01  5.81162788e-02  9.00000000e+00  4.68946142e+00  8.52024254e+00  7.08287249e-01  7.81195529e-03 
 5.00000000e-08  5.00000000e-08  3.79145644e-01  5.81347861e-02  9.00000000e+00  4.68956916e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.00000000e-07  1.00000000e-07  3.79361159e-01  5.81532934e-02  9.00000000e+00  4.68967691e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.00000000e-07  2.00000000e-07  3.79792179e-01  5.81903078e-02  9.00000000e+00  4.68989242e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.00000000e-07  4.00000000e-07  3.80654154e-01  5.82643357e-02  9.00000000e+00  4.69032341e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 8.00000000e-07  8.00000000e-07  3.82377846e-01  5.84123878e-02  9.00000000e+00  4.69118526e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.60000000e-06  1.60000000e-06  3.85824195e-01  5.87084772e-02  9.00000000e+00  4.69290844e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.20000000e-06  3.20000000e-06  3.92712759e-01  5.93005968e-02  9.00000000e+00  4.69635272e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 6.40000000e-06  6.40000000e-06  4.06473369e-01  6.04845996e-02  9.00000000e+00  4.70323303e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.14000000e-05  1.14000000e-05  4.27930299e-01  6.23339730e-02  9.00000000e+00  4.71396151e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.64000000e-05  1.64000000e-05  4.49333654e-01  6.41825774e-02  9.00000000e+00  4.72466320e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.14000000e-05  2.14000000e-05  4.70683567e-01  6.60304131e-02  9.00000000e+00  4.73533817e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.64000000e-05  2.64000000e-05  4.91980171e-01  6.78774807e-02  9.00000000e+00  4.74598648e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.14000000e-05  3.14000000e-05  5.13223598e-01  6.97237807e-02  9.00000000e+00  4.75660821e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.64000000e-05  3.64000000e-05  5.34413981e-01  7.15693134e-02  9.00000000e+00  4.76720341e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.86242458e-05  3.86242458e-05  5.43823489e-01  7.23900507e-02  9.00000000e+00  4.77190817e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.93979120e-05  3.93979120e-05  5.45274803e-01  7.26754946e-02  9.00000000e+00  6.89842686e-02  4.20807525e-03  4.20807524e-03  5.97484479e-15 
 3.96483763e-05  3.96483763e-05  5.45155037e-01  7.27678995e-02  9.00000000e+00  6.50854623e-02 -4.15380646e-03 -4.15380645e-03 -5.63744722e-15 
 3.97293962e-05  3.97293962e-05  5.45116295e-01  7.27977900e-02  9.00000000e+00  6.88317585e-02  4.03298187e-03  4.03298186e-03  5.72036490e-15 
 3.97349700e-05  3.97349700e-05  5.45113633e-01  7.27998464e-02  9.00000000e+00  6.63874395e-02 -2.59695676e-03 -2.59695675e-03 -3.55224284e-15 
 3.97377872e-05  3.97377872e-05  5.45112285e-01  7.28008857e-02  9.00000000e+00  6.67483725e-02  1.32337700e-03  1.32337700e-03  1.84834180e-15 
 3.97381392e-05  3.97381392e-05  5.45112117e-01  7.28010156e-02  9.00000000e+00  6.72662030e-02  1.13424766e-04  1.13424766e-04  1.57373807e-16 
 3.97384225e-05  3.97384225e-05  5.45111982e-01  7.28011201e-02  9.00000000e+00  6.71332664e-02  1.23322888e-04  1.23322887e-04  1.71116335e-16 
 3.97387772e-05  3.97387772e-05  5.45111812e-01  7.28012510e-02  9.00000000e+00  6.71028575e-02  9.06523845e-05  9.06523843e-05  1.25762271e-16 
 3.97391986e-05  3.97391986e-05  5.45111611e-01  7.28014064e-02  9.00000000e+00  6.70668147e-02  5.56323902e-05  5.56323901e-05  7.71643603e-17 
 3.97397294e-05  3.97397294e-05  5.45111357e-01  7.28016023e-02  9.00000000e+00  6.70437855e-02  3.13472916e-05  3.13472915e-05  4.34742568e-17 
 3.97403766e-05  3.97403766e-05  5.45111047e-01  7.28018410e-02  9.00000000e+00  6.70270835e-02  1.50175359e-05  1.50175359e-05  2.08253629e-17 
 3.97412247e-05  3.97412247e-05  5.45110642e-01  7.28021539e-02  9.00000000e+00  6.70183344e-02  5.62210439e-06  5.62210437e-06  7.79598161e-18 
 3.97421850e-05  3.97421850e-05  5.45110183e-01  7.28025082e-02  9.00000000e+00  6.70141371e-02  1.82008686e-06  1.82008685e-06  2.52380104e-18 
 3.97435689e-05  3.97435689e-05  5.45109521e-01  7.28030187e-02  9.00000000e+00  6.70129765e-02  2.19377325e-07  2.19377324e-07  3.04194242e-19 
 3.97456611e-05  3.97456611e-05  5.45108521e-01  7.28037906e-02  9.00000000e+00  6.70123818e-02  3.42912479e-08  3.42912478e-08  4.75490790e-20 
 3.97498456e-05  3.97498456e-05  5.45106520e-01  7.28053344e-02  9.00000000e+00  6.70126861e-02 -4.66248486e-08 -4.66248485e-08 -6.46511218e-20 
 3.97582146e-05  3.97582146e-05  5.45102519e-01  7.28084219e-02  9.00000000e+00  6.70123586e-02  5.04678467e-08  5.04678466e-08  6.99799509e-20 
