 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 5.00000000e-08  5.00000000e-08  2.25452889e-04  1.00001920e+00  9.00000000e+00  4.30858672e+00  8.48551861e+00  7.08172406e-01  7.77734620e-03 
 5.01007481e-08  5.01007481e-08  2.25903107e-04  1.00001924e+00  9.00000000e+00  4.31888068e+00  8.49045179e+00  7.08188753e-01  7.78226304e-03 
 5.03022442e-08  5.03022442e-08  2.26797816e-04  1.00001931e+00  9.00000000e+00  4.33838485e+00  8.49872089e+00  7.08216130e-01  7.79050476e-03 
 5.07052364e-08  5.07052364e-08  2.28569421e-04  1.00001944e+00  9.00000000e+00  4.37149697e+00  8.50852899e+00  7.08248565e-01  7.80028043e-03 
 5.10686031e-08  5.10686031e-08  2.30162539e-04  1.00001954e+00  9.00000000e+00  4.39555551e+00  8.51291327e+00  7.08263051e-01  7.80465024e-03 
 5.14585464e-08  5.14585464e-08  2.31876623e-04  1.00001966e+00  9.00000000e+00  4.41645915e+00  8.51554990e+00  7.08271759e-01  7.80727814e-03 
 5.19656523e-08  5.19656523e-08  2.34114176e-04  1.00001980e+00  9.00000000e+00  4.43763339e+00  8.51746842e+00  7.08278093e-01  7.80919033e-03 
 5.24322379e-08  5.24322379e-08  2.36180527e-04  1.00001994e+00  9.00000000e+00  4.45237277e+00  8.51845992e+00  7.08281366e-01  7.81017855e-03 
 5.29009605e-08  5.29009605e-08  2.38262222e-04  1.00002008e+00  9.00000000e+00  4.46370125e+00  8.51907941e+00  7.08283411e-01  7.81079602e-03 
 5.33342955e-08  5.33342955e-08  2.40190876e-04  1.00002020e+00  9.00000000e+00  4.47177325e+00  8.51945216e+00  7.08284641e-01  7.81116753e-03 
 5.37890353e-08  5.37890353e-08  2.42218069e-04  1.00002033e+00  9.00000000e+00  4.47834105e+00  8.51971415e+00  7.08285505e-01  7.81142865e-03 
 5.42306321e-08  5.42306321e-08  2.44189152e-04  1.00002046e+00  9.00000000e+00  4.48326441e+00  8.51988472e+00  7.08286068e-01  7.81159865e-03 
