time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
5e-08,0.999959876,2.57310304e-05,9.0,0.0782911845,0.0131847384,0.0131847384,1.983355e-14
5.01034529e-08,0.999959788,2.57831239e-05,9.0,0.0797065932,0.0123529386,0.0123529386,1.84748525e-14
5.03103586e-08,0.999959606,2.5885126e-05,9.0,0.0800154456,0.0102135639,0.0102135639,1.50556393e-14
5.06715421e-08,0.999959267,2.60539861e-05,9.0,0.0768170957,0.00666668198,0.00666668197,9.60683451e-15
5.09487443e-08,0.999958999,2.61772008e-05,9.0,0.0751091827,0.00495422957,0.00495422956,7.065392e-15
5.12695491e-08,0.999958687,2.63149161e-05,9.0,0.0736639294,0.00349177604,0.00349177604,4.9371493e-15
5.1642807e-08,0.999958323,2.64702124e-05,9.0,0.0725107561,0.00232243659,0.00232243659,3.26189277e-15
5.20023392e-08,0.999957973,2.66160316e-05,9.0,0.0717669601,0.00156861469,0.00156861468,2.19384632e-15
5.23644586e-08,0.999957622,2.67601308e-05,9.0,0.0712619162,0.00105665236,0.00105665236,1.47363915e-15
5.27135753e-08,0.999957283,2.68970568e-05,9.0,0.0709319844,0.000722237212,0.000722237211,1.00540665e-15
5.30721399e-08,0.999956936,2.70361303e-05,9.0,0.0707014014,0.000488512764,0.000488512763,6.79178457e-16
5.3424707e-08,0.999956595,2.71716886e-05,9.0,0.0705476367,0.000332657351,0.000332657351,4.62101323e-16
5.37833805e-08,0.999956249,2.73086638e-05,9.0,0.0704414158,0.000224992343,0.000224992342,3.12359242e-16
5.4136754e-08,0.999955908,2.74429037e-05,9.0,0.0703704645,0.000153077888,0.000153077888,2.12436967e-16
5.44942958e-08,0.999955564,2.75781717e-05,9.0,0.0703217152,0.000103667078,0.000103667078,1.43827696e-16
5.48725938e-08,0.9999552,2.77208265e-05,9.0,0.0702871101,6.85935105e-05,6.85935104e-05,9.51486102e-17
5.53210424e-08,0.99995477,2.78894732e-05,9.0,0.0702607912,4.19193836e-05,4.19193835e-05,5.81395675e-17
5.58276723e-08,0.999954284,2.8079567e-05,9.0,0.0702430662,2.39567102e-05,2.39567101e-05,3.32232421e-17
5.64336051e-08,0.999953703,2.83065181e-05,9.0,0.0702314376,1.2173906e-05,1.2173906e-05,1.68817392e-17
5.71423049e-08,0.999953025,2.85716147e-05,9.0,0.0702248003,5.45117234e-06,5.45117233e-06,7.55894898e-18
5.80319772e-08,0.999952174,2.89041162e-05,9.0,0.0702213118,1.92120372e-06,1.92120372e-06,2.66401494e-18
5.91548218e-08,0.999951102,2.93235535e-05,9.0,0.0702198763,4.73899501e-07,4.738995e-07,6.57122142e-19
6.07032384e-08,0.999949626,2.99018398e-05,9.0,0.0702194411,4.3201605e-08,4.32016049e-08,5.99044001e-20
6.29538632e-08,0.999947486,3.0742288e-05,9.0,0.0702193793,-3.99823049e-09,-3.99823048e-09,-5.54404258e-21
6.67973554e-08,0.999943847,3.21771383e-05,9.0,0.0702193593,1.57359911e-09,1.57359911e-09,2.18199045e-21
6.71022076e-08,0.99994356,3.22909074e-05,9.0,0.0702193568,1.20885004e-09,1.20885004e-09,1.6762206e-21
6.77119119e-08,0.999942986,3.25184199e-05,9.0,0.0702193522,6.74215328e-10,6.74215328e-10,9.34883219e-22
6.89313205e-08,0.999941841,3.29732641e-05,9.0,0.0702193437,2.42675252e-10,2.42675252e-10,3.36499349e-22
