 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 0.00000000e+00  0.00000000e+00 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.39999957e-03  4.16592302e-03 -3.18340726e-02  0.00000000e+00  4.16592297e-03 -3.18340726e-02  0.00000000e+00 
 1.00000000e-07  1.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.41188430e-03  4.16742344e-03 -3.18047328e-02  1.18848018e-05  4.16592297e-03 -3.18249039e-02  1.25663698e-05 
 2.00000000e-07  2.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.42389281e-03  4.17040493e-03 -3.17451744e-02  2.38934322e-05  4.16592298e-03 -3.17999884e-02  2.51327346e-05 
 4.00000000e-07  4.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.44791215e-03  4.17919755e-03 -3.15725125e-02  4.79131233e-05  4.16592298e-03 -3.17117728e-02  5.02654295e-05 
 8.00000000e-07  8.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.49594803e-03  4.20958487e-03 -3.09880822e-02  9.59503611e-05  4.16592304e-03 -3.13008438e-02  1.00530542e-04 
 1.60000000e-06  1.60000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.59201052e-03  4.29418260e-03 -2.93760102e-02  1.92018186e-04  4.16592335e-03 -2.98572340e-02  2.01058543e-04 
 3.20000000e-06  3.20000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.78410432e-03  4.48495846e-03 -2.57506769e-02  3.84133129e-04  4.16592498e-03 -2.62589745e-02  4.02096767e-04 
 6.28057378e-06  6.28057378e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.15378917e-03  4.85488318e-03 -1.87225172e-02  7.53898009e-04  4.16593203e-03 -1.92196501e-02  7.89035354e-04 
 1.09832796e-05  1.09832796e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.71745168e-03  5.41804309e-03 -8.02269448e-03  1.31778246e-03  4.16595278e-03 -8.52608529e-03  1.37910437e-03 
 2.03886912e-05  2.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.84048885e-03  6.54095435e-03  1.33109401e-02  2.44162405e-03  4.16603031e-03  1.28159183e-02  2.55511637e-03 
 3.03886912e-05  3.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.02458071e-03  7.72482332e-03  3.58019472e-02  3.62709552e-03  4.16616516e-03  3.53073462e-02  3.79559427e-03 
 4.03886912e-05  4.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.19384663e-03  8.89441009e-03  5.80202713e-02  4.79827589e-03  4.16635350e-03  5.75367773e-02  5.02109270e-03 
 5.03886912e-05  5.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.03436728e-02  1.00445726e-02  7.98687580e-02  5.95054358e-03  4.16659454e-03  7.93906802e-02  6.22677517e-03 
 6.03886912e-05  6.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.14695211e-02  1.11712221e-02  1.01269248e-01  7.07935057e-03  4.16688732e-03  1.00805092e-01  7.40788340e-03 
 7.03886912e-05  7.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.25669491e-02  1.22695267e-02  1.22130417e-01  8.18024248e-03  4.16723066e-03  1.21676243e-01  8.55975610e-03 
 8.03886912e-05  8.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.36316254e-02  1.33354834e-02  1.42375806e-01  9.24887410e-03  4.16762316e-03  1.41938444e-01  9.67784735e-03 
 9.03886912e-05  9.03886912e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.46593490e-02  1.43646003e-02  1.61920504e-01  1.02810285e-02  4.16806326e-03  1.61497278e-01  1.07577446e-02 
 1.00388691e-04  1.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.56460637e-02  1.53530626e-02  1.80691680e-01  1.12726317e-02  4.16854919e-03  1.80288110e-01  1.17951859e-02 
 1.10388691e-04  1.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.65878759e-02  1.62967559e-02  1.98611567e-01  1.22197708e-02  4.16907902e-03  1.98225876e-01  1.27860770e-02 
 1.20388691e-04  1.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.74810687e-02  1.71921419e-02  2.15612625e-01  1.31187074e-02  4.16965061e-03  2.15249286e-01  1.37265073e-02 
 1.30388691e-04  1.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.83221177e-02  1.80355251e-02  2.31625022e-01  1.39658943e-02  4.17026170e-03  2.31282883e-01  1.46127653e-02 
